Run,t at thres,r at t-thres(baseline),Mean rolling_std(500),R_2.5M,R_5M,R_7.5M,Thres,Min-score
logs/si_10M_ppo2_1,0,0,197.525825638862,526.73,645.38,760.38,1652,0
logs/si_10M_ppo2_2,0,0,171.362237739479,467.59,573.47,647.11,1652,0
logs/qb_si_10M_ppo2_1,0,0,175.19399359383,465.21,552.58,647.64,1652,0
logs/qb_si_10M_ppo2_2,0,0,177.582140777,476.79,573.67,720.13,1652,0
logs/pong_si_10M_ppo2_1,0,0,177.451129108399,434.5,608.37,661.24,1652,0
logs/pong_si_10M_ppo2_2,0,0,195.487559502054,518.39,583.36,773,1652,0
logs/da_si_10M_ppo2_1,0,0,189.87863575613,421.23,580.78,667.65,1652,0
logs/da_si_10M_ppo2_2,0,0,186.390408537106,501.57,579.62,747.19,1652,0
logs/si_10M_acktr_1,0,0,207.374218636697,540.55,655.09,645.57,1652,0
logs/si_10M_acktr_2,0,0,202.469034156016,543,620.99,676.67,1652,0
logs/qb_si_10M_acktr_1_recovery_2,0,0,212.106534442548,568.44,652.69,669.16,1652,0
logs/qb_si_10M_acktr_2_recovery_2,0,0,173.80990643877,406.18,563.01,614.33,1652,0
logs/pong_si_10M_acktr_1,0,0,118.89845430734,171.17,162.61,156.36,1652,0
logs/pong_si_10M_acktr_2,0,0,122.41032223603,169.58,170.21,178.84,1652,0
logs/da_si_10M_acktr_1,0,0,165.096699576636,354.29,486.97,572.51,1652,0
logs/da_si_10M_acktr_2,0,0,137.728294653088,333.71,364.56,407.42,9.3,0
logs/pong_10M_ppo2_1,6159920,9.304,5.38057666893694,-7.004,3.826,11.056,9.3,-21
logs/pong_10M_ppo2_2,4224208,9.31,5.02332556644817,-1.9,10.184,13.13,9.3,-21
logs/qb_pong_10M_ppo2_1,2484920,9.3,3.80781702028413,9.45,15.682,16.476,9.3,-21
logs/qb_pong_10M_ppo2_2,3316260,9.304,3.92266585857243,7.134,13.274,14.864,9.3,-21
logs/si_pong_10M_ppo2_1,4603109,9.322,4.20383790798087,-3.18,10.926,14.152,9.3,-21
logs/si_pong_10M_ppo2_2,3134479,9.328,4.37340102431802,3.176,13.47,14.962,9.3,-21
logs/da_pong_10M_ppo2_1,3211029,9.318,5.23887893339459,3.124,12.906,14.728,9.3,-21
logs/da_pong_10M_ppo2_2,2310036,9.3,3.57157880451878,10.476,16.314,17.46,9.3,-21
logs/pong_10M_acktr_1,0,0,0.848037828575441,-20.272,-20.26,-20.266,9.3,-21
logs/pong_10M_acktr_2,0,0,0.826190901811164,-20.45,-20.32,-20.23,9.3,-21
logs/qb_pong_10M_acktr_1,0,0,2.82131437899192E-05,-21,-21,-21,9.3,-21
