# {"t_start": 1542614144.9575024, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
265.0,1281,17.9359
295.0,1569,36.091445
60.0,538,41.686914
150.0,1067,53.766055
150.0,824,64.401198
175.0,2014,86.14606
295.0,1938,108.537505
120.0,705,116.958437
400.0,1937,137.930843
50.0,591,143.950256
150.0,817,153.31313
130.0,514,159.13981
150.0,775,167.782933
220.0,1051,178.605842
325.0,1309,191.961527
30.0,343,195.312772
100.0,710,202.743354
110.0,705,210.356222
295.0,887,220.651428
60.0,354,224.130778
295.0,1114,235.276947
150.0,939,244.506808
280.0,1271,258.119296
220.0,966,268.497912
70.0,424,272.627423
250.0,1260,284.941175
150.0,977,294.820057
120.0,662,301.823233
110.0,529,307.634192
175.0,952,317.671182
100.0,499,322.4887
280.0,1165,333.900871
355.0,1203,346.364218
265.0,1156,359.342486
190.0,829,367.463522
190.0,782,375.19143
220.0,719,382.199981
250.0,933,392.126912
190.0,977,403.158566
190.0,944,412.712089
80.0,399,416.612398
110.0,780,424.282713
110.0,726,431.730827
90.0,558,437.687153
175.0,710,445.621709
235.0,1229,458.751947
120.0,724,466.769161
205.0,1181,480.447437
130.0,775,488.987308
235.0,1103,501.272563
295.0,1253,513.605694
140.0,929,523.273139
295.0,1181,536.518376
220.0,1108,548.980152
100.0,500,554.203019
130.0,796,562.300771
190.0,1193,575.208511
100.0,683,583.135964
175.0,1050,594.810345
190.0,831,603.409938
250.0,1034,615.439736
120.0,880,627.4207
340.0,1655,648.130988
140.0,781,656.686308
100.0,602,663.322614
310.0,1148,676.591654
175.0,1116,690.000353
370.0,1615,707.198314
250.0,1117,720.491055
385.0,1218,736.245505
880.0,1893,759.085295
385.0,1533,777.520318
235.0,1242,794.011492
960.0,2044,817.902304
235.0,1054,831.068545
150.0,676,839.875829
220.0,980,852.080976
175.0,1123,864.943912
90.0,389,869.324447
100.0,613,877.048154
295.0,1045,890.788483
325.0,1514,908.55675
880.0,1877,930.196193
660.0,1851,951.198385
110.0,481,956.089929
120.0,636,962.557994
660.0,2085,985.775072
1060.0,2126,1011.648078
720.0,1842,1035.733044
160.0,816,1045.79229
235.0,962,1057.025272
190.0,716,1065.292971
130.0,684,1073.887591
1440.0,2130,1100.642834
120.0,549,1106.897576
280.0,1181,1120.952642
370.0,1496,1140.849242
205.0,1186,1155.408546
325.0,1089,1167.624126
580.0,1533,1186.567146
280.0,1232,1201.68381
1000.0,2680,1233.100109
250.0,1370,1250.308222
540.0,1681,1269.087329
190.0,884,1279.72284
580.0,1812,1302.081536
150.0,787,1311.231745
340.0,1368,1327.382769
355.0,1178,1342.356525
420.0,1646,1361.347862
840.0,1688,1381.572386
310.0,1048,1395.135301
400.0,1400,1410.759407
2060.0,2920,1447.734069
340.0,1437,1464.317791
1160.0,2006,1488.977875
190.0,1044,1501.340659
500.0,1804,1522.199974
235.0,1031,1534.951238
840.0,1992,1558.091364
1800.0,2884,1593.325399
1180.0,2104,1617.625222
205.0,945,1629.383286
3165.0,4036,1678.283088
600.0,1794,1699.508301
1520.0,2455,1729.220442
385.0,1525,1746.983726
700.0,1692,1766.598098
310.0,1572,1786.346799
340.0,1096,1798.665904
220.0,810,1808.155451
1760.0,2623,1839.942048
960.0,2289,1867.647454
100.0,474,1873.663499
340.0,1104,1886.373921
250.0,974,1897.450727
140.0,793,1906.89617
880.0,1847,1929.516706
600.0,1817,1950.451606
1700.0,2393,1979.574511
540.0,1278,1994.174806
500.0,1746,2016.11153
2020.0,2951,2050.248968
1300.0,2170,2076.449291
1580.0,2348,2104.365391
3055.0,3712,2147.923962
1980.0,2613,2176.170346
1460.0,2066,2198.585942
580.0,1517,2214.069488
920.0,1886,2233.911959
1680.0,2333,2258.279825
540.0,1452,2273.554437
4710.0,4090,2319.259713
5600.0,5114,2377.596194
4430.0,3869,2422.934441
1540.0,2113,2449.621458
1280.0,2184,2475.968307
3760.0,3440,2515.408599
740.0,1849,2537.370167
3130.0,2851,2570.222563
5400.0,4417,2621.478445
1880.0,2821,2652.8866
3965.0,3182,2688.758743
1560.0,2449,2719.695351
2650.0,3125,2753.785115
1560.0,2523,2782.538236
4820.0,3983,2826.422994
1660.0,2170,2849.887227
5100.0,3898,2892.39506
4510.0,4706,2944.762242
1900.0,2070,2966.229951
2630.0,3001,2997.469069
1880.0,2883,3028.28515
1560.0,2091,3049.886114
1500.0,2094,3072.045378
420.0,1788,3090.416458
1640.0,2550,3117.212029
1320.0,2123,3139.804882
480.0,1502,3156.244684
1820.0,2363,3183.82278
680.0,1572,3200.12852
2280.0,2136,3224.809311
1420.0,2173,3251.97207
370.0,1101,3265.787105
420.0,1332,3281.627327
600.0,1520,3297.255543
1040.0,1869,3319.606591
2080.0,2164,3343.046896
2160.0,2636,3372.674494
3615.0,3369,3408.93752
3330.0,3065,3441.504821
370.0,1248,3454.862798
1980.0,2452,3481.403482
480.0,1618,3499.035907
1180.0,1480,3514.529473
280.0,1114,3527.177773
5120.0,4187,3575.541948
5380.0,4820,3634.015944
1120.0,2001,3657.70072
295.0,1402,3675.456897
1880.0,2213,3701.377392
620.0,1681,3722.698779
5430.0,4735,3779.771902
4610.0,4241,3830.933803
1580.0,2095,3856.054487
800.0,1633,3875.991255
7870.0,5384,3940.701266
2040.0,3120,3978.65834
2545.0,2539,4008.765857
2940.0,3179,4046.700019
7520.0,4788,4104.004832
3705.0,3734,4148.360495
4410.0,4007,4195.747153
4030.0,3699,4237.415462
960.0,1913,4257.193584
1560.0,2073,4278.936291
5770.0,4384,4324.407281
3060.0,2732,4352.945851
540.0,1623,4369.331237
1760.0,2128,4391.648563
2545.0,2696,4419.109366
2750.0,2750,4448.305157
540.0,1404,4462.334594
3625.0,3839,4502.408095
1740.0,2162,4525.492498
1420.0,1916,4544.522729
1220.0,1920,4565.033582
3170.0,3041,4596.068852
1260.0,1970,4616.854604
2020.0,2335,4640.639287
420.0,1410,4655.876589
3715.0,3794,4694.979445
5680.0,3918,4735.827427
3920.0,3480,4770.991819
2040.0,2402,4795.464314
3800.0,3365,4830.497277
4600.0,3540,4867.140507
1060.0,1647,4883.41754
1760.0,2618,4910.969677
4070.0,3782,4950.282549
7660.0,5687,5008.584032
2305.0,2722,5037.103815
4905.0,3671,5075.266264
6500.0,4585,5121.494116
3880.0,3147,5153.614757
5160.0,4078,5194.796875
190.0,978,5204.358518
1240.0,2186,5226.128596
2180.0,2469,5251.107575
500.0,1245,5263.512139
2725.0,2890,5292.855893
1900.0,2544,5319.426992
5400.0,4221,5362.161745
1800.0,2425,5386.346463
1340.0,1947,5406.342929
2890.0,3105,5438.450375
4480.0,3897,5478.227334
500.0,1374,5491.566564
2990.0,3717,5529.442377
5740.0,4618,5576.007131
700.0,1346,5589.53589
3110.0,3090,5620.652585
4200.0,3158,5652.625641
3410.0,2821,5681.523947
620.0,1584,5696.926212
190.0,808,5704.877633
6650.0,5251,5757.892716
2140.0,2295,5781.040167
2040.0,2579,5807.650994
5560.0,3848,5846.614471
1880.0,2934,5875.586608
1740.0,2073,5896.906407
5790.0,3778,5935.371429
4740.0,3843,5974.466768
1960.0,2549,6000.573497
780.0,1595,6016.457496
3670.0,3505,6052.297464
4500.0,3835,6091.262172
2765.0,2781,6119.716358
3335.0,2830,6147.449248
4190.0,3852,6186.419997
6620.0,4370,6230.614936
2000.0,2717,6258.219028
4200.0,3661,6295.338516
2810.0,2649,6322.632112
5120.0,4100,6363.952798
4970.0,4085,6405.372982
6390.0,4300,6448.86145
6060.0,4406,6500.766733
6380.0,4334,6551.601492
6060.0,4653,6607.001685
820.0,1634,6629.098029
5350.0,3638,6672.300682
3230.0,3209,6709.548259
4720.0,4525,6762.023967
2940.0,2635,6795.884102
560.0,1668,6816.589706
2640.0,2928,6850.379509
1800.0,2206,6877.054389
355.0,1115,6888.947901
7275.0,4553,6942.082284
4125.0,3476,6982.293474
1720.0,2186,7006.354167
4420.0,3036,7042.178174
7995.0,4829,7094.103094
2920.0,2909,7124.477062
2040.0,2545,7151.691141
2065.0,2407,7175.717328
3345.0,3457,7211.98345
4600.0,3732,7250.998816
2210.0,3299,7285.793011
3905.0,3156,7319.281816
2240.0,2511,7344.607434
7100.0,4707,7394.325507
1960.0,2515,7420.328664
6760.0,4989,7472.349125
385.0,1207,7485.546885
2160.0,2339,7509.249407
5890.0,4104,7552.091372
5090.0,5051,7606.193043
3550.0,4018,7648.376808
3620.0,3548,7686.149341
1200.0,2084,7707.250689
7445.0,5163,7762.668235
6210.0,4167,7806.912359
4350.0,3508,7844.084912
4440.0,3473,7880.208324
6470.0,4580,7928.635799
6030.0,4585,7976.629382
8900.0,4974,8028.634849
2615.0,2334,8053.437323
5600.0,4169,8097.567125
3900.0,3266,8131.854779
1000.0,1608,8148.110429
340.0,1219,8161.264312
1440.0,2159,8184.124947
2960.0,3733,8224.280256
4380.0,3502,8261.247565
2655.0,2580,8288.798553
6140.0,3813,8329.172889
2080.0,2164,8351.554539
385.0,1254,8365.341206
2980.0,3211,8398.900383
1840.0,2514,8425.066896
3645.0,3797,8465.056457
265.0,883,8474.260129
1360.0,2171,8497.263998
5850.0,4483,8544.674271
7575.0,4484,8591.571071
5730.0,4223,8635.692794
4430.0,3378,8671.18058
780.0,1845,8691.27589
880.0,2002,8712.869209
2915.0,2939,8743.945418
1360.0,1991,8763.956511
4380.0,3643,8801.819428
940.0,1747,8820.762975
480.0,1268,8833.256361
3160.0,2927,8864.321359
6740.0,5005,8915.717638
4490.0,3423,8951.866699
5940.0,4260,8995.779873
2460.0,2359,9019.642549
6350.0,4517,9066.910578
1240.0,2014,9087.687101
6780.0,5743,9147.054141
6840.0,4925,9199.120278
5740.0,4210,9242.952825
2840.0,3170,9275.689895
1460.0,2122,9297.7933
2275.0,2345,9322.572866
1540.0,2168,9344.672493
4650.0,3303,9379.370307
3370.0,3623,9417.635072
5680.0,4303,9462.000371
1880.0,2219,9484.023649
1960.0,2102,9506.357916
3120.0,2941,9536.062318
8090.0,4810,9586.334977
5460.0,4577,9633.338175
3650.0,3034,9664.61715
9120.0,5656,9723.464096
5900.0,3627,9764.878853
8630.0,5459,9826.574792
2470.0,2645,9858.101882
