# {"t_start": 1542503579.3137095, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,879,12.165872
-20.0,975,22.875499
-21.0,788,30.407396
-20.0,916,39.424594
-21.0,837,48.342884
-20.0,952,58.688259
-20.0,958,68.046546
-21.0,878,76.566597
-21.0,785,84.51186
-20.0,1015,95.494873
-21.0,850,104.488331
-20.0,860,112.833566
-21.0,790,120.47367
-20.0,943,130.174243
-21.0,1003,141.046633
-20.0,1002,151.288318
-21.0,760,158.675568
-21.0,937,167.806129
-19.0,1056,179.004225
-21.0,833,188.188509
-21.0,917,197.2345
-21.0,821,205.185008
-21.0,1032,215.5573
-21.0,943,225.761049
-21.0,811,234.414995
-21.0,930,243.520661
-20.0,1076,253.996526
-21.0,787,262.372856
-20.0,836,271.607604
-21.0,863,280.433961
-20.0,837,288.64536
-20.0,892,297.263316
-21.0,939,307.256062
-21.0,883,317.000547
-20.0,1169,328.540257
-21.0,882,337.05219
-21.0,911,346.542781
-21.0,849,355.826472
-21.0,821,364.284411
-21.0,837,372.435859
-21.0,875,380.940699
-21.0,937,391.083972
-20.0,863,400.681866
-20.0,983,410.297725
-19.0,994,420.052242
-20.0,841,429.070994
-20.0,1180,441.742974
-20.0,1151,452.979721
-21.0,934,462.694912
-20.0,914,472.790044
-21.0,879,481.779687
-21.0,868,490.162408
-20.0,911,499.692039
-20.0,1020,511.003473
-21.0,1056,521.384149
-21.0,820,529.678062
-17.0,1206,542.828513
-19.0,935,552.482551
-20.0,915,561.465757
-19.0,1102,573.37485
-21.0,762,581.703862
-19.0,992,591.440362
-20.0,985,601.60055
-20.0,892,611.498669
-20.0,842,620.070489
-21.0,760,627.613947
-20.0,930,637.644403
-19.0,980,648.330234
-20.0,951,657.565826
-21.0,911,667.268198
-21.0,851,676.703674
-20.0,898,685.71626
-21.0,777,693.652472
-21.0,878,703.17294
-21.0,776,711.626637
-20.0,836,719.802696
-21.0,791,728.265724
-20.0,1093,740.504398
-19.0,938,749.607795
-21.0,859,758.481602
-21.0,979,769.277323
-21.0,853,778.005489
-21.0,901,787.099128
-21.0,943,797.34692
-21.0,884,806.870899
-21.0,908,815.709322
-21.0,825,824.387473
-21.0,847,833.903096
-20.0,1001,844.121786
-18.0,1029,854.620658
-20.0,913,864.617671
-21.0,879,873.838607
-21.0,842,882.065513
-21.0,808,890.753874
-21.0,791,899.499587
-20.0,878,908.470161
-20.0,841,916.759511
-21.0,825,925.563627
-21.0,820,934.625453
-21.0,808,942.596955
-20.0,1056,953.359004
-21.0,840,962.567601
-21.0,821,971.284576
-20.0,934,980.322361
-21.0,971,990.70137
-21.0,849,1000.110546
-20.0,924,1009.210916
-20.0,877,1018.068536
-20.0,1081,1029.875642
-21.0,811,1038.328665
-21.0,885,1047.022408
-21.0,885,1056.135112
-21.0,970,1066.876827
-20.0,840,1075.212838
-20.0,866,1083.759032
-19.0,1033,1094.839868
-20.0,887,1104.343486
-21.0,779,1111.939528
-20.0,1032,1122.191414
-21.0,984,1132.985762
-20.0,926,1142.462841
-17.0,1320,1155.123246
-21.0,792,1163.252527
-20.0,1023,1174.361728
-19.0,1026,1184.382572
-21.0,881,1192.429265
-21.0,1093,1203.128937
-19.0,962,1213.704815
-21.0,1030,1223.743034
-21.0,837,1231.47592
-21.0,970,1240.506357
-19.0,980,1250.883084
-20.0,931,1260.709056
-20.0,975,1270.055551
-21.0,865,1277.90859
-21.0,931,1286.469728
-20.0,1034,1297.139898
-20.0,839,1306.106106
-20.0,995,1315.710896
-21.0,878,1323.659069
-20.0,1002,1332.776096
-21.0,940,1341.846174
-21.0,994,1352.794627
-21.0,851,1361.11958
-21.0,847,1368.899621
-20.0,975,1377.788087
-19.0,998,1386.858917
-21.0,927,1396.168529
-21.0,850,1405.413129
-21.0,854,1413.622564
-20.0,978,1422.442547
-20.0,838,1429.993598
-20.0,990,1439.030463
-21.0,899,1447.269446
-21.0,941,1457.506084
-19.0,1219,1469.174278
-21.0,764,1476.032714
-21.0,887,1484.049718
-21.0,944,1492.575771
-19.0,1127,1502.793032
-19.0,1030,1513.563293
-21.0,849,1521.99499
-20.0,901,1530.07501
-20.0,1083,1539.871665
-20.0,1095,1549.661777
-19.0,946,1558.287069
-20.0,990,1567.659773
-19.0,930,1577.209336
-21.0,822,1585.045477
-20.0,896,1593.100175
-20.0,840,1600.584418
-20.0,873,1608.361209
-20.0,899,1616.323611
-21.0,1026,1625.646484
-18.0,1088,1635.859657
-21.0,777,1643.64172
-20.0,919,1652.324834
-21.0,762,1659.474795
-21.0,760,1666.212394
-20.0,897,1674.271916
-21.0,916,1682.486977
-21.0,791,1689.539596
-21.0,1026,1698.803018
-20.0,865,1706.902582
-21.0,930,1716.188987
-20.0,957,1725.2131
-21.0,815,1732.805329
-20.0,843,1740.34215
-21.0,879,1748.160832
-21.0,820,1755.482892
-21.0,817,1762.821071
-20.0,836,1770.309852
-21.0,885,1778.186105
-20.0,903,1786.529419
-20.0,831,1794.591089
-20.0,982,1803.794586
-21.0,791,1811.215027
-20.0,1161,1821.916809
-18.0,1059,1831.395164
-20.0,988,1840.219593
-20.0,921,1848.510513
