# {"t_start": 1542470083.8663893, "env_id": "BreakoutNoFrameskip-v0"} 
r,l,t
5.0,350,7.642587
0.0,127,9.159389
3.0,232,12.132207
3.0,269,15.665614
0.0,127,17.306733
1.0,173,19.810716
2.0,222,22.913577
1.0,176,25.28991
1.0,171,27.54287
1.0,177,29.816241
2.0,204,32.150561
0.0,129,33.539365
3.0,228,36.154746
1.0,153,37.839829
0.0,129,39.173659
1.0,157,40.922589
3.0,226,43.478769
2.0,204,46.021268
0.0,125,47.47225
3.0,251,50.653918
1.0,157,52.538826
0.0,129,54.077927
0.0,125,55.531184
1.0,151,57.415842
2.0,206,60.028978
1.0,171,62.188878
0.0,129,63.709526
0.0,129,65.298848
1.0,155,67.165781
2.0,184,69.341383
0.0,123,70.636974
0.0,129,72.090869
3.0,268,75.331779
1.0,155,77.116765
0.0,123,78.452414
2.0,205,80.90727
1.0,173,82.930045
0.0,123,84.256808
0.0,127,85.705627
2.0,204,88.108093
0.0,125,89.5452
2.0,203,91.864179
3.0,233,94.882102
2.0,202,97.431414
2.0,204,99.811483
3.0,253,102.882752
3.0,252,106.078324
1.0,172,108.234138
0.0,129,109.839088
0.0,127,111.468558
0.0,129,113.21572
1.0,174,115.421754
0.0,125,116.859249
4.0,296,120.037907
0.0,127,121.30093
2.0,202,123.77503
2.0,222,126.249951
2.0,223,128.968064
1.0,177,130.962773
2.0,225,133.718031
0.0,127,135.591037
2.0,225,138.920795
2.0,203,141.820812
1.0,175,144.430535
2.0,223,147.522065
2.0,219,150.913463
1.0,174,153.269395
0.0,125,154.934721
2.0,204,158.059736
1.0,176,160.625201
0.0,129,162.357772
0.0,127,164.203229
0.0,129,166.097542
0.0,128,167.616732
2.0,224,170.604622
3.0,272,174.418128
1.0,173,176.879647
1.0,154,179.061099
0.0,127,180.667858
0.0,127,182.137973
2.0,202,184.810512
1.0,157,186.658612
1.0,177,188.863561
0.0,127,190.430799
0.0,125,191.960158
0.0,129,193.623453
0.0,125,195.2109
2.0,204,197.712623
1.0,172,199.97367
0.0,127,201.678845
0.0,125,203.225973
0.0,127,204.962949
0.0,129,206.695839
0.0,127,208.373787
1.0,175,210.945721
0.0,129,212.821692
2.0,204,215.770702
0.0,129,217.839119
0.0,129,219.566839
1.0,158,221.949465
2.0,222,225.229244
0.0,121,226.721052
1.0,173,228.795419
0.0,129,230.16059
4.0,300,233.649065
4.0,288,236.97557
2.0,223,239.905102
1.0,155,241.673467
1.0,154,243.342134
0.0,127,244.721
1.0,173,246.693866
3.0,232,249.688226
1.0,175,251.88432
0.0,123,253.579099
0.0,129,255.350799
2.0,226,258.328257
2.0,224,261.278157
0.0,125,262.852951
0.0,129,264.424422
1.0,155,266.501023
2.0,204,269.299312
6.0,362,274.294574
0.0,127,275.949457
3.0,274,279.680908
1.0,155,281.492009
0.0,129,282.985179
3.0,249,286.012551
2.0,201,288.44792
0.0,125,289.849674
0.0,125,291.314667
4.0,269,294.613222
1.0,173,296.69954
0.0,125,298.091114
1.0,153,299.904862
0.0,129,301.38569
0.0,127,302.765056
0.0,129,304.270058
4.0,283,308.057897
2.0,198,310.612301
2.0,200,313.136687
1.0,175,315.344027
1.0,153,317.358097
0.0,127,319.049298
0.0,127,320.691804
3.0,248,324.13755
1.0,155,326.208297
1.0,174,328.541324
4.0,297,332.571087
3.0,242,335.653035
0.0,122,337.036235
2.0,220,339.675796
1.0,157,341.617514
3.0,273,344.937505
1.0,175,347.025503
2.0,203,349.379371
1.0,174,351.447317
0.0,127,352.926521
1.0,155,354.766838
0.0,125,356.170708
1.0,175,358.480233
2.0,204,361.130884
3.0,275,364.719021
0.0,127,366.275937
2.0,206,369.037031
2.0,222,372.081724
1.0,155,374.111254
6.0,398,379.771205
1.0,157,381.944579
2.0,220,384.644735
2.0,200,387.042194
3.0,251,389.789574
2.0,183,391.909873
1.0,172,393.830109
0.0,128,395.161414
0.0,129,396.636805
0.0,121,398.065356
1.0,176,400.098818
0.0,125,401.376401
1.0,155,403.016522
3.0,272,406.400592
0.0,129,407.965457
0.0,123,409.410849
0.0,127,411.004831
1.0,178,413.276664
0.0,127,414.840804
2.0,223,417.689366
1.0,173,419.989404
0.0,125,421.533928
0.0,127,423.075699
0.0,127,424.705872
0.0,127,426.420024
0.0,127,428.091711
1.0,155,430.274666
2.0,203,433.013578
1.0,153,435.016598
2.0,204,437.624804
0.0,127,439.216316
1.0,173,441.546174
2.0,200,444.174099
2.0,203,446.832478
1.0,153,448.698032
0.0,125,450.156043
2.0,221,452.914087
5.0,334,457.36993
0.0,120,458.806275
2.0,204,461.458629
0.0,127,463.053186
3.0,273,466.732359
1.0,171,469.054677
0.0,125,470.59526
3.0,268,474.310579
3.0,266,477.788113
2.0,184,479.97264
1.0,173,481.862362
0.0,123,483.426697
2.0,223,486.154827
2.0,199,488.313546
1.0,173,490.200912
2.0,197,492.3108
0.0,127,493.635348
2.0,185,495.902974
0.0,127,497.347907
1.0,156,499.280204
4.0,299,503.204643
1.0,155,505.227282
0.0,127,506.746546
3.0,250,510.007997
1.0,174,512.20557
6.0,355,517.187237
1.0,175,519.522749
0.0,127,521.176271
1.0,157,523.260527
0.0,129,524.974089
0.0,127,526.582611
4.0,261,530.001285
1.0,155,531.806904
2.0,203,534.179731
0.0,127,535.708879
1.0,175,537.844044
1.0,155,539.676037
0.0,125,541.138446
1.0,155,542.965804
3.0,267,546.145295
2.0,220,548.867448
2.0,186,551.134187
2.0,218,553.97531
2.0,198,556.638575
2.0,220,559.468176
2.0,222,562.381289
0.0,129,564.075843
1.0,173,566.395511
0.0,127,568.081153
2.0,226,571.129174
2.0,198,573.780557
0.0,129,575.493165
0.0,127,577.108114
0.0,122,578.441352
1.0,177,580.552133
0.0,127,582.006207
1.0,157,583.825617
4.0,284,587.332421
4.0,302,590.988565
0.0,125,592.454949
2.0,204,594.851866
2.0,194,597.398978
1.0,157,599.315139
3.0,252,602.56366
3.0,255,605.872357
1.0,155,607.924733
1.0,157,609.983661
1.0,153,612.031519
1.0,158,614.232719
2.0,201,616.980536
0.0,123,618.516149
1.0,153,620.523044
0.0,125,622.178181
0.0,127,623.574101
1.0,173,625.611884
1.0,175,627.701089
0.0,132,629.234227
2.0,222,631.894503
2.0,203,634.308207
1.0,157,636.136508
1.0,175,638.220674
1.0,174,640.419493
2.0,219,643.272265
2.0,221,646.045882
0.0,127,647.655884
1.0,157,649.574971
0.0,127,651.169014
1.0,153,653.166879
1.0,157,655.315458
2.0,227,658.303636
1.0,156,660.352323
0.0,129,662.01851
2.0,204,664.811387
0.0,127,666.224572
0.0,123,667.696845
1.0,150,669.364611
1.0,173,671.424946
1.0,173,673.458107
0.0,125,674.933749
1.0,157,676.738158
1.0,152,678.50075
1.0,173,680.619416
1.0,156,682.549372
1.0,177,684.757355
0.0,127,686.328469
0.0,129,687.954419
1.0,155,689.84436
0.0,129,691.437107
3.0,227,694.498071
0.0,123,696.048955
0.0,129,697.736897
3.0,231,700.88432
3.0,268,704.566308
0.0,127,706.040219
1.0,173,708.030682
5.0,351,712.294958
0.0,123,713.708276
2.0,204,716.109945
1.0,171,718.053284
1.0,173,720.247705
0.0,123,721.675286
1.0,157,723.708089
0.0,129,725.237823
1.0,171,727.394993
2.0,224,730.314873
2.0,218,733.240697
2.0,198,735.840671
1.0,178,738.192676
3.0,249,741.626486
1.0,171,743.920666
1.0,178,746.072953
0.0,129,747.571647
2.0,179,749.680252
1.0,153,751.479573
0.0,129,752.964768
1.0,176,755.054593
1.0,173,757.104203
4.0,298,760.978522
1.0,151,762.876396
0.0,129,764.487341
3.0,253,767.776098
0.0,125,769.280696
1.0,174,771.573895
0.0,127,773.241298
0.0,127,774.8443
2.0,204,777.686363
2.0,222,780.755435
1.0,173,783.120633
3.0,247,786.234911
8.0,356,790.581312
0.0,129,792.076804
0.0,127,793.512959
0.0,127,794.954664
3.0,218,797.722954
2.0,202,800.358516
1.0,176,802.608588
1.0,173,804.792585
1.0,157,806.726144
3.0,252,810.126277
0.0,129,811.803881
0.0,125,813.374929
0.0,119,814.908763
0.0,127,816.596054
0.0,129,818.245004
0.0,127,819.877753
1.0,169,822.21498
2.0,202,824.706867
0.0,127,826.160532
2.0,200,828.516926
0.0,127,829.982999
1.0,155,831.808826
0.0,127,833.314237
0.0,127,834.661748
2.0,202,837.366147
0.0,127,838.973327
0.0,129,840.484784
