# {"t_start": 1542440699.2249095, "env_id": "BreakoutNoFrameskip-v0"} 
r,l,t
0.0,129,2.49064
1.0,171,4.585592
0.0,129,5.758651
3.0,228,7.547267
0.0,127,8.762214
0.0,125,9.955492
0.0,127,11.096389
0.0,127,12.344921
2.0,202,13.994611
2.0,202,16.086141
2.0,204,17.687402
0.0,129,18.888021
6.0,401,22.659201
1.0,176,24.143754
1.0,147,25.467402
3.0,250,27.873515
2.0,202,29.977359
2.0,202,31.649112
0.0,122,32.820244
2.0,217,35.024467
0.0,125,35.686847
1.0,176,37.626987
0.0,129,38.813877
3.0,250,40.758956
2.0,194,42.848175
2.0,207,44.51722
2.0,202,46.688673
3.0,253,49.100911
2.0,202,50.729173
0.0,129,51.862679
0.0,129,53.085569
0.0,129,54.341544
4.0,297,57.025547
0.0,127,58.192981
5.0,327,61.016865
0.0,127,62.203526
0.0,127,63.39922
2.0,204,65.54216
0.0,127,66.704708
1.0,155,68.044932
0.0,129,69.209249
2.0,202,70.873242
3.0,252,73.293681
4.0,314,76.089797
2.0,202,78.209565
9.0,404,81.985176
2.0,204,83.631986
2.0,202,85.758541
0.0,129,86.937425
4.0,299,89.645812
0.0,125,90.842219
0.0,129,92.054325
1.0,172,93.48319
5.0,349,96.421196
1.0,175,98.391805
3.0,248,100.248775
4.0,277,103.332237
2.0,195,104.885139
0.0,129,106.079624
2.0,204,107.688008
4.0,301,110.894574
3.0,232,112.68083
4.0,281,115.325681
4.0,297,118.475903
3.0,228,120.209824
4.0,277,122.789596
5.0,349,126.244348
1.0,176,127.674
5.0,312,130.892919
1.0,176,132.320056
6.0,351,135.255074
6.0,342,138.729314
7.0,379,142.281927
3.0,214,143.925722
1.0,172,145.904085
6.0,341,148.76118
1.0,172,150.184615
1.0,152,151.939291
1.0,155,153.298298
8.0,467,157.424341
5.0,327,160.772175
1.0,154,162.108767
4.0,302,164.763164
1.0,175,166.253569
1.0,155,167.564297
1.0,157,168.883359
1.0,155,170.685067
19.0,555,175.809762
13.0,475,179.936682
0.0,129,181.117331
3.0,214,183.302134
0.0,127,184.492467
2.0,220,186.19711
7.0,396,189.911639
9.0,481,194.576036
12.0,501,199.377086
8.0,279,201.895219
8.0,464,205.96452
7.0,367,209.460452
7.0,420,213.311904
3.0,230,215.568036
3.0,248,217.945131
1.0,175,219.388236
12.0,320,222.121328
4.0,283,225.117951
5.0,314,227.838356
2.0,186,229.312355
9.0,443,233.769653
8.0,417,237.544942
11.0,408,241.320997
2.0,183,242.827789
10.0,527,247.721955
4.0,245,250.073845
4.0,289,252.644345
7.0,374,256.191184
3.0,248,258.538059
7.0,248,260.876758
13.0,556,265.96426
13.0,497,270.681653
1.0,173,272.087665
9.0,442,276.022555
7.0,248,278.372036
4.0,267,280.800042
9.0,482,285.406965
9.0,328,288.179763
6.0,340,291.550953
6.0,375,294.65128
9.0,509,299.61021
6.0,318,302.872319
5.0,334,305.708662
4.0,266,308.105312
1.0,158,309.37981
7.0,410,313.056917
10.0,435,317.369836
8.0,411,321.059187
4.0,280,323.546796
7.0,417,327.295635
9.0,481,331.779722
8.0,429,335.59998
8.0,447,339.541148
6.0,378,343.045887
4.0,304,345.687554
10.0,554,351.10494
15.0,522,355.923401
20.0,655,361.948565
9.0,333,364.721512
10.0,600,370.454703
4.0,301,373.021545
7.0,449,376.940775
5.0,312,380.058094
8.0,442,383.918141
9.0,472,387.906404
5.0,334,391.191441
6.0,360,394.586327
8.0,442,398.430089
4.0,282,400.921234
8.0,478,405.508209
6.0,372,408.999157
4.0,298,411.531605
2.0,189,413.008005
11.0,506,417.730155
9.0,498,422.426454
2.0,183,423.876992
7.0,425,427.685109
12.0,495,432.315213
5.0,315,434.964851
10.0,524,439.764166
4.0,276,442.233307
2.0,204,444.274325
6.0,399,447.874029
8.0,468,451.879843
13.0,505,456.598638
13.0,580,462.205991
4.0,301,464.814037
13.0,534,469.712665
9.0,491,474.341784
9.0,529,479.190937
24.0,795,486.503563
5.0,307,489.16749
14.0,498,493.872703
7.0,428,497.681027
3.0,231,499.898436
8.0,406,503.561466
9.0,461,507.526969
16.0,692,514.239846
14.0,619,519.50293
9.0,344,522.852833
7.0,447,526.761432
10.0,524,531.563585
9.0,520,536.301254
7.0,447,540.671333
6.0,381,544.16186
9.0,504,548.350845
13.0,584,553.944766
7.0,388,557.481738
6.0,360,560.862616
14.0,634,566.275258
15.0,625,572.099703
14.0,598,577.777093
11.0,507,582.49063
8.0,438,586.300879
14.0,598,591.447048
12.0,519,596.209785
7.0,371,599.620894
5.0,328,602.847684
11.0,482,606.870508
10.0,548,611.838972
8.0,422,616.069629
7.0,373,619.006712
6.0,381,622.518861
15.0,605,628.23539
11.0,503,632.896962
13.0,366,635.824252
12.0,603,641.521825
11.0,423,645.265849
7.0,378,648.75363
10.0,586,654.299859
13.0,549,659.254449
23.0,813,666.544201
13.0,610,672.278851
11.0,470,676.269757
13.0,568,681.805868
13.0,624,687.170033
8.0,410,690.860026
16.0,648,696.792313
20.0,721,703.651225
9.0,524,708.386564
20.0,683,714.548752
10.0,558,719.530338
7.0,372,723.000199
16.0,686,729.14496
10.0,536,733.991237
13.0,518,738.75488
11.0,594,744.441674
9.0,470,748.940693
7.0,404,752.580125
19.0,570,757.636239
12.0,608,763.389426
15.0,732,769.805756
