# {"t_start": 1542614145.0182617, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
60.0,477,8.594311
355.0,1620,27.900217
160.0,862,36.884242
100.0,796,45.694344
175.0,1062,58.370836
220.0,1075,70.862719
130.0,1669,88.841125
310.0,1373,104.332266
80.0,398,109.430989
130.0,728,118.153426
150.0,1104,130.160645
205.0,1302,143.660375
190.0,943,154.464637
150.0,720,162.557275
90.0,525,168.413766
175.0,1070,179.353296
60.0,463,184.248994
140.0,719,191.310912
90.0,961,201.196919
80.0,649,208.135439
130.0,727,216.266703
110.0,700,224.008136
100.0,673,230.80858
90.0,743,238.034369
90.0,606,243.920421
175.0,1237,257.06437
30.0,355,261.004211
280.0,1470,275.95796
190.0,952,285.273097
110.0,562,290.711959
90.0,592,296.936619
265.0,1220,310.314934
250.0,1150,321.988517
280.0,1063,332.300122
190.0,987,342.483991
130.0,377,346.418826
80.0,514,352.095134
150.0,772,360.561177
150.0,773,368.114988
205.0,1043,378.352998
400.0,1317,392.081182
70.0,621,399.065805
110.0,698,406.702259
205.0,1060,417.160127
175.0,1236,429.420812
120.0,699,436.996491
150.0,563,443.292028
250.0,1211,456.381296
295.0,1198,469.491586
250.0,1281,484.167179
60.0,320,487.702394
235.0,1010,499.195287
140.0,799,507.06713
265.0,1849,526.364223
205.0,889,536.204659
460.0,1656,554.52579
295.0,995,564.621694
355.0,1766,584.521776
80.0,598,591.453131
280.0,1062,602.39486
160.0,912,612.656365
820.0,2260,642.902662
80.0,728,650.760831
370.0,1691,669.710158
295.0,1179,683.683015
90.0,515,689.883537
120.0,774,698.121346
130.0,833,706.856091
325.0,1200,721.173945
140.0,711,729.755921
325.0,1313,746.975306
130.0,900,757.490542
90.0,547,763.698433
160.0,762,772.919122
280.0,1434,791.711585
220.0,1373,808.081647
100.0,1489,825.884657
310.0,1115,840.33825
385.0,1153,854.46011
150.0,1181,867.94985
355.0,1493,887.178845
150.0,765,896.854343
1040.0,1965,918.698416
1360.0,2157,944.81962
100.0,748,952.394081
250.0,819,960.807966
150.0,822,969.420332
325.0,1098,981.676775
385.0,1733,1002.867391
90.0,566,1009.530274
340.0,1219,1024.912092
205.0,1225,1041.217198
220.0,1077,1053.745256
295.0,1046,1065.892125
235.0,1107,1079.86588
660.0,1846,1102.850252
1040.0,2170,1129.067419
1020.0,1739,1152.090179
370.0,1542,1169.383199
205.0,877,1180.069464
130.0,831,1190.725782
110.0,525,1197.392549
720.0,1873,1218.375649
140.0,632,1226.008833
1380.0,2007,1251.041829
460.0,1639,1269.36008
1900.0,2329,1298.432983
1640.0,2499,1327.638761
1780.0,2909,1362.564456
1340.0,2481,1393.462141
175.0,931,1404.079519
420.0,1674,1423.593758
860.0,1854,1447.712283
860.0,1504,1465.080878
640.0,1682,1485.620626
460.0,1631,1505.06143
1200.0,2127,1530.273163
1760.0,2402,1558.536945
1400.0,1884,1581.478123
820.0,2019,1605.236741
920.0,1871,1627.880666
100.0,685,1636.657016
5710.0,4518,1691.126575
130.0,685,1698.722184
720.0,1821,1720.223359
880.0,1814,1742.228573
235.0,995,1753.26563
1280.0,2451,1783.533778
295.0,1193,1796.930204
1000.0,2009,1821.388371
640.0,1380,1837.928156
1200.0,1933,1860.553224
880.0,2132,1886.588045
1000.0,1618,1905.40177
1000.0,1843,1928.117917
2160.0,2914,1962.822882
1760.0,2657,1993.823391
1120.0,2195,2021.007866
2000.0,2897,2054.868951
295.0,1065,2068.118809
2280.0,2681,2099.082882
2895.0,3469,2140.260291
780.0,1910,2162.597098
1860.0,1977,2182.693134
3175.0,3126,2215.78378
3000.0,3047,2248.441222
90.0,419,2252.541785
4360.0,3567,2291.100598
3450.0,3609,2331.148992
3200.0,3434,2369.915547
1985.0,2320,2396.60482
920.0,1967,2419.730921
880.0,1545,2440.106963
3100.0,3337,2480.421253
2645.0,3149,2516.1937
1760.0,2067,2540.568808
2405.0,2205,2565.739335
780.0,2085,2590.027925
1960.0,3144,2626.658361
1460.0,2288,2651.893927
740.0,2067,2675.082333
1920.0,2902,2710.161627
2000.0,2462,2737.537981
500.0,1353,2752.744114
5510.0,3588,2793.559705
2640.0,2977,2826.141848
1880.0,2321,2851.27114
1480.0,2174,2873.738131
4025.0,3205,2910.406999
4650.0,4065,2954.627596
3575.0,3703,2993.614395
900.0,1706,3011.677308
2790.0,2995,3042.750083
2160.0,2704,3071.407617
1700.0,2550,3098.380242
580.0,1939,3118.199354
2020.0,2419,3144.42626
480.0,1701,3162.727271
1280.0,2211,3188.883247
1080.0,1705,3205.958234
580.0,1708,3226.596412
480.0,1431,3244.524009
2080.0,2595,3276.842374
2880.0,3248,3312.783334
7375.0,4502,3363.579773
2200.0,2421,3389.26641
2640.0,2635,3417.771614
4530.0,4062,3461.080342
1080.0,1871,3481.665002
2090.0,2400,3507.202088
580.0,1511,3523.985115
385.0,1414,3539.39929
1995.0,2569,3568.900288
4610.0,4124,3619.682521
2500.0,3154,3657.17909
2660.0,3916,3704.66169
1460.0,2045,3730.043681
