# {"t_start": 1542764665.9260488, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
325.0,1843,26.169646
70.0,447,30.912341
100.0,897,41.396375
160.0,1198,56.313462
150.0,1217,70.163221
175.0,1263,85.517833
120.0,926,96.887101
120.0,2511,126.636549
70.0,611,134.4677
130.0,647,141.752251
190.0,910,151.909905
120.0,704,160.289522
70.0,588,167.71255
310.0,1530,185.976691
220.0,1403,202.53016
205.0,749,212.059742
80.0,574,218.820608
110.0,520,224.745972
130.0,686,232.558011
60.0,555,239.062776
295.0,1567,258.415644
140.0,552,264.64202
205.0,1331,280.204547
110.0,768,289.960409
120.0,637,297.563238
70.0,699,305.563191
385.0,1455,322.925537
295.0,1331,339.211494
120.0,546,345.338305
130.0,1101,358.520459
40.0,243,361.532006
150.0,860,372.304586
140.0,960,383.168649
220.0,895,393.639063
150.0,702,402.59005
80.0,548,409.405254
140.0,848,419.137419
150.0,642,426.319275
160.0,753,435.668613
110.0,503,442.104626
140.0,787,451.261698
205.0,942,462.057491
340.0,2109,488.034161
110.0,781,496.837299
30.0,256,499.631597
355.0,1917,523.348861
205.0,774,532.233051
150.0,859,542.644845
325.0,1359,559.338365
150.0,862,569.138592
190.0,947,580.908572
175.0,1000,593.188009
220.0,1055,605.225306
175.0,943,616.987136
340.0,1598,636.049442
175.0,898,646.567037
120.0,743,656.057981
90.0,432,661.420275
150.0,667,668.911081
265.0,1370,685.181442
265.0,1360,701.997118
110.0,477,707.355255
1160.0,2356,736.103608
780.0,1944,759.314417
235.0,895,770.275492
110.0,463,775.512592
720.0,1834,797.832472
295.0,1409,814.383815
40.0,366,818.392473
295.0,1190,833.386441
880.0,1614,852.16368
1380.0,2236,879.517131
205.0,1249,894.331445
310.0,1336,910.863462
205.0,910,921.1462
30.0,258,923.948916
720.0,1736,945.709645
150.0,824,955.123442
370.0,1451,973.296302
110.0,888,983.630644
205.0,981,995.10876
130.0,529,1001.730273
100.0,627,1009.755381
460.0,1478,1026.68205
205.0,1209,1041.70322
130.0,651,1049.571579
250.0,926,1060.117592
840.0,1296,1076.177953
1320.0,2271,1103.122265
620.0,1520,1121.825858
80.0,535,1127.816996
355.0,1317,1143.743301
680.0,1499,1161.769655
150.0,512,1167.547772
60.0,447,1172.922628
2120.0,2960,1208.613054
325.0,1323,1225.229997
370.0,1603,1243.778624
340.0,1218,1259.197083
1680.0,2365,1287.475895
130.0,704,1296.074036
840.0,1832,1317.39958
120.0,831,1327.870044
860.0,1794,1348.798984
355.0,1163,1363.224245
1220.0,2112,1387.892522
760.0,1521,1406.626749
580.0,1582,1425.010051
110.0,617,1432.429326
600.0,1465,1449.931853
385.0,1237,1464.28755
400.0,1234,1479.599671
620.0,1661,1498.893428
1980.0,2527,1529.031706
440.0,1448,1546.803211
265.0,1200,1560.949243
2725.0,2554,1591.848355
2200.0,3001,1627.832633
2485.0,3038,1664.40546
1340.0,2001,1688.301179
2265.0,2643,1719.891989
295.0,1209,1734.760218
2190.0,2796,1768.47466
355.0,1389,1784.316167
110.0,444,1789.811917
3110.0,3462,1831.983854
480.0,1488,1849.353781
130.0,583,1856.471639
130.0,639,1864.430355
100.0,519,1870.789084
700.0,1391,1886.652431
3140.0,2985,1922.638841
310.0,1223,1938.164497
325.0,1051,1950.177978
1320.0,2462,1980.109948
1600.0,2130,2005.979262
940.0,1750,2026.368387
580.0,1466,2044.695996
2400.0,2679,2077.096593
2840.0,3492,2118.741767
540.0,1628,2137.796747
940.0,1548,2156.591657
3685.0,3384,2197.030233
2330.0,2754,2230.215329
1560.0,1969,2253.990837
4810.0,4247,2304.67387
310.0,1091,2317.52435
5280.0,4132,2367.734922
340.0,1385,2383.557779
3580.0,3831,2429.911784
100.0,623,2437.808107
1300.0,1942,2460.505493
1520.0,2828,2494.489258
1500.0,2291,2521.969994
1640.0,2122,2548.009427
1120.0,2268,2575.262147
5980.0,4224,2625.55074
385.0,1517,2644.477642
880.0,1910,2666.882967
1260.0,2229,2693.643759
2040.0,2765,2726.820399
640.0,1579,2745.875613
1960.0,1977,2769.108022
385.0,1809,2791.33174
920.0,1845,2812.693037
4680.0,4533,2867.514095
2630.0,2771,2900.621839
310.0,1122,2913.355199
265.0,1170,2927.329391
1280.0,1920,2950.093944
310.0,1341,2966.178779
2000.0,2391,2994.541103
6210.0,4337,3047.016098
5270.0,4279,3097.695459
3435.0,3445,3138.757643
140.0,1172,3153.201132
3815.0,4049,3201.799162
1420.0,1974,3225.333014
880.0,1576,3243.955566
5120.0,4406,3297.444486
1400.0,2337,3325.049821
