# {"t_start": 1542529501.1332388, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
100.0,1006,10.496135
120.0,991,19.485892
150.0,1039,28.786672
280.0,1160,39.030665
325.0,1519,52.475883
235.0,977,60.795614
620.0,1692,75.797419
90.0,489,80.265134
280.0,1167,90.532583
175.0,998,99.536296
280.0,1317,111.163564
190.0,992,120.138711
250.0,862,127.405071
120.0,451,131.639321
175.0,901,139.67133
355.0,1364,151.475877
325.0,1317,163.008304
325.0,1133,173.127773
220.0,1020,182.201559
190.0,754,188.94452
130.0,512,193.446939
340.0,1226,204.004497
140.0,1020,213.056431
265.0,961,221.304532
235.0,1127,231.436536
420.0,1635,246.006587
370.0,1175,256.349559
265.0,1342,267.994067
265.0,1019,277.035308
120.0,770,283.837646
70.0,444,287.552222
440.0,1561,301.335538
250.0,882,309.280275
220.0,1048,318.442846
110.0,608,324.105207
1080.0,1804,340.04551
140.0,754,346.773922
1040.0,2106,365.310236
370.0,1338,376.997974
265.0,1286,388.522744
265.0,1090,398.366202
800.0,1814,414.219991
540.0,1442,426.721948
385.0,1567,440.300126
140.0,697,446.153974
265.0,1135,456.108768
500.0,1588,469.833184
620.0,1823,486.153266
235.0,884,493.40542
385.0,1360,505.529272
325.0,849,512.61372
340.0,1051,522.182652
130.0,849,529.325712
295.0,1182,539.54125
265.0,1019,548.460172
420.0,1455,561.00822
520.0,1714,576.25007
1440.0,2016,593.792207
1580.0,2152,613.114661
310.0,1183,623.35246
1420.0,2701,647.262734
3275.0,3434,677.693026
250.0,850,684.818578
600.0,1853,700.803595
840.0,1723,716.842242
3925.0,3792,750.657476
840.0,1627,765.584916
960.0,1885,782.434047
480.0,1330,794.646309
1080.0,1918,811.555717
295.0,958,819.826333
295.0,1141,830.266941
385.0,1201,840.69506
1460.0,2367,861.342384
385.0,1396,873.656708
295.0,963,882.323795
2210.0,2865,907.346201
190.0,855,914.519756
1960.0,2614,937.736398
400.0,1725,952.655093
385.0,1602,966.496473
520.0,1497,979.795023
800.0,1703,994.699475
580.0,1923,1011.572694
2790.0,2855,1036.487881
2625.0,3282,1065.773989
3295.0,3273,1094.684528
1600.0,2407,1117.581323
1800.0,2318,1138.878636
780.0,2117,1157.565479
400.0,1463,1170.437482
420.0,1366,1182.766827
3930.0,3067,1210.249231
1940.0,2227,1229.749333
640.0,1735,1245.634361
4560.0,3745,1279.215757
760.0,1685,1294.170557
520.0,1385,1305.938449
1880.0,2355,1327.346698
4460.0,4623,1368.782722
1580.0,2387,1391.262302
1440.0,2184,1412.999899
560.0,1588,1427.757494
1260.0,2137,1447.142252
1700.0,2742,1471.570618
1920.0,2281,1491.697643
1380.0,2353,1512.166749
1200.0,1909,1529.008659
1925.0,2938,1554.935024
3555.0,3705,1587.066607
680.0,1515,1600.429144
720.0,1612,1614.74128
880.0,1629,1628.720167
480.0,1317,1640.168783
460.0,1783,1655.904673
1360.0,2100,1674.204943
1420.0,1979,1691.84516
295.0,1195,1702.229367
1900.0,2527,1724.592257
1660.0,2473,1746.363339
150.0,738,1752.454823
2370.0,2886,1777.942106
4700.0,3887,1811.880482
480.0,1383,1824.088846
1860.0,2290,1843.883552
1720.0,2285,1865.247848
1920.0,2434,1887.013027
310.0,1171,1898.072125
340.0,1492,1913.09217
3005.0,3391,1944.063747
760.0,1829,1960.6414
2300.0,2754,1985.380578
3435.0,3367,2016.630442
1480.0,2646,2040.913231
1160.0,1717,2056.362043
5700.0,3844,2091.500618
3480.0,3221,2121.384187
2235.0,2700,2146.915476
385.0,1738,2162.816706
480.0,1664,2178.848732
3485.0,3434,2209.499517
1360.0,2037,2227.984575
1280.0,1788,2243.857718
3965.0,3314,2273.582688
2880.0,3226,2302.214349
1920.0,2317,2323.702688
860.0,1856,2340.243723
400.0,1931,2357.869287
3880.0,3474,2391.192757
400.0,1566,2406.055502
4460.0,3184,2436.661957
620.0,1500,2450.613366
2040.0,2398,2473.841444
1200.0,2117,2493.882721
3665.0,3549,2528.066474
1620.0,2118,2548.083691
2710.0,2767,2576.627935
80.0,388,2580.265616
1720.0,2857,2607.764698
1880.0,2913,2635.972327
340.0,1238,2647.507286
2000.0,2603,2672.214582
5010.0,4011,2710.61085
325.0,1268,2722.839328
2680.0,3116,2752.628704
6250.0,4979,2800.539934
4100.0,3905,2837.119623
2865.0,2692,2861.315153
1220.0,1627,2875.929627
480.0,1233,2887.291012
880.0,1588,2901.877838
6985.0,4522,2942.710773
4510.0,4002,2980.576628
175.0,1008,2990.222599
4480.0,3899,3025.257736
140.0,866,3033.152925
