# {"t_start": 1542529501.1228812, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
160.0,815,9.026963
160.0,2229,28.896325
150.0,913,36.884568
150.0,1277,48.150571
140.0,871,55.947566
235.0,882,63.80355
150.0,765,70.156506
385.0,1536,83.877566
355.0,1183,94.219933
220.0,852,102.032955
70.0,349,105.284437
370.0,1098,114.738845
325.0,1158,125.001669
205.0,943,133.221733
90.0,458,137.488179
235.0,848,144.727991
90.0,521,149.267955
220.0,1194,160.202035
265.0,809,167.233149
280.0,969,175.509468
140.0,465,179.787158
265.0,922,187.888135
370.0,1235,198.457628
220.0,1022,207.581208
205.0,998,216.517447
340.0,1199,226.92695
60.0,350,230.170151
220.0,1372,241.905853
175.0,911,250.440789
385.0,1367,262.213581
500.0,1629,276.797279
220.0,1002,285.281179
265.0,1422,297.874772
325.0,1183,308.851506
355.0,1410,320.951862
190.0,870,328.780675
250.0,1180,339.13279
130.0,772,345.92405
120.0,627,351.567149
1520.0,1795,367.511263
620.0,1551,381.248634
60.0,447,385.047412
1300.0,1885,401.878611
400.0,1578,415.573887
385.0,1444,428.064094
110.0,896,435.889403
325.0,1244,446.917327
80.0,642,452.45424
280.0,944,460.508679
580.0,1687,475.24844
340.0,1269,486.350507
355.0,1194,496.616384
355.0,1329,508.071608
800.0,2002,525.753768
1240.0,2270,545.260258
760.0,1789,560.979612
1440.0,2154,579.908726
780.0,1735,595.101277
370.0,1274,606.443457
740.0,1702,621.383739
1160.0,1805,637.251251
1660.0,2599,660.755338
355.0,1353,672.328462
1640.0,2208,691.607808
420.0,1226,702.515598
980.0,1580,716.839543
1540.0,2754,741.363584
2390.0,3085,769.347867
920.0,1422,782.201797
2920.0,3074,809.517147
520.0,1400,822.001694
940.0,1501,835.214312
1580.0,1988,852.900137
4245.0,3861,886.968685
325.0,1222,897.382605
355.0,1304,908.775247
370.0,1338,920.827365
2355.0,2451,942.251885
1120.0,1784,957.437318
120.0,561,962.65266
205.0,825,969.700815
1060.0,1354,981.800335
1240.0,2011,999.223995
800.0,1505,1012.512957
280.0,1181,1022.752837
1680.0,2168,1041.809703
2200.0,2264,1061.357302
1960.0,2241,1081.720596
4440.0,3263,1111.557461
1300.0,1827,1128.24813
385.0,1293,1140.301384
3600.0,3455,1171.1913
2305.0,3181,1199.840411
355.0,1145,1209.458954
1520.0,2496,1231.861494
310.0,1332,1243.543896
540.0,1744,1259.481514
440.0,1718,1274.714817
540.0,1630,1288.994202
1240.0,1877,1305.672387
370.0,1357,1317.430323
1160.0,2008,1335.486987
2930.0,2877,1360.890737
325.0,1229,1372.399725
1400.0,2566,1397.30042
1960.0,2384,1420.450069
860.0,1963,1438.324723
1680.0,2386,1460.037506
3060.0,3029,1486.453895
5780.0,4616,1527.058293
6190.0,4527,1566.785477
295.0,1293,1578.111001
1380.0,2166,1597.146607
1760.0,2231,1616.521932
1360.0,2045,1634.523656
5510.0,4624,1675.29912
940.0,1865,1691.883033
1440.0,1871,1708.072221
2585.0,3186,1736.451078
520.0,1548,1749.93585
1900.0,2620,1772.620981
1820.0,2529,1794.971261
100.0,514,1799.421147
1460.0,2228,1818.693265
385.0,1482,1831.361541
1260.0,2634,1855.422734
1020.0,1724,1871.165451
2780.0,3183,1900.773097
6600.0,4564,1943.263203
1740.0,2559,1966.660933
370.0,1459,1980.152856
3545.0,3707,2013.712113
2045.0,3390,2045.302025
1100.0,2255,2065.62145
110.0,416,2069.267632
1680.0,2363,2091.051662
355.0,1634,2105.633062
1380.0,2371,2128.767542
1380.0,2066,2147.729298
5970.0,4824,2192.036917
4290.0,4368,2231.477253
1580.0,2144,2250.734307
100.0,491,2254.674451
4920.0,4149,2291.947193
4940.0,3682,2325.342487
1880.0,2513,2348.321248
120.0,650,2354.121356
150.0,674,2360.31006
2175.0,2782,2386.659192
1260.0,2216,2408.263048
660.0,1177,2419.467079
5840.0,4290,2460.245177
680.0,1549,2475.196678
4310.0,4399,2517.274287
60.0,255,2519.676622
540.0,1933,2538.089471
3305.0,3350,2570.909922
2990.0,3426,2605.169616
1660.0,2284,2626.758915
1160.0,1669,2642.769548
4025.0,3864,2679.727245
4780.0,4078,2719.004516
4320.0,3616,2753.700125
1120.0,2197,2774.765126
1800.0,2038,2794.329968
5010.0,4364,2835.59709
1280.0,1731,2850.939492
1420.0,2145,2870.24448
4090.0,3936,2905.884234
1740.0,2391,2927.561046
6610.0,4945,2973.68847
5060.0,4227,3012.66349
2145.0,2781,3037.910101
4450.0,3850,3072.767668
80.0,697,3078.79862
90.0,516,3083.473494
1400.0,1972,3101.058817
4760.0,3884,3136.021149
3785.0,3370,3166.994728
2200.0,2366,3188.265686
190.0,782,3195.536068
580.0,1580,3209.62257
2695.0,2708,3234.193186
1560.0,2478,3256.472106
1720.0,2168,3276.042702
6065.0,4367,3316.419025
5410.0,3666,3349.322376
1420.0,2300,3369.569754
4650.0,3930,3405.787889
2100.0,2674,3430.047965
