approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00010002,0.00170898,nan,nan,-0.012058615684509277,72,1,1.79166,-0.0013131,128,14.179134607315063,1024,0.0483454
9.17905e-05,0.00146484,nan,nan,-0.006020784378051758,628,2,1.79118,-0.000873915,256,15.808851480484009,2048,0.132343
6.72838e-05,0.0,nan,nan,0.018364667892456055,671,3,1.79096,-0.000670194,384,17.334182262420654,3072,0.0660489
4.39099e-05,0.0,nan,nan,0.06208920478820801,654,4,1.79053,-3.57828e-05,512,18.899945497512817,4096,0.0473266
3.66956e-05,0.0,nan,nan,0.044469237327575684,687,5,1.7905,-0.000667461,640,20.390211582183838,5120,0.0520621
8.59928e-05,0.0,753.0,110.0,0.1126599907875061,695,6,1.79003,-0.000858041,768,21.86408305168152,6144,0.0543346
0.000116935,0.0,800.75,127.5,-0.012586474418640137,676,7,1.7902,-0.000982018,896,23.378315687179565,7168,0.0408229
7.62365e-05,0.0,800.75,127.5,0.04825282096862793,685,8,1.78942,-0.000471342,1024,24.87411665916443,8192,0.044961
0.000129921,0.0,800.75,127.5,0.12708359956741333,690,9,1.78978,-0.000800737,1152,26.358165740966797,9216,0.0386445
0.000341611,0.0,880.6,149.0,0.09574967622756958,685,10,1.78966,-0.00230529,1280,27.853411197662354,10240,0.0654305
0.000309197,0.00170898,960.0,163.333333333,0.08227473497390747,665,11,1.78775,-0.00104592,1408,29.392543077468872,11264,0.065415
0.000129915,0.00268555,1043.71428571,184.285714286,0.1968744397163391,614,12,1.78687,-0.00122331,1536,31.059170722961426,12288,0.0555438
0.000310096,0.0078125,1043.71428571,184.285714286,0.26730644702911377,657,13,1.78737,-0.00201194,1664,32.617438316345215,13312,0.0522167
0.000259789,0.000244141,1043.71428571,184.285714286,0.13418442010879517,648,14,1.7863,-0.00118259,1792,34.19763422012329,14336,0.0663394
0.00047725,0.00390625,982.333333333,173.888888889,0.13718754053115845,654,15,1.78444,-0.00270476,1920,35.76360630989075,15360,0.0748481
0.000745897,0.0229492,996.5,181.5,0.16282159090042114,668,16,1.78327,-0.00178943,2048,37.295300006866455,16384,0.0688747
0.000416188,0.00830078,1100.18181818,186.363636364,0.26521480083465576,671,17,1.78299,-0.00241894,2176,38.821635723114014,17408,0.0772822
0.000591626,0.017334,1100.18181818,186.363636364,0.2829189896583557,667,18,1.78234,-0.00324127,2304,40.35629320144653,18432,0.0526418
0.000656372,0.0170898,1100.18181818,186.363636364,0.222231924533844,673,19,1.78342,-0.00244831,2432,41.87671756744385,19456,0.0754888
0.000525232,0.00927734,1059.69230769,179.615384615,0.12622231245040894,664,20,1.78106,-0.00274672,2560,43.41768407821655,20480,0.0474018
0.000889101,0.0280762,1161.06666667,187.0,0.4623945355415344,670,21,1.77885,-0.00277214,2688,44.945647954940796,21504,0.0412979
0.000949256,0.0388184,1161.06666667,187.0,0.3042001724243164,669,22,1.78037,-0.00340356,2816,46.47459530830383,22528,0.0738405
0.000322202,0.00292969,1171.23529412,182.352941176,0.5057417750358582,666,23,1.77858,-0.00250238,2944,48.011898040771484,23552,0.0725583
0.000922069,0.0366211,1169.16666667,182.777777778,0.4831692576408386,668,24,1.77733,-0.00427721,3072,49.543925762176514,24576,0.0403096
0.00205515,0.124268,1136.73684211,177.368421053,0.3260957598686218,668,25,1.77435,-0.00574872,3200,51.076409339904785,25600,0.0693243
0.000689483,0.0217285,1136.73684211,177.368421053,0.22889304161071777,673,26,1.77262,-0.00467345,3328,52.59713435173035,26624,0.0584145
0.000686158,0.0185547,1108.68181818,177.045454545,0.15873080492019653,666,27,1.76675,-0.00287384,3456,54.13410139083862,27648,0.0570427
0.00175142,0.118896,1104.73913043,178.913043478,0.3871062397956848,655,28,1.76089,-0.00654191,3584,55.697202920913696,28672,0.0652664
0.00169627,0.0998535,1088.04166667,176.458333333,0.22751492261886597,684,29,1.7709,-0.00538876,3712,57.19256591796875,29696,0.074797
0.000863601,0.0407715,1083.44,176.4,0.4273884892463684,664,30,1.77149,-0.00446539,3840,58.734580516815186,30720,0.0437218
0.00145829,0.067627,1083.44,176.4,0.46564990282058716,670,31,1.76843,-0.00716052,3968,60.261369943618774,31744,0.0404383
0.00122683,0.052002,1063.42857143,175.892857143,0.441847026348114,660,32,1.76171,-0.00712863,4096,61.81277823448181,32768,0.0477156
0.00161981,0.0559082,1039.10344828,171.206896552,0.29476118087768555,666,33,1.76036,-0.00598988,4224,63.350316762924194,33792,0.0499442
0.0021568,0.105469,1032.90322581,172.096774194,0.3588050603866577,660,34,1.75231,-0.00829416,4352,64.9021430015564,34816,0.0659246
0.00196649,0.0949707,1033.71875,175.0,0.3773994445800781,670,35,1.74338,-0.00874367,4480,66.42895197868347,35840,0.0861808
0.00169274,0.0983887,1016.42424242,172.424242424,0.35242146253585815,675,36,1.74827,-0.00749632,4608,67.9460198879242,36864,0.0688883
0.00162534,0.0703125,999.647058824,170.588235294,0.29027479887008667,667,37,1.74497,-0.00831701,4736,69.48119759559631,37888,0.0923228
0.00257182,0.142822,1011.42857143,170.714285714,0.366030216217041,676,38,1.7362,-0.00977291,4864,70.99598050117493,38912,0.0642741
0.0020662,0.115723,991.710526316,169.210526316,0.4652443528175354,659,39,1.72691,-0.00803939,4992,72.54806089401245,39936,0.0737401
0.00132533,0.0551758,991.710526316,169.210526316,0.37982600927352905,677,40,1.73284,-0.00781805,5120,74.0592086315155,40960,0.0808651
0.00227267,0.135498,975.3,169.0,0.39992886781692505,661,41,1.70883,-0.0115886,5248,75.60677361488342,41984,0.082786
0.0017277,0.0996094,978.585365854,169.87804878,0.37066787481307983,666,42,1.70887,-0.00918623,5376,77.14300060272217,43008,0.0668515
0.00222293,0.0874023,978.30952381,170.357142857,0.48303353786468506,659,43,1.69537,-0.0073266,5504,78.69590210914612,44032,0.056654
0.00193644,0.0964355,978.30952381,170.357142857,0.3917251229286194,668,44,1.70748,-0.00854596,5632,80.22813272476196,45056,0.0940188
0.00255723,0.162598,961.340909091,167.613636364,0.4559270739555359,662,45,1.69543,-0.010451,5760,81.7732195854187,46080,0.06202
0.00174047,0.0891113,965.244444444,171.111111111,0.4269144535064697,666,46,1.68762,-0.0103878,5888,83.311026096344,47104,0.0761946
0.00224855,0.142578,956.47826087,170.0,0.16927272081375122,675,47,1.68496,-0.00742023,6016,84.82661509513855,48128,0.0891399
0.00323393,0.123291,952.229166667,169.166666667,0.48292165994644165,665,48,1.6844,-0.0102232,6144,86.3652036190033,49152,0.082412
0.00240024,0.151367,943.632653061,167.959183673,0.3629162907600403,670,49,1.69028,-0.0102511,6272,87.89282393455505,50176,0.0933438
0.00198584,0.0820312,948.150943396,174.433962264,0.5828199684619904,662,50,1.67466,-0.0106415,6400,89.43853831291199,51200,0.0721319
0.0013479,0.0546875,938.611111111,172.314814815,0.20273429155349731,671,51,1.66566,-0.00752333,6528,90.96354413032532,52224,0.0739143
0.00137313,0.060791,938.611111111,172.314814815,0.35559749603271484,685,52,1.66364,-0.00951267,6656,92.45786905288696,53248,0.0529948
0.00230034,0.133789,935.563636364,171.909090909,0.38089895248413086,664,53,1.64142,-0.0116644,6784,93.99862790107727,54272,0.0571497
0.0013631,0.0563965,935.563636364,171.909090909,0.42552316188812256,670,54,1.65414,-0.0107656,6912,95.52633881568909,55296,0.0630069
0.00251937,0.10376,935.563636364,171.909090909,0.3877488970756531,675,55,1.64816,-0.0105768,7040,97.04292011260986,56320,0.0890971
0.00186804,0.0983887,935.563636364,171.909090909,0.40926074981689453,674,56,1.67041,-0.0102824,7168,98.5615541934967,57344,0.0613156
0.00174256,0.104492,935.563636364,171.909090909,0.3406050205230713,667,57,1.67817,-0.0106769,7296,100.0967664718628,58368,0.0905342
0.00324565,0.148193,945.3,177.666666667,0.5618383288383484,661,58,1.64078,-0.0108928,7424,101.64458417892456,59392,0.101702
0.00346904,0.130615,955.241935484,181.693548387,0.5107629001140594,668,59,1.64084,-0.0119517,7552,103.17563319206238,60416,0.0738842
0.0022399,0.132568,944.142857143,179.761904762,0.4611617922782898,659,60,1.64216,-0.0131721,7680,104.72838592529297,61440,0.0882175
0.00254135,0.144043,937.476923077,180.307692308,0.4007605314254761,668,61,1.63557,-0.00854982,7808,106.2597291469574,62464,0.0566212
0.00126951,0.0637207,937.476923077,180.307692308,0.33588147163391113,673,62,1.61324,-0.00945186,7936,107.77960538864136,63488,0.0778935
0.00211394,0.133789,933.621212121,179.696969697,0.4914693236351013,661,63,1.63255,-0.0126216,8064,109.32841420173645,64512,0.123855
0.00227061,0.142334,927.059701493,178.656716418,0.4586643576622009,670,64,1.65602,-0.0107571,8192,110.85687780380249,65536,0.108161
0.00249328,0.151367,927.434782609,179.202898551,0.5574490129947662,666,65,1.59901,-0.00979522,8320,112.39494609832764,66560,0.0726833
0.00288566,0.177734,927.434782609,179.202898551,0.4574629068374634,674,66,1.61547,-0.00947566,8448,113.91392993927002,67584,0.101341
0.00259187,0.144775,916.704225352,177.816901408,0.4696323275566101,660,67,1.62239,-0.012708,8576,115.46501612663269,68608,0.0814297
0.00207722,0.109863,924.287671233,182.260273973,0.5582495629787445,669,68,1.61253,-0.0116503,8704,116.99458456039429,69632,0.0663817
0.00194167,0.102051,924.287671233,182.260273973,0.48674362897872925,668,69,1.63847,-0.00903631,8832,118.52598023414612,70656,0.0799288
0.00237718,0.125732,924.287671233,182.260273973,0.4700425863265991,673,70,1.65671,-0.0114265,8960,120.04758262634277,71680,0.0848236
0.00293187,0.17334,919.558441558,183.376623377,0.6035599410533905,659,71,1.60631,-0.0131317,9088,121.60127639770508,72704,0.0725752
0.00243133,0.140625,915.08974359,182.692307692,0.6363168954849243,670,72,1.59529,-0.0119643,9216,123.12781405448914,73728,0.0694527
0.0017948,0.0910645,912.405063291,182.405063291,0.4143712520599365,659,73,1.65918,-0.0110027,9344,124.68189573287964,74752,0.0827837
0.00198473,0.116943,917.864197531,184.444444444,0.4656122922897339,663,74,1.62619,-0.0126159,9472,126.22656035423279,75776,0.0719429
0.0045716,0.131348,914.195121951,183.902439024,0.3695920705795288,667,75,1.59528,-0.0125429,9600,127.7614119052887,76800,0.0942335
0.00203727,0.114746,910.915662651,182.891566265,0.4659205675125122,668,76,1.64585,-0.0129591,9728,129.29369139671326,77824,0.0941986
0.00199253,0.112305,905.302325581,181.395348837,0.5572191178798676,654,77,1.6204,-0.0149458,9856,130.85945320129395,78848,0.0629552
0.00161556,0.0803223,901.16091954,180.804597701,0.49411624670028687,674,78,1.61363,-0.0128673,9984,132.3778784275055,79872,0.0983386
0.00226502,0.130371,901.16091954,180.804597701,0.38948237895965576,666,79,1.61226,-0.0118425,10112,133.91407990455627,80896,0.0642571
0.00216767,0.114502,901.16091954,180.804597701,0.23556280136108398,659,80,1.59353,-0.0149378,10240,135.4681580066681,81920,0.0879719
0.00309827,0.191162,898.75,180.454545455,0.4905034303665161,649,81,1.57548,-0.0147776,10368,137.04542922973633,82944,0.0601987
0.00305089,0.17041,900.944444444,182.5,0.5816942751407623,663,82,1.54754,-0.0153139,10496,138.58821487426758,83968,0.067039
0.00266861,0.155273,900.944444444,182.5,0.4522399306297302,670,83,1.57333,-0.0133758,10624,140.11680436134338,84992,0.0735048
0.00370275,0.194092,906.369565217,185.543478261,0.5504623055458069,667,84,1.55774,-0.014233,10752,141.65088534355164,86016,0.0672768
0.00241654,0.136475,906.559139785,185.913978495,0.40629541873931885,671,85,1.59426,-0.0178535,10880,143.1764316558838,87040,0.0801566
0.00252473,0.151123,909.659574468,187.393617021,0.2925533652305603,667,86,1.56211,-0.0123867,11008,144.71148324012756,88064,0.109337
0.00422368,0.161621,907.852631579,186.789473684,0.5444928407669067,663,87,1.53497,-0.012345,11136,146.25507736206055,89088,0.0652263
0.00224133,0.128418,903.927083333,186.09375,0.5168625712394714,657,88,1.56515,-0.011983,11264,147.81245136260986,90112,0.092915
0.00278094,0.166748,903.927083333,186.09375,0.49140429496765137,668,89,1.54052,-0.0148392,11392,149.34568548202515,91136,0.0609908
0.0026791,0.15918,912.06185567,188.144329897,0.5262966156005859,648,90,1.58962,-0.0153819,11520,150.92628288269043,92160,0.0808928
0.00391192,0.173584,901.93,185.7,0.5649137794971466,637,91,1.5566,-0.0151847,11648,152.53212547302246,93184,0.0679512
0.00280545,0.132324,906.02,188.65,0.5648964643478394,659,92,1.55761,-0.0146994,11776,154.08424496650696,94208,0.0790775
0.00254044,0.133545,911.72,190.85,0.49102646112442017,668,93,1.54314,-0.0144951,11904,155.61590838432312,95232,0.0868826
0.00266705,0.134766,911.72,190.85,0.22899889945983887,669,94,1.5522,-0.0146447,12032,157.14579248428345,96256,0.0895804
0.00182325,0.101074,904.7,189.6,0.42422860860824585,636,95,1.50871,-0.0140606,12160,158.7558662891388,97280,0.0596899
0.00285846,0.152344,885.94,186.55,0.5670543015003204,618,96,1.55767,-0.0133018,12288,160.41155743598938,98304,0.112248
0.00235162,0.133057,886.04,186.5,0.5724533796310425,636,97,1.55773,-0.0123216,12416,162.0216100215912,99328,0.072479
0.00265326,0.13208,884.97,187.25,0.40773558616638184,560,98,1.55796,-0.0101765,12544,163.84980511665344,100352,0.0731383
0.00203442,0.11084,884.97,187.25,0.34370917081832886,631,99,1.5429,-0.0115867,12672,165.47286820411682,101376,0.090621
0.00228904,0.13623,874.74,187.85,0.5469545423984528,636,100,1.52923,-0.0135973,12800,167.08267426490784,102400,0.0778163
0.00348548,0.179688,873.89,189.15,0.615729570388794,626,101,1.55807,-0.0140836,12928,168.71754097938538,103424,0.0572967
0.00270597,0.148682,873.89,189.15,0.5327104330062866,634,102,1.55695,-0.0139405,13056,170.3309042453766,104448,0.088296
0.00337896,0.163574,839.7,188.0,0.6663597524166107,633,103,1.55119,-0.0125144,13184,171.94797730445862,105472,0.0755526
0.00336273,0.201904,839.58,188.55,0.5163306295871735,647,104,1.51744,-0.0117496,13312,173.52922296524048,106496,0.090112
0.00273777,0.157227,839.58,188.55,0.39872467517852783,646,105,1.52059,-0.0159767,13440,175.11461281776428,107520,0.059415
0.00183698,0.0998535,843.75,189.75,0.4630312919616699,630,106,1.52456,-0.0143185,13568,176.73834776878357,108544,0.0553771
0.00262895,0.155518,843.75,189.75,0.4623345136642456,642,107,1.52327,-0.0129302,13696,178.33242177963257,109568,0.0650814
0.00263826,0.174561,836.02,188.85,0.46134698390960693,648,108,1.51002,-0.0104329,13824,179.91202092170715,110592,0.108314
0.00344421,0.195312,837.02,189.15,0.5757511556148529,651,109,1.53465,-0.012514,13952,181.4840865135193,111616,0.062925
