# {"t_start": 1543872008.5750754, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
1380.0,2541,63.9187
190.0,2042,89.088493
205.0,1182,103.241158
80.0,2074,128.752201
100.0,704,137.070592
205.0,1617,157.48662
295.0,2992,193.910367
160.0,1292,208.711407
60.0,538,215.519899
235.0,1252,231.288917
280.0,1729,251.819897
205.0,2559,282.793759
70.0,384,287.605013
120.0,862,298.713356
130.0,698,307.032456
220.0,2073,332.395809
110.0,957,344.022747
205.0,1948,367.900033
140.0,1167,381.881629
160.0,2229,409.636178
90.0,635,416.922134
100.0,507,422.778661
140.0,987,435.748899
100.0,425,441.285166
70.0,368,445.535558
190.0,916,456.138222
220.0,1247,472.071281
325.0,1550,490.421153
205.0,1176,505.471761
325.0,1262,520.683295
160.0,1007,532.857094
220.0,1131,547.428705
340.0,1638,566.717009
70.0,666,575.224724
110.0,562,582.442804
130.0,725,590.837213
150.0,864,600.845516
190.0,965,613.155771
385.0,1335,629.150352
295.0,1269,644.621882
190.0,1245,660.236755
205.0,877,670.365566
340.0,1550,690.081475
265.0,920,700.812708
325.0,1176,715.021353
160.0,1046,728.413031
140.0,774,737.368793
295.0,1060,750.159107
265.0,1119,764.540359
40.0,420,769.284508
420.0,2082,794.868268
120.0,767,804.243157
100.0,698,812.364854
385.0,1679,833.49875
160.0,1045,845.738152
370.0,1867,869.000801
540.0,1657,888.582497
355.0,1371,906.116067
130.0,893,916.703081
280.0,1101,929.835496
130.0,735,939.184259
235.0,1124,952.889862
500.0,1636,972.644699
355.0,1535,992.142758
385.0,1407,1009.852185
130.0,472,1016.289277
540.0,1867,1039.478485
120.0,859,1050.450258
110.0,531,1057.557492
540.0,2021,1082.730446
1760.0,3018,1121.413931
1720.0,2563,1154.313582
295.0,1401,1171.932914
740.0,2162,1199.36785
560.0,1769,1222.378104
110.0,565,1229.393004
205.0,912,1240.490106
220.0,1048,1253.842098
295.0,1197,1269.626288
460.0,1832,1292.682968
2450.0,2866,1329.025208
980.0,2073,1355.635388
520.0,1670,1377.104354
1120.0,2005,1402.219231
1420.0,2052,1430.703017
220.0,895,1441.59787
150.0,714,1450.408478
355.0,1047,1464.310776
385.0,1624,1484.332029
400.0,1612,1506.148735
160.0,712,1514.956291
235.0,1158,1528.806047
250.0,1282,1545.338793
220.0,1104,1558.877341
1720.0,2560,1591.275521
1080.0,1952,1615.153219
2020.0,2638,1647.929621
1580.0,1998,1673.400889
1280.0,1882,1696.33726
1300.0,1900,1720.090055
920.0,2029,1745.666402
325.0,1418,1763.056588
220.0,915,1774.342951
480.0,1599,1794.779698
2060.0,2324,1823.918813
340.0,1266,1839.418694
1520.0,2067,1865.707604
325.0,1239,1880.599534
960.0,1657,1901.485767
1620.0,2464,1931.914322
1600.0,2440,1962.43528
120.0,514,1968.799241
580.0,1669,1990.110856
1180.0,2282,2019.067151
1840.0,2303,2047.35213
385.0,1473,2066.078831
1540.0,1968,2090.632364
1720.0,2202,2117.540759
1080.0,2136,2144.810755
800.0,1653,2165.445922
1460.0,3809,2213.575227
1100.0,2407,2243.732027
620.0,1595,2263.647235
325.0,1398,2281.006521
2185.0,2917,2317.269413
1400.0,2311,2345.983328
370.0,1427,2364.252618
1200.0,1943,2387.699245
2555.0,2956,2424.67982
1620.0,2877,2460.81206
940.0,1828,2484.201679
1500.0,2489,2514.610382
2135.0,2808,2549.342045
340.0,1199,2564.920354
4195.0,4412,2619.328203
400.0,1867,2643.328413
325.0,1146,2656.985528
1020.0,2058,2683.225179
3610.0,3163,2722.638642
