# {"t_start": 1543974599.097809, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
6120.0,3448,31.000331
9625.0,5498,78.693491
7395.0,4799,120.111696
9135.0,5686,169.930748
7580.0,5007,212.388845
7215.0,4477,250.808774
1460.0,1776,266.28633
840.0,1419,278.283961
6620.0,3843,310.813667
4820.0,3231,338.576689
3985.0,3041,364.553271
6230.0,4694,404.885939
1080.0,1599,418.261765
7420.0,4705,458.357323
2395.0,2474,479.610777
7845.0,5033,522.992355
3905.0,3131,550.055773
325.0,1111,559.295901
10325.0,5786,608.980963
6060.0,3785,641.345735
6640.0,4920,684.088953
2755.0,2430,705.14244
8955.0,4678,745.095467
8480.0,4871,786.512937
120.0,474,790.083242
2925.0,2639,812.765456
9075.0,5789,862.600543
6030.0,3810,894.979643
6430.0,4355,932.487947
4760.0,3787,965.354002
7780.0,4923,1007.799671
9760.0,5636,1056.356768
5180.0,3727,1088.633998
5540.0,3835,1121.437179
2510.0,2671,1144.543459
4045.0,2951,1169.995323
14780.0,7477,1234.572515
8280.0,4997,1276.963599
5050.0,3367,1305.512193
7160.0,4159,1340.632389
7020.0,4403,1378.916229
385.0,1348,1390.370367
7900.0,4469,1428.947624
1880.0,2261,1448.22886
5380.0,3993,1482.814434
7230.0,4112,1517.890081
6850.0,4097,1553.292633
8050.0,4847,1595.12475
5620.0,3439,1624.364515
8985.0,5297,1670.662701
6710.0,4640,1710.166167
5800.0,4381,1747.852797
8235.0,4977,1790.524229
6470.0,3667,1822.426123
7715.0,4360,1860.408268
7280.0,3799,1893.228579
6670.0,4072,1928.685242
5930.0,4029,1963.168923
7395.0,4354,2000.640052
5390.0,3620,2031.991714
2080.0,2547,2054.116983
5500.0,3641,2085.552343
220.0,761,2092.173085
9060.0,4221,2128.756226
1680.0,1845,2144.513558
8540.0,4804,2185.891893
5600.0,3658,2217.351079
6240.0,4051,2251.255464
7190.0,3751,2283.028062
6260.0,3932,2317.112733
9370.0,5240,2362.05169
6780.0,3746,2394.242551
6920.0,3446,2423.127453
6890.0,3743,2455.959363
4750.0,3048,2481.31925
9765.0,4644,2521.180496
840.0,1745,2536.292196
9570.0,5194,2580.175066
7630.0,3959,2614.413891
5970.0,3712,2646.462485
12850.0,6616,2703.503748
10035.0,5029,2746.53889
8015.0,4066,2781.905214
7860.0,4347,2819.560676
7795.0,4681,2859.683408
7645.0,4661,2899.956282
8380.0,4695,2940.275236
7975.0,4870,2981.979081
640.0,1355,2994.032148
7030.0,4654,3034.011155
8985.0,5485,3081.677036
9230.0,5336,3127.757981
4670.0,3216,3155.801842
1540.0,2017,3173.37694
15795.0,7340,3235.982002
6730.0,3616,3267.224384
7215.0,3907,3300.406863
1880.0,1913,3316.744624
5440.0,3568,3347.799875
9550.0,5134,3392.050522
6170.0,3945,3425.738684
7850.0,4106,3461.039708
6540.0,4468,3499.473374
6380.0,4553,3538.486557
8325.0,4851,3580.35253
5530.0,3342,3608.953434
6340.0,3237,3636.403814
6820.0,3706,3668.407916
7540.0,3729,3700.110742
9415.0,5287,3745.500688
6120.0,3757,3777.515614
340.0,1134,3787.29225
8565.0,4322,3824.318199
8380.0,4191,3860.366548
920.0,1633,3873.971967
4890.0,3306,3902.587304
5460.0,3511,3932.459658
8830.0,4540,3971.988401
1840.0,1937,3988.860783
8830.0,4472,4026.576864
6020.0,3614,4057.334118
5510.0,3721,4089.159715
980.0,1463,4101.956075
10660.0,5485,4149.00581
7755.0,4439,4186.581525
9375.0,4862,4227.657827
9020.0,5164,4271.376129
8365.0,4561,4310.08177
9720.0,4954,4352.76684
8145.0,4273,4389.237797
9060.0,4831,4430.004782
8425.0,4873,4471.51769
6240.0,4220,4507.763326
7625.0,4565,4546.812739
7520.0,3892,4580.846659
7975.0,4603,4620.20125
10505.0,4924,4662.802644
10270.0,5404,4709.141381
7580.0,3956,4742.985857
6010.0,3973,4777.426942
10410.0,5243,4822.916728
11040.0,5627,4871.436659
10145.0,4369,4909.036856
8185.0,4247,4945.309348
11250.0,5666,4994.108392
7755.0,4444,5031.555074
10650.0,5761,5081.448455
9990.0,5239,5126.115082
9455.0,4891,5167.965424
14210.0,6200,5221.432235
9645.0,5033,5264.060675
26090.0,9503,5345.671069
6430.0,3918,5379.585
9585.0,4640,5419.330575
7935.0,3758,5451.237499
8775.0,4704,5491.35573
9695.0,4537,5530.882305
9095.0,4811,5571.849253
10525.0,5250,5617.323205
9020.0,4929,5659.65383
8995.0,4447,5697.858882
6540.0,3625,5728.943053
9530.0,4770,5770.30769
11520.0,5197,5814.820343
9575.0,4539,5853.832676
14460.0,5854,5903.940255
12110.0,5421,5950.225021
7990.0,4166,5986.408502
19690.0,7738,6053.122273
10395.0,5122,6096.555823
10450.0,5151,6140.356094
10410.0,5110,6183.389349
9525.0,4494,6221.714625
9310.0,4821,6263.611454
8385.0,3888,6296.504761
9705.0,5149,6341.059302
17420.0,7518,6404.620798
10290.0,4702,6444.840869
13150.0,5720,6493.849435
18460.0,7697,6559.384605
10500.0,6505,6615.188419
8480.0,5057,6658.496655
7670.0,4198,6694.894884
10060.0,4516,6734.118555
10595.0,4619,6773.94825
5740.0,3632,6805.076886
11520.0,5558,6852.557421
5290.0,3161,6880.303614
8395.0,3735,6912.430493
6370.0,3563,6942.71066
7690.0,4038,6977.809819
9200.0,4046,7012.13963
24670.0,8867,7087.819703
12810.0,5085,7130.979553
9465.0,3999,7164.941305
9660.0,4753,7204.812447
9285.0,4670,7244.973172
6150.0,3335,7273.410799
13300.0,5492,7320.233982
7090.0,3550,7351.146143
540.0,1305,7362.300344
6900.0,3825,7394.93314
6650.0,3957,7428.302675
13860.0,6300,7482.960724
29025.0,9790,7567.116365
14615.0,6822,7626.569767
10315.0,4952,7668.889544
9395.0,4355,7706.307924
10640.0,4941,7749.162499
11720.0,5303,7794.374911
11890.0,5660,7843.005409
28170.0,9469,7924.925523
8765.0,4934,7966.849853
29740.0,10145,8053.516017
19855.0,7724,8119.74175
9285.0,4404,8157.606291
11380.0,5531,8205.057268
28225.0,9264,8284.334713
9880.0,4666,8324.197093
10110.0,4577,8363.706733
31430.0,11449,8462.044603
28210.0,9245,8540.81708
15810.0,6315,8595.119766
13460.0,5511,8642.15803
15775.0,6296,8696.144971
8655.0,4165,8731.680995
25890.0,9028,8808.760762
13890.0,5626,8857.371521
10280.0,4547,8896.141773
8050.0,4211,8931.925706
15685.0,6517,8987.684577
28810.0,10438,9077.097383
29835.0,9748,9161.228118
27545.0,10272,9249.171832
35550.0,12127,9352.130548
3405.0,2025,9369.888751
19500.0,7636,9435.317518
9595.0,4165,9471.099451
10335.0,4595,9510.506564
16900.0,6553,9567.367026
13620.0,5644,9616.309826
25380.0,8868,9692.535267
18680.0,7141,9754.537447
14220.0,5461,9801.083441
64440.0,19010,9964.543384
44020.0,13766,10082.399968
10580.0,5346,10128.876975
24010.0,8006,10197.67891
19560.0,7121,10258.663859
13790.0,5826,10308.600196
26190.0,8488,10381.205042
7770.0,3819,10414.472923
9105.0,4383,10452.294677
36230.0,12331,10559.333682
32800.0,11469,10658.200187
6700.0,3699,10690.033823
14190.0,5339,10736.292001
