approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.008872546,0.30859375,nan,nan,0.39251673221588135,570,1,1.1617252,-0.027298188,128,1.7941827774047852,1024,0.047411185
0.0053421226,0.19238281,nan,nan,0.6152936220169067,983,2,1.1648222,-0.023077685,256,2.8369946479797363,2048,0.08196446
0.006200813,0.19750977,nan,nan,0.6803443133831024,970,3,1.2005471,-0.023124814,384,3.892831563949585,3072,0.08580017
0.0077233277,0.22949219,nan,nan,0.5833458006381989,941,4,1.130374,-0.023614967,512,4.981321573257446,4096,0.0847506
0.0067530978,0.24584961,nan,nan,0.5880030691623688,923,5,1.1538738,-0.026777552,640,6.090673923492432,5120,0.06855151
0.006035613,0.21533203,nan,nan,0.5555289387702942,920,6,1.0919479,-0.025887355,768,7.2036542892456055,6144,0.07634962
0.006888298,0.22338867,nan,nan,0.6217994093894958,924,7,1.0872188,-0.027138827,896,8.311968803405762,7168,0.07436938
0.008280169,0.21289062,nan,nan,0.5026168525218964,910,8,1.0218259,-0.020468656,1024,9.437819004058838,8192,0.14640439
0.007257812,0.22363281,nan,nan,0.6600652933120728,929,9,0.9371375,-0.025312424,1152,10.540285348892212,9216,0.112850465
0.0072194943,0.22827148,nan,nan,0.6908945143222809,930,10,1.0451932,-0.023187594,1280,11.64159107208252,10240,0.108807415
0.007478192,0.1862793,nan,nan,0.5507476329803467,926,11,0.97217286,-0.020766983,1408,12.747902393341064,11264,0.3191166
0.010449664,0.22192383,nan,nan,0.5443430542945862,917,12,0.97672945,-0.020632455,1536,13.865299940109253,12288,0.34233555
0.0053622387,0.19946289,nan,nan,0.623357504606247,914,13,0.9981313,-0.018763129,1664,14.98561692237854,13312,0.25808382
0.0102316085,0.19580078,nan,nan,0.5636251270771027,923,14,0.94782495,-0.020201523,1792,16.09523844718933,14336,0.2595352
0.0048533455,0.17236328,nan,nan,0.6648361682891846,922,15,1.0370466,-0.019798514,1920,17.20596742630005,15360,0.2216314
0.004741822,0.17944336,nan,nan,0.662740558385849,918,16,0.9704734,-0.017277515,2048,18.321600675582886,16384,0.30997926
0.0070884866,0.22265625,nan,nan,0.571825236082077,925,17,0.93730074,-0.0206159,2176,19.42843532562256,17408,0.28821453
0.01005287,0.18896484,nan,nan,0.6422858238220215,916,18,0.9849316,-0.019877296,2304,20.546109199523926,18432,0.17886534
0.008050749,0.25463867,nan,nan,0.5132903754711151,920,19,0.97400063,-0.016357906,2432,21.65886688232422,19456,0.30526903
0.006758246,0.22143555,nan,nan,0.4972710609436035,920,20,0.9229943,-0.020292746,2560,22.77196502685547,20480,0.17951104
0.006384125,0.19262695,nan,nan,0.6949447393417358,922,21,0.9352055,-0.019267961,2688,23.882440328598022,21504,0.3425697
0.0072827837,0.20898438,nan,nan,0.7226740717887878,961,22,1.006517,-0.023439089,2816,24.948254823684692,22528,0.18751247
0.008997361,0.2241211,nan,nan,0.6234031915664673,967,23,0.95257103,-0.020455666,2944,26.007134437561035,23552,0.3154237
0.00871142,0.23364258,nan,nan,0.5966120362281799,921,24,0.9564851,-0.020162128,3072,27.11853528022766,24576,0.27925038
0.0074868295,0.21069336,nan,nan,0.6465308368206024,930,25,0.9027393,-0.021461476,3200,28.219239234924316,25600,0.35689482
0.008456335,0.24169922,nan,nan,0.6794334053993225,926,26,1.0667865,-0.025357122,3328,29.32551598548889,26624,0.15093216
0.004934926,0.1652832,3435.5,6170.0,0.6304444074630737,901,27,1.0354332,-0.01842075,3456,30.462450981140137,27648,0.27980673
0.0067987423,0.2211914,3435.5,6170.0,0.6204504072666168,918,28,1.0671319,-0.020750739,3584,31.577662467956543,28672,0.17525123
0.007900303,0.24267578,3435.5,6170.0,0.661691814661026,922,29,1.0621276,-0.027812697,3712,32.6886568069458,29696,0.13150562
0.008804789,0.22143555,3435.5,6170.0,0.5707242488861084,907,30,1.0040485,-0.02570769,3840,33.81771469116211,30720,0.28892162
0.007459949,0.17602539,3584.0,6473.333333333333,0.6068877279758453,908,31,1.0008591,-0.019401181,3968,34.94537806510925,31744,0.27438563
0.0056145955,0.16601562,3698.75,6155.0,0.5247170627117157,907,32,1.0523036,-0.020864379,4096,36.074095726013184,32768,0.2652881
0.004783484,0.18554688,3698.75,6155.0,0.5809673368930817,915,33,1.0161145,-0.020444369,4224,37.193366289138794,33792,0.18514252
0.010174636,0.26245117,3698.75,6155.0,0.4394233226776123,962,34,1.0412,-0.027914632,4352,38.25829839706421,34816,0.18501475
0.007722006,0.2277832,3948.1666666666665,6804.166666666667,0.6962072849273682,917,35,1.0651796,-0.022387374,4480,39.37518239021301,35840,0.133431
