# {"t_start": 1543979221.3005755, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-20.0,865,14.106485
-21.0,874,24.707158
-21.0,823,35.174819
-20.0,902,46.751715
-21.0,874,57.774182
-19.0,911,69.315425
-21.0,1019,82.409937
-21.0,851,93.111241
-20.0,969,105.353332
-21.0,762,115.106072
-20.0,1022,128.005452
-21.0,761,137.656056
-20.0,904,149.22871
-21.0,816,159.446113
-21.0,967,171.730524
-19.0,952,183.868855
-21.0,760,193.387746
-21.0,763,203.28961
-21.0,761,212.712706
-21.0,760,222.511858
-21.0,759,231.993255
-21.0,761,241.610177
-21.0,762,251.315969
-21.0,762,260.945977
-21.0,820,271.439777
-21.0,907,282.809593
-20.0,989,295.413748
-19.0,1083,309.173211
-21.0,880,320.113137
-21.0,937,331.911587
-20.0,931,343.873352
-20.0,1013,356.540871
-19.0,1153,371.281661
-20.0,943,383.44524
-19.0,1005,396.049569
-21.0,928,407.862478
-19.0,997,420.635682
-21.0,849,431.262052
-20.0,900,442.593542
-20.0,1007,455.820813
-20.0,928,467.419318
-21.0,758,476.905588
-21.0,819,487.378115
-21.0,777,497.060672
-20.0,958,509.452745
-21.0,761,518.861866
-21.0,848,529.652266
-21.0,900,541.09701
-21.0,775,550.798223
-21.0,818,561.394918
-16.0,1303,577.882771
-21.0,911,589.287594
-20.0,1016,602.298102
-19.0,1002,615.118788
-21.0,759,624.610756
-21.0,762,634.447741
-21.0,846,644.983698
-20.0,896,656.481634
-20.0,945,668.468876
-21.0,818,678.764587
-20.0,838,689.422681
-21.0,924,700.960367
-19.0,982,713.460371
-21.0,824,724.169869
-21.0,877,735.130525
-20.0,958,747.401299
-21.0,824,757.866801
-20.0,836,768.389251
-18.0,1164,783.235056
-20.0,862,794.078727
-20.0,902,805.429645
-19.0,1100,819.536009
-20.0,1004,832.187536
-20.0,984,844.57425
-21.0,909,856.158568
-20.0,962,868.395489
-20.0,1134,882.713291
-18.0,1057,896.222079
-20.0,916,908.120729
-21.0,826,918.362529
-21.0,881,929.580169
-21.0,761,939.320091
-21.0,761,948.873136
-21.0,783,958.919078
-21.0,821,969.227565
-21.0,944,981.431474
-20.0,959,993.511004
-17.0,1136,1008.05362
-20.0,986,1020.548008
-20.0,940,1032.594994
-20.0,926,1044.502507
-21.0,764,1054.418292
-21.0,763,1063.907753
-21.0,822,1074.476479
-21.0,760,1084.114155
-19.0,990,1096.602019
-21.0,866,1107.78619
-21.0,820,1118.01213
-21.0,781,1128.15293
-21.0,881,1139.206238
-21.0,819,1149.538046
-19.0,1013,1162.516793
-21.0,819,1172.753092
-20.0,1116,1186.947389
-21.0,819,1197.537088
-18.0,1152,1211.9294
-21.0,972,1224.303767
-21.0,851,1235.280149
-20.0,895,1246.485673
-20.0,1078,1260.141963
-20.0,832,1270.830202
-18.0,1114,1284.896607
-21.0,816,1295.06954
-21.0,819,1305.612313
-21.0,819,1315.876255
-21.0,760,1325.752518
-21.0,883,1336.764315
-20.0,910,1348.342915
-20.0,956,1360.570509
-21.0,958,1372.582544
-20.0,958,1384.747019
-20.0,935,1396.726466
-19.0,985,1409.224492
-19.0,1141,1423.740412
-21.0,927,1435.699272
-21.0,911,1447.083294
-20.0,892,1458.366364
-18.0,1088,1472.412657
-20.0,1062,1485.855726
-21.0,878,1496.896246
-21.0,819,1507.563011
-19.0,923,1519.043881
-19.0,995,1531.579207
-21.0,820,1542.200986
-21.0,790,1552.058933
-21.0,823,1562.776938
-20.0,939,1574.603106
-21.0,787,1584.48768
-21.0,821,1595.065932
-21.0,870,1605.941211
-20.0,865,1617.121269
-20.0,835,1627.565895
-21.0,879,1638.679201
-21.0,825,1649.269388
-20.0,1163,1663.912455
-20.0,1013,1676.801605
-18.0,1143,1691.399738
-21.0,943,1703.352822
-20.0,836,1713.752011
-21.0,787,1724.002033
-19.0,1112,1737.958513
-21.0,806,1748.136852
-20.0,915,1759.989367
-21.0,760,1769.457123
-21.0,763,1779.376867
-21.0,825,1789.589899
-20.0,1032,1802.737478
-20.0,842,1813.586462
-21.0,824,1823.881783
-20.0,842,1834.824455
-20.0,1050,1848.005526
-20.0,841,1858.630264
-19.0,912,1870.418358
-21.0,762,1879.875961
-21.0,760,1889.68164
-21.0,760,1899.145041
-21.0,814,1909.56723
-21.0,818,1919.971113
-19.0,980,1932.328552
-19.0,1001,1945.118115
-20.0,835,1955.65571
-20.0,928,1967.423411
-21.0,848,1978.38162
-20.0,922,1990.085127
-21.0,989,2002.583188
-20.0,1017,2015.624087
-20.0,895,2027.017163
-21.0,826,2037.376733
-20.0,838,2048.175087
-20.0,899,2059.441277
-21.0,824,2069.904783
-21.0,818,2080.255104
-21.0,913,2092.081051
-21.0,858,2103.017758
-21.0,883,2114.233162
-21.0,838,2124.967304
-21.0,913,2136.540584
-19.0,1055,2149.994967
-21.0,845,2160.805159
-21.0,898,2172.274982
-21.0,819,2182.737175
-19.0,1098,2196.662068
-20.0,955,2208.845771
-21.0,923,2220.63464
-21.0,757,2230.358699
-19.0,988,2242.9402
-21.0,759,2252.606448
-21.0,764,2262.316505
-21.0,761,2272.016183
-21.0,759,2281.657969
-21.0,759,2291.300539
-21.0,850,2302.035505
-21.0,760,2311.668059
-20.0,898,2323.085518
-20.0,840,2333.89303
-21.0,939,2345.799783
-21.0,943,2357.735929
-21.0,819,2368.015336
-21.0,967,2380.375659
-21.0,904,2391.739326
-21.0,1092,2405.471543
-21.0,882,2416.643819
-21.0,818,2426.95393
-20.0,895,2438.28635
-20.0,838,2448.877393
-21.0,1061,2462.347339
-20.0,1077,2475.903005
-21.0,820,2486.284723
-21.0,909,2497.787931
-21.0,786,2507.730672
-21.0,1090,2521.517442
-21.0,910,2533.090816
-21.0,883,2544.273333
-21.0,944,2556.254205
-21.0,807,2566.42627
-21.0,933,2578.179419
-21.0,847,2588.977808
-20.0,835,2599.473173
-21.0,912,2611.048369
-20.0,1055,2624.393275
-20.0,897,2635.679872
-21.0,874,2646.721313
-19.0,1180,2661.668638
-19.0,972,2673.920858
-20.0,898,2685.283276
-21.0,823,2695.668055
-19.0,993,2708.194191
-20.0,1024,2721.090497
-20.0,876,2732.136189
-21.0,956,2744.266476
-21.0,857,2755.128837
-20.0,842,2765.743564
-21.0,851,2776.478472
-21.0,935,2788.32698
-20.0,979,2800.679268
-21.0,787,2810.538885
-20.0,1168,2825.272533
-21.0,877,2836.38405
-21.0,876,2847.546774
-21.0,778,2857.567332
-20.0,830,2868.116797
-20.0,840,2878.854485
-20.0,888,2890.001449
-21.0,788,2900.037777
-20.0,918,2911.546377
-20.0,895,2922.888601
-21.0,787,2932.789046
-21.0,854,2943.641818
-20.0,1093,2957.35473
-20.0,870,2968.386688
-20.0,896,2979.753617
-21.0,936,2991.517056
-21.0,969,3003.837952
-21.0,820,3014.133694
-20.0,836,3024.717922
-21.0,790,3034.871278
-19.0,1052,3048.107881
-19.0,1041,3061.300764
-21.0,804,3071.431544
-20.0,885,3082.679353
-20.0,916,3094.313945
-18.0,1062,3107.757241
-21.0,777,3117.638853
-21.0,850,3128.345388
-19.0,961,3140.511917
-20.0,972,3152.806791
-20.0,864,3163.690968
-20.0,1048,3176.865021
-21.0,880,3187.968868
-20.0,866,3198.883312
-21.0,763,3208.492186
-21.0,760,3218.076214
-21.0,759,3227.627231
-21.0,758,3237.214238
-21.0,819,3247.577758
-20.0,990,3260.021897
-20.0,1006,3272.769174
-21.0,764,3282.337753
-21.0,788,3292.347346
-21.0,823,3302.669306
-20.0,1033,3315.66871
-20.0,988,3328.107208
-20.0,1018,3340.940526
-20.0,975,3353.272991
-19.0,1102,3367.176763
-21.0,817,3377.5099
-18.0,1123,3391.688621
-20.0,864,3402.564692
-21.0,929,3414.249838
-20.0,1001,3426.857239
-18.0,1187,3441.801172
-21.0,954,3453.840017
-20.0,867,3464.725952
-20.0,991,3477.273943
-20.0,836,3487.732334
-20.0,899,3499.098289
-20.0,901,3510.492551
-20.0,941,3522.403325
-20.0,924,3534.009261
-21.0,820,3544.326303
-19.0,948,3556.328801
-17.0,1302,3572.774252
-21.0,988,3585.338575
-21.0,871,3596.330559
-20.0,835,3606.908063
-21.0,811,3617.066605
-19.0,921,3628.647362
-21.0,876,3639.744842
