# {"t_start": 1543548639.5475025, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,760,7.707148
-21.0,757,14.017104
-21.0,758,20.693813
-21.0,760,27.20399
-21.0,761,33.912447
-21.0,764,40.654788
-21.0,760,47.420201
-21.0,760,54.094295
-21.0,762,60.602485
-21.0,761,67.234198
-21.0,835,74.017822
-21.0,908,81.841376
-17.0,1170,91.940823
-20.0,835,99.515043
-21.0,789,106.128614
-20.0,961,114.516407
-20.0,836,121.272671
-21.0,819,128.151357
-21.0,788,135.327293
-21.0,850,142.321371
-21.0,820,149.442989
-21.0,824,156.264088
-21.0,883,163.575395
-20.0,930,171.211429
-21.0,822,178.323218
-20.0,928,186.081748
-21.0,894,193.756528
-21.0,776,200.550621
-21.0,819,207.554858
-21.0,824,214.742605
-21.0,943,222.424458
-21.0,821,229.012525
-20.0,1218,239.561908
-21.0,881,246.919382
-20.0,975,254.937613
-21.0,1002,263.686838
-21.0,818,271.042055
-21.0,942,278.795985
-21.0,1157,288.62029
-21.0,1141,298.342451
-19.0,1266,309.051816
-19.0,1285,319.741641
-20.0,1259,330.453111
-18.0,1175,340.26876
-18.0,1326,351.138349
-19.0,1641,365.433393
-20.0,1316,376.443103
-17.0,2114,394.705601
-20.0,1620,408.299915
-21.0,1765,423.458263
-18.0,2365,443.899304
-18.0,1909,459.497424
-18.0,2055,476.900517
-20.0,1762,492.071161
-16.0,2460,512.944624
-20.0,1967,529.935679
-20.0,2164,547.973596
-16.0,1908,563.83556
-17.0,2174,582.68638
-15.0,2249,601.337554
-19.0,2133,619.258043
-7.0,3052,645.461623
-14.0,2673,667.179626
-11.0,3464,697.066898
-16.0,3205,723.834386
-6.0,3861,756.303393
-4.0,4119,792.029817
-9.0,3254,819.537732
-13.0,3504,849.244417
-19.0,2627,870.980718
-6.0,4034,905.435232
-7.0,4227,941.490633
-15.0,3562,971.47403
5.0,3898,1005.184018
-9.0,3714,1036.262841
-11.0,3644,1066.777501
-6.0,3846,1098.361793
9.0,2914,1122.986472
3.0,3716,1153.455993
1.0,4830,1194.550735
5.0,3070,1221.155543
1.0,4652,1260.514945
-15.0,3357,1288.182728
-19.0,2378,1308.331753
7.0,4758,1348.965169
-14.0,2583,1370.269185
-16.0,2833,1394.478384
12.0,3176,1422.067002
10.0,3776,1454.506411
-11.0,2878,1479.355581
7.0,4963,1521.751828
7.0,4611,1560.78738
12.0,3109,1586.845855
8.0,3900,1619.650434
10.0,4023,1654.1303
-9.0,4261,1690.412321
16.0,4006,1724.792129
-8.0,3874,1757.559547
7.0,4775,1798.691581
11.0,2904,1824.022063
6.0,4869,1865.686509
1.0,3658,1896.994009
7.0,3510,1927.318516
7.0,3050,1953.125041
16.0,4389,1990.78907
-1.0,3634,2021.130054
1.0,3222,2048.172244
8.0,3287,2075.808213
1.0,3774,2107.108148
8.0,3193,2134.198958
4.0,3681,2165.174698
8.0,3407,2193.930167
-3.0,3901,2226.663886
12.0,2610,2249.080397
13.0,2669,2271.568627
9.0,2884,2296.456439
5.0,3932,2329.479943
11.0,2489,2350.447224
-11.0,2202,2368.555559
2.0,3058,2394.583595
17.0,3753,2426.882106
11.0,2809,2451.023575
13.0,2550,2472.983013
10.0,2656,2496.259497
8.0,3748,2527.864904
13.0,4015,2562.701046
16.0,3888,2595.754572
15.0,2367,2615.937402
14.0,4164,2651.929654
20.0,2151,2670.028802
15.0,2428,2690.892382
15.0,4013,2725.537278
-13.0,2105,2743.631722
2.0,4330,2780.596733
16.0,3107,2807.453048
6.0,3791,2838.83157
1.0,3438,2867.514649
2.0,3754,2898.561209
8.0,2920,2923.061501
12.0,3104,2949.083274
13.0,2986,2974.705194
10.0,3260,3001.611092
16.0,2253,3020.652979
2.0,3393,3048.814475
13.0,2759,3071.724723
12.0,2848,3095.470108
13.0,2902,3119.947321
9.0,3668,3150.659615
