# {"t_start": 1543721170.0847065, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
175.0,329,7.990054
225.0,322,11.898474
325.0,324,15.927695
300.0,323,19.879552
100.0,290,23.17483
225.0,303,27.195264
125.0,284,30.762817
200.0,302,34.720171
50.0,318,38.798621
0.0,282,42.151291
125.0,263,45.104905
275.0,353,49.693335
400.0,385,54.584597
175.0,266,58.061355
250.0,354,62.623014
350.0,398,67.241502
400.0,363,71.787201
175.0,357,76.27503
700.0,600,84.240001
250.0,319,88.031534
225.0,307,91.600067
325.0,352,96.069544
175.0,303,99.968693
275.0,426,105.496731
25.0,246,108.680752
0.0,273,111.893875
0.0,278,115.162891
275.0,346,119.478963
625.0,521,126.28829
275.0,460,132.204336
200.0,345,136.279336
250.0,275,139.398094
200.0,311,143.386051
400.0,410,148.620167
225.0,278,152.275659
200.0,325,156.394715
250.0,390,160.9771
625.0,406,165.870758
650.0,429,171.33915
325.0,368,176.216252
175.0,297,179.985408
300.0,427,185.179161
275.0,294,188.558165
250.0,307,192.412262
300.0,306,196.149412
250.0,299,200.132935
300.0,352,204.662475
275.0,373,209.205637
250.0,390,213.75603
325.0,329,217.894529
175.0,321,221.910121
150.0,313,225.942584
200.0,358,230.640641
125.0,301,234.187265
200.0,421,239.148933
200.0,297,242.898303
250.0,314,246.853881
300.0,429,252.511787
300.0,311,256.528298
650.0,432,261.577105
225.0,326,265.516544
450.0,483,271.749415
175.0,329,275.928519
225.0,309,279.914087
300.0,407,284.804151
325.0,352,288.85259
150.0,257,292.158543
250.0,362,296.667113
350.0,419,302.093784
250.0,385,307.030446
375.0,462,312.448203
225.0,399,317.444944
175.0,271,320.828128
300.0,386,325.891495
225.0,325,330.137271
400.0,408,334.850646
425.0,396,339.806011
275.0,305,343.560374
275.0,450,349.433944
400.0,384,354.447204
250.0,308,358.065357
250.0,313,361.691616
250.0,391,366.700266
400.0,321,370.71385
225.0,304,374.675648
375.0,442,380.36172
400.0,446,385.522809
300.0,406,390.746192
375.0,445,396.488636
250.0,372,401.29215
200.0,302,404.972986
225.0,294,408.46358
225.0,342,412.611683
325.0,381,417.476062
300.0,310,421.490719
225.0,283,425.106093
425.0,435,430.455219
350.0,379,434.900426
200.0,288,438.662754
250.0,331,442.868082
250.0,344,447.260619
325.0,431,452.756501
350.0,411,457.557824
250.0,321,461.721242
350.0,398,466.772416
275.0,447,472.631044
200.0,311,476.550665
200.0,274,479.720589
350.0,357,484.038073
200.0,313,487.96422
275.0,300,491.856681
300.0,363,496.639791
375.0,416,501.820481
350.0,370,506.121913
375.0,325,510.163001
900.0,520,517.013375
250.0,314,521.057369
250.0,267,524.473639
900.0,547,530.930719
225.0,301,534.73064
425.0,429,540.239996
925.0,578,547.81209
200.0,349,551.979016
250.0,408,556.743725
300.0,387,561.762311
375.0,371,566.548393
200.0,304,570.50197
200.0,302,574.281049
225.0,350,578.365164
650.0,421,583.645443
550.0,403,588.712062
250.0,314,592.783859
425.0,445,598.613339
250.0,430,603.620492
300.0,310,607.241258
275.0,330,611.511683
600.0,373,616.310677
625.0,403,621.649266
300.0,303,625.321491
300.0,342,629.362661
350.0,402,634.287748
275.0,361,638.902384
375.0,374,643.722942
350.0,441,649.418715
650.0,445,654.721757
275.0,325,658.648851
325.0,327,662.762845
400.0,400,667.868078
275.0,306,671.814005
275.0,328,676.005708
650.0,460,681.365935
400.0,400,686.365473
275.0,352,690.785603
425.0,453,696.734646
275.0,300,700.572127
375.0,412,705.421964
375.0,438,710.706331
425.0,415,715.868527
275.0,322,719.979571
350.0,334,724.273319
700.0,390,729.111322
350.0,431,734.141441
375.0,397,739.159436
375.0,388,744.090488
375.0,423,749.528198
600.0,405,754.648539
400.0,344,758.670498
350.0,310,762.299896
325.0,438,767.790745
325.0,392,772.803872
875.0,527,779.680977
325.0,298,783.107042
400.0,362,787.381094
300.0,369,791.859978
775.0,391,796.688913
350.0,441,802.499024
450.0,427,807.97973
350.0,439,813.090432
325.0,360,817.524691
250.0,307,821.151551
300.0,315,825.072893
350.0,335,829.449165
300.0,297,833.257822
350.0,311,837.056623
250.0,285,840.375554
350.0,335,844.422796
275.0,335,848.426952
400.0,385,853.139116
275.0,354,857.737462
300.0,407,863.096157
275.0,303,866.593063
275.0,340,870.607103
325.0,372,875.038353
375.0,421,880.065642
275.0,287,883.633749
325.0,378,888.616457
300.0,362,893.168076
250.0,328,897.001999
375.0,481,902.874012
400.0,432,907.993778
300.0,322,911.758294
300.0,308,915.709143
275.0,395,920.795801
225.0,288,924.389972
375.0,428,929.443084
200.0,292,932.898469
400.0,375,937.316986
375.0,341,941.440114
325.0,407,946.537343
425.0,473,952.790099
350.0,300,956.31104
250.0,325,960.072773
750.0,422,965.014656
250.0,308,968.621193
250.0,314,972.290715
225.0,327,976.196136
375.0,345,980.720373
750.0,453,986.606749
325.0,345,990.659823
875.0,513,996.775831
350.0,446,1001.889992
400.0,394,1006.633999
450.0,426,1011.996043
425.0,378,1016.989179
650.0,464,1022.519907
425.0,352,1026.5783
400.0,427,1031.677883
725.0,423,1036.660692
325.0,380,1041.087113
375.0,333,1045.310885
300.0,337,1049.781236
750.0,489,1055.7383
400.0,489,1061.475625
400.0,442,1066.694338
225.0,294,1070.068139
350.0,433,1075.072063
400.0,350,1079.099993
375.0,323,1083.274738
250.0,347,1087.772237
725.0,474,1093.59687
775.0,424,1098.475862
425.0,400,1103.275287
650.0,403,1107.806949
325.0,326,1111.561493
300.0,365,1115.735489
300.0,304,1119.106008
350.0,436,1124.783327
300.0,415,1130.060721
400.0,396,1134.75685
325.0,301,1138.299006
325.0,355,1142.531323
325.0,370,1146.734647
375.0,313,1150.298741
400.0,456,1155.491994
750.0,422,1160.391843
325.0,337,1164.434558
325.0,398,1169.456004
375.0,400,1174.484352
375.0,375,1178.904246
450.0,552,1185.488975
400.0,452,1190.645151
450.0,439,1195.699009
325.0,422,1200.473742
325.0,401,1205.108161
375.0,461,1210.748166
300.0,380,1215.566319
275.0,300,1219.170306
400.0,479,1224.807572
325.0,386,1229.338398
675.0,394,1234.023343
350.0,358,1238.194331
375.0,359,1242.229847
350.0,421,1247.071854
425.0,536,1253.225398
700.0,455,1258.899608
300.0,384,1263.639899
425.0,437,1268.86561
350.0,508,1274.79341
750.0,546,1281.362032
225.0,271,1284.443072
425.0,444,1289.464328
350.0,320,1293.165051
975.0,480,1298.607701
400.0,526,1305.119887
400.0,339,1309.134358
325.0,388,1313.816941
425.0,479,1319.438642
