# {"t_start": 1543626326.1304345, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
0.0,275,25.390265
0.0,280,27.864032
0.0,278,30.315997
0.0,277,32.758007
0.0,277,35.207659
0.0,277,37.647566
0.0,271,40.013116
0.0,276,42.473569
0.0,276,44.929444
0.0,280,47.404065
0.0,282,49.878281
0.0,277,52.344796
25.0,296,55.381111
0.0,283,57.902313
0.0,284,60.392084
50.0,307,63.009753
75.0,318,66.17753
75.0,298,68.779825
75.0,320,71.462189
375.0,315,74.629658
25.0,304,77.233969
100.0,372,80.714417
400.0,314,83.357333
450.0,384,86.915451
425.0,394,90.549111
150.0,371,93.979753
125.0,406,97.599472
100.0,353,100.973439
175.0,387,104.497983
450.0,365,107.421018
575.0,451,111.800013
425.0,354,114.681072
550.0,693,121.345698
250.0,421,125.085089
300.0,456,128.984731
350.0,537,134.36866
600.0,510,138.590869
575.0,444,142.862424
650.0,519,147.589277
225.0,311,150.219805
875.0,498,154.772636
325.0,450,158.668949
600.0,406,162.261553
350.0,468,166.747544
650.0,532,171.561283
625.0,514,176.28238
475.0,481,181.165342
575.0,406,184.781688
575.0,445,188.646768
775.0,586,194.242535
775.0,606,199.514881
700.0,483,204.098881
450.0,495,208.700867
425.0,517,213.473395
600.0,468,217.466198
350.0,420,221.676184
375.0,500,225.807471
250.0,309,228.918456
675.0,415,232.590366
600.0,430,236.383511
350.0,407,240.04069
425.0,458,244.445995
700.0,432,248.562448
325.0,354,251.904665
425.0,400,255.424099
475.0,530,260.140613
625.0,316,262.797584
400.0,379,266.308983
325.0,374,269.771339
400.0,474,273.761472
600.0,404,277.940331
450.0,388,281.190769
525.0,589,286.708391
700.0,561,291.563671
450.0,549,296.467323
325.0,310,299.715088
400.0,405,303.459815
425.0,445,307.407302
425.0,541,312.270518
550.0,365,315.461966
700.0,453,319.722059
625.0,460,323.593882
500.0,457,327.87528
800.0,626,332.836746
550.0,332,335.909094
450.0,437,339.566436
775.0,541,344.139182
750.0,455,348.393911
400.0,440,351.96167
400.0,408,355.405058
375.0,430,359.527058
275.0,311,362.024414
625.0,437,365.638873
700.0,445,369.766627
400.0,406,373.280363
850.0,452,377.049856
450.0,395,380.398753
700.0,416,383.988151
275.0,301,386.973807
375.0,391,390.341602
775.0,436,393.986083
750.0,482,398.481472
375.0,348,401.321489
450.0,484,405.632527
400.0,433,409.172805
425.0,506,413.684081
400.0,396,417.091627
400.0,481,421.490125
425.0,457,425.161612
425.0,340,428.285437
275.0,322,430.858664
500.0,444,435.007972
375.0,598,439.949426
350.0,364,443.31014
750.0,555,447.944205
350.0,371,451.373714
375.0,428,455.067986
425.0,643,460.674433
950.0,697,467.07338
425.0,590,471.976436
700.0,380,475.22477
1000.0,621,480.680544
