# {"t_start": 1543367866.4120743, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
295.0,702,12.197461
105.0,463,17.961719
105.0,469,23.556028
210.0,582,30.913235
75.0,314,35.008101
65.0,310,39.094438
215.0,630,46.844234
330.0,665,54.677913
130.0,486,61.038733
115.0,479,67.503759
270.0,708,76.336438
145.0,485,81.852634
130.0,504,88.11914
180.0,473,94.336199
300.0,681,103.219881
245.0,618,110.505963
135.0,582,117.302751
405.0,653,125.894936
255.0,613,133.97619
45.0,260,136.887867
330.0,717,145.266361
395.0,883,156.527546
60.0,295,160.388705
225.0,512,166.778771
75.0,526,172.867864
145.0,474,178.296242
105.0,287,181.988986
45.0,345,186.353714
30.0,264,189.823483
215.0,527,196.628433
110.0,433,201.610164
170.0,595,208.53887
360.0,872,219.816467
170.0,605,227.641873
325.0,707,235.883468
175.0,763,245.250668
190.0,642,253.872715
30.0,358,258.454264
265.0,583,265.193652
175.0,701,273.765224
30.0,330,277.938808
165.0,603,286.010439
135.0,352,290.235754
75.0,286,293.54587
260.0,638,300.867734
40.0,328,305.067601
345.0,695,314.223918
135.0,507,320.567514
200.0,691,328.693782
450.0,1058,342.3652
55.0,373,347.323203
260.0,614,354.45372
160.0,487,360.126337
560.0,903,371.878194
55.0,431,377.581353
95.0,418,382.365473
145.0,426,387.377272
435.0,710,396.431418
55.0,365,401.348904
90.0,459,407.240765
70.0,461,412.518776
175.0,462,417.837418
315.0,702,427.128997
165.0,484,433.469852
195.0,514,439.604727
80.0,328,443.316719
360.0,786,453.237339
130.0,346,457.825576
350.0,714,466.813062
210.0,520,472.85172
40.0,385,477.799924
185.0,700,487.167018
175.0,579,494.331465
35.0,478,499.939233
50.0,323,503.963868
135.0,487,510.259044
135.0,402,515.544756
110.0,372,520.371835
140.0,794,529.766779
140.0,663,538.307243
180.0,496,544.880091
30.0,262,548.02428
115.0,450,553.235805
50.0,389,557.878639
225.0,535,564.686209
210.0,586,572.542694
145.0,455,577.886528
75.0,376,582.270476
125.0,504,588.656963
95.0,501,595.176759
280.0,644,603.451128
45.0,357,607.641553
15.0,279,610.828056
225.0,580,618.299686
95.0,453,624.299715
105.0,367,628.951649
160.0,479,634.520646
165.0,462,640.227313
290.0,701,649.505274
295.0,590,656.94276
385.0,716,665.370406
175.0,512,672.057354
290.0,1046,685.453965
175.0,709,694.044532
350.0,994,707.281031
55.0,368,711.746635
390.0,696,719.89727
370.0,684,728.552454
230.0,557,736.101117
245.0,684,744.129971
95.0,352,748.430398
150.0,511,754.815173
205.0,614,762.984486
230.0,544,769.608232
300.0,659,777.334629
505.0,829,787.930463
135.0,482,794.324801
135.0,509,800.276803
260.0,570,806.880961
245.0,672,814.955645
145.0,497,821.688287
140.0,486,827.862008
150.0,528,833.984672
220.0,823,843.616917
140.0,364,848.009113
305.0,1015,861.307591
335.0,763,870.138272
140.0,512,876.119119
40.0,277,879.312107
65.0,407,884.653843
45.0,474,890.948793
265.0,627,898.431943
295.0,653,906.053229
435.0,855,916.20383
445.0,617,924.497925
65.0,304,928.30348
20.0,306,931.846861
85.0,367,936.139632
215.0,637,943.333994
80.0,421,948.258244
310.0,581,955.801395
140.0,501,962.31286
110.0,289,965.647557
90.0,382,970.142301
220.0,687,977.926765
125.0,367,982.089369
260.0,674,990.233948
60.0,443,996.125647
115.0,458,1001.953661
65.0,475,1007.449236
95.0,398,1011.887355
145.0,744,1020.442976
30.0,350,1024.521983
80.0,405,1029.656849
35.0,277,1033.361408
80.0,552,1040.310555
310.0,631,1047.698485
190.0,649,1055.03342
135.0,654,1062.450911
180.0,506,1068.412928
605.0,1108,1082.732939
70.0,425,1087.737749
65.0,527,1093.617241
100.0,389,1097.971994
150.0,506,1103.688309
115.0,404,1108.279197
165.0,483,1114.026529
50.0,275,1117.614047
70.0,279,1121.249273
195.0,510,1127.633899
360.0,654,1135.114767
95.0,303,1138.506788
50.0,331,1142.168314
15.0,244,1144.882667
330.0,742,1153.215978
495.0,742,1161.853811
160.0,462,1167.960557
65.0,447,1173.724394
380.0,1064,1185.950162
240.0,573,1192.431386
