# {"t_start": 1543526811.9033425, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
165.0,614,29.978535
370.0,762,36.935363
90.0,357,40.238085
110.0,521,44.934964
60.0,263,47.261962
105.0,312,49.829335
115.0,531,54.498274
340.0,806,62.119591
350.0,587,67.112072
145.0,390,70.627112
380.0,805,77.739133
140.0,470,82.153912
475.0,1229,92.90237
190.0,512,97.557137
340.0,651,103.429598
550.0,896,111.387829
75.0,284,113.854469
330.0,1076,123.901612
125.0,394,127.406568
360.0,740,134.184266
315.0,652,139.968226
230.0,558,144.794073
235.0,713,150.936443
520.0,868,158.880515
455.0,849,166.623728
95.0,359,169.449238
165.0,492,173.96315
195.0,477,178.328444
115.0,401,181.870714
405.0,707,187.890642
145.0,480,192.371036
345.0,700,198.490471
195.0,544,203.800334
70.0,452,207.617378
140.0,459,211.986652
105.0,317,214.640041
105.0,341,217.903152
245.0,583,222.923008
190.0,489,227.404409
305.0,676,233.379629
80.0,277,235.801898
365.0,717,242.518931
330.0,713,248.601336
210.0,704,255.185091
150.0,486,259.170699
75.0,301,262.222965
130.0,372,265.621441
165.0,370,268.52812
85.0,369,271.965612
160.0,362,275.32718
155.0,533,280.056193
150.0,456,284.388868
290.0,774,291.392045
155.0,408,294.996468
640.0,1041,304.302959
255.0,659,310.356529
345.0,798,317.5518
155.0,384,320.88247
270.0,480,325.096535
155.0,449,328.852939
880.0,1011,337.585038
180.0,561,342.350323
575.0,805,349.774042
120.0,328,352.394362
190.0,497,356.898697
150.0,491,361.313228
205.0,688,367.127575
420.0,805,374.04847
230.0,623,379.566797
265.0,696,385.562293
155.0,507,389.989836
105.0,357,393.232648
170.0,412,396.686089
120.0,388,400.091368
135.0,432,403.726693
145.0,640,409.377412
285.0,747,416.146938
145.0,561,420.805697
230.0,621,426.300596
550.0,794,432.942835
255.0,627,438.292883
245.0,780,444.966504
450.0,1199,455.772061
125.0,418,459.213341
240.0,528,463.755598
550.0,777,470.301875
150.0,425,473.771806
170.0,401,477.207413
125.0,383,480.46748
505.0,765,487.057866
330.0,660,492.804488
120.0,313,495.327368
540.0,720,501.627149
265.0,516,506.153167
625.0,701,512.108417
180.0,497,516.651021
220.0,536,521.287247
210.0,511,525.644317
365.0,954,534.219129
255.0,651,539.870213
190.0,515,544.400334
330.0,584,549.259266
175.0,500,553.730152
120.0,342,556.977006
255.0,642,562.574347
160.0,408,566.111921
575.0,862,573.378914
605.0,746,580.067127
345.0,698,586.39233
300.0,644,592.058365
230.0,599,597.03229
