# {"t_start": 1542503579.3117263, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,1002,13.529948
-21.0,840,22.707085
-21.0,818,30.600771
-21.0,848,38.838518
-21.0,911,48.619761
-21.0,816,57.628622
-20.0,893,66.297067
-19.0,1093,76.958572
-20.0,991,87.0828
-20.0,1034,98.398906
-20.0,840,106.988122
-21.0,924,115.954491
-20.0,955,125.204123
-20.0,1060,136.623735
-20.0,945,146.826597
-21.0,787,154.506182
-19.0,977,163.966249
-19.0,973,173.913695
-19.0,999,184.821927
-18.0,1097,196.021544
-20.0,1043,206.122105
-20.0,988,216.054153
-19.0,934,226.219248
-20.0,1171,238.329231
-19.0,1108,249.17111
-20.0,832,257.491258
-20.0,976,268.181188
-20.0,980,278.525069
-21.0,817,286.528859
-21.0,823,294.539354
-21.0,788,302.679528
-21.0,941,312.822941
-21.0,851,321.761702
-20.0,913,330.617814
-21.0,792,338.279809
-20.0,958,348.420747
-20.0,984,359.297773
-20.0,897,368.10015
-21.0,936,377.132548
-20.0,1002,387.482874
-21.0,838,396.739305
-21.0,788,404.896673
-21.0,898,413.668019
-20.0,835,422.132149
-21.0,968,432.624101
-19.0,1041,443.515334
-20.0,955,452.817726
-20.0,885,462.031564
-19.0,999,473.032703
-20.0,939,482.576276
-19.0,964,491.899782
-21.0,859,501.14938
-18.0,1050,512.638645
-21.0,821,520.602133
-20.0,878,529.444406
-21.0,948,539.677461
-21.0,821,548.575153
-21.0,839,556.77084
-21.0,838,565.429875
-20.0,897,575.160452
-21.0,850,584.167274
-20.0,897,592.951589
-20.0,1110,604.734569
-21.0,805,613.693966
-20.0,865,622.170808
-20.0,931,631.755529
-21.0,791,640.38036
-21.0,789,648.825022
-21.0,840,657.007916
-21.0,817,665.612554
-20.0,832,674.850577
-20.0,987,684.93084
-21.0,781,692.837049
-21.0,849,702.01999
-21.0,776,710.590552
-20.0,901,719.403418
-21.0,937,729.525275
-20.0,894,739.472633
-20.0,1090,750.214513
-21.0,820,758.707468
-19.0,1027,770.096848
-20.0,842,778.587815
-21.0,834,786.952174
-21.0,779,795.37745
-20.0,839,804.741154
-21.0,823,812.789483
-20.0,837,821.358072
-21.0,871,830.842463
-21.0,907,840.573007
-19.0,1022,850.738114
-21.0,849,859.811603
-20.0,1049,871.282545
-21.0,792,879.048866
-21.0,789,887.178569
-21.0,777,895.671235
-21.0,963,905.915406
-21.0,975,915.370963
-21.0,884,924.821921
-19.0,1101,936.84669
-21.0,885,945.445738
-20.0,977,955.526163
-21.0,942,966.020454
-20.0,893,975.007429
-20.0,1020,985.332376
-20.0,1081,997.170394
-21.0,762,1005.055067
-21.0,763,1012.46022
-21.0,820,1021.006485
-20.0,1022,1032.328854
-19.0,932,1041.623642
-20.0,841,1049.922468
-21.0,910,1059.704346
-21.0,781,1068.321853
-21.0,896,1077.012217
-21.0,870,1085.749248
-21.0,972,1096.257491
-20.0,892,1105.690866
-21.0,760,1113.085666
-21.0,953,1122.603678
-20.0,898,1132.478128
-20.0,931,1141.954185
-20.0,901,1150.623027
-20.0,839,1158.765362
-21.0,821,1167.717241
-20.0,1135,1179.423908
-21.0,824,1187.293668
-21.0,839,1194.973105
-21.0,848,1203.404992
-21.0,967,1214.02646
-19.0,1030,1224.081634
-20.0,989,1233.144395
-21.0,1008,1242.700678
-20.0,962,1253.122672
-20.0,1010,1263.468045
-21.0,1034,1273.152043
-20.0,841,1280.794605
-21.0,757,1287.841421
-21.0,910,1297.290414
-20.0,961,1307.500218
-20.0,895,1316.089334
-20.0,924,1324.43997
-21.0,838,1332.064337
-19.0,1103,1342.793391
-20.0,1127,1354.981563
-19.0,995,1364.496807
-20.0,1136,1374.875404
-21.0,892,1382.96646
-17.0,1129,1393.59971
-21.0,847,1403.034091
-21.0,839,1411.458606
-19.0,1035,1420.711639
-19.0,1008,1429.894514
-20.0,902,1438.092994
-21.0,931,1446.578447
-21.0,791,1455.036486
-20.0,916,1464.386769
-18.0,1027,1473.672022
-21.0,759,1480.498325
-21.0,912,1488.772798
-20.0,899,1496.898488
-20.0,925,1505.417645
-21.0,804,1514.109067
-21.0,780,1521.798734
-21.0,848,1529.377427
-21.0,777,1536.470873
-19.0,1100,1546.32304
-21.0,846,1553.923496
-20.0,1147,1564.354363
-21.0,819,1572.962372
-21.0,866,1581.330591
-21.0,1028,1590.77517
-18.0,1110,1600.750421
-20.0,853,1608.267373
-20.0,860,1615.949749
-21.0,823,1623.362215
-20.0,991,1632.322237
-21.0,879,1641.295068
-21.0,763,1648.583402
-21.0,909,1657.173254
-21.0,762,1664.014029
-21.0,757,1670.780873
-21.0,851,1678.384705
-20.0,960,1686.987474
-21.0,960,1695.629564
-21.0,956,1704.241628
-21.0,910,1713.507279
-20.0,899,1722.013119
-21.0,789,1729.502048
-20.0,869,1737.31571
-19.0,936,1745.659687
-21.0,1031,1754.896783
-19.0,1060,1764.412983
-20.0,868,1772.13697
-20.0,1070,1781.686634
-20.0,897,1790.364324
-21.0,940,1799.270437
-19.0,985,1808.493478
-19.0,967,1817.59976
-19.0,951,1826.071818
-19.0,1093,1835.875128
-21.0,791,1842.953837
-20.0,884,1850.866279
-20.0,925,1859.152976
-21.0,850,1867.357521
-21.0,865,1875.969933
-20.0,980,1885.280882
-21.0,792,1892.350369
-19.0,998,1901.261544
-20.0,984,1910.03745
-21.0,776,1916.976679
-19.0,1077,1926.602117
-20.0,1034,1936.59098
-20.0,836,1944.905802
-19.0,961,1953.960244
-21.0,779,1960.93564
-20.0,981,1969.700355
-21.0,824,1977.11659
-21.0,831,1984.54364
-20.0,837,1992.080739
-21.0,992,2001.604789
-20.0,839,2009.905475
-21.0,868,2018.139945
-21.0,908,2026.240429
-20.0,957,2034.792175
-20.0,896,2042.808102
-21.0,807,2050.043482
-21.0,838,2057.491678
-21.0,847,2065.912231
-21.0,878,2074.411307
-20.0,1002,2083.739985
-21.0,910,2092.015264
-19.0,948,2100.470314
-21.0,902,2108.56411
-21.0,761,2115.3911
-21.0,808,2122.946999
-21.0,847,2131.222056
-20.0,899,2139.58206
-21.0,814,2147.26464
-20.0,1043,2156.639564
-20.0,900,2164.752489
-17.0,1146,2175.016728
-21.0,880,2183.133036
-19.0,1098,2193.626642
-21.0,783,2200.795531
-21.0,822,2208.321869
-21.0,907,2216.395091
-19.0,931,2224.023984
-21.0,894,2231.162453
-19.0,1140,2240.440048
-20.0,957,2248.212898
-20.0,867,2255.244121
-21.0,762,2261.383789
-21.0,788,2267.75793
-21.0,761,2273.966787
-20.0,858,2280.897136
-21.0,763,2287.482963
-20.0,1005,2295.802006
-21.0,818,2302.437613
-20.0,1003,2310.535701
-21.0,786,2317.007265
-21.0,946,2325.214232
-21.0,763,2331.37091
-20.0,1293,2341.796888
-20.0,836,2348.589281
-20.0,946,2356.212484
-21.0,961,2363.977939
-21.0,876,2371.091883
-21.0,886,2378.334833
-21.0,789,2386.926471
-20.0,1066,2396.539295
-20.0,894,2403.74303
-21.0,898,2411.011978
-20.0,919,2418.469095
-21.0,820,2425.085261
-20.0,833,2431.774678
-21.0,822,2438.408345
-20.0,973,2446.332657
-21.0,941,2453.934331
-20.0,1123,2463.05005
-21.0,866,2470.127
-21.0,824,2476.798044
-18.0,1075,2485.501118
-19.0,1199,2495.262815
-21.0,776,2501.531367
-20.0,912,2509.010161
-21.0,997,2517.066347
-21.0,897,2524.361817
-20.0,898,2531.63982
-21.0,819,2538.288911
-21.0,851,2545.186339
-21.0,779,2551.55198
-18.0,1103,2560.489597
-21.0,914,2567.930757
-20.0,951,2575.635703
-20.0,1184,2585.219513
-21.0,969,2593.109925
-21.0,811,2599.677385
-21.0,906,2607.089144
-21.0,893,2614.341102
-21.0,877,2622.317074
-21.0,910,2629.635229
-21.0,939,2637.228089
-19.0,1053,2645.764106
-21.0,906,2653.059102
-21.0,821,2659.689176
-19.0,1035,2670.4856
-20.0,1022,2678.783304
-19.0,1008,2687.045501
-20.0,1001,2695.188159
-19.0,968,2703.007796
-20.0,993,2711.018702
-20.0,895,2718.286153
-20.0,1065,2726.864101
-20.0,925,2734.38711
-21.0,788,2740.823088
-20.0,893,2748.050441
-21.0,848,2755.016958
-20.0,886,2762.201649
-21.0,1000,2770.326399
-21.0,943,2779.201478
-21.0,886,2786.367383
-21.0,904,2793.708864
-21.0,873,2800.843136
-19.0,1051,2809.287412
-20.0,902,2816.568647
-20.0,1039,2825.878039
-21.0,866,2832.934046
-18.0,1130,2842.291143
-20.0,991,2851.419643
-20.0,919,2859.478712
-21.0,872,2866.591445
-20.0,1029,2874.941015
-21.0,877,2882.095829
-18.0,1138,2891.259875
-20.0,836,2898.099603
-17.0,1201,2907.838277
-20.0,975,2915.707488
-20.0,1015,2923.944782
-21.0,817,2930.610458
-21.0,785,2936.978261
-20.0,976,2944.959325
-21.0,838,2951.683555
-18.0,1206,2961.539181
-20.0,840,2968.328221
-21.0,792,2974.688292
-20.0,1017,2982.9881
-21.0,758,2989.154421
-21.0,908,2996.54388
-21.0,823,3003.22102
-21.0,912,3011.886931
-21.0,1061,3020.482769
-18.0,1184,3030.112538
-20.0,955,3037.832787
-20.0,928,3045.339125
-19.0,1024,3053.697421
-20.0,836,3060.450808
-18.0,1118,3069.502387
-20.0,837,3076.336677
-21.0,819,3082.986223
-21.0,868,3089.961783
-21.0,854,3096.8853
-20.0,924,3104.326744
-21.0,936,3111.859754
-21.0,786,3118.313514
-21.0,851,3125.18608
-21.0,821,3131.866703
-20.0,927,3139.351263
-20.0,901,3146.674492
-21.0,790,3153.130721
-20.0,833,3159.889583
-19.0,1080,3168.667834
-21.0,823,3175.351259
-21.0,997,3183.447767
-19.0,1007,3191.576094
-21.0,823,3198.284729
-20.0,928,3205.79054
-21.0,808,3212.387941
-18.0,1162,3221.78462
-20.0,870,3228.812552
-18.0,1088,3237.614516
-19.0,1062,3246.29038
-21.0,901,3253.54446
-20.0,897,3260.845974
-21.0,1021,3269.12634
-20.0,944,3276.713716
-20.0,912,3284.159951
-19.0,1024,3292.497558
-21.0,850,3299.318301
-20.0,994,3307.407854
-21.0,824,3314.091882
-19.0,997,3322.195478
-20.0,899,3329.369533
-21.0,849,3337.198167
-20.0,918,3344.627923
-20.0,909,3351.906499
-21.0,842,3358.698431
-20.0,841,3365.530181
-20.0,946,3373.180471
-19.0,996,3381.250053
-18.0,1114,3390.23388
-21.0,1340,3401.160468
-21.0,1135,3410.362302
-21.0,820,3417.011802
-20.0,834,3423.746363
-20.0,897,3431.005687
-20.0,976,3438.924579
-20.0,953,3446.640725
-21.0,779,3453.004406
-20.0,1140,3463.054078
-19.0,1033,3471.608339
-21.0,942,3479.246031
-20.0,993,3487.278984
-20.0,1052,3495.838513
-20.0,1167,3505.354401
-21.0,883,3513.179351
-20.0,889,3521.970705
-21.0,810,3528.861865
-21.0,902,3536.174005
-21.0,875,3543.278131
-20.0,900,3550.6373
-21.0,851,3557.571856
-20.0,962,3565.393381
-21.0,790,3571.792105
-20.0,840,3578.578994
-20.0,899,3585.928715
-21.0,852,3592.863114
-21.0,838,3599.594651
-21.0,849,3606.523234
-20.0,924,3614.011921
-21.0,943,3621.635771
-21.0,879,3628.770321
-20.0,1045,3637.25901
-21.0,877,3644.379848
-21.0,866,3651.399686
-21.0,824,3658.084858
-20.0,929,3665.619781
-21.0,811,3672.218806
-19.0,1111,3681.218008
-21.0,867,3688.239393
-21.0,939,3695.850028
-21.0,882,3702.982513
