# {"t_start": 1542849558.4077237, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-20.0,898,14.715597
-20.0,989,26.44543
-21.0,761,34.462955
-20.0,1033,47.394339
-20.0,835,57.675378
-20.0,916,68.18253
-20.0,838,78.184031
-21.0,758,87.941385
-20.0,1176,102.160155
-20.0,944,113.065112
-20.0,898,124.377168
-21.0,783,134.364043
-21.0,821,143.82276
-21.0,789,152.953566
-18.0,1172,167.864686
-20.0,921,178.94148
-20.0,1125,192.021671
-19.0,1013,204.7134
-21.0,817,214.986243
-20.0,929,225.683289
-20.0,941,236.937069
-18.0,1150,251.791984
-21.0,999,263.239183
-21.0,807,272.664054
-21.0,764,282.444889
-21.0,757,292.13432
-21.0,761,300.998388
-21.0,760,309.738629
-21.0,850,320.531853
-21.0,759,330.2211
-21.0,909,340.67778
-21.0,758,349.463735
-20.0,981,362.026865
-20.0,1125,375.540086
-21.0,877,385.76088
-21.0,850,396.55022
-19.0,1122,410.354081
-21.0,1057,422.644355
-21.0,822,433.134157
-20.0,865,443.933732
-21.0,821,453.402642
-19.0,1134,467.269236
-21.0,971,479.503794
-20.0,921,490.165797
-19.0,931,501.541412
-17.0,1169,516.297364
-21.0,899,526.744154
-21.0,970,538.971183
-20.0,886,549.988097
-21.0,948,561.309453
-21.0,852,572.29863
-21.0,912,583.099414
-20.0,918,594.440661
-20.0,987,607.04295
-20.0,868,617.145278
-20.0,1168,632.177493
-19.0,1122,645.362511
-21.0,913,657.061987
-21.0,758,666.405016
-20.0,1185,680.854968
-21.0,964,693.224511
-21.0,955,704.241691
-21.0,850,715.249022
-20.0,870,725.939446
-21.0,823,735.721442
-20.0,901,747.354799
-21.0,761,756.492036
-20.0,960,768.241866
-21.0,985,780.905581
-21.0,820,790.449306
-18.0,1113,804.898402
-21.0,758,813.923812
-21.0,758,823.128997
-21.0,760,832.937377
-21.0,928,844.085831
-21.0,865,854.766931
-21.0,936,866.766485
-20.0,980,878.248355
-20.0,870,889.469946
-21.0,764,898.890359
-21.0,1080,911.985903
-21.0,762,921.894873
-21.0,762,930.874391
-21.0,761,940.279434
-21.0,757,950.047072
-21.0,878,960.404188
-20.0,838,970.961879
-19.0,972,983.124976
-21.0,844,993.279333
-20.0,895,1004.833435
-18.0,1036,1017.029375
-21.0,968,1029.47218
-20.0,841,1039.758326
-21.0,1055,1052.935524
-20.0,1010,1065.458365
-21.0,853,1075.909209
-21.0,782,1086.033693
-21.0,817,1095.677647
-21.0,1019,1108.562443
-21.0,1004,1120.849088
-20.0,842,1131.314969
-19.0,1075,1144.939261
-21.0,852,1155.290308
-21.0,894,1166.802303
-20.0,1053,1179.414452
-20.0,1004,1192.401059
-21.0,913,1203.150872
-21.0,971,1215.740022
-19.0,996,1227.754392
-19.0,1081,1241.372452
-20.0,915,1252.720381
-21.0,781,1262.219913
-21.0,788,1272.435225
-21.0,883,1282.931281
-21.0,884,1294.07165
-21.0,780,1304.044473
-21.0,819,1313.75427
-19.0,1102,1327.894346
-20.0,975,1339.46866
-20.0,1007,1352.366101
-21.0,900,1363.342935
-20.0,841,1373.572973
-21.0,757,1383.450935
-21.0,817,1393.105766
-21.0,880,1404.016578
-21.0,760,1413.884818
-19.0,1213,1428.431922
-20.0,958,1440.853405
-21.0,821,1450.543995
-21.0,762,1460.089406
-21.0,760,1469.852796
-20.0,840,1479.576933
-21.0,849,1490.387059
-21.0,790,1500.3998
-21.0,823,1510.085713
-21.0,899,1521.003013
-20.0,840,1531.64252
-20.0,869,1541.856241
-21.0,812,1551.825486
-21.0,786,1561.80803
-21.0,903,1572.26297
-21.0,810,1581.20997
-20.0,1022,1592.570864
-20.0,924,1603.002927
-21.0,818,1613.142962
-21.0,788,1622.685701
-20.0,832,1632.110705
-21.0,764,1640.605417
-20.0,881,1650.384562
-21.0,818,1659.571385
-21.0,898,1670.691128
-21.0,910,1681.52036
-19.0,961,1692.424646
-20.0,839,1701.745543
-21.0,961,1712.429344
-21.0,779,1721.156921
-21.0,805,1731.355631
-21.0,788,1740.602652
-21.0,777,1749.510378
-21.0,780,1758.212778
-21.0,786,1766.942522
-21.0,790,1775.677246
-21.0,938,1787.101262
-21.0,848,1797.335138
-21.0,788,1806.345518
-21.0,942,1816.831975
-21.0,819,1825.977318
-21.0,823,1835.125691
-20.0,927,1846.363222
-21.0,980,1858.079249
-20.0,876,1868.061608
-21.0,820,1877.171129
-20.0,954,1887.701338
-21.0,823,1896.8679
-19.0,1025,1908.734826
-21.0,848,1919.082805
-20.0,1153,1932.293129
-20.0,952,1942.867085
-20.0,897,1952.727673
-21.0,971,1963.592408
-20.0,863,1973.201435
-21.0,821,1983.485374
-21.0,792,1992.715312
-20.0,864,2002.566272
-19.0,942,2012.955208
-19.0,932,2023.367177
-21.0,915,2033.510481
-21.0,838,2042.78082
-21.0,757,2052.063911
-21.0,846,2061.899018
-20.0,896,2072.210282
-21.0,879,2081.908826
-20.0,897,2091.776164
-20.0,870,2101.308468
-20.0,1019,2112.608485
-21.0,1031,2123.965201
-20.0,1030,2136.271095
-21.0,846,2145.975115
-18.0,1099,2158.39069
-21.0,758,2166.756121
-21.0,757,2175.014193
-20.0,834,2184.299506
-21.0,848,2194.012381
-20.0,1024,2206.302639
-21.0,874,2217.08908
-21.0,782,2229.463567
-21.0,792,2242.102218
-20.0,959,2256.448769
-21.0,879,2269.363112
-19.0,979,2285.060385
-19.0,971,2299.586876
-21.0,849,2311.540046
-21.0,851,2324.529651
-21.0,819,2337.614405
-21.0,913,2349.469883
-20.0,920,2363.983519
-19.0,1020,2379.034234
-21.0,852,2392.196062
-21.0,849,2404.904795
-19.0,1083,2420.331009
-20.0,954,2434.055186
-21.0,908,2446.22884
-21.0,942,2461.440995
-19.0,1022,2477.638057
-21.0,994,2491.723833
-21.0,821,2504.30611
-21.0,1023,2520.803866
-21.0,937,2534.573156
-20.0,892,2546.931721
-21.0,902,2561.835447
-21.0,817,2574.086102
-19.0,1052,2590.634687
-20.0,1075,2607.076672
-20.0,843,2619.863146
-21.0,882,2633.911289
-20.0,961,2649.002459
-21.0,780,2661.244729
-21.0,867,2673.960708
-19.0,974,2687.782492
-20.0,1015,2704.746765
-19.0,947,2720.172139
-20.0,956,2735.329127
-20.0,1035,2750.436978
-18.0,1146,2768.121738
-19.0,1002,2783.561321
-21.0,849,2795.790305
-21.0,858,2807.630064
-20.0,942,2823.099595
-20.0,897,2837.204051
-20.0,859,2850.569317
-21.0,848,2862.517313
-21.0,931,2875.954986
-21.0,882,2889.863626
-21.0,868,2902.326336
-20.0,859,2915.877582
-21.0,937,2928.694283
-21.0,840,2941.29029
-21.0,778,2952.683952
-18.0,1342,2972.946379
-20.0,859,2985.469357
-19.0,975,3001.207099
