# {"t_start": 1542491986.7602205, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,878,9.442597
-21.0,1000,18.569101
-19.0,934,27.135962
-21.0,786,35.185416
-21.0,984,44.253788
-20.0,899,52.781652
-20.0,864,61.141424
-19.0,1103,71.811959
-20.0,838,79.431003
-21.0,866,87.791512
-21.0,787,95.238684
-19.0,1063,105.278116
-21.0,790,112.749232
-20.0,886,121.294314
-21.0,907,129.908054
-21.0,984,139.484262
-21.0,777,146.887966
-20.0,946,155.790662
-20.0,842,164.084678
-20.0,892,172.645964
-21.0,962,182.121467
-20.0,837,189.924072
-19.0,942,198.772272
-21.0,832,207.03098
-21.0,781,214.47695
-19.0,1065,224.500482
-21.0,808,232.559991
-20.0,931,241.363643
-20.0,854,249.225058
-21.0,786,257.180584
-19.0,1153,268.241554
-19.0,995,277.395165
-21.0,900,286.007371
-21.0,907,294.620796
-21.0,883,303.145072
-21.0,842,311.414965
-20.0,996,321.053229
-19.0,1008,330.281392
-18.0,1118,341.130792
-19.0,947,350.602939
-21.0,819,358.27476
-19.0,928,367.030556
-21.0,836,375.290377
-21.0,891,383.812307
-19.0,945,392.703292
-21.0,895,401.299928
-20.0,1092,411.92613
-18.0,1255,423.492505
-21.0,816,431.63103
-20.0,1023,441.507845
-20.0,1018,451.324989
-19.0,1044,461.330296
-19.0,1023,471.193666
-20.0,999,480.833366
-20.0,984,489.938077
-17.0,1346,503.062399
-18.0,1156,514.088408
-20.0,1046,524.025645
-18.0,1144,534.989707
-20.0,917,543.651676
-16.0,1600,558.633069
-19.0,1334,571.618681
-18.0,1190,582.755898
-19.0,1073,592.754224
-18.0,1441,606.860629
-18.0,1584,621.850797
-11.0,2256,643.560451
-15.0,1757,659.964284
-11.0,1869,678.002316
-15.0,1677,693.915675
-19.0,1423,707.457164
-16.0,1598,722.940753
-16.0,1665,738.778319
-8.0,2050,758.292846
-15.0,1922,776.503203
-10.0,2175,797.185154
-17.0,1684,813.103065
-19.0,1513,827.564104
-10.0,2027,846.415275
-10.0,2329,868.958755
-14.0,1872,886.372244
-10.0,2096,906.597709
-19.0,1455,920.255527
-18.0,1621,935.778072
-17.0,1515,949.732033
-20.0,1399,963.030567
-5.0,2630,988.20359
-14.0,1891,1006.284808
-8.0,2306,1028.272437
-15.0,1863,1045.808442
-5.0,2534,1070.25929
-16.0,1698,1086.340964
-17.0,1625,1101.983143
-17.0,1743,1118.219458
-18.0,1477,1132.442559
-16.0,1663,1148.221247
-17.0,1436,1161.710336
-16.0,1723,1178.396158
-14.0,2043,1197.417307
-9.0,2489,1221.391335
-16.0,1825,1238.631379
-18.0,1683,1254.55422
-18.0,1669,1270.350819
-2.0,2712,1296.095384
-16.0,1856,1314.053463
-20.0,1284,1326.274278
-19.0,1426,1339.726907
-16.0,1685,1355.689965
-3.0,2541,1379.853904
-8.0,2359,1402.023663
-15.0,1781,1418.929172
-9.0,2177,1439.523602
-16.0,1740,1456.23689
-17.0,1689,1472.153805
2.0,2870,1499.735657
-16.0,1706,1515.774174
-18.0,1482,1529.548661
-17.0,1638,1545.221945
-3.0,2721,1570.914771
-15.0,1686,1587.297581
1.0,2862,1614.303248
-11.0,2189,1634.989002
3.0,2946,1663.009897
-6.0,2597,1687.563987
2.0,2898,1715.261611
-6.0,2550,1739.498907
-11.0,2218,1760.352798
-7.0,2755,1786.69359
-14.0,1941,1805.062819
1.0,3069,1834.252147
-7.0,2585,1858.671587
-7.0,2475,1881.902588
3.0,2984,1910.531755
-5.0,2842,1937.298077
-17.0,1729,1953.551989
2.0,2971,1981.807376
-16.0,1699,1999.337676
-1.0,3302,2031.22096
-4.0,2417,2054.780804
-1.0,3071,2084.870656
2.0,2938,2113.057026
-17.0,1722,2129.815845
-9.0,2545,2154.1896
-16.0,1833,2171.422091
3.0,2956,2200.227564
-13.0,2108,2220.981314
-14.0,1958,2240.786079
-1.0,2950,2269.838971
-17.0,1765,2286.102477
-16.0,2086,2305.695136
-14.0,2291,2327.896263
-13.0,2626,2352.304418
-7.0,2858,2379.600973
-12.0,2382,2402.809071
-5.0,3128,2432.375952
3.0,3352,2464.753541
-4.0,2750,2490.406966
-8.0,2697,2516.477946
-8.0,2355,2539.203027
8.0,3047,2567.916286
1.0,4094,2605.970598
2.0,3618,2641.146425
3.0,3683,2676.827187
-17.0,1868,2694.625551
8.0,3192,2724.533737
-9.0,2491,2747.581104
2.0,3354,2778.741531
-5.0,3622,2812.75295
1.0,3986,2849.963041
-8.0,2714,2875.267874
-8.0,3084,2904.060087
-1.0,3549,2938.630528
-5.0,3154,2967.318414
1.0,3564,3000.296021
