# {"t_start": 1542491986.73807, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,811,9.121431
-18.0,1110,18.820099
-21.0,816,26.592656
-21.0,955,35.763009
-21.0,864,44.122276
-21.0,913,52.728553
-19.0,950,62.064933
-19.0,996,71.146538
-20.0,841,79.291218
-20.0,888,87.75958
-21.0,807,95.335427
-21.0,810,102.926913
-21.0,917,112.120283
-19.0,1130,122.543625
-20.0,867,130.946773
-20.0,897,139.532004
-20.0,936,148.349551
-21.0,911,157.03528
-20.0,838,165.309511
-21.0,820,172.964535
-21.0,820,181.128979
-21.0,781,188.603539
-20.0,984,198.19151
-21.0,839,205.996554
-20.0,837,214.252106
-20.0,835,221.984865
-21.0,781,229.376881
-18.0,1048,239.322934
-20.0,957,248.785181
-20.0,915,257.497371
-21.0,789,264.983096
-21.0,907,273.638587
-20.0,900,282.251212
-20.0,895,290.787715
-21.0,820,298.917964
-20.0,835,306.666021
-21.0,871,315.126589
-21.0,938,323.934822
-21.0,870,332.37554
-20.0,839,340.633346
-20.0,978,349.795209
-19.0,1156,360.891275
-21.0,907,369.536458
-20.0,926,378.286223
-20.0,909,387.410471
-20.0,954,396.39834
-20.0,835,404.109734
-21.0,792,412.040629
-18.0,1109,422.272266
-21.0,926,431.505127
-20.0,978,440.644286
-20.0,1021,450.498447
-21.0,869,458.969497
-20.0,925,467.776435
-21.0,1131,478.703735
-20.0,942,487.568533
-17.0,1172,498.683431
-20.0,1021,508.467716
-18.0,1234,520.440725
-19.0,1213,531.831536
-19.0,1152,542.796458
-16.0,1526,557.371226
-19.0,1177,568.96137
-16.0,1538,583.57477
-20.0,1166,594.608754
-16.0,1490,608.49272
-14.0,1749,625.424342
-11.0,1801,642.547471
-7.0,2198,663.462115
-12.0,1821,680.709843
-9.0,2135,701.226368
-16.0,1548,715.924677
-18.0,1433,729.49016
-17.0,1592,744.935669
-8.0,2295,766.787036
-14.0,1980,785.335142
-10.0,2292,807.171417
-17.0,1642,822.858875
-8.0,2332,844.891182
-17.0,1746,861.667615
-16.0,1748,877.946675
-7.0,2199,898.716777
-20.0,1335,911.670797
-11.0,2113,931.489752
-9.0,2210,952.338287
-10.0,2090,972.460373
-16.0,1765,989.310794
-16.0,1798,1006.381323
-18.0,1608,1021.437859
-16.0,1846,1039.359416
-8.0,2268,1060.742388
-19.0,1405,1074.260271
-16.0,1741,1091.039582
-17.0,1743,1107.348548
-15.0,2006,1126.506982
-9.0,2172,1147.112425
-13.0,2048,1166.567873
-9.0,2314,1188.576624
-10.0,2370,1211.41784
-13.0,1880,1228.958566
-17.0,1604,1244.477362
-4.0,2721,1270.158533
-2.0,2777,1296.798544
-8.0,2474,1320.17719
-5.0,2471,1343.559429
-17.0,1563,1358.296244
-7.0,2341,1380.870634
-6.0,2461,1404.101565
-16.0,1745,1420.795509
1.0,2762,1446.679396
-11.0,2010,1465.85988
-5.0,2572,1490.281698
-21.0,1350,1502.86195
-18.0,1474,1517.059629
-1.0,2994,1545.328607
-16.0,1621,1560.846271
-4.0,2637,1586.061062
3.0,2821,1612.839425
1.0,3092,1642.098651
-17.0,1603,1657.074725
-15.0,1844,1674.89715
-14.0,1920,1693.143008
-6.0,2623,1717.834589
-13.0,2036,1737.161697
-20.0,1376,1750.294042
-14.0,2023,1769.102281
-6.0,2547,1793.334707
-7.0,2594,1818.354924
-9.0,2440,1841.48387
-10.0,2279,1862.684827
-3.0,2954,1891.120315
2.0,2776,1917.055468
-16.0,1742,1933.708205
-12.0,1878,1951.28422
3.0,2804,1978.066808
-12.0,2225,2000.597493
1.0,2998,2029.745178
-9.0,2310,2052.076929
-1.0,3196,2083.484612
1.0,2959,2111.80214
-9.0,2499,2136.097242
-15.0,1824,2153.238653
7.0,2643,2178.516849
-3.0,2906,2206.838252
1.0,3345,2240.069906
5.0,3116,2271.019602
-7.0,3076,2299.752282
-14.0,1976,2318.058653
-7.0,2680,2343.950686
-9.0,3003,2372.51829
-12.0,2432,2395.75754
2.0,3706,2431.147202
-6.0,3194,2461.710211
-3.0,3220,2492.622928
3.0,3210,2523.396532
-14.0,2120,2543.211024
-14.0,2109,2563.557749
-10.0,2663,2588.49277
-15.0,2086,2607.887315
3.0,3554,2641.746671
