approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00031083,0.0,nan,nan,-0.0037097930908203125,100,1,1.79148,-0.000428368,128,10.207913160324097,1024,0.111929
0.000102619,0.0,nan,nan,0.0017676949501037598,677,2,1.79075,-0.000236399,256,11.721551895141602,2048,0.0940702
7.22863e-05,0.0,nan,nan,0.003177344799041748,681,3,1.79049,-0.000387173,384,13.225403547286987,3072,0.123559
7.8171e-05,0.0,nan,nan,0.007636010646820068,681,4,1.78973,-0.000234666,512,14.728312492370605,4096,0.113391
0.000239059,0.0,nan,nan,0.002109825611114502,692,5,1.78836,-0.000787364,640,16.20865774154663,5120,0.0847436
0.000850334,0.0,764.0,-21.0,0.001674950122833252,683,6,1.78351,-0.0018018,768,17.708356618881226,6144,0.079189
0.000800688,0.0,826.2,-20.8,0.005374729633331299,662,7,1.77865,-0.000180935,896,19.25571036338806,7168,0.0603257
0.000729602,0.00952148,863.857142857,-20.5714285714,0.0036186575889587402,673,8,1.78329,-0.0018753,1024,20.777264833450317,8192,0.06226
0.000398884,0.0,863.857142857,-20.5714285714,0.006266593933105469,676,9,1.78439,-0.000818964,1152,22.292669534683228,9216,0.074779
0.00106659,0.0830078,912.875,-20.125,0.007613182067871094,680,10,1.77866,-0.00127887,1280,23.79764747619629,10240,0.0708011
0.000251837,0.0,912.875,-20.125,0.005441844463348389,682,11,1.77952,-0.000294266,1408,25.300176858901978,11264,0.0561113
0.000191198,0.0,912.875,-20.125,0.005737662315368652,681,12,1.78054,-0.000247736,1536,26.80412244796753,12288,0.0616237
0.000629775,0.0185547,888.2,-20.3,0.01148068904876709,664,13,1.77656,-0.00107411,1664,28.34706401824951,13312,0.0617745
0.000275785,0.0,886.083333333,-20.3333333333,0.010413765907287598,679,14,1.77029,-0.000108381,1792,29.855913162231445,14336,0.0571333
0.00076724,0.00683594,885.615384615,-20.3846153846,0.017214953899383545,681,15,1.7735,-0.0018153,1920,31.358970165252686,15360,0.0567376
0.000838498,0.0380859,900.933333333,-20.2666666667,0.018407106399536133,683,16,1.77806,-0.00123294,2048,32.85900259017944,16384,0.0525613
0.000382575,0.0,896.6875,-20.3125,0.015464603900909424,703,17,1.77795,-0.000863585,2176,34.3151912689209,17408,0.0506995
0.000568974,0.0200195,896.6875,-20.3125,0.008420169353485107,672,18,1.77246,-0.00114239,2304,35.83793616294861,18432,0.0706183
0.00122086,0.0532227,896.6875,-20.3125,0.018085837364196777,661,19,1.76813,-0.00173389,2432,37.386029958724976,19456,0.0582169
0.00145689,0.0793457,891.277777778,-20.3888888889,0.015414714813232422,644,20,1.76433,-0.00355246,2560,38.9753053188324,20480,0.0494791
0.000587862,0.0,891.277777778,-20.3888888889,0.014101505279541016,686,21,1.76444,-0.00133,2688,40.46724319458008,21504,0.0806106
0.000916707,0.0664062,894.714285714,-20.380952381,0.013851821422576904,676,22,1.76789,-0.00164562,2816,41.982900619506836,22528,0.0495503
0.000939422,0.0549316,907.5,-20.25,0.026178181171417236,663,23,1.76128,-0.00178156,2944,43.526562213897705,23552,0.0530845
0.000767446,0.0268555,907.5,-20.25,0.011874854564666748,716,24,1.76536,-0.00265048,3072,44.95729398727417,24576,0.0518032
0.000800531,0.0112305,907.5,-20.25,0.028544485569000244,720,25,1.77897,-0.00339715,3200,46.37898635864258,25600,0.0565832
0.000592985,0.0,902.8,-20.28,0.018834471702575684,705,26,1.78425,-0.000981338,3328,47.83131217956543,26624,0.0562303
0.000724703,0.0,904.230769231,-20.3076923077,0.033637821674346924,701,27,1.77991,-0.000882072,3456,49.29294395446777,27648,0.0657326
0.000150548,0.0,904.230769231,-20.3076923077,0.0402258038520813,698,28,1.77741,-0.000194027,3584,50.75989770889282,28672,0.0485298
0.000244036,0.0,901.033333333,-20.3666666667,0.039369285106658936,684,29,1.78103,-0.000334436,3712,52.256316900253296,29696,0.053249
0.000121303,0.0,901.033333333,-20.3666666667,0.04205864667892456,695,30,1.77914,0.00037746,3840,53.72973895072937,30720,0.0562026
0.000894923,0.0356445,904.096774194,-20.3548387097,0.034311652183532715,697,31,1.78007,-0.00272945,3968,55.19922947883606,31744,0.0551047
0.000641876,0.0151367,906.272727273,-20.3939393939,0.05924379825592041,658,32,1.76897,-0.00041939,4096,56.7560088634491,32768,0.0654214
0.000408419,0.0,906.272727273,-20.3939393939,0.06467568874359131,683,33,1.76384,-0.000720582,4224,58.25558423995972,33792,0.0447434
0.00033552,0.00292969,907.705882353,-20.4117647059,0.08273738622665405,678,34,1.7613,-0.000817247,4352,59.766743898391724,34816,0.0510093
0.00112509,0.0187988,903.485714286,-20.4285714286,0.0679330825805664,678,35,1.76178,-0.00209834,4480,61.27691078186035,35840,0.0597983
0.000720189,0.0,901.611111111,-20.4166666667,0.08615970611572266,685,36,1.76319,-0.000558221,4608,62.77105522155762,36864,0.0479929
0.000541257,0.00488281,909.666666667,-20.3333333333,0.12501084804534912,670,37,1.76622,-0.00148444,4736,64.29913234710693,37888,0.0593165
0.00109925,0.0400391,906.5,-20.35,0.10488021373748779,674,38,1.7573,-0.00117915,4864,65.81839871406555,38912,0.0563465
0.00114572,0.0349121,908.365853659,-20.3414634146,0.17150485515594482,705,39,1.76697,-0.00184595,4992,67.27106761932373,39936,0.0571456
0.000525321,0.0,908.365853659,-20.3414634146,0.16994798183441162,705,40,1.76729,-0.000247237,5120,68.72291016578674,40960,0.0406151
0.000490208,0.0,908.365853659,-20.3414634146,0.1437256932258606,687,41,1.75915,-0.000735352,5248,70.21338772773743,41984,0.039857
0.00141016,0.0791016,909.142857143,-20.3571428571,0.2566995620727539,710,42,1.74818,-0.00177356,5376,71.6565113067627,43008,0.0392227
0.000619935,0.0336914,905.777777778,-20.4,0.26088643074035645,692,43,1.75032,-0.000785411,5504,73.13697791099548,44032,0.0456607
0.000565786,0.00878906,904.913043478,-20.4130434783,0.393735408782959,697,44,1.74899,-0.000730163,5632,74.60603976249695,45056,0.0383682
0.00129219,0.0559082,907.833333333,-20.4166666667,0.18797904253005981,701,45,1.75852,-0.00196304,5760,76.06637167930603,46080,0.0583341
0.00086382,0.0419922,907.833333333,-20.4166666667,0.37177062034606934,716,46,1.76233,-0.00235876,5888,77.49578142166138,47104,0.0353848
0.00111566,0.0407715,908.489795918,-20.4285714286,0.3529044985771179,711,47,1.75888,-0.00161666,6016,78.93675112724304,48128,0.0392126
0.000556566,0.0117188,906.04,-20.44,0.42784643173217773,703,48,1.74317,-0.000894812,6144,80.3925244808197,49152,0.036939
0.000357702,0.0,906.04,-20.44,0.5554084181785583,710,49,1.74673,6.86513e-05,6272,81.8351538181305,50176,0.0441368
0.00119171,0.0490723,906.807692308,-20.4230769231,0.6511796116828918,679,50,1.72584,-0.00232895,6400,83.3428864479065,51200,0.0270358
0.00020674,0.0,905.218181818,-20.4181818182,0.5055747926235199,665,51,1.72651,-0.000523518,6528,84.88290357589722,52224,0.0466104
0.0015772,0.0563965,905.218181818,-20.4181818182,0.3662797808647156,684,52,1.70251,-0.00174808,6656,86.38024997711182,53248,0.0409797
0.00126761,0.0847168,907.140350877,-20.4210526316,0.6678905487060547,670,53,1.71393,-0.00350508,6784,87.90877890586853,54272,0.02578
0.000953682,0.046875,907.140350877,-20.4210526316,0.44135594367980957,681,54,1.70729,-0.001511,6912,89.4134349822998,55296,0.0384461
0.00178373,0.0786133,906.448275862,-20.4137931034,0.6246001422405243,679,55,1.73094,-0.00059236,7040,90.9220712184906,56320,0.0275737
0.00172601,0.122803,906.448275862,-20.4137931034,0.5954727232456207,690,56,1.71073,-0.00336866,7168,92.40585684776306,57344,0.0244345
0.00177316,0.124268,900.967741935,-20.435483871,0.7483636438846588,670,57,1.71808,-0.00390881,7296,93.93406248092651,58368,0.0315199
0.000288451,0.0,901.412698413,-20.4285714286,0.5637200176715851,687,58,1.72351,-0.000329268,7424,95.42408061027527,59392,0.0517966
0.0022942,0.166748,899.5,-20.4375,0.6945711970329285,686,59,1.71647,-0.00395418,7552,96.91602444648743,60416,0.0272619
0.0014166,0.0793457,899.615384615,-20.4461538462,0.6400966644287109,688,60,1.70422,-0.00202075,7680,98.40472984313965,61440,0.0298993
0.000829716,0.0258789,898.833333333,-20.4545454545,0.6122420728206635,702,61,1.67875,-0.00216987,7808,99.86357378959656,62464,0.0473363
0.0022289,0.109375,898.833333333,-20.4545454545,0.5574007332324982,700,62,1.66078,-0.00187489,7936,101.32550501823425,63488,0.037331
0.000602048,0.0354004,895.676470588,-20.4705882353,0.7994400560855865,685,63,1.67692,-0.00118978,8064,102.82071733474731,64512,0.0253634
0.000987255,0.0192871,895.086956522,-20.4637681159,0.6561305820941925,705,64,1.68047,-0.00194558,8192,104.27438473701477,65536,0.0350997
0.00116129,0.0283203,895.342857143,-20.4714285714,0.8178772926330566,693,65,1.68746,-0.000965211,8320,105.75186729431152,66560,0.0208354
0.00108777,0.0629883,897.819444444,-20.4305555556,0.7610175162553787,690,66,1.70503,-0.00226214,8448,107.23576593399048,67584,0.0349936
0.0014057,0.0952148,896.256756757,-20.4324324324,0.841496154665947,676,67,1.71924,-0.00165183,8576,108.74980664253235,68608,0.0271623
0.00062972,0.0185547,896.256756757,-20.4324324324,0.631862074136734,681,68,1.71889,-0.00084035,8704,110.25331830978394,69632,0.0175558
0.000730674,0.000244141,895.48,-20.4266666667,0.6812913715839386,680,69,1.72727,-0.00150246,8832,111.76002430915833,70656,0.0354169
0.00029479,0.0012207,894.272727273,-20.4285714286,0.8177578449249268,685,70,1.72002,7.03112e-05,8960,113.25538778305054,71680,0.036471
0.000775206,0.0388184,894.272727273,-20.4285714286,0.4530906081199646,685,71,1.72776,-0.00162342,9088,114.74943232536316,72704,0.0407852
0.0018828,0.0500488,892.506329114,-20.4430379747,0.7141475975513458,677,72,1.71463,-0.0011216,9216,116.26251769065857,73728,0.0355996
0.000575405,0.0246582,891.851851852,-20.4567901235,0.56533282995224,675,73,1.7261,-0.00107572,9344,117.78057670593262,74752,0.0452737
0.000473419,0.0100098,891.851851852,-20.4567901235,0.3762545585632324,708,74,1.71802,-0.000393311,9472,119.22682976722717,75776,0.0502192
0.000653131,0.00561523,892.804878049,-20.4634146341,0.6577735841274261,688,75,1.71603,-0.000170453,9600,120.7146110534668,76800,0.0284862
0.00246727,0.168945,892.804878049,-20.4634146341,0.4741172790527344,684,76,1.70298,-0.00573133,9728,122.21113443374634,77824,0.0317624
0.00294193,0.155273,892.638554217,-20.4698795181,0.6997771561145782,682,77,1.6769,-0.0050788,9856,123.7123236656189,78848,0.027092
0.00200051,0.115967,895.75,-20.4285714286,0.7801302671432495,678,78,1.66427,-0.00322643,9984,125.22156715393066,79872,0.0490289
0.00155721,0.0446777,898.511627907,-20.4186046512,0.4668222665786743,696,79,1.65313,-0.00161828,10112,126.69359040260315,80896,0.0521856
0.00179028,0.108154,899.227272727,-20.4090909091,0.648470550775528,705,80,1.66821,-0.00115046,10240,128.14547991752625,81920,0.0371821
0.00136155,0.065918,899.227272727,-20.4090909091,0.41961032152175903,707,81,1.66588,-0.00147454,10368,129.59341382980347,82944,0.0495651
0.000689404,0.0224609,902.711111111,-20.4111111111,0.428628146648407,676,82,1.68779,0.000457669,10496,131.10741782188416,83968,0.0579353
0.00100924,0.0197754,902.711111111,-20.4111111111,0.5950309336185455,691,83,1.68303,0.000439335,10624,132.58876204490662,84992,0.0284226
0.00137418,0.060791,902.0,-20.4130434783,0.7707364410161972,687,84,1.67997,-0.00122984,10752,134.08017230033875,86016,0.0253275
0.00152536,0.0842285,901.591397849,-20.4086021505,0.715641587972641,710,85,1.68875,-0.00152927,10880,135.52267169952393,87040,0.0251629
0.00146436,0.0456543,900.904255319,-20.4042553191,0.5476415455341339,679,86,1.67229,-0.00150565,11008,137.03160190582275,88064,0.0389539
0.00100735,0.0285645,900.904255319,-20.4042553191,0.8473838269710541,685,87,1.66287,-0.00234625,11136,138.5269215106964,89088,0.0262074
