# {"t_start": 1543532649.2190151, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
100.0,624,71.276356
150.0,722,80.242366
130.0,924,91.97573
40.0,381,96.787551
265.0,1503,116.095953
20.0,202,118.665568
190.0,1202,134.035887
140.0,1030,147.217259
160.0,830,157.804628
80.0,1189,173.032801
150.0,945,185.159474
60.0,365,189.729907
100.0,682,198.382924
90.0,1037,211.551822
250.0,1944,236.427861
110.0,371,241.059458
220.0,2257,270.336986
265.0,3109,309.433916
205.0,1366,326.412283
190.0,1200,341.557138
150.0,1487,360.760541
295.0,1009,373.497262
310.0,1307,390.271279
175.0,1398,408.217134
90.0,439,413.689087
50.0,369,418.324943
140.0,800,428.479161
295.0,1290,445.133707
100.0,675,453.433703
70.0,700,462.469361
80.0,1078,476.312038
140.0,977,488.782233
110.0,1120,503.14762
385.0,5005,567.548785
140.0,1736,589.915917
130.0,718,599.124676
100.0,653,607.399012
355.0,1661,628.765621
90.0,491,635.057568
90.0,867,646.188233
160.0,1360,663.872404
160.0,843,674.499602
235.0,1939,698.781128
295.0,1936,723.299786
110.0,1021,736.054557
100.0,567,743.29328
190.0,1341,760.059335
100.0,741,769.173838
90.0,750,778.735488
90.0,499,784.711793
265.0,2667,818.375843
295.0,3502,862.478016
250.0,1248,878.144125
70.0,520,884.704361
235.0,1553,904.232185
150.0,961,916.316036
90.0,975,928.413768
205.0,2707,962.701342
250.0,1177,977.451731
310.0,1095,991.316905
205.0,1161,1005.740889
175.0,1784,1028.308354
370.0,1282,1044.311554
60.0,551,1051.025404
120.0,1164,1065.66868
205.0,1352,1082.631255
235.0,1435,1100.717927
120.0,752,1110.122113
70.0,315,1114.024209
90.0,623,1121.707317
310.0,3098,1160.846012
280.0,2622,1193.876024
60.0,520,1200.544643
90.0,664,1208.680686
110.0,654,1216.990664
220.0,3455,1260.475818
250.0,5543,1330.214149
310.0,2140,1357.065088
90.0,555,1363.916231
205.0,995,1376.508119
295.0,2563,1408.733371
235.0,1060,1422.035954
60.0,415,1427.257776
100.0,794,1437.08361
80.0,449,1442.722959
175.0,1583,1462.574732
205.0,942,1474.290427
280.0,1791,1496.752731
175.0,3602,1542.096379
70.0,543,1548.900399
235.0,975,1561.045025
310.0,905,1572.226867
220.0,1141,1586.590966
90.0,692,1595.206412
60.0,356,1599.637813
175.0,729,1608.65105
295.0,1943,1633.083803
140.0,1006,1645.628215
160.0,1356,1662.6902
130.0,952,1674.606072
110.0,1007,1687.153319
130.0,977,1699.3587
140.0,1005,1711.784515
150.0,1073,1724.999632
190.0,991,1737.269011
220.0,2513,1768.616117
205.0,1074,1781.979495
40.0,410,1787.031062
100.0,524,1793.473093
150.0,720,1802.341512
160.0,1303,1818.44177
175.0,1883,1841.963981
140.0,669,1850.265604
250.0,2310,1879.138575
140.0,919,1890.470134
175.0,960,1902.416921
60.0,658,1910.53624
355.0,4430,1965.719598
295.0,1478,1984.03879
40.0,192,1986.312103
90.0,543,1993.010958
130.0,953,2004.866893
60.0,400,2009.681311
150.0,975,2021.957014
190.0,788,2031.683273
