# {"t_start": 1543803434.2845936, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
190.0,1335,19.345265
280.0,1571,38.979085
205.0,2272,67.196354
175.0,2937,103.429914
220.0,2836,138.571826
110.0,905,149.648668
70.0,465,155.48829
250.0,1434,172.972811
220.0,1396,190.043552
175.0,1347,206.528467
295.0,1727,227.881431
340.0,2543,259.558837
70.0,505,265.238683
175.0,691,273.814582
235.0,1204,288.476181
175.0,1196,303.224507
120.0,900,314.387487
70.0,459,320.070239
400.0,1529,338.884997
190.0,763,347.957031
325.0,1141,362.427114
235.0,1056,375.264068
50.0,425,380.642136
160.0,1169,394.846452
130.0,1329,411.122676
70.0,497,417.490845
130.0,1429,435.151064
100.0,467,440.926693
250.0,1709,462.154893
150.0,2114,488.199373
110.0,844,498.881309
205.0,938,510.129763
120.0,473,516.055278
110.0,1070,529.163671
420.0,2651,562.207035
130.0,656,570.127496
120.0,697,578.920534
150.0,733,587.784433
355.0,2621,620.561385
190.0,1078,633.977218
100.0,1077,647.204553
80.0,852,658.043068
0.0,450,663.360373
760.0,4258,716.503075
175.0,6279,794.86748
325.0,1333,811.593419
370.0,2273,839.714093
80.0,710,848.721031
460.0,1663,869.358084
175.0,1142,883.42176
150.0,578,890.394522
250.0,1036,903.458659
310.0,1521,922.21216
205.0,760,931.539401
140.0,530,937.924059
110.0,791,947.839444
325.0,1518,966.743316
295.0,2186,993.657867
100.0,563,1000.711392
1360.0,2784,1035.111694
140.0,1116,1048.940774
150.0,1569,1068.382078
100.0,867,1079.321829
310.0,1483,1097.792308
100.0,988,1109.824138
340.0,4414,1164.995895
100.0,1089,1178.711654
310.0,3454,1221.734443
265.0,1180,1236.531813
150.0,727,1245.398172
80.0,675,1253.893319
120.0,883,1264.62656
235.0,1349,1281.389553
140.0,1566,1300.813764
110.0,813,1311.04157
220.0,1306,1327.226255
120.0,1019,1339.70191
80.0,700,1348.40974
110.0,537,1355.140137
130.0,846,1365.421592
235.0,924,1376.819096
205.0,2092,1402.798554
160.0,884,1414.054442
110.0,954,1425.658494
100.0,1009,1438.098699
160.0,995,1450.607956
190.0,1604,1470.278126
175.0,1350,1487.15496
295.0,1606,1507.082287
235.0,1054,1520.159254
265.0,1865,1543.55789
100.0,558,1550.382595
140.0,1224,1565.666932
110.0,958,1577.508902
190.0,2372,1607.089709
250.0,2382,1636.961241
175.0,889,1647.826969
130.0,739,1657.038731
120.0,583,1664.209138
190.0,997,1676.616153
30.0,326,1680.517306
70.0,459,1686.071462
140.0,1071,1699.26808
120.0,1066,1712.364755
175.0,997,1724.639523
110.0,850,1735.09972
120.0,1001,1747.338612
80.0,546,1754.014627
120.0,521,1760.447301
60.0,721,1769.184098
220.0,939,1780.756228
175.0,913,1791.928792
220.0,2144,1818.341263
295.0,1510,1836.860699
190.0,875,1847.525539
175.0,836,1857.763738
310.0,792,1867.42735
100.0,439,1872.879972
70.0,479,1878.683912
220.0,990,1890.970536
100.0,662,1899.05705
140.0,1801,1921.523382
140.0,1340,1938.080149
100.0,1447,1956.103922
310.0,1728,1977.684781
60.0,447,1983.204731
110.0,543,1989.848788
190.0,1655,2010.398102
50.0,414,2015.461524
70.0,520,2021.887937
60.0,444,2027.359643
265.0,1211,2042.246908
355.0,2359,2071.551259
150.0,846,2081.882687
205.0,930,2093.382948
205.0,1052,2106.394916
110.0,702,2115.133803
385.0,1504,2133.751977
130.0,647,2141.7052
110.0,2030,2166.846
175.0,1204,2181.840704
140.0,496,2187.853056
50.0,481,2193.652769
265.0,1401,2211.044498
265.0,1669,2231.602325
40.0,352,2235.851218
90.0,670,2244.130947
50.0,488,2250.095509
280.0,1532,2269.05213
205.0,925,2280.478375
70.0,412,2285.531964
20.0,355,2289.843105
120.0,740,2298.929264
175.0,1013,2311.589698
80.0,480,2317.41336
140.0,1499,2335.944176
190.0,886,2346.923625
140.0,766,2356.361741
460.0,1402,2373.719947
355.0,3675,2419.263902
340.0,2189,2446.427301
190.0,1531,2465.411217
235.0,1201,2480.191
150.0,817,2490.326582
110.0,942,2501.890494
175.0,1227,2517.102186
130.0,750,2526.383221
235.0,1752,2548.036454
280.0,1986,2572.586096
265.0,1334,2589.247366
325.0,2112,2615.321648
120.0,689,2623.815117
265.0,1136,2637.774164
100.0,700,2646.406784
370.0,1723,2667.747801
130.0,704,2676.419965
110.0,1886,2699.784183
175.0,906,2710.805578
100.0,847,2721.291437
120.0,930,2732.792591
220.0,772,2742.353454
150.0,1062,2755.553322
120.0,1935,2779.511443
190.0,927,2790.895419
90.0,398,2795.695023
70.0,767,2805.103703
130.0,835,2815.417678
280.0,2101,2841.425635
220.0,1432,2859.132821
205.0,1203,2874.055989
205.0,1182,2888.610112
220.0,1119,2902.444735
90.0,1162,2916.743434
220.0,6390,2995.989209
235.0,1497,3014.378613
265.0,1532,3033.30431
140.0,737,3042.449248
295.0,932,3053.867058
265.0,1458,3071.827509
120.0,882,3082.624075
130.0,880,3093.53752
310.0,1386,3110.764693
190.0,984,3122.827986
175.0,1171,3137.295597
100.0,744,3146.515222
160.0,651,3154.491664
400.0,1746,3176.014659
175.0,1003,3188.406221
120.0,846,3198.785246
340.0,1726,3219.965809
220.0,961,3231.77831
70.0,729,3240.78758
190.0,1027,3253.351699
70.0,361,3257.791648
220.0,956,3269.553121
325.0,3749,3316.018779
60.0,335,3320.042092
110.0,538,3326.555582
280.0,2361,3355.869251
175.0,1143,3369.919664
235.0,1170,3384.400757
160.0,972,3396.355562
90.0,446,3401.822817
80.0,581,3408.883836
220.0,910,3420.040159
220.0,1090,3433.503974
150.0,1632,3453.69362
130.0,853,3464.183103
120.0,969,3476.142528
130.0,482,3482.08059
280.0,1517,3500.86294
205.0,814,3510.857793
100.0,502,3516.867731
150.0,493,3522.831887
265.0,2297,3551.347757
280.0,1184,3565.848911
140.0,1410,3583.296487
250.0,1297,3599.230759
140.0,669,3607.405981
205.0,1447,3625.261117
310.0,1633,3645.410004
175.0,826,3655.509737
540.0,2622,3687.93991
250.0,1342,3704.497253
280.0,1246,3719.905411
130.0,700,3728.453526
140.0,966,3740.377572
40.0,302,3743.950691
120.0,899,3755.043531
235.0,1167,3769.238692
120.0,881,3780.100758
50.0,326,3784.056719
340.0,2873,3819.600163
140.0,1633,3839.733821
175.0,1408,3857.179912
150.0,1228,3872.189903
30.0,369,3876.674685
190.0,851,3887.189706
310.0,1356,3903.952969
120.0,1154,3918.147505
130.0,894,3929.120624
110.0,611,3936.629733
130.0,797,3946.378686
190.0,1031,3959.086516
60.0,346,3963.296275
140.0,753,3972.568988
60.0,649,3980.555921
150.0,958,3992.220425
60.0,336,3996.246828
960.0,5877,4068.963987
100.0,619,4076.609879
175.0,1381,4093.603227
205.0,1197,4108.30089
250.0,1381,4125.385069
20.0,230,4128.124733
70.0,735,4137.093138
295.0,1993,4161.69464
90.0,1846,4184.447696
340.0,1296,4200.364676
235.0,990,4212.564325
160.0,1134,4226.519336
70.0,792,4236.253627
160.0,971,4248.3125
80.0,823,4258.38193
90.0,959,4270.336907
80.0,2515,4301.59588
340.0,1773,4323.496993
90.0,504,4329.712995
110.0,741,4338.688934
235.0,2439,4368.839806
325.0,1807,4391.175944
120.0,595,4398.465126
140.0,737,4407.484607
140.0,990,4419.613922
250.0,1583,4439.158115
175.0,1135,4453.068098
70.0,731,4462.030139
250.0,2417,4491.910197
50.0,780,4501.457935
220.0,1040,4514.223906
120.0,1019,4526.841509
280.0,2183,4553.827143
175.0,1050,4566.755249
80.0,553,4573.486486
90.0,975,4585.445003
100.0,690,4593.922758
120.0,807,4603.824166
310.0,1240,4619.240559
120.0,751,4628.415248
120.0,872,4639.145128
110.0,445,4644.515871
110.0,594,4651.757749
250.0,1760,4673.593399
70.0,466,4679.276936
