# {"t_start": 1543451943.6723726, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
220.0,3091,52.536233
140.0,994,60.939267
280.0,1785,76.35171
205.0,1212,86.694173
235.0,1008,95.550265
110.0,612,101.023276
60.0,414,104.569764
40.0,254,106.776674
80.0,538,111.37265
80.0,460,115.622753
160.0,897,122.91539
40.0,253,125.115057
370.0,1167,135.282267
20.0,235,137.404985
355.0,1286,148.67789
110.0,552,153.313903
235.0,964,161.928088
140.0,682,167.703329
160.0,1013,176.664706
110.0,592,181.540722
460.0,1473,194.503036
130.0,576,199.18862
160.0,687,205.009485
340.0,1053,214.003556
60.0,381,217.185447
205.0,1198,227.869754
140.0,789,234.623007
140.0,628,239.660698
150.0,670,245.73307
265.0,1132,255.153537
110.0,734,261.72365
310.0,1128,271.689485
295.0,1140,281.521456
190.0,1187,291.793344
100.0,620,296.798015
250.0,1089,306.792791
860.0,1510,319.777603
140.0,529,324.2696
220.0,979,332.157669
140.0,629,337.375404
340.0,1204,347.552775
190.0,1235,358.159757
295.0,1303,368.827686
175.0,854,375.500667
130.0,646,380.73142
385.0,1386,392.163601
340.0,1774,407.048928
130.0,489,411.235131
340.0,1398,422.423876
150.0,868,429.698663
325.0,1173,439.306805
250.0,904,446.616576
280.0,1029,455.099466
370.0,1424,466.831058
780.0,1374,478.321437
370.0,1486,490.171113
340.0,1376,502.094948
120.0,473,505.608637
480.0,1471,517.910973
310.0,1326,528.546657
280.0,1303,539.3195
280.0,943,547.146674
280.0,1125,556.682402
420.0,1751,571.413865
1000.0,2086,588.712303
355.0,1326,599.413836
265.0,834,606.165391
340.0,1466,618.847815
1020.0,1777,633.61728
440.0,1524,645.798292
840.0,1739,660.582344
1220.0,1862,675.694591
235.0,3401,704.059506
140.0,573,708.485688
1680.0,2461,728.718145
1100.0,1676,742.787992
325.0,1167,752.505625
1220.0,2315,771.799856
90.0,413,775.114206
1980.0,2572,796.194098
920.0,2008,813.227498
220.0,741,819.027297
1280.0,1833,833.820501
820.0,1691,848.130401
1080.0,1875,863.165229
1960.0,2792,886.357779
2475.0,2590,907.622137
520.0,1405,919.365533
960.0,1997,935.47721
150.0,682,941.157424
2860.0,2936,965.153843
880.0,1872,980.842828
860.0,1800,995.673124
325.0,1616,1008.69288
1000.0,2363,1028.016153
2210.0,2964,1052.46405
1660.0,2617,1074.305571
780.0,1793,1089.318423
3820.0,3541,1118.163602
600.0,1501,1130.817382
980.0,1753,1144.898929
1720.0,2485,1165.246936
340.0,1354,1176.596928
1600.0,2780,1199.278226
1200.0,1783,1213.946082
580.0,1482,1226.369405
1020.0,1715,1240.306571
1540.0,2219,1258.38602
700.0,1530,1271.18247
3690.0,3124,1296.80145
2250.0,3046,1322.165912
1040.0,2122,1339.317727
420.0,1405,1351.123962
720.0,1593,1363.958017
1020.0,1558,1376.842243
1100.0,1787,1391.753522
1920.0,2690,1414.059572
1500.0,2191,1431.985374
1840.0,2294,1450.690813
5030.0,4523,1487.74075
2160.0,2643,1509.564505
1320.0,2522,1530.031374
325.0,1235,1540.29588
820.0,2049,1557.325101
1360.0,2256,1575.943466
800.0,1752,1590.455435
1180.0,1885,1605.548434
3630.0,3334,1633.010286
1320.0,1539,1645.708302
1520.0,2109,1662.872075
2000.0,2309,1681.815762
355.0,1196,1691.596561
2730.0,2947,1716.066034
1420.0,2052,1732.930798
1980.0,2092,1750.017396
1500.0,2025,1766.780663
2000.0,2239,1784.919229
1640.0,2369,1804.696144
1280.0,1975,1821.17207
3110.0,2610,1842.721031
325.0,1015,1851.108721
1120.0,2300,1870.377226
1040.0,1839,1885.202787
2040.0,2252,1903.845436
1140.0,1936,1919.255384
3610.0,3272,1946.587631
1300.0,2066,1963.657051
1060.0,1755,1977.829771
5400.0,3645,2008.111917
2440.0,2289,2026.662876
1360.0,1911,2042.594656
4005.0,3156,2068.839072
1160.0,1800,2083.577256
740.0,1654,2097.12039
400.0,1521,2109.322801
1880.0,2009,2125.976164
100.0,448,2129.421871
3965.0,3318,2156.892817
1060.0,1731,2170.964856
1000.0,1925,2186.778649
2470.0,2375,2206.381612
4460.0,4345,2241.504099
1340.0,1855,2257.281574
3610.0,3093,2282.499148
2000.0,2008,2298.706312
4005.0,2868,2322.796995
3175.0,2839,2345.809546
4370.0,3547,2374.610873
3290.0,3047,2400.030166
4390.0,3458,2428.588525
680.0,1677,2442.291378
5420.0,4179,2476.270433
4340.0,3609,2505.976116
1200.0,1805,2520.872658
4610.0,3626,2551.232889
2545.0,3066,2576.798678
1560.0,1830,2592.036291
2165.0,2492,2613.034948
2385.0,2604,2635.231747
2845.0,2702,2657.975737
1380.0,1801,2673.082553
5310.0,3539,2702.294576
900.0,1707,2716.459635
2320.0,2310,2735.599157
1900.0,2776,2759.158537
4670.0,3457,2788.060562
4620.0,4071,2822.14011
4370.0,3657,2852.958239
4375.0,3148,2879.042961
2670.0,2542,2900.094311
1800.0,1853,2915.307279
5480.0,4403,2951.190284
4725.0,3849,2983.136543
4165.0,3119,3008.482
5710.0,4135,3042.789003
4155.0,2972,3067.84876
1060.0,1721,3082.61992
1540.0,1905,3098.458188
4275.0,3702,3129.370945
4510.0,3492,3158.560107
2335.0,2560,3179.627896
6060.0,4621,3218.378025
880.0,1573,3231.373461
1740.0,2229,3249.893395
3950.0,3016,3274.603215
1040.0,1831,3289.69373
4650.0,3575,3319.416089
2290.0,2468,3339.894099
3610.0,2813,3363.372097
3910.0,3162,3389.008398
6930.0,4845,3429.044868
980.0,1444,3440.901817
900.0,1809,3455.835299
1480.0,1989,3472.39568
1400.0,2061,3489.185683
5390.0,4298,3524.666529
640.0,1980,3540.829412
5940.0,4170,3575.40324
5910.0,3667,3605.191463
6290.0,4052,3638.945371
1900.0,2721,3661.464898
600.0,1561,3674.339835
6300.0,4233,3709.861784
5380.0,3637,3740.081276
2980.0,2613,3761.386744
6560.0,4370,3797.564697
2445.0,2540,3819.143375
150.0,750,3825.495903
4570.0,3639,3855.722309
2885.0,2813,3878.692977
1480.0,2349,3898.010942
2735.0,2610,3919.179223
4160.0,3568,3949.025927
3860.0,3559,3977.94337
1620.0,2819,4001.627172
2440.0,2386,4022.057537
4250.0,3785,4053.442168
5350.0,3450,4081.912659
2000.0,2040,4098.775098
1680.0,2374,4118.218799
4420.0,3338,4145.984319
5390.0,3946,4179.388239
4640.0,3253,4206.085108
1000.0,1683,4219.873236
6230.0,4352,4255.506573
3665.0,3538,4284.619519
1640.0,2056,4301.601686
100.0,598,4306.640302
5270.0,4879,4347.422379
6660.0,4242,4382.978104
5450.0,3796,4414.203392
4885.0,3750,4445.112957
4500.0,3661,4476.412078
2380.0,2106,4493.839224
2815.0,2624,4515.198786
640.0,1252,4525.749071
5320.0,4914,4566.779513
6340.0,3961,4600.108891
5650.0,3655,4630.784345
1440.0,2013,4647.833904
5280.0,3695,4678.678868
5890.0,3829,4709.883659
6600.0,4100,4743.509219
1880.0,2124,4761.110526
3805.0,3366,4788.836269
1780.0,2017,4805.427559
4340.0,2889,4830.093185
4810.0,3205,4856.883148
4380.0,3077,4882.606797
3185.0,2790,4905.767866
6260.0,3918,4939.01263
2580.0,2506,4959.828638
1780.0,1927,4975.863726
1400.0,2402,4996.06936
6680.0,3864,5027.943418
2990.0,2192,5045.991282
355.0,1139,5055.263299
5100.0,3572,5084.828253
2980.0,2768,5108.098567
4965.0,3612,5137.986259
3390.0,2835,5161.690956
2650.0,2198,5180.050115
6480.0,4348,5215.246176
3260.0,2839,5238.538218
6070.0,4139,5273.089881
5260.0,3737,5303.927663
4480.0,3484,5333.31328
5630.0,4142,5367.576344
6030.0,3353,5395.608023
8305.0,4520,5433.268013
8045.0,4826,5473.126729
7280.0,4381,5509.495236
6240.0,4091,5543.109925
5920.0,3974,5575.570558
5780.0,3416,5604.141601
7720.0,4439,5640.875366
4150.0,3644,5670.815652
7200.0,4549,5708.578393
2260.0,2352,5727.85789
6070.0,3988,5760.788442
420.0,1541,5773.517421
7140.0,4317,5809.452582
5640.0,4101,5843.171098
7180.0,5224,5886.207484
1820.0,1972,5902.819866
6010.0,4491,5941.049272
1940.0,2101,5958.367128
2080.0,2450,5978.48219
5220.0,3930,6011.133546
4105.0,2875,6034.792614
6380.0,4116,6069.226318
7665.0,4700,6108.095419
7670.0,4013,6141.838762
5450.0,3714,6172.509022
4470.0,3080,6198.564158
2740.0,2414,6218.594118
4170.0,2823,6241.956833
760.0,1589,6254.925662
6920.0,4348,6290.925976
4295.0,3293,6318.652197
6110.0,3881,6350.811123
8420.0,4841,6390.240243
9140.0,4805,6430.393906
5910.0,3978,6463.542327
5720.0,3682,6493.967709
8155.0,4395,6529.790273
8750.0,5067,6572.453717
3330.0,2553,6593.444752
4270.0,3215,6620.098246
7530.0,4073,6653.501353
8645.0,4805,6692.724491
5760.0,3556,6721.945803
5440.0,3503,6750.500941
8335.0,4058,6783.966278
2185.0,2237,6802.300427
6120.0,4018,6835.649041
8560.0,5038,6877.114031
7485.0,4282,6912.506554
2475.0,2314,6931.505702
8060.0,4371,6967.28188
8200.0,4583,7005.414029
4730.0,3041,7030.673289
8245.0,4261,7065.893588
6270.0,3934,7098.433265
7170.0,4306,7134.239259
7775.0,4544,7172.063762
2680.0,2537,7193.180925
7070.0,4106,7226.906662
8550.0,4368,7262.813025
6235.0,3889,7294.825371
7475.0,4154,7329.140084
3760.0,2637,7351.274579
7100.0,3694,7381.59877
4970.0,3486,7410.34502
9300.0,5067,7452.241329
6670.0,4059,7485.802481
3595.0,2792,7509.204683
5480.0,3778,7540.333132
7990.0,4627,7579.190463
9325.0,5075,7621.794875
7735.0,4705,7660.344537
8555.0,4441,7697.085208
2440.0,2275,7715.405282
9570.0,5076,7757.694484
6980.0,4105,7792.128114
5900.0,3955,7824.56856
900.0,1534,7837.129501
6180.0,3577,7866.716722
1440.0,1986,7882.868112
1400.0,1349,7894.160583
7510.0,3974,7926.950131
2040.0,1936,7942.757569
5510.0,3683,7973.283549
8110.0,4547,8011.357367
7070.0,4305,8047.054922
7455.0,4355,8083.654654
6290.0,3842,8116.210377
5350.0,4056,8150.252745
9100.0,5421,8194.515063
10155.0,5383,8238.777141
8435.0,4161,8273.330652
5970.0,3330,8300.204254
8380.0,4833,8341.034104
5410.0,3939,8373.382796
7070.0,3971,8405.556015
4540.0,3385,8433.568898
8885.0,4745,8472.574399
8580.0,4817,8512.725722
3320.0,2808,8536.22212
7480.0,4220,8570.827261
6200.0,3852,8602.883958
5840.0,3690,8633.236524
1800.0,1795,8648.186611
6890.0,3741,8678.870563
5710.0,3497,8707.652461
7290.0,3621,8737.650964
7895.0,4517,8774.769894
6390.0,3720,8805.480212
8125.0,4666,8843.743519
7925.0,4903,8884.645146
6600.0,4226,8919.819819
9940.0,5211,8962.939402
10290.0,5209,9005.785872
8190.0,4135,9040.155598
7860.0,4288,9075.584991
9240.0,4660,9113.92561
7020.0,4147,9148.146962
8975.0,4463,9185.21846
7920.0,4228,9220.263095
8305.0,4205,9254.644159
4880.0,3432,9283.07441
