# {"t_start": 1544047213.313147, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,911,70.118025
-20.0,975,82.630988
-20.0,952,94.857077
-21.0,819,105.42614
-21.0,820,116.599423
-20.0,1003,130.12705
-21.0,909,141.803654
-21.0,880,153.20236
-19.0,958,165.467389
-21.0,758,175.298279
-21.0,908,187.041545
-21.0,762,197.672235
-21.0,820,208.143494
-21.0,879,219.269389
-20.0,855,230.077637
-20.0,898,241.533351
-21.0,906,252.95905
-20.0,945,265.037761
-20.0,926,276.823481
-21.0,911,288.294078
-21.0,970,300.704983
-21.0,789,310.666386
-21.0,787,320.602944
-20.0,871,331.643709
-20.0,869,342.687313
-21.0,867,353.730497
-20.0,1125,368.020373
-21.0,761,377.714668
-21.0,836,388.458024
-20.0,839,399.152815
-20.0,1058,412.67237
-20.0,841,423.439718
-18.0,1127,437.726101
-21.0,906,449.202838
-21.0,806,459.472251
-19.0,991,472.214429
-20.0,1026,485.289927
-19.0,1077,499.007529
-20.0,833,509.572637
-21.0,929,521.394087
-21.0,823,531.964611
-19.0,938,543.789061
-21.0,956,555.930839
-21.0,818,566.357614
-20.0,1047,579.672947
-19.0,944,591.591439
-20.0,1076,605.280734
-21.0,867,616.222304
-21.0,918,627.977679
-20.0,1023,640.940985
-21.0,776,650.891017
-21.0,903,662.434575
-19.0,1037,675.642739
-21.0,879,686.790926
-17.0,1269,702.91008
-21.0,820,713.435381
-21.0,814,723.791529
-21.0,817,734.103673
-19.0,1066,747.708006
-20.0,868,758.767829
-20.0,1082,772.508927
-20.0,853,783.222587
-19.0,1203,798.602575
-21.0,927,810.312943
-21.0,880,821.485234
-20.0,939,833.386061
-20.0,940,845.356977
-21.0,848,856.134081
-19.0,937,868.047687
-21.0,913,879.677011
-21.0,868,890.715513
-21.0,821,901.151751
-21.0,824,911.561959
-20.0,1014,924.533466
-21.0,941,936.592929
-21.0,903,948.054188
-19.0,1201,963.347407
-20.0,1005,976.149337
-20.0,925,987.882131
-20.0,864,998.875793
-20.0,833,1009.580227
-20.0,957,1021.646616
-21.0,823,1032.065627
-21.0,1004,1044.798694
-21.0,868,1055.949567
-21.0,951,1067.977749
-21.0,911,1079.725544
-19.0,1136,1094.086963
-19.0,993,1106.861354
-20.0,897,1118.295802
-19.0,1287,1134.581293
