# {"t_start": 1544058379.385804, "env_id": "PongNoFrameskip-v0"} 
r,l,t
6.0,4481,41.966702
14.0,3400,72.08895
9.0,4391,110.703324
15.0,3209,139.095533
11.0,3375,169.282105
11.0,3717,201.900087
4.0,3761,234.570159
11.0,3072,261.489681
13.0,3155,289.236704
14.0,3239,317.857966
10.0,3465,348.438344
17.0,3263,377.418493
5.0,3763,410.282406
8.0,4026,445.360216
8.0,2936,471.599473
13.0,3437,502.028358
15.0,2975,528.214219
7.0,3969,563.198568
7.0,3804,597.161323
17.0,3336,626.490489
1.0,4184,663.870342
11.0,2857,689.081088
13.0,2987,715.367957
4.0,4363,754.092095
15.0,2397,775.627983
12.0,3160,803.184776
9.0,3333,832.650289
8.0,3774,865.969827
3.0,4362,904.631302
11.0,3224,933.515029
16.0,2829,958.338697
14.0,2861,983.37508
13.0,3023,1010.488677
8.0,3409,1040.318357
4.0,4999,1084.761296
14.0,2654,1108.25838
5.0,3622,1140.203835
13.0,3213,1168.764535
15.0,3161,1197.210736
13.0,3301,1226.74577
17.0,3042,1253.202369
18.0,2331,1273.719601
13.0,4156,1310.020917
14.0,3595,1341.503941
3.0,4053,1377.465228
10.0,3334,1406.625255
10.0,3719,1439.179101
17.0,2965,1465.450241
13.0,3387,1495.567501
12.0,3396,1525.168876
4.0,3869,1559.061151
13.0,3499,1590.1261
10.0,3846,1623.967713
12.0,3679,1655.878908
9.0,3131,1683.863406
9.0,3905,1717.91177
14.0,3415,1748.211728
6.0,4107,1784.353558
5.0,3866,1818.303852
10.0,3820,1852.263812
6.0,4148,1888.885416
15.0,3300,1918.023301
8.0,3409,1948.470134
4.0,4500,1988.210839
10.0,3398,2018.29807
19.0,2858,2043.537209
12.0,3437,2073.926463
8.0,3600,2105.701502
17.0,2827,2130.658002
17.0,2447,2152.266952
10.0,3945,2187.020934
14.0,2886,2212.299309
11.0,3337,2241.642016
11.0,3154,2269.773147
11.0,3582,2301.298029
13.0,4047,2337.022488
15.0,3026,2363.450029
8.0,3543,2394.761075
17.0,3373,2424.377282
9.0,3355,2453.899083
14.0,3233,2483.143439
12.0,2736,2507.166262
15.0,2780,2531.954701
18.0,2636,2554.773905
14.0,3010,2581.483483
12.0,3535,2612.106879
10.0,3415,2642.305682
17.0,2975,2668.613446
11.0,3306,2697.986526
10.0,2961,2723.934536
10.0,3324,2753.657012
16.0,3269,2783.083492
7.0,3222,2811.485473
16.0,3166,2839.759472
14.0,2897,2865.16319
13.0,3240,2893.695111
8.0,3531,2925.253512
14.0,3310,2954.688153
13.0,3816,2988.547312
11.0,3000,3014.703567
14.0,2929,3041.116716
14.0,3127,3068.486726
13.0,3387,3098.724329
14.0,3261,3127.424334
11.0,3713,3160.355422
9.0,3232,3188.883773
12.0,3010,3215.936867
11.0,3407,3246.215417
10.0,3121,3273.430244
4.0,4137,3309.766399
11.0,3398,3339.982735
12.0,3109,3366.98276
10.0,3185,3394.905444
12.0,3341,3424.238314
15.0,2923,3449.992142
11.0,3760,3482.727854
17.0,2935,3508.454638
3.0,3730,3541.294579
13.0,3250,3570.302897
6.0,3550,3601.338609
14.0,2821,3626.032986
15.0,2595,3649.177802
13.0,2766,3673.111259
12.0,2820,3698.015673
18.0,2553,3720.770031
13.0,2901,3746.555007
10.0,2703,3770.456891
15.0,2336,3791.07953
14.0,2393,3812.373415
14.0,2474,3834.177837
14.0,2754,3858.629064
12.0,3122,3886.153801
11.0,3365,3915.82692
14.0,3277,3944.817322
14.0,2493,3966.674538
14.0,2601,3990.150599
18.0,2312,4010.59245
12.0,2937,4036.728057
14.0,2798,4060.895763
12.0,3660,4093.665952
12.0,3081,4121.036238
1.0,3777,4154.589938
6.0,2968,4180.746576
9.0,2846,4206.00888
16.0,2987,4232.24104
16.0,2490,4254.632339
10.0,3468,4285.451469
12.0,3465,4316.320079
17.0,2475,4338.115559
9.0,2884,4364.111872
8.0,3420,4394.013129
14.0,2709,4418.355035
14.0,3089,4445.24762
11.0,3045,4471.80439
16.0,2296,4492.04022
12.0,3113,4519.690308
10.0,3321,4549.154367
12.0,3074,4576.388159
20.0,2624,4599.322452
16.0,2610,4622.366175
13.0,2999,4649.208707
12.0,3035,4676.461936
14.0,2661,4699.668672
10.0,2755,4724.235676
17.0,2121,4742.306931
14.0,3051,4769.310636
13.0,3345,4798.830869
15.0,2756,4823.451104
