approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0075216796,0.21801758,nan,nan,0.8131515234708786,561,1,1.2706829,-0.014000887,128,1.8232693672180176,1024,0.0063457866
0.0037836572,0.1459961,nan,nan,0.7094821631908417,965,2,1.281488,-0.0143724065,256,2.8844552040100098,2048,0.024459835
0.0026389875,0.122558594,nan,nan,0.727936863899231,944,3,1.2928692,-0.013131032,384,3.969719648361206,3072,0.018534245
0.0026570023,0.114990234,nan,nan,0.7415207922458649,953,4,1.312538,-0.013788613,512,5.0446999073028564,4096,0.022913378
0.0030957495,0.1328125,nan,nan,0.7888811826705933,935,5,1.3161162,-0.012481597,640,6.140058994293213,5120,0.013369351
0.0036901059,0.17260742,nan,nan,0.780881255865097,950,6,1.3238912,-0.016017793,768,7.218163728713989,6144,0.01735073
0.0028827353,0.12792969,nan,nan,0.7147096693515778,937,7,1.2460399,-0.013012612,896,8.311379194259644,7168,0.010050453
0.0037092152,0.14013672,nan,nan,0.6346447467803955,940,8,1.2876409,-0.014054209,1024,9.401217460632324,8192,0.025501603
0.0034366667,0.15185547,nan,nan,0.4469327926635742,903,9,1.2581867,-0.016030017,1152,10.534725427627563,9216,0.019519929
0.0031850748,0.13330078,nan,nan,0.7276631295681,900,10,1.2490385,-0.015278239,1280,11.672443866729736,10240,0.033497397
0.0036673164,0.14038086,nan,nan,0.8523676246404648,912,11,1.3356506,-0.016106086,1408,12.79502820968628,11264,0.009268993
0.004619927,0.18066406,nan,nan,0.6299553513526917,905,12,1.250599,-0.0160127,1536,13.925861358642578,12288,0.030628067
0.0027932033,0.12866211,nan,nan,0.7704302221536636,907,13,1.3394953,-0.014783647,1664,15.055342435836792,13312,0.016084513
0.003980824,0.15234375,nan,nan,0.6772147715091705,912,14,1.225876,-0.015317775,1792,16.17783832550049,14336,0.028896118
0.004559718,0.16674805,nan,nan,0.8049310147762299,926,15,1.2626193,-0.01817849,1920,17.284044981002808,15360,0.015513428
0.00400363,0.15893555,nan,nan,0.8378822654485703,908,16,1.2718909,-0.015823271,2048,18.412182092666626,16384,0.014443537
0.007645759,0.20751953,nan,nan,0.7782905995845795,903,17,1.3066428,-0.01689848,2176,19.546181678771973,17408,0.01704177
0.006662941,0.20410156,nan,nan,0.5570834875106812,940,18,1.17909,-0.018231703,2304,20.635377168655396,18432,0.016049864
0.0033354058,0.1430664,nan,nan,0.7671979665756226,913,19,1.318229,-0.015730873,2432,21.756670713424683,19456,0.023629319
0.0030344757,0.13964844,nan,nan,0.7294768989086151,906,20,1.2545376,-0.015600779,2560,22.887295246124268,20480,0.018208131
0.004653799,0.16235352,nan,nan,0.6432146728038788,911,21,1.2781947,-0.01434691,2688,24.011324644088745,21504,0.02858154
0.0044600293,0.17089844,nan,nan,0.8166636377573013,908,22,1.2706413,-0.019725693,2816,25.139389276504517,22528,0.01744009
0.004361972,0.16040039,nan,nan,0.7885109037160873,910,23,1.2904953,-0.016607605,2944,26.26500654220581,23552,0.014396432
0.0044947066,0.17993164,nan,nan,0.8014151751995087,896,24,1.269545,-0.016113047,3072,27.407467365264893,24576,0.016670434
0.0035854592,0.14746094,3147.0,13.0,0.7229977548122406,898,25,1.2553754,-0.014648375,3200,28.54734182357788,25600,0.02007668
0.0042319326,0.14990234,3253.75,14.75,0.7398817837238312,898,26,1.2558451,-0.01483392,3328,29.68749713897705,26624,0.018700097
0.0049931095,0.17919922,3293.0,13.8,0.7387973666191101,899,27,1.2496444,-0.016556373,3456,30.826467275619507,27648,0.017634679
0.0045207357,0.16772461,3293.0,13.8,0.7202125191688538,908,28,1.239589,-0.014570145,3584,31.954132318496704,28672,0.0207885
0.00476996,0.1940918,3293.0,13.8,0.7479762732982635,904,29,1.2466708,-0.017006328,3712,33.08718538284302,29696,0.015357489
0.0065098996,0.19116211,3293.0,13.8,0.629944235086441,908,30,1.2410531,-0.016966453,3840,34.21543264389038,30720,0.028377011
0.004028221,0.16064453,3394.6666666666665,13.5,0.7906829714775085,897,31,1.2180592,-0.017081387,3968,35.35723280906677,31744,0.017012354
0.0042421618,0.1418457,3394.6666666666665,13.5,0.6796418726444244,903,32,1.2768303,-0.0164359,4096,36.491142988204956,32768,0.024982434
0.0039102756,0.16601562,3501.0,12.428571428571429,0.7679817527532578,892,33,1.2686607,-0.017639682,4224,37.63978576660156,33792,0.012106545
0.004242854,0.17114258,3501.0,12.428571428571429,0.8459331095218658,897,34,1.2402997,-0.0151689425,4352,38.781028270721436,34816,0.013304995
0.0040232507,0.16552734,3623.5,11.625,0.710103303194046,902,35,1.2176421,-0.015212897,4480,39.91580390930176,35840,0.019922925
0.0045638913,0.2133789,3623.5,11.625,0.8196872770786285,908,36,1.2896265,-0.017098183,4608,41.044214963912964,36864,0.013459905
0.0040423805,0.15258789,3623.5,11.625,0.6247406005859375,901,37,1.1954403,-0.017433245,4736,42.18046545982361,37888,0.026740687
0.004655175,0.18334961,3623.5,11.625,0.6824700236320496,908,38,1.2782149,-0.015777115,4864,43.307888984680176,38912,0.021377942
0.0050127544,0.18115234,3623.5,11.625,0.7467907965183258,911,39,1.223708,-0.017843204,4992,44.432348012924194,39936,0.021961816
0.007236102,0.22631836,3623.5,11.625,0.7525269240140915,907,40,1.2113333,-0.018929627,5120,45.561745405197144,40960,0.020152956
0.0051021934,0.203125,3623.5,11.625,0.8641094118356705,904,41,1.2799164,-0.019951368,5248,46.694881200790405,41984,0.01206243
0.0044623036,0.16040039,3623.5,11.625,0.6764931976795197,907,42,1.2270873,-0.016190052,5376,47.824627161026,43008,0.018947601
0.0045556775,0.19555664,3623.5,11.625,0.8132598847150803,895,43,1.2719727,-0.019106599,5504,48.96896958351135,44032,0.015593134
0.003811395,0.15673828,3623.5,11.625,0.7095648050308228,911,44,1.2443869,-0.015475733,5632,50.09257626533508,45056,0.014040174
