# {"t_start": 1543512927.2830815, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
550.0,397,38.196174
275.0,403,48.199522
250.0,437,59.632952
0.0,290,67.060741
225.0,295,74.468507
25.0,290,81.792622
350.0,406,92.29222
75.0,266,98.788697
575.0,425,109.781662
75.0,330,118.17751
200.0,314,126.043322
250.0,315,133.977148
200.0,328,142.323311
200.0,301,150.16576
300.0,443,161.331691
300.0,394,171.373446
75.0,328,179.839967
150.0,345,188.707613
150.0,275,195.586799
200.0,336,204.064852
550.0,361,213.451887
425.0,463,225.20855
700.0,465,237.248947
75.0,262,244.066141
325.0,320,252.061236
100.0,314,259.992358
225.0,322,268.298511
75.0,305,276.181635
275.0,457,287.818586
100.0,272,294.655311
300.0,377,304.294725
125.0,314,312.235377
350.0,398,322.637129
300.0,348,331.730395
750.0,372,342.007312
200.0,421,352.495624
200.0,334,360.853045
300.0,385,370.638511
75.0,295,377.924528
225.0,313,385.729145
225.0,349,394.583156
225.0,302,402.277102
150.0,281,409.111331
200.0,294,416.409493
275.0,391,426.278698
225.0,374,436.001623
225.0,298,443.31688
400.0,370,452.656323
275.0,312,460.436089
275.0,360,469.365487
100.0,317,477.560619
375.0,369,486.852214
200.0,275,493.686097
300.0,333,501.988993
0.0,284,508.887956
175.0,404,519.155104
150.0,317,527.037926
75.0,311,534.780683
275.0,293,542.409685
225.0,367,551.360484
150.0,334,559.730391
125.0,307,567.423671
225.0,347,576.257753
275.0,404,586.544604
225.0,302,593.973883
250.0,289,601.258842
125.0,263,607.964227
250.0,359,616.926188
350.0,431,627.856901
375.0,422,638.640648
200.0,315,646.459215
250.0,304,654.222069
150.0,368,663.173326
225.0,341,671.873997
325.0,380,681.264209
200.0,368,690.56315
225.0,317,698.75802
150.0,333,707.040218
325.0,430,717.975341
350.0,361,726.862728
250.0,335,735.208305
275.0,303,742.944856
250.0,397,752.833963
675.0,470,764.742953
275.0,358,773.673813
250.0,381,783.404294
300.0,469,795.354127
250.0,348,804.173177
225.0,321,812.068679
250.0,395,821.928329
200.0,287,829.173205
375.0,329,837.426877
300.0,350,846.225984
675.0,396,856.079095
200.0,294,863.452146
175.0,308,871.187671
225.0,377,880.876821
250.0,300,888.259455
125.0,313,896.031374
125.0,295,903.327052
375.0,370,912.597915
275.0,308,920.420788
300.0,327,928.722651
325.0,348,937.537431
225.0,318,945.384563
175.0,305,953.079607
350.0,390,962.977809
125.0,253,969.278872
275.0,343,978.013357
250.0,304,985.384003
175.0,335,993.72926
350.0,389,1003.563019
250.0,333,1011.941709
400.0,328,1020.232852
150.0,339,1028.990741
250.0,350,1037.773774
275.0,320,1045.681463
150.0,278,1052.494943
75.0,290,1059.766914
325.0,413,1070.111017
125.0,332,1078.482416
300.0,335,1087.107155
300.0,414,1097.512378
225.0,397,1107.471948
150.0,289,1114.697208
275.0,417,1125.136916
425.0,394,1135.076123
475.0,453,1146.796122
325.0,409,1156.811481
275.0,307,1164.554449
150.0,315,1172.399904
275.0,306,1180.108054
225.0,321,1188.389252
175.0,282,1195.241466
150.0,261,1201.889143
350.0,417,1212.348669
325.0,319,1220.240449
250.0,309,1228.041251
300.0,311,1235.823098
125.0,262,1242.505641
250.0,302,1249.886964
200.0,299,1257.655778
275.0,312,1265.512521
300.0,347,1274.293216
200.0,355,1283.167176
250.0,327,1291.465969
250.0,307,1299.211865
300.0,411,1309.625684
200.0,294,1316.900243
250.0,296,1324.179396
350.0,337,1332.616159
375.0,392,1342.477452
400.0,460,1354.352697
300.0,339,1362.778535
300.0,372,1372.136386
175.0,326,1380.459187
350.0,375,1389.903419
600.0,430,1400.849
325.0,332,1409.169575
300.0,319,1417.325044
300.0,312,1425.146873
275.0,313,1432.986438
325.0,339,1441.404031
225.0,289,1448.656933
250.0,317,1456.509232
350.0,393,1466.358928
250.0,389,1476.270306
350.0,396,1486.562624
300.0,302,1493.970287
325.0,325,1502.243922
350.0,437,1513.26201
225.0,303,1521.009679
225.0,323,1528.922166
450.0,421,1539.836716
375.0,371,1549.157634
150.0,265,1555.552148
275.0,344,1564.307617
300.0,331,1572.667095
150.0,282,1579.919679
425.0,393,1589.784872
275.0,318,1597.62493
175.0,302,1605.356534
350.0,405,1615.365997
225.0,305,1623.101137
250.0,309,1630.867904
600.0,395,1640.773324
100.0,318,1648.956798
350.0,428,1659.473254
225.0,315,1667.613923
300.0,307,1675.057004
250.0,328,1683.333135
300.0,469,1695.275228
375.0,398,1705.179013
325.0,377,1714.851644
175.0,362,1723.780212
200.0,312,1731.635459
225.0,363,1740.94802
200.0,340,1749.374964
275.0,310,1757.190038
225.0,317,1765.330768
175.0,322,1773.205175
200.0,378,1783.038255
225.0,287,1789.925826
450.0,502,1802.733555
225.0,356,1811.610865
275.0,388,1821.374269
50.0,281,1828.560312
350.0,313,1836.344856
75.0,325,1844.274745
200.0,356,1853.509622
250.0,310,1861.344477
225.0,363,1870.342528
750.0,416,1880.797412
150.0,317,1888.930894
350.0,325,1896.87651
