explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
0.0,16,1,1.7891219854354858,0.32958492636680603,160,0.0486602708697319
0.0,32,2,1.789057731628418,0.9248683452606201,320,0.47996410727500916
0.0,46,3,1.78904128074646,2.166825294494629,480,2.2132396697998047
0.0,59,4,1.78900945186615,0.8254469633102417,640,0.6558043360710144
0.0,72,5,1.7886784076690674,0.6741625666618347,800,0.5154488682746887
-1.1920928955078125e-07,83,6,1.7883106470108032,0.33355647325515747,960,0.13803106546401978
0.0,93,7,1.7877498865127563,1.0589215755462646,1120,0.7676435708999634
0.0,103,8,1.7871650457382202,0.09274236857891083,1280,0.13675200939178467
0.0,111,9,1.786644697189331,0.0632438063621521,1440,0.1615794599056244
0.0,118,10,1.7860759496688843,0.5719802975654602,1600,0.4404592514038086
0.0,125,11,1.7854543924331665,-0.22698277235031128,1760,0.5182552337646484
0.0,132,12,1.7851402759552002,-1.2834895849227905,1920,1.1984783411026
0.0,138,13,1.7851524353027344,-0.3787826597690582,2080,0.05288261920213699
0.0,145,14,1.7851712703704834,-0.24058659374713898,2240,0.08373678475618362
0.0,150,15,1.785191297531128,0.22946277260780334,2400,0.7517431378364563
0.0,156,16,1.7851979732513428,-0.9855620861053467,2560,1.1467324495315552
0.0,161,17,1.7852379083633423,-0.29293692111968994,2720,0.5968548059463501
0.0,166,18,1.7852627038955688,-0.9358920454978943,2880,1.3135913610458374
0.0,171,19,1.7852481603622437,0.07476675510406494,3040,0.2449929267168045
0.0,176,20,1.7852500677108765,0.18906116485595703,3200,0.4551931321620941
0.0,179,21,1.7852964401245117,-0.4963669776916504,3360,0.7870348691940308
-1.1920928955078125e-07,182,22,1.785382866859436,-0.35703155398368835,3520,0.733896017074585
0.0,186,23,1.7851793766021729,0.4707892835140228,3680,0.8451724052429199
0.0,189,24,1.7849470376968384,-0.24852323532104492,3840,0.4147983491420746
1.1920928955078125e-07,192,25,1.7847445011138916,-1.024553894996643,4000,0.7758784890174866
1.1920928955078125e-07,195,26,1.7846410274505615,-0.9034811854362488,4160,0.6663858294487
0.0,197,27,1.7844469547271729,-0.32759520411491394,4320,0.03786265105009079
