# {"t_start": 1543357651.2212782, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
0.0,284,25.842885
0.0,286,28.408761
0.0,284,30.949602
0.0,286,33.487075
0.0,289,36.184939
0.0,288,39.601148
0.0,288,42.823106
0.0,286,45.579047
0.0,284,48.786716
0.0,282,51.618228
0.0,289,54.558659
0.0,286,57.154726
0.0,286,59.693635
0.0,285,62.709418
0.0,288,65.278102
0.0,283,67.772882
0.0,289,70.294823
0.0,280,72.844143
0.0,282,75.626324
0.0,290,78.227814
0.0,285,81.301929
0.0,282,83.934368
0.0,281,86.511695
0.0,283,89.121543
0.0,279,92.595794
0.0,279,95.126264
0.0,284,97.785212
0.0,279,100.341363
0.0,284,102.951713
0.0,275,106.118503
0.0,278,108.721745
50.0,303,111.371613
0.0,285,113.955747
0.0,275,116.506238
0.0,283,119.11714
50.0,293,121.773863
25.0,287,124.966384
0.0,283,127.594655
25.0,285,130.328792
0.0,283,132.82247
75.0,311,135.715863
75.0,302,138.879957
25.0,288,141.43478
0.0,281,143.930677
50.0,293,146.517006
50.0,305,149.16941
75.0,317,152.403166
0.0,278,154.899062
50.0,306,157.594022
0.0,280,160.111222
0.0,281,162.701766
0.0,280,165.424382
25.0,288,168.653433
0.0,278,171.198547
0.0,285,173.756586
25.0,286,176.319573
50.0,303,179.022535
25.0,290,181.703284
0.0,283,184.858393
375.0,312,187.545384
75.0,312,190.179212
75.0,313,193.380175
50.0,292,195.924255
50.0,316,198.624024
0.0,284,201.165372
25.0,288,204.227725
50.0,311,206.921983
100.0,318,209.82743
50.0,302,213.08001
100.0,373,216.249162
150.0,407,220.054718
150.0,358,223.554947
175.0,410,227.308321
200.0,376,230.853181
725.0,486,235.60326
475.0,443,239.516957
675.0,435,243.885949
150.0,433,247.697144
425.0,344,250.547494
175.0,336,254.002014
175.0,389,257.775472
450.0,327,260.622636
500.0,348,264.023703
325.0,438,268.042814
625.0,378,271.66055
175.0,340,275.221402
175.0,407,279.059243
575.0,475,283.632101
500.0,362,286.836504
175.0,344,290.305976
525.0,386,294.083261
350.0,507,299.024628
475.0,348,302.041127
550.0,378,305.68052
525.0,372,309.347636
500.0,394,313.062421
550.0,444,317.281594
475.0,346,320.685133
500.0,357,324.30292
475.0,331,327.195721
475.0,328,330.584807
525.0,406,334.345595
475.0,329,337.106054
475.0,335,340.564547
525.0,381,344.2477
625.0,418,348.198647
500.0,374,351.78939
400.0,438,355.877206
500.0,361,359.430487
200.0,357,362.397249
300.0,433,366.796282
550.0,378,370.421365
300.0,396,374.022511
675.0,398,377.969176
125.0,290,380.486318
300.0,358,383.938746
650.0,554,389.010214
400.0,402,392.650486
250.0,321,395.494521
200.0,343,398.858344
700.0,415,402.555825
675.0,548,407.585449
675.0,424,411.574075
550.0,366,415.074645
725.0,505,419.826727
650.0,521,424.654123
775.0,400,428.393104
700.0,426,432.15616
675.0,417,436.110468
325.0,324,439.378151
400.0,419,443.193669
250.0,275,445.695206
675.0,404,449.424103
350.0,296,452.011455
350.0,310,455.146828
350.0,392,458.691142
300.0,321,461.302521
675.0,448,465.65539
700.0,402,469.263255
375.0,400,472.869467
725.0,391,476.388332
400.0,417,480.066573
700.0,386,483.575571
675.0,454,487.542731
375.0,397,491.19381
650.0,408,494.851194
625.0,388,498.417986
675.0,389,501.973062
650.0,393,505.622413
700.0,461,510.112712
350.0,388,513.713459
675.0,426,517.430015
650.0,396,521.023479
650.0,360,524.413858
700.0,396,527.984766
700.0,397,531.587638
450.0,389,535.358148
700.0,408,539.010283
375.0,396,542.603162
700.0,423,546.31964
425.0,445,550.142412
450.0,523,554.90432
750.0,423,559.167948
700.0,400,562.777308
625.0,386,566.29927
225.0,293,568.827151
700.0,445,572.690848
700.0,421,576.397504
700.0,393,579.96673
700.0,418,584.180666
725.0,398,587.806784
375.0,376,590.756325
250.0,389,594.282488
400.0,423,598.508241
700.0,424,602.243469
675.0,414,605.925938
375.0,452,609.780907
400.0,397,613.478862
725.0,419,617.89304
750.0,426,621.63594
700.0,408,625.270777
450.0,505,629.963649
700.0,395,633.497587
400.0,402,637.11218
625.0,545,641.981719
725.0,407,645.617338
375.0,408,649.246644
750.0,411,652.927119
700.0,413,656.577044
350.0,302,659.695405
725.0,441,663.496509
250.0,331,666.733348
475.0,409,670.381835
750.0,410,674.051657
425.0,401,677.757607
350.0,425,681.476345
400.0,393,685.01677
750.0,406,688.641493
750.0,426,692.404526
725.0,470,696.897466
700.0,421,700.626565
400.0,411,704.263922
425.0,455,708.686759
425.0,396,712.252788
725.0,392,715.797381
725.0,423,719.509786
700.0,404,723.12526
775.0,493,727.721736
725.0,419,731.448472
750.0,508,736.096186
700.0,505,740.725523
700.0,408,744.348989
725.0,473,748.809355
750.0,496,752.915786
700.0,399,756.526396
400.0,395,760.132418
725.0,389,763.653776
775.0,573,769.18134
725.0,481,773.230703
700.0,385,776.743761
750.0,428,780.946747
325.0,439,784.723818
625.0,487,789.27472
725.0,480,793.288016
725.0,609,799.012049
775.0,518,803.687724
1275.0,755,810.664159
750.0,680,816.863042
375.0,417,820.656786
750.0,535,825.514211
700.0,399,829.07469
775.0,609,834.623056
800.0,689,840.584687
750.0,620,846.288539
750.0,581,851.290588
1225.0,898,859.469444
650.0,355,862.748505
775.0,467,867.100164
300.0,393,870.515524
225.0,305,873.050401
675.0,422,876.531157
1075.0,744,883.304231
750.0,660,889.180885
675.0,464,893.058045
725.0,484,897.43942
750.0,434,901.045466
725.0,522,905.676982
450.0,362,908.965012
775.0,586,914.413837
725.0,436,918.072917
750.0,540,922.845145
700.0,476,927.234209
650.0,541,931.991528
775.0,479,936.399198
500.0,532,941.066678
325.0,339,943.799862
