# {"t_start": 1543445692.754136, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
210.0,729,38.315537
185.0,476,45.089284
135.0,492,52.157398
565.0,911,65.289981
460.0,898,78.392914
220.0,638,87.556152
75.0,280,91.572491
210.0,601,100.336544
415.0,640,109.468627
65.0,284,113.524413
120.0,475,120.351612
80.0,534,128.148033
150.0,484,135.029609
255.0,691,145.103435
40.0,375,150.479345
45.0,303,154.795326
305.0,705,164.885337
110.0,458,171.552294
130.0,510,178.832486
345.0,945,192.533635
220.0,816,204.258727
170.0,466,210.993456
70.0,382,216.475982
295.0,628,225.574018
135.0,538,233.231919
175.0,869,245.794268
55.0,378,251.348221
55.0,305,255.661116
200.0,495,262.721594
90.0,454,269.193462
50.0,464,275.91213
55.0,402,281.732326
385.0,675,291.407479
180.0,502,298.636866
185.0,496,305.733031
235.0,584,314.211126
295.0,628,323.357266
170.0,483,330.287945
25.0,275,334.132812
170.0,811,345.899538
185.0,840,358.393706
25.0,287,362.130288
260.0,706,371.493494
75.0,372,376.291225
370.0,689,385.385519
365.0,725,394.997985
95.0,484,401.338655
95.0,360,406.012927
340.0,691,415.170265
395.0,819,425.85188
220.0,586,433.549707
160.0,528,440.522975
95.0,461,446.671941
340.0,994,459.835372
365.0,1170,475.307806
285.0,568,482.76971
25.0,285,486.547831
415.0,844,497.65091
115.0,394,502.831843
25.0,333,507.154911
85.0,506,513.77382
265.0,646,522.367868
260.0,918,534.591125
190.0,714,543.962366
45.0,393,549.110204
255.0,584,556.850472
205.0,588,564.620879
140.0,388,569.68507
210.0,488,576.110449
130.0,457,582.05347
275.0,692,591.315615
230.0,593,599.11808
70.0,355,603.70741
55.0,345,608.294926
35.0,387,613.37882
80.0,391,618.510533
105.0,352,623.119494
90.0,300,627.107271
270.0,550,634.375752
360.0,726,643.938967
35.0,270,647.410321
35.0,383,652.421241
120.0,587,660.095519
35.0,320,664.219664
65.0,603,672.267748
120.0,488,678.700855
135.0,417,684.310988
65.0,508,691.047988
50.0,373,695.868768
50.0,344,700.409455
35.0,463,706.396836
475.0,789,716.862725
705.0,957,729.602014
125.0,514,736.317468
240.0,773,746.562349
50.0,282,750.261282
100.0,355,754.869121
250.0,798,765.464356
65.0,371,770.297167
65.0,295,774.144896
180.0,527,781.140301
185.0,435,786.935987
210.0,604,794.976
120.0,477,801.25101
60.0,455,807.240126
45.0,280,810.911137
45.0,321,815.197246
305.0,571,822.748534
180.0,499,829.253777
320.0,601,837.222864
315.0,753,847.187186
180.0,608,855.227986
180.0,730,864.925124
365.0,753,874.974308
75.0,301,878.885215
125.0,388,883.917717
210.0,573,891.480797
250.0,666,900.2632
495.0,1405,918.891091
145.0,412,924.286011
50.0,286,928.087526
85.0,469,934.286012
70.0,457,940.384852
195.0,476,946.580599
60.0,356,951.276111
295.0,623,959.41962
40.0,346,963.922953
655.0,943,976.499603
110.0,461,982.546481
75.0,518,989.283157
245.0,634,997.591682
355.0,786,1008.049172
285.0,680,1017.111097
145.0,462,1023.225177
455.0,1082,1037.450017
195.0,704,1046.783654
100.0,432,1052.460639
130.0,471,1058.606904
245.0,756,1068.696015
55.0,442,1074.529503
85.0,454,1080.461609
100.0,459,1086.468313
340.0,715,1095.987962
335.0,604,1104.037267
215.0,471,1110.242982
45.0,384,1115.262671
310.0,810,1126.042633
105.0,440,1131.770133
40.0,285,1135.50353
20.0,253,1138.756262
210.0,549,1145.992289
370.0,520,1152.919814
70.0,436,1158.621271
40.0,348,1163.157925
115.0,515,1170.032584
245.0,587,1177.802725
