# {"t_start": 1543288154.5514472, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
10.0,242,4.178285
150.0,680,10.56767
5.0,287,12.998095
130.0,465,16.867326
30.0,383,20.307205
280.0,922,28.508504
165.0,531,33.237346
120.0,517,37.90995
245.0,745,44.734543
155.0,718,51.44821
110.0,387,54.91029
240.0,612,60.049685
155.0,480,64.493778
205.0,503,69.100282
305.0,813,76.257461
170.0,490,80.744138
140.0,403,84.231814
195.0,590,89.747989
175.0,483,93.698608
245.0,669,100.036038
145.0,526,104.713248
345.0,820,111.970825
230.0,808,119.01721
200.0,765,125.869729
185.0,610,131.456625
165.0,500,135.961846
65.0,352,138.74212
530.0,1006,147.950418
115.0,483,152.409239
110.0,434,156.15565
180.0,666,162.053935
120.0,476,166.439995
80.0,284,168.87884
330.0,1135,179.136812
70.0,302,181.672485
470.0,888,189.723873
245.0,785,196.722296
140.0,494,201.262
235.0,626,206.965969
55.0,261,209.275857
550.0,975,217.720969
90.0,344,220.994661
90.0,579,225.950309
210.0,625,231.618412
185.0,503,236.221693
75.0,286,238.679553
550.0,772,245.49999
215.0,693,252.012702
95.0,338,254.767277
300.0,995,263.860649
445.0,853,271.238687
220.0,690,277.772643
245.0,604,282.864116
320.0,757,289.724935
245.0,835,297.496513
245.0,751,304.298821
80.0,312,306.898268
270.0,779,313.847801
110.0,298,316.34834
360.0,696,322.894167
355.0,850,330.229784
235.0,635,335.993248
480.0,840,343.820185
490.0,968,352.321349
245.0,654,358.126362
255.0,549,362.932525
155.0,501,367.497478
225.0,658,373.368879
205.0,641,379.113766
550.0,769,386.030264
90.0,285,388.485863
215.0,533,393.191505
225.0,471,397.554832
75.0,293,400.039421
150.0,491,404.48285
215.0,584,409.934887
430.0,907,418.067137
250.0,653,423.920963
525.0,782,430.925258
215.0,516,435.539023
315.0,687,441.504325
410.0,708,447.653949
400.0,789,455.176414
310.0,678,461.097962
175.0,598,466.053727
400.0,454,470.385927
225.0,672,476.284092
320.0,773,483.095211
110.0,278,485.515715
180.0,519,490.181899
430.0,717,496.821625
395.0,628,502.439743
310.0,662,508.306079
465.0,978,516.831182
140.0,376,520.231908
425.0,852,528.027659
320.0,684,534.044943
345.0,809,541.117588
510.0,953,549.915151
335.0,539,554.684558
360.0,607,559.793911
355.0,759,566.670933
105.0,329,569.775738
590.0,733,576.518706
125.0,353,579.292331
290.0,670,585.206452
415.0,775,592.142398
45.0,276,594.555314
260.0,483,599.014997
295.0,496,603.537827
265.0,639,609.284753
360.0,656,615.115368
205.0,539,619.838706
80.0,283,622.269643
280.0,702,628.88239
175.0,487,632.871947
330.0,858,640.816838
295.0,564,645.689919
640.0,619,651.398958
245.0,641,657.159931
280.0,493,661.715
270.0,624,667.479594
230.0,543,672.275244
95.0,319,674.882751
275.0,578,680.357804
380.0,771,687.333013
310.0,702,693.414158
280.0,632,699.175075
350.0,720,705.851022
460.0,625,711.047229
240.0,571,716.430704
310.0,723,722.668732
305.0,741,729.464725
80.0,272,731.859922
180.0,274,734.281294
170.0,415,738.400351
240.0,562,743.263795
405.0,675,749.210249
195.0,501,753.79626
245.0,716,759.950898
265.0,603,765.515464
225.0,476,769.930024
205.0,502,774.503787
315.0,584,779.488999
210.0,514,784.012993
205.0,502,788.458431
690.0,1024,797.703654
450.0,731,803.986303
580.0,855,811.838475
350.0,585,817.307525
155.0,372,820.1649
365.0,616,825.775921
105.0,313,828.857615
170.0,472,832.772187
230.0,471,837.147542
400.0,624,842.766356
355.0,764,849.640337
335.0,618,854.76502
320.0,539,859.572104
370.0,645,865.34942
435.0,995,874.443577
115.0,304,876.965818
525.0,1057,886.877148
145.0,373,890.257435
380.0,633,895.542485
390.0,788,903.042706
330.0,610,908.204006
245.0,535,912.9456
310.0,531,917.667452
290.0,476,921.996419
480.0,539,926.717389
335.0,630,932.421405
160.0,407,936.003018
380.0,541,940.775234
295.0,529,945.439518
200.0,472,949.840818
300.0,490,954.312692
410.0,512,958.972947
425.0,660,964.872142
465.0,799,971.952846
265.0,466,976.310763
645.0,758,983.165374
245.0,441,986.923596
270.0,505,991.49479
285.0,500,996.013613
285.0,491,999.970009
405.0,837,1007.753279
285.0,599,1012.806873
185.0,365,1016.097625
425.0,700,1022.663164
570.0,1009,1031.767997
570.0,964,1040.112309
125.0,550,1044.871417
455.0,890,1052.909981
610.0,780,1059.886461
400.0,631,1065.634697
320.0,563,1070.479637
505.0,786,1077.498025
650.0,1079,1087.498165
410.0,659,1093.382039
265.0,467,1097.730144
420.0,615,1102.871877
210.0,485,1107.341251
360.0,648,1113.128138
340.0,664,1119.028832
250.0,455,1123.322474
585.0,721,1129.460626
330.0,707,1136.034781
465.0,895,1144.058284
185.0,475,1147.878411
100.0,286,1150.319198
485.0,902,1158.404029
375.0,603,1163.95579
550.0,735,1170.585913
375.0,607,1175.67043
425.0,805,1183.280136
615.0,794,1190.198512
100.0,353,1192.930449
415.0,734,1199.69825
370.0,532,1204.395596
405.0,635,1210.012387
455.0,767,1216.952697
115.0,388,1220.453205
225.0,384,1223.901709
250.0,435,1227.627668
225.0,405,1231.176004
395.0,579,1236.64145
800.0,824,1243.820569
455.0,922,1252.044019
385.0,757,1258.818505
355.0,592,1264.374456
380.0,603,1269.368697
485.0,734,1276.061283
215.0,440,1279.827021
420.0,741,1286.599786
475.0,908,1294.533455
440.0,705,1301.061933
215.0,394,1304.511278
665.0,685,1310.492094
375.0,697,1316.458621
195.0,485,1320.882455
155.0,360,1324.237478
160.0,369,1327.626511
460.0,634,1333.343213
465.0,836,1340.644164
225.0,538,1345.410071
280.0,560,1350.240944
495.0,848,1358.058625
415.0,682,1364.05321
385.0,629,1369.729611
360.0,778,1376.616848
440.0,965,1385.580195
425.0,872,1393.036212
345.0,630,1398.603599
350.0,554,1403.937761
510.0,594,1408.978352
350.0,579,1414.399866
270.0,592,1419.431727
380.0,606,1424.920145
135.0,322,1427.563772
400.0,527,1432.235067
135.0,386,1435.680182
185.0,357,1439.001227
665.0,1132,1449.185693
130.0,405,1452.734983
340.0,494,1457.195153
185.0,410,1460.791289
235.0,509,1465.410583
535.0,730,1471.639774
365.0,521,1476.769446
380.0,582,1481.768142
305.0,560,1486.413294
565.0,694,1492.969513
185.0,375,1496.331952
195.0,422,1499.872589
400.0,624,1505.495646
480.0,754,1511.86375
380.0,678,1518.228661
315.0,575,1523.18113
640.0,602,1528.793875
265.0,430,1532.470258
290.0,557,1537.30234
220.0,470,1541.698675
400.0,935,1549.95228
240.0,495,1554.493003
285.0,510,1559.100239
775.0,1011,1568.295276
685.0,690,1574.281303
465.0,670,1580.115007
400.0,647,1585.919146
200.0,568,1591.219399
350.0,522,1595.890417
510.0,696,1601.879218
575.0,960,1610.295077
245.0,469,1614.641422
295.0,487,1619.092074
315.0,600,1624.096513
485.0,722,1630.718829
285.0,578,1635.689251
360.0,433,1639.880732
400.0,577,1644.854452
615.0,637,1650.397389
265.0,486,1654.864923
475.0,672,1660.717521
290.0,539,1665.47082
430.0,580,1670.974874
430.0,701,1677.018325
185.0,380,1680.399609
565.0,767,1687.303251
