# {"t_start": 1542590116.9704316, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
175.0,327,7.834435
75.0,311,11.583935
75.0,324,15.631447
125.0,349,20.053465
75.0,272,23.367527
175.0,341,27.070178
25.0,288,30.245806
125.0,345,34.071901
25.0,291,37.638553
225.0,391,42.631801
400.0,408,48.006376
125.0,287,51.729447
150.0,338,55.742443
125.0,328,59.577621
0.0,292,62.949101
275.0,394,67.534109
50.0,311,71.151053
25.0,246,74.186513
25.0,290,77.886489
200.0,383,82.770309
175.0,317,86.980227
200.0,347,91.274
250.0,347,95.340013
175.0,367,99.670034
275.0,391,104.259172
175.0,332,108.135926
125.0,330,112.002307
375.0,472,118.135956
250.0,333,122.443814
175.0,330,126.750024
125.0,306,130.601291
125.0,318,134.279848
750.0,497,140.117333
600.0,401,144.894325
125.0,325,148.737702
25.0,289,152.256807
175.0,284,155.758421
75.0,326,159.958664
250.0,315,164.059797
525.0,411,169.36738
75.0,317,172.992874
200.0,364,177.275533
200.0,365,181.578781
175.0,357,185.750174
25.0,291,189.113631
225.0,367,193.856904
300.0,331,198.038813
300.0,319,202.147587
200.0,366,206.987927
200.0,290,210.382333
150.0,309,214.014026
100.0,269,217.16718
225.0,289,220.533677
0.0,290,223.907035
150.0,320,227.604833
175.0,306,231.576839
225.0,330,235.740514
300.0,470,241.922919
150.0,277,245.452185
175.0,290,248.768246
150.0,354,252.896744
125.0,305,256.496826
300.0,318,260.146108
800.0,460,265.595989
250.0,280,269.125637
125.0,304,272.987914
750.0,443,278.714538
200.0,346,283.239288
225.0,383,287.761732
225.0,333,291.653401
225.0,340,295.559506
325.0,354,299.668396
200.0,322,303.472547
225.0,308,307.426696
300.0,373,312.225664
150.0,318,316.345629
125.0,300,320.302772
300.0,427,325.353563
225.0,428,330.23636
375.0,467,335.717643
200.0,309,339.328518
225.0,369,344.095824
225.0,296,347.85091
200.0,333,352.183548
150.0,298,356.123445
400.0,412,360.97514
175.0,291,364.351951
600.0,427,369.363874
175.0,307,372.820731
125.0,299,376.53554
75.0,307,380.427102
200.0,389,385.37994
600.0,402,390.664605
850.0,534,397.136106
250.0,285,400.46455
250.0,370,404.80159
200.0,309,408.426901
200.0,374,413.041362
225.0,370,417.763833
200.0,343,422.198387
150.0,343,426.712677
225.0,325,430.614861
200.0,341,434.547322
200.0,310,438.150684
300.0,399,442.88706
250.0,378,447.556878
700.0,371,452.303833
125.0,314,456.377446
275.0,362,461.163233
275.0,402,465.934937
375.0,468,471.452883
700.0,494,477.296323
150.0,273,480.606685
250.0,335,484.849754
200.0,302,488.84339
400.0,407,494.192643
250.0,358,498.536281
350.0,421,503.528611
275.0,490,509.302506
325.0,428,514.468407
175.0,280,518.058419
350.0,401,523.245885
200.0,327,527.49278
200.0,270,530.776504
200.0,330,534.625972
175.0,317,538.300795
125.0,261,541.363945
200.0,403,546.249905
275.0,396,551.421221
225.0,295,555.229023
575.0,408,560.56654
150.0,322,564.359137
250.0,337,568.382523
325.0,375,572.775461
125.0,307,576.591444
225.0,317,580.605597
575.0,367,585.395214
325.0,415,590.777856
350.0,403,595.686149
250.0,293,599.08887
400.0,391,603.66676
225.0,426,608.888147
425.0,417,614.322406
275.0,344,618.773975
375.0,360,623.503645
425.0,418,628.39871
475.0,419,633.378859
325.0,397,638.192162
300.0,307,642.11184
350.0,413,647.458906
400.0,434,653.069098
325.0,399,657.802263
250.0,342,661.852469
325.0,375,666.216313
225.0,387,671.163702
225.0,299,674.909464
650.0,401,680.213231
325.0,388,685.164284
250.0,286,688.413581
175.0,310,692.054105
200.0,312,695.67749
300.0,355,700.298528
475.0,425,705.750296
225.0,317,709.935224
350.0,436,715.414448
250.0,389,720.000464
250.0,333,723.886601
325.0,326,727.950608
375.0,445,733.517018
400.0,400,738.787102
875.0,564,745.887791
125.0,335,749.848301
275.0,389,754.320656
150.0,339,758.692015
325.0,405,763.895639
625.0,397,769.06917
375.0,476,774.996672
175.0,321,778.77176
325.0,412,783.581961
350.0,491,789.998503
375.0,394,795.161499
700.0,513,801.760513
375.0,393,806.402095
425.0,470,811.932206
175.0,375,816.743145
300.0,448,822.599375
300.0,327,826.905603
250.0,322,830.891953
350.0,394,835.501687
325.0,435,840.682647
925.0,502,847.041141
250.0,285,850.762813
625.0,414,856.105694
325.0,459,861.687211
300.0,360,865.930159
375.0,403,870.970048
350.0,380,875.720715
250.0,294,879.517876
475.0,444,885.409166
375.0,317,889.175023
300.0,334,893.056805
225.0,334,896.939895
200.0,318,901.096702
200.0,304,904.87819
350.0,393,910.015615
350.0,426,915.505743
450.0,576,922.240954
300.0,423,927.45033
325.0,413,932.688019
350.0,433,938.360392
775.0,668,946.735331
350.0,418,951.591144
300.0,303,955.411143
750.0,483,961.639178
175.0,286,965.284234
275.0,401,970.534917
375.0,468,976.104611
