# {"t_start": 1542936232.2429264, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
75.0,309,7.710297
375.0,396,12.595688
75.0,317,16.490163
325.0,487,22.678638
550.0,417,27.249207
50.0,264,30.124168
525.0,397,34.429116
325.0,433,40.016102
125.0,298,43.888619
200.0,344,48.513498
500.0,409,53.716318
75.0,301,57.204737
100.0,321,60.99729
125.0,333,64.877787
300.0,409,69.902196
250.0,355,74.408597
100.0,285,78.150555
75.0,275,81.730942
225.0,316,85.86759
575.0,345,89.911439
250.0,299,93.295963
300.0,413,98.248113
150.0,329,101.997963
275.0,390,107.054902
325.0,326,111.268192
300.0,304,115.326825
300.0,317,119.526224
250.0,317,123.212272
225.0,301,126.798859
300.0,329,130.669401
350.0,389,135.267204
325.0,305,139.081548
275.0,300,143.038539
225.0,305,147.126689
250.0,358,151.916074
275.0,296,155.55041
150.0,291,158.997057
300.0,320,162.810041
200.0,274,166.031674
275.0,365,170.273569
125.0,303,174.270237
375.0,337,178.490714
300.0,308,182.634692
250.0,299,186.63167
350.0,302,190.206353
175.0,325,194.035351
275.0,344,198.001371
300.0,327,201.846389
125.0,299,205.406902
300.0,375,210.354518
200.0,284,214.143859
400.0,483,220.530013
375.0,350,224.795395
275.0,304,228.384255
225.0,407,233.257311
250.0,322,236.947499
250.0,308,240.865567
325.0,302,244.644139
350.0,390,249.85973
450.0,405,255.320204
350.0,366,259.692639
125.0,268,262.781679
300.0,295,266.207598
250.0,316,269.852909
300.0,337,273.995108
300.0,301,277.961306
350.0,374,282.935409
150.0,266,286.460779
250.0,289,290.167847
325.0,298,293.633788
325.0,387,298.196642
150.0,268,301.288024
225.0,322,305.036487
325.0,394,310.057535
300.0,353,314.77339
250.0,303,318.726604
200.0,313,322.851496
250.0,301,326.493151
275.0,298,329.956915
300.0,317,333.663594
225.0,321,337.522189
350.0,319,341.453171
300.0,366,346.184783
275.0,336,350.636485
225.0,300,354.666171
400.0,396,359.493514
275.0,349,363.620391
325.0,328,367.530309
325.0,435,372.825022
275.0,299,376.658108
300.0,367,381.511412
550.0,394,386.752676
350.0,344,391.069376
400.0,487,396.897181
900.0,536,403.248013
375.0,335,407.500045
275.0,323,411.718405
300.0,294,415.538108
250.0,303,419.595783
300.0,351,423.925713
325.0,333,427.770725
275.0,400,432.445454
325.0,300,436.03097
275.0,303,439.838868
175.0,328,444.092304
300.0,346,448.683236
200.0,268,452.260091
250.0,306,455.954227
225.0,411,460.819498
275.0,348,464.932685
300.0,412,470.038003
300.0,297,473.963309
300.0,324,478.163372
275.0,330,482.533778
350.0,341,486.962545
250.0,317,490.671659
325.0,318,494.385715
250.0,339,498.407951
800.0,435,503.96297
575.0,448,509.866053
300.0,410,515.364596
300.0,350,519.678807
250.0,344,523.637841
375.0,366,527.931681
300.0,379,532.565474
275.0,336,536.953949
200.0,311,541.093407
250.0,299,544.955173
300.0,361,549.617833
225.0,314,553.278819
325.0,353,557.458925
200.0,296,560.877185
425.0,422,566.409173
400.0,387,571.382011
300.0,306,575.496088
350.0,375,580.273126
325.0,320,584.108815
600.0,405,588.935591
375.0,330,592.857368
250.0,279,596.505843
200.0,272,599.975408
275.0,300,603.827698
625.0,378,608.831545
275.0,342,612.937455
375.0,412,617.796621
300.0,380,622.327178
325.0,352,626.811879
275.0,433,632.492956
350.0,331,636.843751
275.0,387,641.768047
375.0,387,646.368069
225.0,341,650.352339
575.0,433,655.749219
125.0,304,659.640621
250.0,448,665.638396
375.0,357,670.316563
300.0,303,673.99111
175.0,338,677.966089
300.0,382,682.427968
375.0,385,687.373433
700.0,499,693.980405
200.0,344,698.497105
675.0,411,703.646212
300.0,317,707.472311
275.0,315,711.180504
475.0,465,716.882823
250.0,282,720.523196
250.0,278,724.218945
350.0,362,729.090993
275.0,305,732.907535
175.0,299,736.365949
250.0,319,740.129693
600.0,419,745.355994
175.0,304,749.208755
225.0,291,752.995648
150.0,392,758.188602
575.0,393,763.284511
275.0,385,767.809145
350.0,400,772.585894
250.0,374,777.459098
275.0,330,781.74333
250.0,309,785.837539
250.0,302,789.76736
300.0,314,793.451916
400.0,407,798.305657
200.0,320,802.338714
175.0,317,806.431783
350.0,353,811.020936
200.0,264,814.471468
175.0,323,818.593614
175.0,268,821.786414
325.0,366,826.097639
425.0,428,831.482605
250.0,327,835.780121
250.0,304,839.76555
375.0,386,844.987398
300.0,302,848.594167
225.0,345,852.593736
350.0,363,857.218814
300.0,354,861.803365
250.0,277,865.473361
825.0,357,870.265514
400.0,413,875.220063
250.0,314,878.869774
200.0,341,883.226688
200.0,342,887.639091
325.0,347,892.225472
375.0,416,897.513218
325.0,394,902.115144
350.0,508,908.61482
275.0,306,912.624597
325.0,371,917.52273
375.0,447,923.153065
250.0,336,927.185931
375.0,399,932.263349
250.0,347,936.80745
300.0,322,941.060889
325.0,320,945.251755
400.0,500,951.155946
275.0,323,955.345023
275.0,302,959.248926
275.0,324,963.454013
300.0,344,968.019499
325.0,373,972.462415
700.0,570,979.681863
275.0,350,984.182576
300.0,360,988.876062
250.0,325,993.176764
450.0,382,997.707723
325.0,402,1002.337436
275.0,339,1006.289754
300.0,313,1010.375845
325.0,401,1015.68082
375.0,494,1022.010055
250.0,438,1027.276992
150.0,264,1030.162464
650.0,395,1034.855581
250.0,356,1039.515079
300.0,347,1044.052548
275.0,408,1049.398335
275.0,358,1053.767271
325.0,504,1059.491474
300.0,301,1063.032923
275.0,327,1067.094895
625.0,382,1072.165028
325.0,407,1077.599607
250.0,313,1081.246903
350.0,406,1085.953988
350.0,430,1090.905647
350.0,457,1096.210936
325.0,405,1101.416668
250.0,283,1105.107356
300.0,337,1109.631779
350.0,355,1113.896703
225.0,352,1117.839747
375.0,389,1122.237769
550.0,341,1126.061667
700.0,428,1131.069418
350.0,326,1135.004822
300.0,379,1140.071974
300.0,319,1144.311225
225.0,333,1148.252697
425.0,398,1152.754426
375.0,428,1157.578972
400.0,354,1161.530237
300.0,301,1164.968884
250.0,308,1168.46196
350.0,396,1173.00451
225.0,355,1177.295551
325.0,336,1181.723449
375.0,382,1186.85049
275.0,367,1191.296607
275.0,348,1195.107205
350.0,321,1198.740281
350.0,397,1203.158883
275.0,308,1206.577903
225.0,292,1209.818548
725.0,427,1214.649939
250.0,326,1218.377985
325.0,367,1222.537693
700.0,448,1228.467688
475.0,420,1234.140162
325.0,379,1238.633547
450.0,422,1243.390373
275.0,304,1246.67105
400.0,340,1250.540862
200.0,322,1254.090251
650.0,451,1259.162683
475.0,390,1263.537942
725.0,540,1269.697217
325.0,334,1273.424709
325.0,422,1278.465513
550.0,382,1283.581863
350.0,412,1288.882013
375.0,357,1293.10468
400.0,373,1297.206416
300.0,339,1301.06389
300.0,310,1304.496312
375.0,404,1308.910521
350.0,331,1312.596984
275.0,341,1316.44449
400.0,453,1321.555661
275.0,364,1325.66501
300.0,386,1329.870911
300.0,361,1333.935947
250.0,297,1337.195619
250.0,283,1340.368446
575.0,400,1344.866354
325.0,421,1350.437199
350.0,449,1356.369083
425.0,382,1360.834103
225.0,341,1364.756669
400.0,391,1369.10194
175.0,316,1372.57935
650.0,448,1377.610996
300.0,337,1381.280191
250.0,396,1385.711227
350.0,398,1390.222533
250.0,306,1393.643329
350.0,411,1398.188313
650.0,420,1402.815331
325.0,423,1407.612713
325.0,398,1412.048045
350.0,452,1417.105375
575.0,395,1421.464713
150.0,264,1424.420743
725.0,413,1429.346864
400.0,461,1435.349901
400.0,440,1440.8327
375.0,443,1446.053369
475.0,482,1451.490494
300.0,438,1456.322639
325.0,383,1460.667801
300.0,407,1465.237718
325.0,339,1468.972601
250.0,293,1472.157146
700.0,552,1478.342211
625.0,384,1482.674918
375.0,503,1488.357853
300.0,333,1492.019459
300.0,344,1495.786219
275.0,309,1499.205926
375.0,403,1503.748595
250.0,368,1507.849556
200.0,336,1511.527299
375.0,391,1515.876258
325.0,358,1520.296578
650.0,407,1525.458212
450.0,444,1530.876844
300.0,388,1535.430393
350.0,427,1540.35222
275.0,420,1545.102224
275.0,409,1549.647632
700.0,529,1555.58607
600.0,383,1559.765907
375.0,377,1563.989335
450.0,499,1569.518185
500.0,489,1574.975223
350.0,389,1579.311227
400.0,555,1585.599504
425.0,583,1592.141988
150.0,324,1595.678429
425.0,481,1601.098543
650.0,410,1605.686749
650.0,388,1610.029527
275.0,297,1613.923942
325.0,316,1617.740941
700.0,394,1622.421209
1150.0,611,1629.582318
400.0,415,1634.406423
275.0,379,1638.829694
250.0,352,1642.726885
275.0,345,1646.597874
250.0,367,1650.573122
700.0,412,1655.138087
625.0,354,1659.164966
325.0,353,1663.066494
625.0,413,1667.635614
475.0,527,1673.547358
625.0,399,1677.976864
350.0,411,1682.60085
400.0,548,1688.729282
775.0,549,1695.111838
325.0,347,1699.083205
300.0,309,1702.645802
350.0,353,1706.713807
325.0,318,1710.364429
425.0,487,1715.983795
700.0,495,1721.587997
600.0,429,1726.517318
375.0,348,1730.502905
350.0,376,1734.951315
675.0,507,1740.668691
675.0,454,1745.765691
750.0,538,1751.745975
375.0,515,1757.495182
675.0,412,1762.081178
700.0,516,1767.946684
675.0,462,1773.018602
725.0,478,1778.450206
450.0,466,1783.540429
450.0,479,1789.095634
575.0,409,1793.894254
400.0,484,1799.334716
650.0,394,1803.80605
725.0,478,1809.346193
625.0,415,1814.004766
675.0,408,1818.645361
500.0,451,1823.766176
500.0,522,1829.68438
650.0,401,1834.306893
625.0,398,1839.079637
625.0,396,1843.467972
675.0,511,1849.161226
650.0,405,1853.6913
650.0,461,1858.907717
650.0,500,1864.469079
375.0,383,1868.785366
725.0,481,1874.159483
400.0,436,1878.946976
675.0,561,1885.317333
650.0,400,1889.737125
300.0,360,1893.832067
300.0,370,1898.081143
275.0,379,1902.334457
600.0,389,1906.73472
650.0,408,1911.397412
400.0,444,1916.432033
625.0,465,1921.697374
700.0,385,1926.100143
750.0,466,1931.432646
675.0,472,1936.822856
675.0,462,1942.062368
775.0,551,1948.49025
275.0,374,1952.783917
800.0,590,1959.366453
675.0,512,1965.041715
625.0,360,1969.104965
325.0,363,1973.184128
650.0,422,1977.821268
700.0,417,1982.437411
750.0,537,1988.494469
300.0,306,1991.812356
650.0,329,1995.459605
675.0,421,2000.16733
675.0,421,2004.804232
675.0,429,2009.587145
600.0,358,2013.677056
350.0,365,2017.683812
275.0,380,2022.063885
725.0,513,2027.848604
750.0,491,2033.437692
675.0,465,2038.782151
425.0,547,2044.986495
625.0,396,2049.594163
625.0,395,2054.052942
650.0,410,2058.753457
700.0,427,2063.72294
375.0,376,2068.128229
725.0,494,2073.603999
650.0,464,2078.776028
275.0,349,2082.55324
725.0,428,2087.322186
375.0,440,2092.261576
700.0,412,2096.774244
750.0,473,2102.030088
725.0,494,2107.558802
425.0,419,2112.190784
675.0,421,2116.890374
675.0,406,2121.389269
625.0,414,2125.977002
675.0,418,2130.563505
700.0,400,2135.065572
700.0,394,2139.422572
400.0,560,2145.702188
725.0,430,2150.613896
300.0,369,2154.759421
700.0,444,2159.830276
750.0,560,2166.236141
675.0,487,2171.884922
675.0,381,2176.278296
700.0,412,2181.008011
475.0,633,2188.213272
675.0,401,2192.772501
700.0,578,2199.435592
750.0,490,2204.821179
725.0,485,2210.259606
675.0,413,2214.857348
800.0,539,2220.925398
450.0,443,2225.827838
725.0,503,2231.517689
775.0,568,2237.862275
675.0,388,2242.203193
700.0,435,2247.058022
725.0,366,2251.186332
700.0,436,2256.200242
700.0,428,2261.195032
800.0,677,2269.144632
600.0,342,2272.981721
750.0,454,2278.263634
375.0,389,2282.678601
650.0,369,2286.813993
750.0,499,2292.641641
1225.0,633,2299.786225
700.0,510,2305.538003
650.0,413,2310.159721
750.0,596,2316.880696
675.0,434,2321.748546
650.0,472,2327.018728
675.0,487,2332.889244
675.0,435,2338.006089
675.0,418,2342.994174
750.0,538,2349.213191
750.0,538,2355.421167
700.0,479,2361.015431
675.0,416,2365.692693
625.0,427,2370.456097
725.0,376,2374.646475
750.0,515,2380.442659
650.0,384,2384.842356
725.0,396,2389.413384
1200.0,664,2397.438182
775.0,505,2403.532766
750.0,557,2410.030467
800.0,530,2416.264699
750.0,514,2422.07347
650.0,446,2427.163973
775.0,514,2432.95456
650.0,391,2437.369565
750.0,433,2442.384332
750.0,403,2447.278101
725.0,410,2452.17931
800.0,575,2459.011096
725.0,447,2464.223837
650.0,481,2469.877477
750.0,551,2476.137794
725.0,530,2482.177903
725.0,400,2486.652054
625.0,345,2490.574604
675.0,452,2495.830524
700.0,398,2500.703509
725.0,525,2506.850624
725.0,469,2512.364357
1175.0,514,2518.427011
1325.0,724,2526.944632
800.0,539,2533.028032
675.0,397,2537.592695
775.0,397,2542.060029
725.0,480,2547.44147
725.0,386,2552.028285
675.0,398,2556.802361
725.0,427,2561.775296
800.0,489,2567.607515
700.0,469,2573.181591
700.0,422,2578.11085
750.0,462,2583.271248
1275.0,623,2590.37105
675.0,484,2595.80142
750.0,392,2600.381166
750.0,408,2605.045353
725.0,403,2609.877608
675.0,455,2615.302449
750.0,541,2621.816482
600.0,396,2626.398227
750.0,434,2631.478145
725.0,406,2636.061397
775.0,470,2641.375476
750.0,615,2648.351434
1300.0,673,2656.01977
725.0,426,2661.017149
725.0,508,2667.112242
775.0,505,2673.067672
725.0,490,2678.856598
725.0,474,2684.434641
775.0,527,2690.621812
675.0,524,2696.610269
725.0,442,2701.551581
725.0,439,2706.576662
450.0,497,2712.145625
1300.0,601,2719.008602
750.0,728,2727.83604
325.0,379,2732.352615
775.0,586,2739.285253
750.0,438,2744.39835
725.0,418,2749.199354
775.0,564,2755.617409
750.0,518,2761.406042
750.0,405,2765.964234
475.0,455,2771.075879
750.0,619,2778.162531
800.0,471,2783.528818
725.0,375,2788.019621
750.0,374,2792.409984
800.0,412,2797.315178
775.0,480,2803.007364
775.0,525,2809.012477
825.0,592,2815.894544
725.0,438,2820.829954
300.0,322,2824.340762
775.0,433,2829.202772
750.0,475,2834.513785
725.0,485,2839.974826
1300.0,516,2845.785985
775.0,500,2851.699116
775.0,500,2857.698734
475.0,408,2862.482424
750.0,401,2867.187065
800.0,667,2874.77722
775.0,500,2880.672375
800.0,517,2886.538842
775.0,417,2891.295576
750.0,449,2896.222761
800.0,438,2901.213328
625.0,379,2905.372907
750.0,527,2911.338204
700.0,449,2916.535859
750.0,550,2923.22156
800.0,419,2928.06405
800.0,512,2934.055967
775.0,486,2939.677483
800.0,570,2946.348909
750.0,491,2951.84589
775.0,444,2956.924083
725.0,414,2961.582149
4250.0,757,2970.125561
775.0,521,2976.243593
800.0,530,2982.577676
800.0,577,2989.403371
450.0,467,2994.886965
800.0,594,3001.779747
750.0,464,3007.078663
750.0,473,3012.500131
800.0,623,3019.544273
775.0,584,3026.223242
800.0,485,3031.713983
800.0,514,3037.970166
700.0,396,3042.633623
775.0,505,3048.632907
775.0,451,3053.885417
325.0,567,3060.518681
775.0,510,3066.33996
800.0,541,3072.561266
775.0,501,3078.217843
700.0,404,3082.86437
800.0,562,3089.738351
800.0,494,3095.642053
775.0,440,3100.788536
800.0,658,3108.486775
825.0,597,3115.395716
800.0,483,3120.866168
425.0,466,3126.19213
775.0,395,3130.800729
825.0,594,3137.947631
3950.0,746,3147.033727
775.0,429,3152.045081
4225.0,753,3160.815936
1325.0,614,3167.885957
825.0,649,3175.571249
800.0,511,3181.712874
825.0,583,3188.935505
825.0,654,3196.736922
400.0,404,3201.330393
800.0,478,3206.787715
825.0,596,3213.639786
1300.0,714,3222.294142
825.0,615,3230.09175
825.0,560,3236.791563
750.0,417,3241.604104
725.0,428,3246.44677
800.0,502,3252.218426
775.0,479,3257.630223
825.0,679,3265.70816
775.0,389,3270.434927
375.0,393,3275.490759
800.0,610,3282.780198
1325.0,651,3290.322463
825.0,621,3297.330881
750.0,481,3302.86334
800.0,576,3309.392986
825.0,494,3315.338735
750.0,455,3320.962784
775.0,559,3327.904736
925.0,676,3335.832894
1000.0,681,3343.485239
750.0,416,3348.24505
750.0,574,3354.70733
825.0,758,3363.258239
775.0,512,3369.567636
1325.0,673,3377.882074
775.0,438,3383.111703
800.0,585,3389.78711
1325.0,796,3398.798475
825.0,652,3406.255031
3950.0,645,3413.486726
800.0,750,3422.736433
800.0,522,3429.245564
3950.0,627,3436.670919
825.0,608,3443.635705
800.0,543,3449.815827
825.0,515,3455.602241
800.0,567,3462.01087
825.0,638,3469.29435
575.0,689,3477.871916
1325.0,641,3485.508772
800.0,566,3492.056785
825.0,681,3499.964067
700.0,544,3506.158692
425.0,439,3511.086076
800.0,505,3516.877776
4225.0,672,3525.181732
825.0,614,3532.514275
4075.0,791,3541.774792
775.0,422,3546.604448
825.0,606,3553.601256
800.0,475,3559.037867
725.0,477,3564.928494
800.0,588,3572.212558
800.0,699,3580.574433
825.0,708,3588.887227
1325.0,628,3596.143403
650.0,373,3600.418108
800.0,494,3606.520144
1325.0,624,3614.274688
800.0,499,3620.172742
775.0,491,3625.898026
1300.0,730,3634.378022
825.0,674,3642.400912
800.0,596,3649.865897
900.0,804,3659.601362
800.0,512,3665.656936
775.0,452,3670.863685
825.0,758,3680.00601
1300.0,747,3689.346032
825.0,747,3698.269062
1150.0,636,3705.64316
825.0,651,3713.410951
800.0,509,3719.856503
1300.0,707,3728.598287
825.0,595,3735.668049
825.0,599,3742.706745
750.0,445,3747.936959
1400.0,706,3756.887343
800.0,626,3764.443035
825.0,703,3772.679316
1325.0,704,3780.951002
800.0,652,3789.156519
825.0,607,3796.817901
775.0,470,3802.302376
800.0,562,3808.954275
3975.0,674,3816.991723
825.0,668,3825.44139
1325.0,894,3836.499041
800.0,438,3841.685916
775.0,560,3848.13198
800.0,613,3855.604938
775.0,414,3860.885264
4100.0,606,3868.3193
800.0,523,3874.577313
800.0,690,3882.647829
825.0,747,3891.684013
800.0,581,3898.953398
825.0,824,3908.946792
525.0,656,3916.636909
725.0,456,3921.878831
1300.0,690,3930.343
700.0,462,3936.151486
775.0,639,3943.800846
800.0,613,3950.931021
825.0,576,3957.686461
775.0,516,3963.69805
775.0,368,3968.277448
825.0,581,3975.382837
775.0,479,3981.170887
800.0,497,3986.986786
4450.0,681,3994.882132
800.0,492,4000.542853
825.0,628,4008.329867
825.0,540,4015.052175
800.0,672,4023.084162
800.0,656,4030.67542
825.0,631,4037.965457
800.0,620,4045.379443
825.0,568,4052.437766
400.0,481,4058.316029
800.0,528,4064.556942
800.0,539,4070.758795
3975.0,728,4079.269376
725.0,488,4085.341077
825.0,470,4091.150568
825.0,537,4097.534042
800.0,768,4106.583313
725.0,582,4113.292327
800.0,557,4120.078584
