# {"t_start": 1542576102.2066145, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
175.0,416,7.264214
25.0,248,10.36317
125.0,304,13.892425
325.0,386,18.731181
150.0,319,22.1069
225.0,300,25.335722
300.0,399,29.990871
500.0,508,35.93765
275.0,352,40.177167
175.0,336,44.564322
275.0,316,47.974052
400.0,426,52.681765
250.0,342,56.871265
150.0,308,60.095901
375.0,520,66.006393
625.0,411,70.681585
150.0,272,73.724774
175.0,336,77.897943
275.0,467,82.719773
300.0,417,87.287727
125.0,263,90.316738
650.0,454,95.979661
250.0,347,100.202801
275.0,339,103.555427
150.0,352,107.831126
375.0,395,112.402423
550.0,345,115.835674
250.0,304,119.861936
200.0,351,123.287728
300.0,418,127.962464
575.0,374,132.346978
400.0,402,136.879899
200.0,298,140.850616
475.0,336,144.238404
450.0,475,149.976033
325.0,395,154.52632
300.0,402,159.089174
200.0,348,162.46499
575.0,410,167.864413
425.0,504,172.882483
600.0,403,177.426234
425.0,464,183.219673
300.0,423,187.883955
325.0,430,193.397697
450.0,340,196.775769
375.0,438,201.429688
250.0,374,205.797161
325.0,468,211.537224
175.0,296,214.718752
350.0,384,219.168924
375.0,439,223.875104
550.0,403,228.467019
550.0,397,233.045709
650.0,369,237.47089
675.0,423,242.101884
300.0,371,246.447854
275.0,348,250.591844
400.0,446,255.433855
550.0,413,259.981928
350.0,585,267.094911
325.0,376,271.49667
300.0,306,274.659669
300.0,350,278.904694
250.0,294,282.132575
325.0,433,286.933677
300.0,444,292.555864
225.0,290,295.651141
575.0,309,298.867171
275.0,351,303.140618
350.0,375,307.559681
625.0,413,312.113416
325.0,433,316.892488
700.0,599,324.15495
350.0,432,328.908381
275.0,411,333.423241
600.0,427,337.994113
300.0,305,342.055174
625.0,476,347.240405
350.0,446,353.211736
425.0,523,359.240012
700.0,405,363.622251
575.0,397,368.061933
425.0,463,372.820413
350.0,314,376.980107
375.0,401,381.514625
250.0,361,384.930142
325.0,408,389.379274
300.0,318,393.519644
550.0,363,398.070657
375.0,487,403.164191
350.0,304,407.147776
275.0,323,410.429929
325.0,391,414.95215
350.0,392,419.375571
375.0,437,424.13194
400.0,404,428.912943
450.0,564,436.328529
250.0,371,440.758909
625.0,478,445.816607
375.0,434,451.44377
350.0,435,456.283434
375.0,406,460.870921
675.0,494,466.957082
275.0,404,471.65962
625.0,440,476.705429
225.0,335,480.944095
300.0,404,485.815353
675.0,571,492.324687
700.0,524,498.378947
450.0,474,504.304184
375.0,396,509.033106
350.0,373,513.46751
625.0,425,518.331717
350.0,412,523.018419
625.0,407,527.572868
350.0,400,532.125398
300.0,383,536.595531
700.0,467,542.378499
350.0,503,547.852124
600.0,416,553.34302
550.0,375,557.036877
475.0,665,564.836449
675.0,665,573.584079
575.0,412,578.432432
700.0,485,583.506291
650.0,420,589.05945
300.0,392,593.707988
500.0,320,597.297029
650.0,447,602.27089
300.0,379,606.973262
625.0,450,612.767477
650.0,369,617.152214
250.0,439,622.349449
350.0,436,627.376307
825.0,414,632.074194
550.0,444,637.760002
350.0,439,642.577325
425.0,497,648.4638
325.0,326,651.918208
425.0,470,657.646977
400.0,462,662.454643
425.0,534,668.5498
350.0,399,673.818643
350.0,367,677.391006
300.0,345,681.642522
400.0,457,686.559348
700.0,387,691.086591
425.0,464,696.723009
625.0,412,701.243115
600.0,399,705.793712
425.0,492,711.664101
625.0,407,716.204468
425.0,420,720.810414
650.0,487,726.525482
350.0,399,731.07217
325.0,389,735.637146
675.0,539,741.729097
425.0,455,746.460097
550.0,379,750.966975
400.0,435,756.490283
450.0,544,762.660412
350.0,379,767.040432
675.0,466,771.861462
625.0,405,776.371619
575.0,361,780.741761
375.0,537,786.748887
625.0,499,792.565032
300.0,487,798.315421
650.0,383,802.772919
675.0,405,807.245719
400.0,489,812.203199
275.0,422,817.636751
725.0,706,825.36485
400.0,505,831.227951
300.0,369,835.533209
725.0,515,841.540332
750.0,564,847.760627
650.0,522,853.757693
475.0,575,860.020141
600.0,421,864.593724
500.0,538,871.607548
675.0,412,876.261746
650.0,415,880.73677
250.0,319,883.978926
450.0,580,891.113199
750.0,484,896.137478
400.0,557,903.213437
675.0,517,909.111773
700.0,506,915.057798
175.0,282,918.190824
625.0,406,922.798679
750.0,542,928.960178
700.0,522,934.950459
700.0,569,941.145178
675.0,412,945.742044
700.0,408,950.327465
700.0,485,956.201149
575.0,381,960.779194
775.0,574,967.556011
950.0,667,975.703413
700.0,413,980.19056
700.0,596,986.343407
675.0,467,991.870306
675.0,437,996.452679
725.0,557,1002.3518
725.0,440,1007.76245
800.0,552,1013.719918
650.0,467,1019.246206
650.0,510,1024.182871
700.0,463,1029.65532
725.0,474,1035.217154
700.0,485,1040.012791
675.0,414,1044.421947
825.0,758,1053.008807
475.0,558,1059.802723
1275.0,542,1065.745195
1025.0,740,1073.333148
550.0,357,1077.623898
750.0,558,1083.549056
1250.0,885,1093.562035
725.0,592,1100.527438
725.0,750,1109.10868
800.0,616,1115.359661
725.0,430,1120.72844
1200.0,548,1126.613472
750.0,635,1133.779999
775.0,729,1141.376389
675.0,419,1145.857212
1275.0,656,1153.095339
800.0,657,1161.192107
1250.0,847,1170.185324
725.0,445,1174.807055
450.0,534,1181.460225
475.0,538,1187.347908
325.0,374,1190.748548
750.0,581,1197.613008
1025.0,735,1206.060567
375.0,385,1210.356244
375.0,384,1213.898324
700.0,500,1219.582271
750.0,552,1225.490951
775.0,476,1231.092515
475.0,608,1238.132686
775.0,619,1245.21561
650.0,424,1249.693083
475.0,752,1258.253533
750.0,577,1264.292597
