# {"t_start": 1542576102.1775336, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
275.0,482,7.686622
200.0,353,12.329473
150.0,267,15.590176
250.0,352,20.112552
125.0,311,23.465873
850.0,565,29.836068
75.0,281,32.976167
575.0,399,37.486099
325.0,325,41.598902
250.0,308,45.04783
250.0,334,49.317276
300.0,302,52.528806
325.0,425,57.204946
125.0,263,60.172013
175.0,351,64.383803
175.0,272,67.399973
150.0,393,71.951886
175.0,353,75.411196
200.0,358,79.72518
575.0,377,84.050126
275.0,328,87.355775
275.0,419,92.849844
225.0,283,95.945415
175.0,285,99.088951
300.0,392,103.479917
225.0,366,107.82649
550.0,379,112.320956
275.0,411,116.911384
200.0,337,120.297345
125.0,296,123.44714
250.0,382,127.902457
525.0,470,133.635408
300.0,403,138.178599
175.0,281,141.226205
300.0,413,145.855762
275.0,321,149.943088
275.0,366,153.497287
325.0,370,157.92384
350.0,424,162.534351
275.0,363,166.849588
250.0,389,171.302578
225.0,363,175.568878
175.0,323,178.915052
175.0,321,183.087524
275.0,290,186.203016
425.0,448,191.063205
225.0,348,195.278211
300.0,360,199.493723
675.0,437,204.222641
600.0,428,208.894602
275.0,328,213.059436
300.0,339,216.517912
250.0,363,220.827183
225.0,291,223.92272
400.0,390,228.42704
675.0,436,234.038592
175.0,323,237.390744
225.0,361,241.672224
600.0,425,246.33802
425.0,586,253.402101
450.0,532,259.46359
575.0,360,262.941981
350.0,406,267.472048
400.0,436,273.014648
725.0,545,279.076967
275.0,318,282.445185
350.0,386,286.982264
325.0,396,291.541851
250.0,302,294.68729
325.0,390,299.162745
700.0,457,304.802521
225.0,340,308.975208
250.0,315,312.249414
550.0,452,317.140913
725.0,433,322.668263
350.0,417,327.320627
275.0,314,330.584325
425.0,402,335.042531
325.0,323,339.094694
325.0,396,343.642335
325.0,347,347.342953
250.0,376,352.075537
400.0,586,359.296785
325.0,463,363.965402
625.0,410,368.472214
325.0,379,372.790638
350.0,311,376.117608
275.0,386,380.56634
425.0,388,384.939909
375.0,384,389.272088
425.0,394,393.846837
150.0,287,397.130735
300.0,318,401.311841
300.0,358,405.618257
425.0,409,410.136233
400.0,587,416.532501
325.0,464,422.183009
375.0,394,426.759469
325.0,404,431.603368
475.0,613,438.389088
375.0,371,442.81095
650.0,435,448.475824
600.0,507,453.692532
300.0,370,458.109721
575.0,445,463.84762
675.0,538,470.183091
525.0,404,474.978058
250.0,355,479.372665
375.0,507,484.804558
350.0,449,490.577377
350.0,433,495.413503
1200.0,618,502.917927
575.0,407,507.650095
325.0,428,512.463721
325.0,501,518.606197
400.0,501,524.496095
675.0,454,529.371149
625.0,369,533.691765
400.0,448,539.357012
225.0,363,543.052799
300.0,377,547.729673
225.0,357,552.11859
200.0,352,556.447938
675.0,512,561.675644
700.0,491,567.806366
475.0,495,573.910613
200.0,299,577.286493
675.0,468,583.093042
675.0,574,589.573202
325.0,480,595.589607
625.0,535,601.946744
650.0,425,606.894076
400.0,557,613.31366
350.0,368,617.791857
250.0,345,622.361111
400.0,669,630.362195
325.0,386,634.837483
350.0,455,639.826751
250.0,315,643.918383
350.0,419,648.569025
325.0,396,653.218411
1200.0,589,659.56889
675.0,556,666.542423
300.0,308,669.766068
300.0,351,673.99202
600.0,430,678.700833
225.0,344,682.954275
375.0,394,687.525616
350.0,416,692.197362
625.0,404,696.687738
250.0,307,699.832029
325.0,437,704.599575
275.0,440,710.17861
675.0,454,714.975155
650.0,403,719.517425
325.0,361,723.733936
275.0,299,726.901215
350.0,381,731.34744
650.0,400,735.971649
325.0,388,740.435996
650.0,399,744.884796
675.0,416,749.555853
650.0,408,754.108197
400.0,390,758.633471
675.0,516,764.616895
400.0,454,770.155035
600.0,420,774.774576
375.0,416,779.395621
675.0,538,785.460243
525.0,737,794.14393
300.0,340,798.293478
375.0,376,801.910621
650.0,502,807.714065
275.0,421,812.311558
700.0,506,818.234199
725.0,599,825.337015
250.0,315,828.57094
675.0,398,833.025665
650.0,384,837.436504
675.0,552,843.707827
200.0,315,847.734826
650.0,515,853.699006
625.0,395,858.220895
475.0,717,865.973665
325.0,352,870.32603
650.0,485,876.215271
375.0,457,880.940756
625.0,478,886.688117
625.0,387,891.104149
200.0,315,894.415921
425.0,586,901.619171
700.0,485,906.603118
700.0,534,912.661766
475.0,618,920.052699
750.0,601,927.368771
750.0,709,935.172116
650.0,502,941.022178
750.0,476,946.783215
650.0,513,952.753002
650.0,363,956.349733
675.0,564,963.720531
725.0,566,970.200019
750.0,625,977.295404
725.0,477,982.116304
450.0,643,989.285927
425.0,537,995.184223
750.0,688,1003.389242
750.0,526,1009.241417
725.0,632,1016.378489
400.0,587,1022.531523
700.0,452,1027.954007
400.0,573,1033.997587
725.0,552,1039.916487
750.0,471,1045.473214
350.0,425,1049.959753
300.0,398,1054.319054
475.0,517,1060.093807
225.0,321,1063.260248
725.0,534,1069.095216
725.0,449,1074.515298
675.0,554,1080.549851
700.0,553,1086.417824
350.0,511,1092.167086
700.0,604,1099.172255
1250.0,644,1106.430644
725.0,615,1113.470525
700.0,464,1118.207139
700.0,494,1123.847256
1000.0,646,1131.072252
425.0,461,1135.728818
225.0,338,1139.768356
1250.0,703,1147.316581
425.0,472,1152.796021
775.0,664,1160.122978
725.0,606,1167.094266
750.0,535,1172.965626
775.0,518,1178.718705
775.0,851,1187.807063
775.0,673,1195.102926
725.0,658,1203.167455
650.0,461,1207.837993
425.0,478,1213.470022
350.0,379,1217.724447
400.0,481,1222.480667
350.0,473,1228.052057
525.0,668,1235.38172
400.0,460,1240.869058
800.0,738,1248.54604
750.0,542,1254.431338
450.0,751,1262.962578
750.0,534,1268.872984
950.0,589,1275.754346
1275.0,656,1283.037846
425.0,542,1288.887042
500.0,503,1294.568546
725.0,637,1301.718414
725.0,627,1308.070313
800.0,841,1317.832681
450.0,435,1322.391794
500.0,570,1329.17713
475.0,655,1336.450831
775.0,551,1342.400981
1000.0,724,1350.010901
275.0,509,1355.68208
700.0,505,1361.414489
475.0,658,1368.662085
475.0,784,1377.328197
700.0,451,1382.76309
475.0,530,1388.646619
675.0,428,1393.118947
725.0,540,1399.022119
450.0,474,1404.496198
925.0,713,1412.020504
800.0,907,1422.110076
700.0,591,1429.053137
