approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00192545,0.0856934,nan,nan,0.014620959758758545,442,1,1.78981,-0.00555715,128,2.3157315254211426,1024,0.108328
0.00113392,0.0493164,256.0,75.0,-0.02209949493408203,642,2,1.78614,-0.00258133,256,3.910259485244751,2048,0.165068
0.000519555,0.0,308.333333333,141.666666667,-0.004506468772888184,636,3,1.7829,-0.00160691,384,5.519453287124634,3072,0.322751
0.000451356,0.0,333.333333333,150.0,0.02000570297241211,630,4,1.78369,-0.000663479,512,7.145952224731445,4096,0.0701027
0.00131448,0.0788574,336.583333333,220.833333333,0.034910738468170166,639,5,1.77661,-0.0017453,640,8.749181032180786,5120,0.0810165
0.00255826,0.198975,332.2,220.0,0.003878772258758545,622,6,1.76192,-0.00366287,768,10.396206378936768,6144,0.121497
0.00125274,0.0754395,331.411764706,208.823529412,0.016919851303100586,630,7,1.75641,-0.00323433,896,12.02069354057312,7168,0.168921
0.000771844,0.0317383,325.590909091,187.5,0.07708066701889038,615,8,1.74651,-0.00104377,1024,13.684829711914062,8192,0.270081
0.000836307,0.034668,324.52,198.0,0.13725179433822632,640,9,1.73399,-0.00256679,1152,15.284790515899658,9216,0.198911
0.0013381,0.0600586,326.428571429,209.821428571,0.1795501708984375,622,10,1.72426,-0.00169949,1280,16.92951202392578,10240,0.172264
0.000851699,0.0458984,328.966666667,212.5,0.2037472128868103,665,11,1.73759,-0.00110008,1408,18.469865560531616,11264,0.134641
0.00264532,0.15625,335.029411765,221.323529412,0.12537145614624023,651,12,1.71458,-0.00227965,1536,20.04222011566162,12288,0.081691
0.00200436,0.10498,336.378378378,228.378378378,0.2103453278541565,678,13,1.72374,-0.00202086,1664,21.553356647491455,13312,0.155931
0.00122863,0.0275879,337.487179487,226.923076923,0.20809924602508545,673,14,1.71538,-0.00187913,1792,23.074652671813965,14336,0.194957
0.00222839,0.141113,334.045454545,221.022727273,0.15385162830352783,667,15,1.70089,-0.00163463,1920,24.60930299758911,15360,0.187929
0.00181585,0.0678711,338.065217391,222.282608696,0.28932178020477295,684,16,1.70828,0.000487237,2048,26.10632824897766,16384,0.186451
0.00203797,0.119385,337.723404255,223.404255319,0.24092155694961548,653,17,1.69392,-0.00324794,2176,27.675138235092163,17408,0.175673
0.00185059,0.132324,344.461538462,235.096153846,0.35721760988235474,650,18,1.71462,-0.00333058,2304,29.250255584716797,18432,0.21022
0.00183188,0.0544434,345.203703704,237.962962963,0.18051928281784058,671,19,1.69752,-6.8346e-05,2432,30.77621030807495,19456,0.137193
0.00122899,0.0595703,343.293103448,234.051724138,0.23903536796569824,671,20,1.67582,-0.00223005,2560,32.301170349121094,20480,0.208902
0.00119221,0.0166016,344.610169492,235.169491525,0.2580811381340027,696,21,1.66994,-0.00143649,2688,33.773192167282104,21504,0.28712
0.000749856,0.0146484,347.548387097,239.516129032,0.285338819026947,686,22,1.65303,-0.000976604,2816,35.265114068984985,22528,0.157858
0.00187997,0.0959473,350.313432836,247.388059701,0.42263054847717285,685,23,1.63258,-0.000808662,2944,36.76033329963684,23552,0.161422
0.00145972,0.0910645,349.753623188,248.188405797,0.3196382522583008,689,24,1.68392,-0.000782272,3072,38.24704670906067,24576,0.207088
0.00144627,0.09375,348.971830986,249.295774648,0.37816476821899414,697,25,1.70322,-0.00413437,3200,39.716463565826416,25600,0.144895
0.00174109,0.0695801,347.960526316,248.355263158,0.43843257427215576,617,26,1.6828,-0.00322659,3328,41.37547755241394,26624,0.210919
0.000881891,0.0383301,347.960526316,248.355263158,0.5647641122341156,649,27,1.69349,-0.00104099,3456,42.95191931724548,27648,0.117458
0.00227247,0.107422,346.296296296,244.75308642,0.3884110450744629,638,28,1.70915,-0.00241422,3584,44.5575590133667,28672,0.139691
