# {"t_start": 1543264817.6703708, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
100.0,592,11.131816
250.0,3267,51.120842
250.0,3262,91.230397
175.0,1644,111.859435
310.0,1622,131.496006
130.0,746,141.072582
150.0,2689,174.656442
160.0,3406,217.040026
40.0,236,219.664341
140.0,1113,233.049028
140.0,2449,263.939113
175.0,2155,290.546073
90.0,593,298.131007
130.0,941,310.189615
130.0,1017,322.242804
130.0,679,331.025409
220.0,4092,381.546909
205.0,1313,398.501481
235.0,1385,415.034703
190.0,1298,431.961781
60.0,443,436.985149
100.0,499,442.780816
110.0,875,453.890804
160.0,1419,471.308459
310.0,1253,487.197862
110.0,1769,508.848229
250.0,947,521.095641
205.0,924,531.988395
90.0,1180,546.905218
130.0,879,558.510143
120.0,954,570.168693
70.0,356,574.684372
130.0,783,584.621778
60.0,300,587.907957
280.0,4528,643.415834
130.0,585,649.996238
160.0,1790,672.302068
140.0,1052,684.16523
295.0,1754,706.109133
140.0,743,714.828286
205.0,1239,730.553731
370.0,1797,752.334934
50.0,443,757.824966
120.0,988,769.027903
480.0,2227,796.38524
150.0,1280,812.670889
250.0,1072,825.109025
205.0,1365,842.496635
100.0,1237,857.076604
100.0,1101,870.828333
90.0,704,878.944357
90.0,711,887.929187
280.0,1586,906.984735
90.0,558,913.919374
235.0,2240,941.363232
130.0,1500,959.56094
280.0,1200,974.593514
295.0,1763,995.583929
190.0,1011,1008.220206
235.0,3606,1050.864338
110.0,639,1059.006086
100.0,841,1069.020483
280.0,6173,1142.479796
220.0,679,1151.073523
130.0,894,1161.674398
340.0,1781,1182.862714
80.0,972,1194.104203
295.0,1591,1212.762107
370.0,1766,1233.197721
130.0,796,1242.237073
130.0,771,1252.118441
265.0,1067,1263.924127
60.0,315,1267.3296
120.0,793,1276.271985
700.0,1892,1298.872872
60.0,332,1302.410958
110.0,846,1311.651056
205.0,1223,1326.832685
280.0,2900,1359.485622
280.0,3283,1396.314378
130.0,790,1406.165997
70.0,571,1412.941978
310.0,2003,1434.644479
100.0,876,1444.135585
130.0,953,1456.152426
120.0,1000,1467.250747
325.0,2221,1491.230719
220.0,1648,1511.052717
250.0,1974,1532.278527
140.0,999,1543.004822
120.0,458,1547.961423
140.0,703,1555.551927
120.0,555,1562.597833
90.0,915,1573.123824
30.0,329,1576.5163
100.0,873,1585.916242
130.0,2259,1610.372984
100.0,578,1616.505353
110.0,648,1624.519165
140.0,706,1632.627028
175.0,992,1643.308341
60.0,1207,1656.249379
310.0,1674,1674.345058
385.0,2298,1700.685933
250.0,1119,1715.266695
70.0,223,1717.683567
120.0,664,1728.508147
110.0,693,1739.209449
80.0,647,1748.567614
175.0,1096,1766.331651
130.0,545,1775.049361
220.0,1103,1790.91564
310.0,1125,1804.740348
175.0,1346,1824.740953
130.0,862,1838.02767
130.0,1094,1852.676393
90.0,736,1864.742853
110.0,922,1878.700549
295.0,3020,1916.713863
60.0,365,1921.432228
110.0,796,1931.778726
140.0,1783,1956.080841
600.0,7219,2064.980242
120.0,1040,2079.648428
130.0,550,2085.907854
110.0,1446,2106.915442
80.0,1220,2125.475099
220.0,1090,2137.493792
175.0,854,2149.314976
110.0,825,2159.324795
280.0,1711,2183.261967
120.0,1311,2203.252201
70.0,513,2210.070653
110.0,892,2220.156677
265.0,1534,2240.833238
100.0,900,2254.216267
205.0,1067,2269.899683
100.0,606,2279.488236
265.0,1547,2302.862748
50.0,477,2308.423211
50.0,429,2315.307388
140.0,2340,2352.731571
120.0,1417,2373.252733
60.0,314,2376.829936
130.0,1025,2392.570392
100.0,726,2402.30463
120.0,1713,2430.380277
60.0,292,2434.643529
220.0,1881,2465.60982
120.0,552,2473.834805
140.0,709,2483.692176
310.0,2292,2518.823483
120.0,662,2527.116979
80.0,497,2533.302335
40.0,283,2536.916968
120.0,628,2544.57608
175.0,1301,2564.467118
250.0,2738,2607.888338
250.0,1710,2634.658817
110.0,738,2646.131054
90.0,630,2656.730034
310.0,1184,2672.370162
90.0,720,2680.680584
205.0,3117,2729.247228
100.0,1064,2746.124031
190.0,1133,2763.116196
310.0,4458,2834.776561
100.0,1126,2852.033711
235.0,2085,2880.25512
250.0,1242,2898.656277
80.0,812,2909.520162
80.0,731,2921.516826
205.0,1105,2937.030519
235.0,1587,2963.700831
250.0,1729,2991.898766
100.0,1095,3006.655954
355.0,2136,3041.384315
100.0,648,3050.778187
250.0,750,3061.165503
250.0,761,3073.680455
265.0,1139,3093.352572
205.0,1001,3106.82177
10.0,210,3109.645765
150.0,627,3118.70342
190.0,883,3130.676928
160.0,861,3144.88004
265.0,1205,3161.51256
110.0,812,3174.106245
1020.0,2736,3211.101819
190.0,1228,3228.639178
325.0,2131,3258.98513
100.0,742,3269.833849
120.0,1340,3291.210497
150.0,752,3302.500102
175.0,1502,3325.755244
175.0,2160,3358.098987
100.0,639,3367.716913
310.0,1871,3394.46363
130.0,647,3402.581881
90.0,550,3411.507679
140.0,1170,3430.039677
265.0,1150,3446.945893
130.0,1176,3464.57155
175.0,871,3475.811973
150.0,1186,3491.698615
235.0,1327,3509.970798
325.0,1457,3527.910215
30.0,348,3532.883071
130.0,571,3541.286982
310.0,1391,3562.233909
130.0,811,3575.747776
120.0,597,3584.229012
190.0,1154,3600.552103
340.0,2681,3638.698382
175.0,1195,3655.817201
50.0,386,3660.342942
220.0,2617,3700.559502
265.0,2191,3733.335163
130.0,572,3740.418034
295.0,1856,3765.346822
205.0,1380,3787.207258
265.0,1728,3808.57766
130.0,626,3816.496303
80.0,1153,3833.245249
220.0,1418,3852.527881
150.0,1249,3871.098202
265.0,1808,3898.691933
150.0,1073,3914.023162
205.0,1652,3940.829732
160.0,2001,3970.575823
150.0,1129,3986.770126
140.0,594,3994.700621
100.0,483,4000.079721
265.0,1199,4017.034473
140.0,985,4031.697476
80.0,573,4040.866012
140.0,1016,4053.445097
220.0,1185,4068.649954
160.0,1619,4092.67205
90.0,633,4100.50186
150.0,1694,4126.270115
220.0,836,4138.302581
310.0,1418,4159.730553
120.0,916,4173.18141
120.0,1456,4195.415426
205.0,1524,4218.425071
70.0,384,4224.797023
250.0,1028,4240.026913
325.0,1682,4260.901995
220.0,2052,4291.590987
265.0,1598,4316.981088
120.0,1783,4343.657333
370.0,1958,4369.728956
110.0,1308,4389.738528
205.0,1037,4405.295645
150.0,2082,4436.005352
110.0,700,4445.962849
60.0,448,4452.829262
190.0,1056,4467.242589
140.0,638,4476.030855
80.0,854,4490.839482
280.0,1326,4507.616889
100.0,893,4520.534263
70.0,322,4525.936692
205.0,1100,4542.625716
150.0,1129,4555.943937
90.0,840,4567.518898
100.0,1154,4582.888803
70.0,504,4590.698133
205.0,1202,4607.276517
60.0,383,4612.342677
70.0,455,4617.518969
150.0,1416,4636.507441
280.0,2384,4673.715829
295.0,1681,4697.687765
175.0,1073,4712.548105
140.0,1067,4727.890484
90.0,500,4735.222073
150.0,857,4746.259872
160.0,705,4756.297315
480.0,1565,4778.924143
80.0,632,4786.297188
120.0,1090,4802.843211
90.0,681,4812.776268
90.0,406,4818.995379
160.0,2006,4846.976098
120.0,866,4860.465233
80.0,365,4866.21386
110.0,738,4878.025839
160.0,823,4889.430092
110.0,869,4902.033074
60.0,466,4908.98629
175.0,1039,4923.743099
110.0,755,4932.495014
110.0,663,4940.99483
130.0,647,4950.7515
250.0,2032,4981.691504
110.0,734,4993.738717
130.0,582,5002.571322
385.0,2460,5037.391072
340.0,3592,5090.717232
220.0,2366,5126.552524
340.0,2704,5168.314416
340.0,3559,5224.701248
175.0,2610,5263.162217
220.0,1774,5285.161253
250.0,1442,5308.638617
140.0,589,5317.377127
110.0,966,5330.218833
130.0,1324,5352.035295
280.0,2147,5382.252854
280.0,1496,5403.814161
265.0,1454,5425.982483
160.0,863,5439.705759
60.0,423,5446.94081
70.0,793,5459.276514
140.0,677,5469.639621
50.0,465,5476.523481
110.0,523,5483.094382
130.0,690,5494.266429
150.0,1511,5517.671995
60.0,567,5527.001692
250.0,1104,5544.230412
310.0,1178,5562.24945
190.0,1672,5584.453654
250.0,1678,5607.31851
235.0,1162,5623.509085
190.0,1046,5638.62416
140.0,1056,5650.811931
80.0,509,5657.100241
250.0,1870,5687.142088
70.0,941,5702.572306
20.0,316,5706.1927
190.0,2050,5738.252874
100.0,658,5749.28428
265.0,1407,5768.77143
110.0,1801,5793.688925
280.0,1158,5808.884082
250.0,1221,5827.02681
140.0,1010,5841.974331
90.0,597,5849.419389
280.0,1064,5864.280376
280.0,1488,5885.886929
50.0,322,5890.380412
150.0,687,5900.767707
150.0,963,5914.430038
70.0,319,5918.069548
40.0,531,5924.898831
110.0,913,5938.626406
235.0,1558,5961.578697
235.0,1998,5988.628767
235.0,816,5999.811986
130.0,771,6009.934532
250.0,1476,6028.85197
90.0,614,6037.012907
250.0,1153,6056.237885
175.0,919,6069.332854
295.0,2096,6100.865738
50.0,275,6104.505592
120.0,761,6114.171111
90.0,396,6119.484051
205.0,1270,6137.295965
220.0,1789,6164.238859
110.0,901,6175.420278
120.0,800,6187.679169
340.0,2771,6225.718669
150.0,3081,6272.280865
110.0,623,6281.02703
220.0,2688,6321.134877
80.0,1884,6352.53929
310.0,1497,6375.971695
190.0,4208,6435.816128
70.0,395,6440.783497
110.0,795,6453.172871
110.0,656,6463.627883
120.0,850,6475.454812
150.0,944,6488.616239
205.0,1108,6504.424998
175.0,1276,6523.065787
220.0,1062,6537.863756
250.0,1028,6549.886205
120.0,598,6559.452193
160.0,819,6570.188636
60.0,347,6575.284306
100.0,901,6587.924756
175.0,1261,6607.78446
205.0,817,6619.353775
120.0,726,6630.103493
295.0,1155,6646.912413
190.0,996,6661.756573
80.0,1243,6682.306116
340.0,1784,6708.413166
280.0,1634,6729.727326
235.0,997,6744.383693
110.0,776,6755.970155
70.0,669,6764.784111
190.0,2306,6798.740125
280.0,1853,6823.137122
120.0,444,6829.04412
235.0,1602,6851.7828
120.0,1437,6873.116079
140.0,948,6886.743998
100.0,703,6896.235263
205.0,1029,6910.75457
80.0,892,6922.629969
250.0,2821,6968.120405
140.0,1153,6986.380242
