# {"t_start": 1543282800.2559, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
50.0,346,7.851218
150.0,1473,25.19123
150.0,2117,50.501861
220.0,1580,69.034797
60.0,286,72.593342
150.0,646,80.739753
150.0,1689,100.53423
130.0,1147,115.053635
110.0,377,119.19629
150.0,1073,132.073533
40.0,385,136.887105
190.0,949,148.28123
265.0,3293,187.501976
130.0,1426,205.617274
295.0,3107,242.927599
140.0,1143,256.504706
355.0,1505,274.945279
205.0,3566,318.109325
120.0,487,324.315276
120.0,1228,338.66666
150.0,886,349.861759
340.0,1591,368.971418
250.0,1166,383.550387
325.0,1580,402.367174
140.0,1124,416.60619
310.0,3213,455.183696
190.0,964,466.783977
50.0,919,478.626632
310.0,1593,497.492981
235.0,1763,518.772563
120.0,702,527.72968
310.0,1783,549.088329
140.0,1182,564.149937
235.0,1936,587.762234
340.0,1887,610.725111
250.0,1206,625.464274
220.0,1061,638.36365
265.0,2142,664.544339
190.0,1414,681.782718
140.0,485,687.34068
250.0,1509,706.23458
150.0,1578,725.58966
140.0,965,737.039969
250.0,1783,759.210305
175.0,1049,771.35864
280.0,1596,791.099146
205.0,982,802.793773
205.0,947,814.924067
100.0,544,820.921287
160.0,1022,833.42103
355.0,1904,856.367495
235.0,1005,869.246874
370.0,1286,884.247556
175.0,1215,899.702358
110.0,1187,913.531042
120.0,535,920.319202
385.0,3137,958.588583
80.0,802,967.890793
205.0,1942,991.708648
60.0,460,997.248729
220.0,4237,1048.842903
190.0,1426,1066.746082
130.0,978,1077.861752
175.0,867,1088.100809
220.0,984,1100.421216
120.0,579,1106.828397
205.0,1212,1121.463168
130.0,2787,1154.922784
295.0,2266,1181.413074
190.0,1246,1196.685265
280.0,1712,1216.693221
175.0,1513,1234.590142
120.0,909,1244.715006
110.0,1154,1259.341114
60.0,311,1262.793393
80.0,548,1268.829115
175.0,945,1279.34434
140.0,793,1289.346756
235.0,1333,1304.784534
235.0,1553,1323.004384
160.0,2795,1355.639458
110.0,877,1366.469923
205.0,1064,1378.2951
140.0,2387,1406.604716
110.0,482,1411.788359
235.0,3916,1456.841375
250.0,1463,1474.680889
150.0,1149,1487.648549
370.0,2130,1512.450907
175.0,565,1519.050508
175.0,2452,1546.65503
60.0,429,1551.931855
40.0,333,1555.716736
120.0,1159,1568.347609
150.0,495,1573.730764
385.0,1676,1593.593082
175.0,977,1604.457464
90.0,669,1611.65726
190.0,835,1620.697292
130.0,3299,1658.333776
150.0,785,1666.783612
140.0,949,1677.07936
110.0,1759,1697.653733
205.0,1587,1714.839998
280.0,1949,1736.64144
205.0,1242,1750.800115
160.0,981,1761.418839
20.0,396,1765.635207
190.0,2259,1791.622357
100.0,818,1800.634089
140.0,954,1810.885472
100.0,4719,1863.381081
70.0,360,1867.227455
80.0,543,1872.946413
220.0,2651,1903.041958
220.0,1113,1918.600479
295.0,2222,1950.921802
130.0,1078,1964.680795
325.0,1202,1981.166321
150.0,1026,1994.919953
160.0,887,2008.937667
120.0,550,2016.15993
70.0,603,2025.53546
110.0,853,2035.711341
110.0,580,2045.306216
150.0,1004,2058.34251
60.0,536,2064.381723
120.0,603,2071.423754
140.0,777,2081.372431
385.0,3778,2139.655219
160.0,1611,2165.519655
90.0,784,2176.242697
190.0,1244,2193.198756
90.0,1623,2214.040256
140.0,2831,2255.269472
205.0,1431,2278.597171
70.0,422,2283.630035
235.0,801,2295.871754
205.0,2415,2335.137489
120.0,965,2346.999052
205.0,1169,2364.148188
235.0,3250,2417.384639
160.0,1356,2438.942494
130.0,795,2449.32773
160.0,1013,2463.069076
190.0,956,2476.0565
120.0,363,2480.580431
190.0,1030,2495.094863
120.0,953,2509.029505
90.0,603,2516.843128
90.0,471,2524.419895
100.0,392,2529.871148
80.0,361,2535.0549
250.0,1416,2557.1697
130.0,1287,2576.550856
160.0,1058,2589.582027
110.0,575,2597.707034
100.0,728,2606.680067
90.0,686,2616.917423
80.0,731,2627.760651
140.0,1242,2642.835005
90.0,8366,2771.530307
40.0,272,2776.123458
130.0,655,2785.234597
235.0,2155,2817.313984
235.0,1199,2834.87859
140.0,992,2849.782093
110.0,815,2861.749849
220.0,1009,2875.491936
325.0,1229,2894.921425
70.0,702,2907.079528
110.0,772,2919.564114
205.0,2596,2956.252632
150.0,5985,3052.526777
250.0,1648,3078.230582
190.0,1513,3101.819488
280.0,1568,3126.309739
265.0,1285,3145.980991
310.0,1792,3173.07092
120.0,802,3182.744404
205.0,1201,3199.446889
190.0,2192,3227.949018
60.0,471,3235.52098
295.0,1261,3256.120826
130.0,944,3271.338132
80.0,806,3283.224666
160.0,997,3297.461627
385.0,2094,3330.561772
120.0,652,3341.802982
295.0,2028,3371.776654
80.0,856,3384.520943
130.0,993,3399.941332
355.0,1781,3424.074703
175.0,1169,3442.997713
120.0,2375,3477.50571
175.0,1164,3495.036163
110.0,601,3503.828204
175.0,1422,3526.189475
130.0,2689,3564.809764
205.0,1085,3581.343461
140.0,1147,3597.948389
40.0,545,3605.811662
50.0,276,3609.258134
400.0,3077,3653.04448
60.0,898,3665.180991
580.0,2008,3697.236417
235.0,1229,3717.179873
90.0,728,3728.378666
205.0,835,3741.113555
190.0,1439,3760.054828
235.0,1278,3780.22268
175.0,1139,3794.498733
130.0,825,3807.102556
160.0,1672,3829.495192
400.0,2302,3860.460759
460.0,3962,3917.995315
220.0,1735,3943.379186
265.0,1334,3961.108026
190.0,1483,3981.764479
50.0,333,3986.14117
190.0,1836,4013.04264
130.0,648,4023.248996
250.0,1079,4037.108478
205.0,930,4050.250926
100.0,515,4058.071482
100.0,1023,4072.263387
295.0,1636,4095.669956
70.0,444,4101.819566
340.0,5148,4181.620498
540.0,2455,4218.210769
110.0,2011,4248.616399
80.0,484,4255.780281
205.0,1032,4271.752983
110.0,651,4282.120226
150.0,925,4294.514565
120.0,608,4303.001361
280.0,1528,4327.016066
160.0,3418,4381.822884
205.0,874,4395.210514
235.0,2069,4424.340718
60.0,719,4434.983145
120.0,819,4446.252798
90.0,592,4455.009304
250.0,1318,4474.778237
100.0,534,4481.239345
175.0,1996,4511.371644
110.0,1232,4529.810968
190.0,2124,4562.907822
150.0,905,4575.602624
120.0,1037,4592.947461
250.0,2535,4628.782013
235.0,1020,4641.541561
190.0,914,4652.877624
120.0,909,4664.637257
90.0,525,4672.665485
190.0,1167,4690.705914
100.0,920,4702.928369
205.0,1175,4721.180474
50.0,291,4724.793328
80.0,586,4734.467907
160.0,998,4748.604859
295.0,3324,4804.24115
220.0,1702,4829.562148
220.0,3084,4877.406365
40.0,381,4883.620576
220.0,1391,4902.949444
340.0,1402,4923.08635
205.0,978,4938.86468
205.0,1290,4959.707471
205.0,3421,5013.461799
100.0,611,5020.262184
140.0,589,5027.664684
220.0,1743,5053.932271
90.0,575,5062.353361
150.0,2528,5102.119985
150.0,1710,5127.390318
325.0,2742,5170.149998
295.0,1192,5186.966726
140.0,569,5194.648855
90.0,633,5203.625602
130.0,1058,5217.373813
235.0,1184,5233.141951
160.0,1211,5252.614832
175.0,766,5263.55975
120.0,597,5272.738868
120.0,640,5280.996841
100.0,976,5294.169756
190.0,801,5305.816653
100.0,682,5316.123827
205.0,2773,5354.533297
140.0,579,5363.512494
250.0,1252,5382.221151
20.0,314,5386.039559
70.0,472,5392.029763
140.0,1123,5408.419043
160.0,1136,5424.601899
90.0,877,5436.219801
110.0,1206,5452.437331
250.0,1496,5474.823697
190.0,957,5488.059335
325.0,1450,5507.608882
110.0,2336,5543.733033
80.0,787,5555.420866
160.0,664,5564.446162
325.0,2507,5599.942879
340.0,2123,5632.690305
140.0,1548,5656.162001
175.0,948,5669.919108
205.0,1137,5686.52044
310.0,1373,5705.999533
110.0,1038,5722.596862
205.0,1488,5741.797471
400.0,2953,5783.323139
205.0,769,5794.775493
150.0,912,5809.341438
220.0,1170,5826.129123
340.0,1958,5857.655447
220.0,2439,5892.950898
70.0,579,5900.36453
110.0,894,5912.588129
110.0,515,5919.738406
100.0,700,5929.06177
175.0,1005,5942.166536
250.0,1430,5963.898471
90.0,586,5972.212219
250.0,2092,6001.136862
205.0,1468,6022.692697
175.0,1247,6040.698374
190.0,679,6049.919529
90.0,667,6059.179465
370.0,1875,6087.077201
190.0,2963,6130.974033
190.0,1294,6150.455041
190.0,1017,6165.915235
800.0,2505,6205.167186
150.0,1082,6220.207631
110.0,5339,6301.03059
150.0,921,6314.212561
120.0,1321,6333.273167
205.0,1969,6361.551243
190.0,1602,6386.448485
90.0,2801,6428.157255
265.0,2856,6468.983754
175.0,1454,6489.921298
140.0,868,6503.866158
130.0,646,6512.202502
120.0,594,6520.989955
100.0,903,6535.403809
190.0,908,6547.965843
160.0,1305,6566.997277
100.0,805,6579.174451
220.0,2631,6619.863191
130.0,2338,6655.409889
100.0,1485,6677.348401
130.0,1263,6696.067543
70.0,924,6710.644203
120.0,778,6722.677466
110.0,1168,6741.683849
90.0,748,6752.914443
130.0,1238,6772.367923
100.0,1848,6802.995433
160.0,1102,6817.578105
295.0,1421,6838.515473
70.0,529,6844.12289
100.0,1442,6866.853125
130.0,1164,6884.630053
325.0,2034,6914.194664
110.0,688,6924.51674
140.0,952,6938.178447
235.0,1171,6955.796606
140.0,682,6964.512964
120.0,626,6972.552262
175.0,1138,6989.552339
160.0,3779,7045.152526
280.0,1684,7068.576325
110.0,500,7074.80013
100.0,663,7084.840782
120.0,658,7094.721034
150.0,921,7109.237836
100.0,438,7115.041833
140.0,992,7127.198958
60.0,553,7135.588061
205.0,1228,7154.753014
175.0,5919,7249.377349
130.0,2114,7283.746633
175.0,2941,7331.474624
295.0,1272,7350.813165
110.0,902,7365.606716
120.0,1068,7379.507999
205.0,942,7390.884856
140.0,973,7404.363819
120.0,860,7417.700109
265.0,2647,7455.480837
175.0,1743,7481.139457
190.0,1026,7497.934216
190.0,1798,7523.972224
140.0,840,7534.750103
340.0,2850,7580.299586
150.0,837,7591.243105
130.0,807,7602.759641
110.0,972,7614.788557
235.0,1134,7632.449716
60.0,681,7641.761509
175.0,933,7654.954414
60.0,372,7660.34572
190.0,1397,7680.627592
40.0,273,7683.444547
160.0,1967,7711.785712
130.0,1000,7725.442204
