# {"t_start": 1543265847.241947, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
90.0,605,27.168065
70.0,294,29.566837
120.0,779,36.258885
90.0,549,41.378729
295.0,5819,92.014021
175.0,853,99.100843
150.0,937,107.449652
250.0,1208,117.867561
190.0,1078,127.064423
205.0,854,134.750544
540.0,1595,148.576771
175.0,1152,158.751449
370.0,1407,171.227554
220.0,1217,182.256425
90.0,421,185.827539
120.0,733,191.874475
540.0,1835,208.08089
295.0,1083,217.321987
235.0,1139,227.259938
140.0,1040,236.267393
190.0,961,244.706739
110.0,706,251.271976
130.0,659,257.848527
220.0,831,265.540533
160.0,727,272.319739
110.0,474,276.235658
400.0,1307,288.407424
310.0,1207,299.861744
70.0,369,302.82343
250.0,1035,312.457229
310.0,1276,324.667825
175.0,1024,334.09183
205.0,667,339.989831
130.0,658,345.836288
265.0,977,355.015092
265.0,1134,365.577452
190.0,916,373.993841
235.0,649,379.983911
150.0,765,387.122849
140.0,915,395.466357
140.0,606,400.674646
175.0,926,408.969765
190.0,851,416.783486
70.0,383,420.152499
205.0,855,427.849418
120.0,523,432.440597
110.0,499,436.671272
235.0,951,447.196048
100.0,609,452.673101
120.0,409,456.370594
150.0,861,464.282549
310.0,1123,474.424659
160.0,868,481.814634
340.0,1500,495.368915
205.0,978,504.257148
660.0,1691,519.379069
205.0,856,526.744061
295.0,1174,537.204287
340.0,1427,549.90685
280.0,975,558.828458
310.0,1184,569.361243
460.0,1343,581.149545
385.0,1386,593.868411
980.0,2225,613.680597
385.0,1294,625.096734
265.0,1153,635.335901
780.0,1564,649.153165
660.0,1643,664.393932
370.0,1609,679.576458
1620.0,2772,704.174394
150.0,627,709.768287
355.0,1136,719.897729
190.0,1418,732.461387
1340.0,2143,751.146931
440.0,1652,766.166981
460.0,1489,779.063287
1220.0,1962,796.984038
370.0,1055,806.146862
110.0,731,812.26059
150.0,634,817.885326
560.0,1613,832.411238
2155.0,2856,858.871436
2060.0,2931,886.733979
90.0,517,891.972444
265.0,1036,901.898607
3270.0,3489,935.020278
385.0,1429,948.57896
2095.0,2882,975.642251
175.0,925,984.284294
1060.0,2271,1005.847939
370.0,1382,1018.924793
1160.0,2484,1042.250284
2440.0,3497,1075.361238
480.0,1556,1089.98568
355.0,1433,1103.410604
295.0,1198,1114.711554
60.0,248,1117.039814
220.0,982,1126.426339
1700.0,2474,1149.811974
1420.0,2579,1174.215186
420.0,1385,1187.369588
600.0,1995,1205.263792
1040.0,1549,1219.239383
355.0,1215,1229.95958
175.0,570,1235.37019
1100.0,1831,1252.466366
100.0,533,1257.160543
900.0,1957,1274.873257
110.0,609,1280.546585
2665.0,3425,1311.087115
680.0,1473,1324.550753
2375.0,3081,1352.328387
370.0,1326,1364.081682
1320.0,1869,1380.640737
440.0,1719,1396.390372
160.0,792,1403.466479
940.0,2111,1422.280366
2135.0,3064,1450.364279
980.0,2000,1468.994559
960.0,1838,1485.578613
2500.0,3408,1516.391482
620.0,1965,1533.946674
860.0,1744,1549.80345
2560.0,3067,1577.586151
460.0,1622,1592.735717
1100.0,1747,1608.616946
4120.0,3497,1640.024575
1300.0,2184,1659.678994
370.0,1260,1671.037987
420.0,1528,1684.885369
1100.0,2123,1704.148281
1500.0,2548,1727.441109
1400.0,1937,1744.757709
2220.0,2849,1770.277089
2655.0,3082,1798.132307
760.0,1559,1812.001571
1220.0,2446,1834.244902
2630.0,2697,1858.478062
4740.0,3843,1892.635313
1100.0,1797,1908.723514
3320.0,2924,1935.232509
1160.0,2277,1955.826766
2120.0,3038,1983.106228
1200.0,1946,2000.632592
3340.0,3593,2033.581234
3730.0,3213,2063.221381
780.0,1606,2078.751246
560.0,1758,2094.551353
1825.0,2567,2118.242832
3085.0,3435,2150.04801
880.0,1731,2165.880715
370.0,1586,2180.117198
900.0,1669,2195.099066
840.0,1815,2211.419334
820.0,1625,2226.282785
4770.0,3964,2262.787023
580.0,1549,2276.775204
680.0,1562,2290.876568
1020.0,1856,2307.414716
265.0,1181,2317.925945
160.0,987,2327.029525
340.0,862,2334.938744
540.0,1688,2350.131754
760.0,1502,2363.300029
5130.0,4616,2405.510706
4120.0,4346,2445.124854
5090.0,4416,2484.953601
2295.0,2803,2510.719254
5560.0,4331,2550.053201
1760.0,2224,2570.092282
3335.0,3166,2598.770008
1120.0,1687,2614.008602
3575.0,3761,2648.496357
5030.0,3734,2682.195761
2185.0,2993,2709.123199
3035.0,2638,2733.10295
4970.0,4241,2771.386277
1200.0,1997,2789.576557
3860.0,4132,2826.857503
700.0,1697,2842.104193
1020.0,1515,2855.866599
385.0,1333,2867.756644
5210.0,3973,2904.011567
5360.0,4800,2947.766314
940.0,1534,2961.920792
1520.0,2171,2982.654505
2020.0,2260,3003.637271
3260.0,3190,3034.072339
8550.0,6137,3093.316687
1600.0,2148,3113.590063
780.0,1312,3126.118859
580.0,1673,3141.630742
2200.0,2238,3162.531269
1660.0,2405,3184.839094
1580.0,2769,3210.141485
3970.0,3602,3244.87115
1320.0,2293,3267.025762
1340.0,2027,3286.415215
6865.0,4841,3333.429775
3350.0,3224,3365.064752
420.0,1466,3379.480261
4500.0,3736,3415.425435
2225.0,2763,3441.718554
560.0,1281,3453.451413
3080.0,3203,3482.965007
7260.0,4465,3523.762852
1140.0,2010,3543.083695
2040.0,3041,3571.69264
6220.0,4419,3612.109397
2520.0,3000,3639.374986
1500.0,2377,3661.353249
4630.0,4156,3699.259025
4320.0,4147,3737.423422
660.0,1750,3754.936471
310.0,1112,3765.286364
3085.0,2835,3791.218282
820.0,1400,3804.567684
1280.0,1964,3822.272251
1560.0,2557,3845.291517
1860.0,2701,3869.775032
1680.0,2100,3888.63282
1680.0,2417,3910.276104
2425.0,2893,3937.069646
5340.0,4402,3976.850837
980.0,1750,3992.496465
2315.0,2862,4018.882156
6720.0,4303,4058.739168
3530.0,3301,4089.903591
4500.0,3359,4122.157499
385.0,1113,4131.883215
4430.0,3403,4163.304237
6590.0,4424,4202.998387
2120.0,2581,4226.221128
2725.0,3323,4256.197301
1940.0,2159,4276.128933
6080.0,4929,4320.763368
780.0,1585,4334.842433
2465.0,2737,4359.521076
6960.0,4860,4403.739445
440.0,1305,4415.41898
385.0,1218,4426.733656
6270.0,4381,4466.427343
3245.0,2902,4492.447148
9630.0,6528,4551.961622
680.0,1484,4565.083113
1520.0,2096,4584.282844
1040.0,1618,4598.624053
2850.0,2560,4622.111686
2390.0,2538,4645.410873
1240.0,1893,4662.176665
325.0,1020,4671.372591
6210.0,4360,4710.788214
5770.0,3814,4745.275691
2085.0,2724,4770.448667
7450.0,4699,4812.646272
1540.0,2253,4833.283811
7175.0,4641,4875.900337
4125.0,3399,4906.579519
3655.0,3050,4934.335738
5410.0,4147,4971.68975
5170.0,4018,5007.870632
2755.0,3092,5036.120079
420.0,1298,5047.758085
3160.0,2879,5074.107895
5220.0,3324,5103.647605
7410.0,4054,5140.547839
5290.0,3409,5171.130399
6400.0,3575,5203.562268
4520.0,3374,5234.060588
7530.0,4744,5277.247286
4810.0,3744,5311.285372
3785.0,2625,5335.404169
4250.0,3608,5367.973965
580.0,1384,5380.045314
120.0,590,5385.561355
1400.0,1771,5402.086274
4940.0,3050,5429.528413
2120.0,2967,5456.568637
5340.0,4451,5496.998153
3020.0,2899,5522.873998
5560.0,3827,5557.558926
5820.0,4170,5595.360953
7730.0,5092,5641.800738
7215.0,4326,5681.39892
6690.0,4695,5723.665584
1340.0,1999,5742.372064
11780.0,5785,5794.632961
5070.0,3363,5825.015168
5500.0,3714,5858.256133
4860.0,3496,5890.236626
2160.0,2315,5910.641498
4840.0,3486,5942.648085
8805.0,4971,5988.07478
1960.0,2293,6008.898365
8620.0,4647,6051.231334
3415.0,2777,6076.47885
2865.0,2671,6100.514715
3865.0,2977,6127.379776
780.0,1310,6139.561079
1640.0,1801,6155.522027
5090.0,3653,6188.903548
325.0,1061,6198.364996
5940.0,3681,6232.1102
7360.0,3783,6266.284518
2210.0,2370,6287.53579
5510.0,3750,6321.624331
3485.0,3251,6351.37415
6020.0,4346,6390.769514
7870.0,5044,6437.922256
4470.0,3258,6467.988729
3785.0,2783,6493.451366
5170.0,3592,6525.804688
6240.0,3864,6561.04575
6040.0,4271,6600.940145
8560.0,5448,6650.717568
9830.0,4929,6695.575874
3125.0,3101,6723.583102
8225.0,4528,6765.10439
6260.0,3913,6800.728816
5710.0,3836,6836.440713
7380.0,4848,6880.155563
