# {"t_start": 1543177734.6878982, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,757,38.832311
-21.0,760,48.522734
-21.0,764,57.164833
-21.0,758,67.514217
-21.0,761,77.58092
-21.0,758,86.676008
-21.0,759,95.746449
-21.0,763,104.903679
-21.0,762,113.973489
-21.0,764,123.118796
-21.0,764,132.20184
-21.0,760,141.237309
-21.0,761,150.304265
-21.0,760,159.450432
-21.0,762,168.551796
-21.0,760,177.646646
-21.0,760,186.648662
-21.0,761,195.763278
-21.0,759,204.832877
-21.0,763,213.946718
-21.0,757,222.992143
-21.0,763,232.110053
-21.0,761,241.200355
-21.0,764,250.331249
-21.0,761,259.39805
-21.0,762,268.497727
-21.0,758,277.598289
-21.0,761,287.54385
-21.0,758,296.427394
-21.0,760,305.307773
-21.0,763,314.206245
-21.0,758,322.979648
-21.0,758,331.890781
-21.0,760,340.783545
-21.0,763,349.666277
-21.0,761,358.555503
-21.0,757,367.431506
-21.0,762,376.343204
-21.0,763,385.276127
-21.0,761,394.12536
-21.0,764,403.031508
-21.0,758,411.879675
-21.0,760,420.758829
-21.0,760,429.61638
-21.0,757,438.337391
-21.0,763,447.21751
-21.0,759,456.089726
-21.0,763,464.985444
-21.0,759,473.879982
-21.0,757,482.752692
-21.0,759,491.643461
-21.0,759,500.527533
-21.0,759,509.316718
-21.0,761,518.192
-21.0,762,527.065057
-21.0,763,535.96936
-21.0,761,544.798384
-21.0,759,553.849258
-21.0,758,562.647916
-21.0,761,571.496403
-21.0,761,580.365559
-21.0,761,589.258471
-21.0,759,598.136594
-21.0,763,607.038677
-21.0,764,615.926526
-21.0,761,624.782062
-21.0,757,633.6078
-21.0,759,642.334043
-21.0,762,651.292297
-21.0,761,660.210323
-21.0,759,669.107206
-21.0,761,678.017081
-21.0,764,686.910892
-21.0,759,695.777876
-21.0,757,704.661394
-21.0,762,713.528213
-21.0,759,722.416886
-21.0,760,731.271531
-21.0,762,740.388963
-21.0,757,749.139397
-21.0,761,757.997715
-21.0,761,766.879971
-21.0,759,775.776213
-21.0,759,784.635261
-21.0,762,793.53178
-21.0,757,802.367984
-21.0,764,811.273609
-21.0,760,820.177341
-21.0,764,829.075674
-21.0,762,837.956052
-21.0,760,846.831778
-21.0,762,855.719246
-21.0,764,864.937987
-21.0,763,874.180132
-21.0,759,883.364823
-21.0,764,892.578803
-21.0,761,901.787727
-21.0,764,911.017571
-21.0,764,920.242359
-21.0,761,929.604117
-21.0,759,938.764363
-21.0,760,947.953348
-21.0,759,957.016462
-21.0,759,966.20788
-21.0,761,975.388332
-21.0,762,984.577481
-21.0,758,993.741034
-21.0,760,1002.920759
-21.0,762,1012.128506
-21.0,760,1021.348515
-21.0,758,1030.546268
-21.0,762,1039.847556
-21.0,757,1048.935895
-21.0,757,1058.112271
-21.0,758,1067.256321
-21.0,757,1076.403283
-21.0,760,1085.620167
-21.0,759,1094.727763
-21.0,760,1103.92803
-21.0,760,1113.124266
-21.0,762,1122.333614
-21.0,757,1131.51736
-21.0,758,1140.682628
-21.0,757,1149.861274
-21.0,759,1158.903975
-21.0,763,1168.104875
-21.0,762,1177.31033
-21.0,757,1186.52107
-21.0,764,1195.750938
-21.0,761,1204.956756
-21.0,762,1214.15277
-21.0,762,1223.371234
-21.0,759,1232.529744
-21.0,759,1241.768055
-21.0,759,1250.992097
-21.0,759,1260.158464
-21.0,758,1271.778603
-21.0,761,1283.757439
-21.0,758,1295.724315
-21.0,759,1307.165203
-21.0,759,1318.546932
-21.0,759,1329.657943
-21.0,759,1342.131922
-21.0,758,1353.854976
-21.0,759,1366.155334
-21.0,763,1377.721638
-21.0,757,1390.181969
-21.0,759,1401.815595
-21.0,764,1412.79142
-21.0,762,1424.707143
-21.0,757,1437.107075
-21.0,764,1448.440721
-21.0,763,1459.966613
-21.0,758,1472.150047
-21.0,762,1483.715784
-21.0,761,1494.994362
-21.0,763,1507.127745
-21.0,764,1519.142652
-21.0,762,1531.46046
-21.0,762,1543.888583
-21.0,761,1555.758443
-21.0,759,1567.576589
-21.0,758,1578.709285
-21.0,762,1590.669294
-21.0,761,1602.684837
-21.0,763,1613.562098
-21.0,762,1625.636813
-21.0,760,1637.58179
-21.0,759,1649.641106
-21.0,758,1660.99624
-21.0,757,1673.064966
-21.0,759,1684.316146
-21.0,763,1696.780408
-21.0,762,1708.840219
-21.0,762,1720.285201
-21.0,762,1731.413377
-21.0,761,1742.820739
-21.0,757,1754.090352
-21.0,758,1765.104262
-21.0,757,1776.893196
-21.0,763,1788.860432
-21.0,760,1800.603256
-21.0,761,1811.721288
-21.0,761,1822.736122
-21.0,763,1833.467078
-21.0,761,1846.148964
-21.0,761,1858.322697
-21.0,757,1870.074269
-21.0,760,1882.290628
-21.0,764,1894.005104
-21.0,757,1905.704396
-21.0,759,1918.163905
-21.0,759,1930.725626
-21.0,758,1942.768112
-21.0,757,1953.918008
-21.0,757,1966.53901
-21.0,760,1978.279759
-21.0,758,1990.432206
-21.0,763,2002.169828
-21.0,759,2014.125941
-21.0,761,2025.30031
-21.0,761,2037.35909
-21.0,757,2049.292314
-21.0,758,2060.691131
-21.0,757,2072.381673
-21.0,761,2083.44822
-21.0,763,2095.324758
-21.0,761,2107.246869
-21.0,764,2118.562656
-21.0,759,2129.535815
-21.0,760,2141.156376
-21.0,764,2153.172646
-21.0,762,2165.443653
-21.0,762,2176.904375
-21.0,763,2188.483178
-21.0,761,2200.577872
-21.0,761,2211.645873
-21.0,758,2224.246274
-21.0,761,2235.896618
-21.0,761,2248.151367
-21.0,757,2260.043549
-21.0,758,2272.551392
-21.0,764,2285.146079
-21.0,757,2297.389232
-21.0,759,2310.051631
-21.0,759,2323.016452
-21.0,764,2335.473426
-21.0,758,2347.867934
-21.0,763,2359.811589
-21.0,761,2371.146019
-21.0,763,2383.269315
-21.0,759,2394.901223
-21.0,757,2406.757306
-21.0,758,2418.649498
