explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
-3.0949230194091797,141,1,0.7345099449157715,-0.22190254926681519,160,0.30898967385292053
-2.207852363586426,233,2,1.0357438325881958,-0.0603155642747879,320,0.047978851944208145
-3.719329833984375e-05,287,3,0.31171709299087524,-0.09588085114955902,480,0.3533821702003479
-0.30726373195648193,334,4,0.560125470161438,0.8285165429115295,640,4.751242637634277
-0.059162139892578125,374,5,0.3489095866680145,0.33912888169288635,800,2.0892558097839355
-0.2548787593841553,393,6,0.052918631583452225,0.09445019066333771,960,1.699284315109253
0.22386878728866577,419,7,0.03577354922890663,-0.0005523412255570292,1120,0.11014040559530258
-0.005748152732849121,443,8,0.020774194970726967,0.03655685856938362,1280,0.22850394248962402
-0.20138657093048096,459,9,1.0316200256347656,-0.009963071905076504,1440,0.10731996595859528
0.057775259017944336,459,10,0.3277178704738617,-0.17608442902565002,1600,0.48660892248153687
0.05556309223175049,467,11,0.2251080572605133,0.08387493342161179,1760,0.23696064949035645
-0.10301029682159424,479,12,0.10765878856182098,-0.4285234808921814,1920,6.245957851409912
0.000718533992767334,489,13,1.426507592201233,0.04996654391288757,2080,0.07838620245456696
-0.06511449813842773,499,14,1.538779377937317,-0.06617509573698044,2240,0.15117807686328888
-0.139778733253479,508,15,1.5361582040786743,0.3304215967655182,2400,0.2414010465145111
-0.022383809089660645,516,16,1.6986362934112549,0.10548892617225647,2560,0.19513317942619324
-0.06471443176269531,522,17,1.7035928964614868,-0.2843185067176819,2720,0.22998802363872528
-0.009820342063903809,528,18,1.6710147857666016,1.5626767873764038,2880,1.4782888889312744
-0.008575081825256348,533,19,1.7155420780181885,-0.4437251687049866,3040,0.2548828125
-0.014105677604675293,539,20,1.716599702835083,0.2938873767852783,3200,0.16469819843769073
0.0030212998390197754,543,21,1.7412850856781006,-0.11890663951635361,3360,0.15819361805915833
0.0016990303993225098,548,22,1.6433887481689453,1.883355975151062,3520,2.1232452392578125
-0.0017631053924560547,552,23,1.6869230270385742,-0.01533641666173935,3680,0.17666295170783997
0.0017862319946289062,556,24,1.7310165166854858,-0.02043333277106285,3840,0.11852873861789703
-0.00011098384857177734,559,25,1.7207763195037842,-0.08851249516010284,4000,0.13888177275657654
0.000500798225402832,563,26,1.5694125890731812,5.94661283493042,4160,18.646785736083984
0.0,566,27,1.7344928979873657,-0.45047566294670105,4320,0.35791584849357605
0.0026072263717651367,569,28,1.6891429424285889,-0.15485543012619019,4480,0.10216441005468369
7.253885269165039e-05,572,29,1.6031663417816162,0.07571980357170105,4640,0.1272151917219162
-1.3113021850585938e-06,574,30,1.4725849628448486,0.17539486289024353,4800,0.19242247939109802
0.0014566779136657715,577,31,1.2721517086029053,-0.26694583892822266,4960,0.32242679595947266
9.357929229736328e-06,580,32,1.1910631656646729,0.4530593454837799,5120,0.26456284523010254
-8.630752563476562e-05,583,33,1.263637900352478,-0.7673219442367554,5280,0.6191041469573975
-3.731250762939453e-05,585,34,1.1323002576828003,-0.5830256342887878,5440,0.4691948890686035
0.0006300806999206543,586,35,1.170975923538208,-0.3499467372894287,5600,0.24542801082134247
0.00024759769439697266,588,36,0.9817884564399719,-0.08964328467845917,5760,0.23666229844093323
0.0002789497375488281,589,37,0.7573298215866089,-0.21348528563976288,5920,0.257810115814209
-4.353653907775879,589,38,0.4369925558567047,0.06240050867199898,6080,0.8609921336174011
-204.27212524414062,590,39,0.420651912689209,-0.21417561173439026,6240,37.06019592285156
0.03099590539932251,591,40,0.41164225339889526,2.891127586364746,6400,60.76047897338867
-0.16102957725524902,591,41,0.0,0.0,6560,12020647936.0
nan,592,42,0.0,0.0,6720,inf
nan,587,43,0.0,nan,6880,nan
nan,586,44,nan,nan,7040,nan
nan,588,45,nan,nan,7200,nan
nan,589,46,nan,nan,7360,nan
nan,590,47,nan,nan,7520,nan
nan,590,48,nan,nan,7680,nan
nan,592,49,nan,nan,7840,nan
nan,592,50,nan,nan,8000,nan
nan,593,51,nan,nan,8160,nan
nan,593,52,nan,nan,8320,nan
nan,594,53,nan,nan,8480,nan
nan,595,54,nan,nan,8640,nan
nan,596,55,nan,nan,8800,nan
nan,597,56,nan,nan,8960,nan
nan,597,57,nan,nan,9120,nan
nan,598,58,nan,nan,9280,nan
nan,599,59,nan,nan,9440,nan
nan,600,60,nan,nan,9600,nan
nan,600,61,nan,nan,9760,nan
nan,601,62,nan,nan,9920,nan
nan,601,63,nan,nan,10080,nan
nan,602,64,nan,nan,10240,nan
nan,602,65,nan,nan,10400,nan
nan,603,66,nan,nan,10560,nan
nan,604,67,nan,nan,10720,nan
nan,604,68,nan,nan,10880,nan
