# {"t_start": 1543196735.941991, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-20.0,837,8.69089
-20.0,929,16.265575
-21.0,789,22.887117
-21.0,969,31.102845
-20.0,914,38.928106
-21.0,828,46.049046
-19.0,1101,55.107884
-20.0,956,63.352977
-19.0,962,71.117631
-21.0,905,78.705373
-21.0,822,86.04219
-20.0,985,94.084369
-20.0,834,101.330422
-20.0,840,108.032989
-18.0,1015,116.582629
-21.0,788,123.068723
-21.0,850,130.331078
-21.0,821,136.970165
-20.0,884,144.380078
-19.0,993,152.791925
-21.0,776,159.196988
-19.0,1122,168.595808
-16.0,1439,180.767523
-19.0,1220,191.161451
-19.0,1332,201.984862
-20.0,910,209.556318
-20.0,938,217.278594
-17.0,1297,228.223472
-19.0,1058,237.475078
-18.0,1292,248.223471
-12.0,1986,264.456853
-18.0,1597,278.388653
-16.0,1871,293.750474
-15.0,1976,310.607961
-11.0,2249,329.402372
-15.0,1965,346.037174
-11.0,2547,367.729622
-10.0,2484,388.333681
-16.0,1905,404.774285
-17.0,1995,421.899012
-15.0,1968,438.70886
-14.0,2190,457.372182
-9.0,2422,478.006285
-4.0,2884,501.873379
-9.0,2566,523.542121
-10.0,2364,543.588065
-5.0,2780,566.705202
-12.0,2440,587.217658
-8.0,2282,606.411145
-8.0,2666,628.899023
-4.0,2945,653.916548
-11.0,2458,675.020875
3.0,2804,698.93815
-3.0,2963,723.813912
-13.0,1962,740.713263
6.0,2692,763.193535
-6.0,2600,784.962985
-6.0,2544,806.128853
-2.0,3036,831.340453
11.0,2513,852.504309
4.0,2824,876.294096
-4.0,2993,901.513598
-5.0,2617,923.332029
6.0,2595,945.175857
6.0,2856,969.36577
-3.0,2853,993.451729
1.0,3331,1021.317681
6.0,2622,1043.056142
-1.0,3298,1070.764152
2.0,3049,1096.34318
2.0,2945,1121.099349
-5.0,2705,1143.622834
5.0,2900,1167.989209
5.0,2671,1190.602689
1.0,3128,1217.296321
-4.0,2818,1241.288383
6.0,2739,1263.89239
6.0,3033,1289.28383
8.0,2636,1311.229849
5.0,2707,1334.515716
9.0,2595,1356.274828
5.0,2815,1379.760978
7.0,2600,1401.565
6.0,2818,1425.499487
7.0,2385,1445.639969
4.0,2974,1470.420116
5.0,2864,1494.481442
9.0,2561,1516.071911
6.0,2915,1540.855033
1.0,2911,1565.217703
10.0,2574,1586.794242
10.0,2493,1607.173893
6.0,2855,1631.363948
1.0,3088,1657.220246
2.0,3089,1682.907221
-1.0,3328,1710.876702
2.0,2925,1735.56538
2.0,3098,1762.059879
11.0,2606,1783.932739
12.0,2345,1804.329961
2.0,2949,1829.07777
9.0,2502,1850.201957
7.0,2697,1872.959985
10.0,2538,1894.524473
8.0,2681,1916.920472
1.0,3221,1943.810267
14.0,2107,1961.51774
9.0,2650,1983.951069
8.0,2655,2006.329362
17.0,2036,2023.418154
9.0,2709,2046.121112
4.0,2710,2069.122253
10.0,2412,2089.573316
12.0,2208,2107.954045
4.0,2959,2132.996941
7.0,2778,2156.44675
9.0,2606,2177.957527
1.0,3664,2208.855221
10.0,2540,2230.231439
5.0,3110,2256.225317
17.0,2060,2273.617615
9.0,2840,2297.427444
-2.0,3365,2325.863357
7.0,2861,2349.820322
10.0,2484,2370.526266
6.0,3164,2397.429763
6.0,3146,2424.296896
8.0,2969,2448.953836
5.0,2936,2473.491925
15.0,2129,2491.179273
7.0,2602,2513.744346
5.0,2936,2537.79356
9.0,2536,2559.334829
10.0,2435,2579.425098
6.0,2780,2602.904408
17.0,1951,2619.141623
9.0,2734,2642.153306
12.0,2363,2661.745437
4.0,3055,2687.338899
16.0,2130,2704.90978
13.0,2284,2724.335039
7.0,2906,2748.824049
6.0,2880,2772.702163
3.0,3017,2798.288079
10.0,2645,2820.686907
10.0,2612,2842.634051
5.0,3243,2869.812242
10.0,2556,2891.130531
12.0,2567,2912.730666
9.0,2874,2937.116142
12.0,2367,2956.924227
8.0,2705,2979.635152
14.0,2275,2998.8332
10.0,2615,3021.211833
4.0,3073,3046.977823
12.0,2473,3067.92585
9.0,3025,3093.23061
8.0,2630,3115.728838
9.0,2814,3139.229459
10.0,2477,3159.921436
13.0,2406,3180.498084
11.0,2525,3201.616944
9.0,2769,3224.655447
13.0,2407,3245.053187
9.0,2803,3268.766842
12.0,2284,3287.710544
6.0,2707,3310.528054
17.0,1981,3327.31716
4.0,3260,3354.475792
14.0,2284,3373.811099
10.0,2693,3396.948158
14.0,2204,3415.325661
17.0,2063,3432.573828
7.0,2972,3457.920126
7.0,2823,3481.627162
16.0,1980,3498.818575
12.0,2466,3519.408011
15.0,2091,3536.714577
10.0,2537,3558.251867
13.0,2430,3578.802197
10.0,2551,3600.019005
12.0,2489,3621.049202
10.0,2828,3644.674905
9.0,2600,3666.508712
11.0,2346,3686.862867
11.0,2523,3708.544182
9.0,3028,3734.108142
10.0,2837,3757.837608
13.0,2521,3779.31717
7.0,3365,3807.540267
17.0,2323,3827.060381
14.0,2523,3848.076561
20.0,1820,3863.944002
10.0,3038,3889.326635
14.0,2594,3911.630798
14.0,2480,3932.499177
12.0,2257,3951.799056
17.0,2139,3969.592402
9.0,2662,3992.282933
11.0,2494,4013.433188
17.0,2014,4030.320356
15.0,2279,4049.676771
15.0,2221,4068.520693
10.0,2648,4090.997513
16.0,2059,4108.208394
10.0,2606,4129.931908
4.0,3318,4157.935558
13.0,2412,4178.220498
5.0,3287,4206.065049
15.0,2205,4224.301537
6.0,2710,4246.953756
16.0,2102,4264.961023
6.0,3012,4290.153521
11.0,2446,4310.83491
12.0,2319,4330.494738
10.0,2600,4352.730817
9.0,2528,4373.461693
10.0,2619,4395.647888
10.0,2412,4416.086269
15.0,2140,4433.65966
11.0,2508,4454.938217
8.0,2831,4478.736143
17.0,1998,4495.803352
16.0,2150,4513.684003
20.0,1700,4528.325427
11.0,2478,4549.03753
10.0,2455,4569.434092
12.0,2552,4590.832941
15.0,2201,4609.248216
16.0,2233,4627.970314
14.0,2557,4649.623006
8.0,2764,4672.609113
14.0,2399,4692.920682
12.0,2359,4712.549932
12.0,2547,4734.369402
14.0,2544,4755.679513
14.0,2352,4775.672058
16.0,2200,4794.066706
16.0,2225,4812.663055
14.0,2068,4829.872538
13.0,2305,4849.240937
16.0,2129,4867.213371
17.0,2058,4884.790942
13.0,2415,4905.657148
11.0,2336,4925.246102
17.0,1982,4941.50088
14.0,2480,4962.576284
15.0,2177,4980.89991
16.0,1986,4997.21021
15.0,2421,5017.478352
15.0,2458,5038.024278
11.0,2411,5058.514325
13.0,2580,5080.419428
4.0,2875,5104.808744
10.0,2524,5125.601803
16.0,2059,5143.191202
17.0,2202,5161.721556
12.0,2335,5180.923612
17.0,2146,5199.279882
19.0,1899,5215.526426
16.0,2222,5234.074734
14.0,2478,5255.386028
16.0,2162,5273.682355
12.0,2714,5296.642904
12.0,2430,5317.21822
13.0,2263,5336.335526
17.0,2015,5353.251737
