# {"t_start": 1544063139.9609816, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
375.0,474,9.823798
175.0,334,13.870634
175.0,383,18.666701
225.0,359,23.197768
100.0,314,26.656678
150.0,276,29.676976
150.0,279,32.833596
325.0,455,38.879576
150.0,360,43.542881
300.0,323,47.889703
0.0,278,51.253465
175.0,338,55.23498
300.0,404,59.88754
275.0,307,63.516169
350.0,366,67.77167
325.0,306,71.603975
325.0,376,76.586584
250.0,311,80.705688
275.0,301,84.560436
275.0,319,88.399772
275.0,417,93.277118
350.0,440,98.39368
275.0,411,103.184036
575.0,396,108.367291
275.0,322,112.465743
450.0,357,117.10914
300.0,438,122.741742
675.0,364,126.897823
200.0,301,130.430708
250.0,284,133.735626
325.0,367,137.919597
350.0,454,143.706718
400.0,470,149.792706
250.0,332,154.174742
175.0,294,157.918071
200.0,301,161.358754
150.0,325,165.148703
225.0,454,170.495646
350.0,453,175.785439
175.0,391,180.801329
375.0,309,184.74905
200.0,397,189.979117
300.0,357,194.578199
375.0,450,199.845904
200.0,275,203.008045
325.0,468,208.579244
350.0,370,213.139344
300.0,348,217.525335
350.0,359,222.247134
725.0,503,228.803616
400.0,410,233.630266
350.0,299,237.148515
250.0,271,240.310854
350.0,408,245.106737
325.0,327,249.10977
375.0,397,254.291749
325.0,323,258.467012
250.0,323,262.756328
250.0,302,266.45893
275.0,300,269.935884
175.0,271,273.063613
275.0,313,276.71572
650.0,367,281.002802
650.0,379,285.78627
400.0,419,291.315152
350.0,388,296.482006
300.0,365,300.954231
350.0,315,304.612786
250.0,332,308.482874
325.0,401,313.226806
325.0,296,316.695207
350.0,310,320.705018
300.0,364,325.431634
375.0,427,331.166846
250.0,365,335.63792
400.0,368,339.983861
250.0,398,344.685583
250.0,343,348.639108
300.0,318,352.399549
300.0,391,357.349146
300.0,306,361.362204
275.0,303,365.344519
325.0,364,369.917334
575.0,309,373.521513
325.0,396,378.197576
450.0,424,383.069119
450.0,415,388.181376
425.0,383,393.09
700.0,494,399.642095
850.0,492,405.833203
450.0,400,410.586793
325.0,416,415.388371
450.0,568,422.273987
400.0,390,427.270914
650.0,391,432.377359
750.0,484,438.612898
225.0,304,442.16686
300.0,319,445.818414
400.0,401,450.600356
700.0,450,455.868875
450.0,448,461.636721
525.0,482,467.89495
675.0,398,473.103883
800.0,505,479.09656
3775.0,686,487.171062
500.0,399,492.129482
300.0,416,497.405341
375.0,378,502.40492
700.0,495,508.751006
500.0,533,515.037755
700.0,396,519.777081
325.0,306,523.218196
400.0,418,528.535371
350.0,402,533.670702
475.0,583,541.433059
700.0,411,546.261144
825.0,505,552.221763
375.0,381,556.629246
750.0,526,563.241757
250.0,315,567.235704
725.0,412,572.691047
750.0,423,578.142349
400.0,453,583.430241
375.0,401,588.063384
300.0,362,592.341018
275.0,298,595.863104
375.0,416,601.121317
500.0,466,607.309656
425.0,475,613.40953
425.0,404,618.152127
725.0,458,623.537452
400.0,397,628.250445
425.0,397,633.140626
725.0,453,638.989085
525.0,497,645.442656
500.0,577,652.519536
750.0,552,659.027756
650.0,428,664.055377
375.0,462,669.881921
500.0,512,676.580872
450.0,702,685.669767
450.0,500,691.487561
450.0,456,696.889998
775.0,555,704.126454
325.0,463,710.205104
575.0,536,717.535969
525.0,470,723.209761
550.0,591,730.408502
650.0,395,735.305734
700.0,388,740.27965
525.0,537,747.347617
4175.0,646,755.943494
525.0,551,762.689806
475.0,482,768.51691
450.0,455,774.015964
550.0,680,783.11027
625.0,555,790.613916
575.0,638,798.649453
550.0,482,804.590214
1050.0,605,812.033862
825.0,551,819.355272
800.0,514,826.370152
450.0,440,831.963281
775.0,389,836.692892
775.0,482,842.583148
800.0,528,848.879889
550.0,519,855.87807
475.0,475,862.318291
750.0,586,869.893307
550.0,554,876.628871
775.0,452,882.137781
575.0,473,887.93163
500.0,491,894.515512
1000.0,479,901.073523
3900.0,673,909.555391
625.0,622,917.081495
600.0,581,924.259394
550.0,594,931.982235
525.0,668,941.013776
875.0,720,949.889972
625.0,625,957.540573
300.0,365,961.950023
875.0,595,969.731705
525.0,591,977.758738
3900.0,681,986.280792
4300.0,641,994.165457
575.0,693,1002.758189
775.0,703,1012.065989
575.0,550,1019.291167
550.0,662,1027.423413
725.0,760,1036.735656
600.0,708,1045.867897
4000.0,813,1056.952353
4500.0,802,1066.771624
800.0,524,1073.229573
3875.0,792,1083.190599
825.0,623,1091.411714
3975.0,911,1103.062804
1125.0,639,1110.932879
500.0,582,1118.185111
850.0,530,1124.85358
600.0,535,1132.10265
825.0,624,1140.08607
3825.0,631,1147.832314
4475.0,742,1156.8165
550.0,584,1164.367945
575.0,631,1172.755692
550.0,841,1183.371298
850.0,511,1189.619571
575.0,700,1198.247881
500.0,544,1205.174748
575.0,508,1211.881625
4225.0,866,1222.852917
475.0,464,1228.530085
600.0,597,1235.761013
475.0,558,1242.887008
600.0,660,1251.431242
850.0,764,1261.346322
5100.0,969,1273.210683
875.0,604,1280.767691
550.0,474,1286.740596
475.0,558,1294.188612
800.0,481,1300.319247
4150.0,788,1309.975644
850.0,482,1315.907852
525.0,574,1323.198795
3850.0,941,1335.418174
700.0,688,1344.21347
575.0,643,1352.067264
1075.0,781,1361.561393
550.0,460,1367.668844
4000.0,565,1374.974709
4125.0,805,1385.292366
1075.0,900,1396.423888
600.0,596,1403.872773
825.0,764,1413.755764
4450.0,725,1423.294149
3850.0,644,1431.103755
4350.0,885,1441.932299
1075.0,868,1453.196094
4150.0,867,1464.421599
3775.0,781,1474.080442
4125.0,708,1482.780187
4000.0,862,1494.074497
3900.0,886,1505.551668
575.0,609,1512.992984
575.0,516,1519.187871
575.0,770,1529.077978
1375.0,790,1539.573305
4325.0,951,1551.476556
1100.0,873,1562.158875
4000.0,852,1573.316449
575.0,651,1581.946437
4225.0,651,1589.855369
1100.0,958,1601.57952
225.0,339,1606.003933
550.0,477,1612.1037
4500.0,972,1624.665886
600.0,596,1631.860474
800.0,503,1638.026994
4100.0,858,1648.930999
4500.0,979,1662.051978
850.0,589,1669.212918
575.0,563,1675.997037
4075.0,844,1686.663176
1075.0,597,1694.420147
4625.0,1050,1707.80241
3775.0,617,1715.332134
4800.0,1148,1729.901529
5075.0,1219,1745.937821
600.0,633,1753.606837
4800.0,1112,1767.679607
4250.0,1289,1784.522238
1100.0,980,1796.556838
3900.0,699,1805.412096
4000.0,814,1816.128979
925.0,1054,1829.274968
600.0,463,1834.814641
4000.0,606,1842.388909
4450.0,888,1854.072906
4750.0,1202,1869.413588
4050.0,853,1879.775942
4925.0,1089,1894.140128
3900.0,751,1903.797086
4700.0,990,1915.853696
4525.0,949,1927.892353
4525.0,886,1939.720254
4075.0,682,1948.069984
4575.0,744,1957.023782
4300.0,622,1964.857885
4425.0,657,1973.419577
3975.0,843,1984.3728
4450.0,713,1993.067527
4600.0,893,2004.166221
4600.0,853,2015.231072
1100.0,606,2023.087192
4600.0,769,2032.410621
4625.0,773,2041.819597
3950.0,661,2050.267295
4500.0,923,2062.55749
4750.0,1268,2078.082809
4650.0,978,2090.423292
600.0,512,2097.164917
4625.0,734,2106.599639
1100.0,596,2113.896721
4650.0,973,2126.006145
8075.0,1295,2143.051148
8300.0,1407,2160.205739
550.0,794,2170.232059
8500.0,1513,2189.82707
4775.0,996,2201.950963
4625.0,778,2211.810809
4825.0,1233,2227.972858
225.0,339,2232.009947
4775.0,1270,2247.737281
600.0,494,2254.03885
3900.0,567,2261.643302
4700.0,1087,2275.272761
3950.0,608,2282.720204
4225.0,1158,2297.628267
4175.0,774,2307.751473
8050.0,1137,2321.67706
4975.0,864,2332.641687
4700.0,939,2345.172623
4625.0,790,2354.695141
4825.0,873,2365.482936
8425.0,1773,2388.723231
4775.0,1139,2402.629545
275.0,350,2406.806711
7850.0,1470,2426.173332
4700.0,1132,2439.940217
7800.0,1344,2457.007887
4125.0,1189,2472.509172
3725.0,761,2481.689555
475.0,482,2487.546316
4700.0,824,2498.172084
4800.0,1048,2511.868183
11950.0,1995,2536.614296
4725.0,860,2548.188212
4425.0,665,2556.221686
4725.0,948,2567.72527
4675.0,1021,2580.986679
8600.0,1212,2596.450909
8050.0,1189,2611.008064
4000.0,629,2619.180825
4000.0,700,2628.526092
4850.0,1032,2641.220065
12325.0,1839,2664.705998
13100.0,1705,2686.023999
11925.0,1344,2703.221335
4850.0,1329,2720.155269
8450.0,1446,2738.166522
12025.0,1713,2760.252887
12250.0,1351,2776.994349
600.0,559,2784.134659
8325.0,1174,2799.280111
1100.0,875,2810.010078
4725.0,975,2822.55232
1075.0,511,2829.25474
