# {"t_start": 1544069435.6539342, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
16400.0,1919,18.883611
15775.0,1839,35.291921
4975.0,1018,44.149478
8375.0,1009,52.614733
8575.0,1010,61.612142
15600.0,1578,75.192796
12150.0,1243,86.410741
16200.0,1705,101.493564
12775.0,1445,114.169349
16275.0,1951,131.837586
15025.0,1587,145.805481
8650.0,1146,155.83638
12200.0,1263,167.055951
4200.0,727,173.194524
12150.0,1184,183.589641
16000.0,2119,202.540493
8475.0,966,210.955316
12200.0,1134,221.103611
16125.0,1820,237.322837
16200.0,1870,254.13333
5000.0,769,260.99599
15375.0,1504,274.091788
950.0,514,278.630394
16050.0,1653,293.307444
15600.0,1683,308.035031
16575.0,1836,324.331283
20250.0,2403,345.992934
12375.0,1373,358.367374
16025.0,1602,372.416001
12300.0,1348,384.566316
15500.0,1463,397.459517
16000.0,1741,412.716728
15975.0,1805,428.824172
12025.0,1234,440.006646
8000.0,1025,449.213423
12350.0,1415,461.674041
16025.0,1603,475.652234
4125.0,689,482.00224
4850.0,743,488.214262
775.0,485,492.558348
16000.0,1902,509.49945
8550.0,1016,518.549373
20175.0,2748,542.464122
12150.0,1713,557.517555
12150.0,1395,569.869305
12250.0,1517,583.24302
12175.0,1374,595.413943
11600.0,1309,606.820015
16825.0,2430,628.267693
16475.0,1919,645.172229
15550.0,1539,658.043816
15550.0,1500,671.606841
11975.0,1257,682.991004
16450.0,2108,701.533998
475.0,451,705.76526
15475.0,1560,719.619549
12250.0,1399,732.051317
15950.0,1727,747.224595
15975.0,1721,762.21427
19250.0,2278,782.758459
12200.0,1238,793.976605
15575.0,1572,807.825314
16000.0,1914,824.853422
15525.0,1513,837.994437
15475.0,1659,852.299666
14975.0,1590,866.755193
16250.0,1943,883.984188
8300.0,1085,893.279426
12275.0,1385,905.586386
19125.0,2148,925.021935
12050.0,1158,935.295126
15650.0,1635,949.445809
16575.0,1813,965.407876
15775.0,1725,980.912032
12675.0,1384,992.843816
16600.0,2015,1010.918977
150.0,428,1014.521616
12075.0,1263,1025.86147
16075.0,1638,1040.571706
15625.0,1675,1055.514057
12375.0,1466,1068.390328
16175.0,1701,1083.348932
11675.0,1272,1094.693843
7875.0,881,1102.621094
12100.0,1216,1113.009898
15800.0,1846,1129.891114
15350.0,1414,1142.398542
500.0,484,1146.272499
15600.0,1606,1160.769726
12000.0,1196,1171.298249
15750.0,1781,1187.397364
16275.0,1967,1204.857289
16050.0,2089,1223.942345
15725.0,1722,1239.011103
16025.0,1589,1252.991478
8500.0,955,1261.684754
12225.0,1337,1273.250584
12250.0,1640,1287.925154
19400.0,2274,1307.574961
12300.0,1711,1323.183384
12375.0,1378,1334.92597
7950.0,1438,1347.685804
11675.0,1404,1359.846172
15775.0,1858,1376.646751
16225.0,2081,1395.109211
12175.0,1330,1406.84545
16025.0,1500,1420.354248
15700.0,1825,1436.549693
16050.0,1612,1451.133983
19450.0,2512,1473.366982
15850.0,1675,1488.245906
16000.0,2086,1506.800239
16075.0,1969,1524.799558
15875.0,1687,1539.869789
15600.0,1631,1554.179438
16050.0,1669,1569.066203
8525.0,1021,1578.144609
15825.0,1837,1594.389713
5000.0,934,1602.954111
16275.0,2014,1620.120018
8050.0,852,1627.823245
16150.0,1809,1643.937219
16550.0,1966,1661.204076
550.0,849,1668.948869
12100.0,1136,1679.200327
15775.0,1610,1693.346758
16175.0,1877,1710.084596
19300.0,2417,1731.327263
15775.0,1664,1745.973555
12175.0,1196,1756.919538
15650.0,1752,1772.175144
19875.0,2735,1796.220165
15450.0,1419,1808.810976
12275.0,1459,1822.203911
19600.0,2093,1840.504252
16000.0,1884,1857.331654
19200.0,2288,1877.150871
19700.0,2340,1898.326769
12175.0,1493,1910.869202
15900.0,1746,1926.517443
8700.0,1127,1936.382207
15575.0,1530,1949.328376
12475.0,1611,1963.992298
19825.0,2584,1987.088908
12225.0,1626,2001.583349
12100.0,1278,2012.423668
8650.0,1037,2022.089879
15575.0,1703,2037.136037
15775.0,1841,2053.316538
16000.0,2217,2072.763043
325.0,393,2076.214906
15825.0,1793,2092.27672
15850.0,2050,2110.450382
19650.0,2281,2130.856136
11875.0,1459,2143.669314
8875.0,1077,2153.087464
625.0,374,2156.424009
15675.0,1525,2170.101547
8375.0,1087,2180.051523
625.0,364,2182.845337
12150.0,1297,2194.308495
15975.0,1991,2212.238345
8750.0,1095,2221.751181
5025.0,790,2228.704053
11175.0,1045,2237.952843
15650.0,1826,2254.707523
16850.0,2020,2272.480832
8550.0,1059,2282.261267
16725.0,1755,2297.558898
11975.0,1076,2306.773186
5150.0,774,2313.649346
15825.0,1841,2330.210416
19300.0,2180,2349.580457
12275.0,1386,2361.645591
16000.0,1860,2378.58427
16625.0,2026,2396.654772
16225.0,1911,2413.214829
19725.0,1977,2431.101195
19375.0,2084,2449.480055
8575.0,1023,2458.55054
19350.0,2462,2480.534033
12575.0,1291,2491.918772
16275.0,2019,2509.778944
16500.0,2226,2529.508636
16425.0,1747,2545.139472
15800.0,1827,2561.374557
19625.0,2251,2581.230199
15975.0,2148,2600.368971
5225.0,962,2608.694481
15375.0,1629,2623.170888
16000.0,1860,2639.260921
20000.0,2439,2660.726018
15800.0,1686,2675.948824
8650.0,972,2684.233808
8600.0,955,2692.423226
16300.0,2105,2711.533138
19525.0,2456,2733.271221
20625.0,2760,2757.430706
8850.0,1029,2766.543504
20025.0,2481,2788.969823
19075.0,2398,2810.006353
16325.0,2112,2829.07457
19350.0,2165,2848.536027
775.0,555,2853.329535
16150.0,2206,2872.759313
15875.0,1761,2888.477661
7575.0,914,2896.516505
7825.0,965,2904.886626
8550.0,1197,2915.407932
8300.0,1102,2925.358829
16000.0,1900,2942.232775
8350.0,1021,2951.305542
8650.0,1027,2959.799334
15600.0,1528,2973.496825
15875.0,1815,2989.547291
19800.0,2267,3009.655144
4900.0,817,3016.79326
20200.0,2153,3036.083208
16500.0,1902,3052.691079
12000.0,1411,3065.124605
20300.0,2365,3086.026459
16100.0,1617,3100.651693
15725.0,1700,3115.665307
16025.0,1587,3129.147405
925.0,613,3134.576484
19375.0,2316,3155.163349
24425.0,2786,3180.111927
500.0,529,3184.722231
19925.0,2610,3207.767267
8475.0,1008,3216.644597
15975.0,1984,3234.224208
16425.0,1833,3250.062196
15775.0,1748,3265.742457
8275.0,932,3273.850922
16000.0,1861,3290.499071
12225.0,1405,3302.800019
15725.0,1473,3315.708005
19450.0,2049,3333.999094
19950.0,2637,3357.198194
15525.0,1458,3370.199595
19275.0,2324,3390.955097
12275.0,1348,3402.761494
16275.0,2081,3421.001539
12200.0,1180,3431.106407
12175.0,1660,3445.850863
16775.0,1827,3462.364282
15600.0,1525,3475.4999
16500.0,2095,3494.38405
19850.0,2232,3513.989888
15300.0,1920,3531.170604
12300.0,1254,3542.333984
15775.0,1574,3555.994238
450.0,503,3560.501028
15625.0,1535,3574.071073
15975.0,2002,3591.774997
16650.0,2122,3611.031971
15400.0,1663,3625.889908
15675.0,2050,3643.682654
8550.0,997,3652.578466
16200.0,1680,3667.100396
16000.0,2233,3686.911173
16175.0,1787,3702.338284
8725.0,1132,3712.516776
8550.0,1010,3721.407283
15425.0,1571,3734.978616
12325.0,1402,3747.254688
16125.0,2037,3765.413211
15950.0,1774,3781.167275
4075.0,611,3786.166532
19425.0,2409,3807.547568
15400.0,1411,3820.124037
1300.0,744,3826.852844
15975.0,1780,3842.905529
15875.0,1446,3855.392416
11250.0,1218,3866.014503
5525.0,1101,3875.947962
15150.0,1495,3888.942654
16400.0,1972,3906.686404
15725.0,1870,3922.986234
15950.0,1847,3939.541871
20025.0,2551,3961.511795
12850.0,1603,3975.854572
15550.0,1561,3989.580427
16075.0,1764,4005.418476
8875.0,1412,4017.751964
15950.0,1919,4034.370371
11950.0,1453,4047.722431
16325.0,1815,4063.765833
16500.0,1983,4081.01603
625.0,561,4086.079472
15625.0,1601,4099.956915
12250.0,1311,4111.634373
8525.0,1072,4121.02782
20350.0,2389,4142.392669
15625.0,1670,4157.14313
16000.0,1823,4173.132442
15350.0,1439,4185.910181
19225.0,2348,4207.079114
675.0,401,4210.603646
8750.0,1442,4223.403195
19825.0,2425,4244.88003
16150.0,1668,4259.777964
16600.0,2281,4279.622475
19225.0,2517,4302.175955
15525.0,1692,4317.191513
19975.0,2527,4339.875296
12275.0,1521,4353.080175
15425.0,1694,4368.685054
15975.0,1773,4384.066676
15450.0,1410,4396.684182
19675.0,2516,4419.487754
16350.0,1861,4435.848396
15650.0,2017,4454.08178
15725.0,1640,4468.80649
19350.0,2203,4488.461082
19750.0,2279,4508.483179
19775.0,2502,4530.509112
19475.0,2021,4548.786206
20025.0,2705,4572.97571
15600.0,1713,4588.07438
20275.0,2672,4612.030992
16300.0,1906,4629.007341
19925.0,2745,4653.45747
19300.0,2325,4674.059842
15825.0,1677,4689.084725
12200.0,1434,4701.812878
15575.0,1470,4715.089122
15900.0,1736,4730.295625
8525.0,1338,4742.011479
15800.0,1588,4756.487537
5050.0,793,4763.325182
19950.0,2296,4783.780509
15525.0,1573,4797.635785
12100.0,1169,4807.813909
15375.0,1504,4821.22239
15850.0,1954,4838.398159
20600.0,2467,4860.062731
16175.0,2096,4878.445009
