# {"t_start": 1543103329.7300296, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
65.0,280,35.047645
190.0,697,44.892223
160.0,474,50.735329
110.0,468,57.394495
155.0,621,66.122714
120.0,513,75.526235
150.0,463,83.016815
80.0,459,90.470023
135.0,488,98.46545
185.0,536,106.984194
345.0,760,120.610552
140.0,402,126.566219
95.0,328,132.853006
550.0,723,145.382347
135.0,471,155.169696
75.0,374,161.095245
120.0,509,170.729391
130.0,414,178.305108
125.0,373,187.905767
110.0,283,195.649558
165.0,635,209.335886
180.0,701,223.407032
100.0,476,232.762114
35.0,298,238.832669
70.0,276,244.459638
50.0,455,252.02636
85.0,339,259.140011
135.0,431,266.724733
115.0,476,275.750043
215.0,597,285.781167
270.0,1024,304.055487
150.0,603,315.234727
235.0,495,325.277536
315.0,593,336.817804
155.0,546,347.466863
440.0,651,360.937049
155.0,375,367.26852
155.0,579,377.911974
210.0,614,388.251191
105.0,503,399.096394
140.0,611,412.126583
120.0,483,419.943145
155.0,629,430.760977
190.0,1126,452.930683
125.0,416,461.989837
130.0,425,471.453509
155.0,615,481.707387
110.0,486,491.039524
175.0,591,501.018188
160.0,672,513.345914
110.0,483,522.396603
125.0,481,530.232577
180.0,600,541.758084
135.0,483,551.739928
210.0,600,563.873152
225.0,727,578.06645
210.0,644,590.974265
240.0,749,603.918983
165.0,582,616.74241
155.0,609,627.281937
385.0,593,636.540985
210.0,642,646.891202
105.0,483,656.199778
80.0,303,662.57901
175.0,580,674.455995
210.0,623,687.110582
210.0,628,697.991651
135.0,586,705.962457
120.0,490,715.576534
105.0,484,723.417284
410.0,1066,741.7559
440.0,751,756.791039
120.0,478,766.490315
180.0,618,778.843042
210.0,599,789.196724
210.0,622,799.953251
235.0,598,811.203609
285.0,651,825.078745
90.0,377,832.449462
235.0,677,844.686547
210.0,636,856.566369
75.0,291,860.68162
110.0,480,868.523324
135.0,490,878.541641
90.0,353,883.717987
240.0,676,896.037582
210.0,629,906.990444
185.0,597,918.869528
110.0,477,929.507406
110.0,496,938.513046
380.0,599,951.421041
260.0,793,963.75956
505.0,778,978.190885
265.0,750,990.028415
290.0,719,1002.582839
210.0,615,1014.07427
105.0,293,1019.371722
210.0,627,1029.412958
230.0,744,1041.951435
185.0,596,1053.234
210.0,609,1065.279074
105.0,483,1073.828726
210.0,608,1085.713503
300.0,776,1100.136699
210.0,671,1110.534663
210.0,625,1122.733008
600.0,1076,1141.93106
180.0,652,1152.78093
105.0,493,1162.462104
240.0,733,1177.221173
475.0,745,1191.278688
265.0,736,1205.481248
325.0,825,1221.035201
325.0,812,1236.962856
240.0,728,1248.488197
80.0,313,1254.168721
45.0,317,1260.705243
80.0,313,1265.697261
75.0,333,1270.620877
425.0,852,1287.161599
180.0,490,1295.69514
120.0,266,1300.826128
270.0,869,1315.920203
135.0,387,1323.832697
275.0,513,1332.904895
385.0,599,1345.117782
210.0,613,1358.01484
310.0,763,1370.813572
210.0,604,1382.307346
125.0,545,1390.162993
75.0,315,1395.345636
110.0,453,1402.856617
200.0,591,1413.580448
240.0,796,1428.704503
350.0,1179,1453.107036
180.0,692,1464.014084
85.0,407,1472.484133
225.0,650,1486.48917
60.0,288,1490.303926
75.0,358,1496.353669
340.0,665,1509.680724
120.0,525,1521.349189
175.0,491,1529.918671
385.0,878,1543.233527
170.0,503,1551.165736
110.0,392,1558.591195
45.0,376,1565.408773
105.0,373,1572.915787
