explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
-16.875534057617188,229,1,0.7803192138671875,-0.14355821907520294,160,0.7044988870620728
-14.80507755279541,265,2,0.5814975500106812,1.4360673427581787,320,14.249725341796875
-3.811553955078125,279,3,0.27459102869033813,-0.22614845633506775,480,4.080990791320801
-1.4573390483856201,285,4,0.4525662362575531,0.894767165184021,640,5.897927284240723
-2.0340216159820557,291,5,0.6651094555854797,-0.3123463988304138,800,4.0778961181640625
-1.0032496452331543,294,6,0.8835607767105103,1.1058757305145264,960,7.212608337402344
-0.9224897623062134,296,7,0.770589292049408,0.9262120127677917,1120,3.708081007003784
-0.03103804588317871,298,8,0.7059292793273926,-0.11394356936216354,1280,1.8092901706695557
-1.2785704135894775,300,9,0.8132030367851257,0.5653969049453735,1440,3.200873613357544
-0.9749011993408203,301,10,0.7396888732910156,0.14089259505271912,1600,1.1334092617034912
-0.25739312171936035,291,11,0.6602784395217896,-0.390827476978302,1760,1.300334095954895
0.3979870676994324,289,12,0.6094655990600586,0.30087706446647644,1920,0.6723942160606384
0.16072171926498413,286,13,0.6025556325912476,0.030532825738191605,2080,0.473611056804657
-0.07699465751647949,284,14,0.6687198281288147,0.15689021348953247,2240,1.0580209493637085
0.8106492459774017,282,15,0.9407426714897156,-0.5382274389266968,2400,0.9452633857727051
0.10158616304397583,281,16,0.7264665365219116,-0.0734071433544159,2560,1.5007930994033813
0.7429915070533752,281,17,0.20595407485961914,0.18421484529972076,2720,9.850014686584473
-0.012515068054199219,280,18,0.0,0.0,2880,11629060096.0
nan,279,19,nan,nan,3040,nan
nan,279,20,nan,nan,3200,nan
nan,278,21,nan,nan,3360,nan
nan,278,22,nan,nan,3520,nan
nan,277,23,nan,nan,3680,nan
nan,276,24,nan,nan,3840,nan
nan,275,25,nan,nan,4000,nan
nan,275,26,nan,nan,4160,nan
nan,275,27,nan,nan,4320,nan
nan,274,28,nan,nan,4480,nan
nan,274,29,nan,nan,4640,nan
nan,274,30,nan,nan,4800,nan
nan,273,31,nan,nan,4960,nan
nan,272,32,nan,nan,5120,nan
nan,271,33,nan,nan,5280,nan
nan,270,34,nan,nan,5440,nan
nan,269,35,nan,nan,5600,nan
nan,269,36,nan,nan,5760,nan
nan,268,37,nan,nan,5920,nan
nan,267,38,nan,nan,6080,nan
nan,266,39,nan,nan,6240,nan
nan,265,40,nan,nan,6400,nan
nan,264,41,nan,nan,6560,nan
nan,264,42,nan,nan,6720,nan
nan,263,43,nan,nan,6880,nan
nan,263,44,nan,nan,7040,nan
nan,262,45,nan,nan,7200,nan
nan,262,46,nan,nan,7360,nan
nan,261,47,nan,nan,7520,nan
nan,261,48,nan,nan,7680,nan
nan,260,49,nan,nan,7840,nan
nan,260,50,nan,nan,8000,nan
nan,260,51,nan,nan,8160,nan
nan,259,52,nan,nan,8320,nan
nan,259,53,nan,nan,8480,nan
nan,259,54,nan,nan,8640,nan
nan,259,55,nan,nan,8800,nan
nan,258,56,nan,nan,8960,nan
nan,258,57,nan,nan,9120,nan
nan,258,58,nan,nan,9280,nan
nan,257,59,nan,nan,9440,nan
nan,257,60,nan,nan,9600,nan
nan,256,61,nan,nan,9760,nan
nan,256,62,nan,nan,9920,nan
nan,256,63,nan,nan,10080,nan
nan,256,64,nan,nan,10240,nan
nan,257,65,nan,nan,10400,nan
nan,257,66,nan,nan,10560,nan
