# {"t_start": 1543135974.7523243, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
100.0,860,40.053268
120.0,477,46.161306
155.0,506,52.076939
215.0,589,58.619266
100.0,481,64.820759
170.0,569,72.572171
285.0,626,80.699289
70.0,360,85.0118
40.0,294,88.403897
105.0,383,92.919776
165.0,479,98.886353
215.0,542,106.160936
125.0,451,112.149076
50.0,278,115.755241
170.0,481,121.334337
250.0,581,128.300465
160.0,503,134.324198
170.0,512,141.034359
170.0,600,149.162136
35.0,288,152.941476
150.0,485,158.758796
55.0,385,163.367346
475.0,966,175.473853
165.0,467,181.630364
135.0,496,188.249516
55.0,286,191.712943
340.0,776,201.076014
150.0,749,210.267359
55.0,388,215.238262
260.0,728,225.121039
140.0,468,230.906654
120.0,484,236.639729
110.0,506,242.558541
65.0,414,247.796377
210.0,640,256.264619
210.0,616,265.183327
155.0,620,272.707817
210.0,599,279.777639
210.0,619,287.455987
530.0,1028,301.045394
375.0,1076,313.741101
210.0,607,321.181715
75.0,286,324.804632
250.0,711,334.331314
180.0,600,341.318078
180.0,609,348.547503
240.0,713,357.270156
180.0,608,365.19469
180.0,598,372.715317
180.0,637,380.20639
155.0,595,387.149134
155.0,590,394.705421
210.0,677,403.783
210.0,632,411.230419
210.0,628,418.516259
155.0,603,425.99886
155.0,595,433.761596
210.0,634,441.727202
180.0,611,448.831706
110.0,486,454.479448
155.0,592,461.953709
155.0,603,469.987777
75.0,304,473.806106
365.0,583,480.658035
210.0,642,488.1337
380.0,617,496.087573
180.0,654,504.715519
180.0,602,511.979559
155.0,599,518.940475
210.0,625,526.675232
445.0,706,535.974925
210.0,625,543.79172
105.0,481,549.39724
430.0,1196,563.972585
520.0,828,574.749928
105.0,484,580.405619
180.0,622,587.716299
365.0,587,595.076349
355.0,590,602.770832
210.0,638,610.717139
110.0,474,616.205076
210.0,631,623.662997
155.0,595,631.361653
345.0,1092,645.330751
110.0,486,651.013769
155.0,596,658.046446
155.0,603,665.837357
410.0,618,674.044674
105.0,563,680.561835
135.0,583,687.402396
185.0,598,694.767867
210.0,619,702.80642
290.0,733,712.008753
410.0,642,719.473651
225.0,1395,737.417944
210.0,624,745.090667
285.0,994,756.945611
410.0,637,765.208474
530.0,1167,780.105029
210.0,636,787.489687
155.0,598,794.956438
410.0,640,803.385164
240.0,735,812.595091
155.0,607,819.704504
640.0,1293,836.176872
260.0,729,845.453755
210.0,610,852.600734
410.0,640,860.391659
380.0,624,868.437168
210.0,629,876.655671
210.0,624,884.05845
470.0,718,892.525766
285.0,726,901.870582
180.0,617,909.947384
210.0,607,917.077557
260.0,1168,931.373784
80.0,296,935.201163
210.0,621,943.297878
210.0,606,950.463352
215.0,716,958.918452
590.0,1109,973.167368
165.0,595,980.691427
210.0,624,988.049278
120.0,519,994.133171
390.0,1091,1008.099762
120.0,454,1014.062335
570.0,1100,1027.005527
105.0,472,1032.853482
540.0,1083,1046.871891
635.0,1186,1061.11593
210.0,639,1068.7574
75.0,395,1073.414756
155.0,602,1081.10613
180.0,616,1088.874249
210.0,647,1096.434609
80.0,283,1099.70678
210.0,656,1107.460624
315.0,969,1119.639906
210.0,626,1127.534084
115.0,445,1132.721711
110.0,486,1138.401828
210.0,631,1145.901652
180.0,604,1153.186768
80.0,386,1158.253068
75.0,320,1162.449692
180.0,620,1169.771302
260.0,725,1178.281321
210.0,639,1185.921796
650.0,1288,1201.983059
630.0,825,1211.840191
210.0,634,1219.349945
440.0,1098,1232.352263
160.0,589,1239.833542
210.0,610,1247.497307
180.0,601,1254.556723
260.0,726,1263.006834
405.0,1170,1276.818434
210.0,623,1284.891978
110.0,473,1290.731054
210.0,651,1298.282711
210.0,611,1305.421394
530.0,1069,1318.189604
465.0,726,1327.293858
155.0,497,1333.53079
260.0,533,1339.754432
210.0,609,1346.830134
115.0,318,1350.552563
225.0,618,1357.946589
120.0,498,1363.813327
365.0,801,1373.670636
265.0,768,1382.848292
120.0,530,1389.064163
150.0,530,1395.309132
390.0,833,1405.277736
120.0,470,1411.098138
225.0,613,1418.694005
320.0,890,1429.361754
515.0,862,1439.640122
330.0,740,1448.580485
330.0,766,1458.262834
475.0,760,1467.49288
90.0,506,1473.479228
290.0,892,1484.388895
210.0,640,1492.272782
210.0,646,1500.32968
335.0,854,1510.466501
470.0,662,1518.298891
210.0,574,1525.519754
285.0,817,1535.732413
795.0,1163,1549.823352
425.0,650,1557.466292
485.0,717,1566.439251
120.0,518,1572.96463
440.0,709,1581.699333
360.0,856,1591.580844
475.0,1083,1605.002449
410.0,978,1617.403235
360.0,1105,1630.401692
300.0,678,1638.814074
485.0,900,1650.484963
470.0,1075,1663.185156
155.0,411,1668.072306
230.0,656,1676.469569
240.0,1112,1690.49006
245.0,643,1697.965844
745.0,995,1710.083824
795.0,978,1722.565668
215.0,579,1729.438466
270.0,485,1735.104578
545.0,1114,1749.020747
420.0,1048,1762.345903
365.0,750,1771.505227
210.0,640,1779.500464
210.0,741,1789.197001
820.0,1207,1804.168011
515.0,867,1814.692776
210.0,601,1822.408413
745.0,1319,1839.316298
155.0,585,1846.140053
285.0,797,1855.942722
165.0,503,1862.41066
315.0,756,1872.329408
465.0,566,1879.176921
270.0,975,1890.84042
450.0,960,1902.824262
450.0,825,1913.597663
550.0,1029,1925.783161
600.0,1048,1938.289732
345.0,763,1948.236025
465.0,845,1958.72582
635.0,903,1969.527754
110.0,383,1974.218907
430.0,927,1985.858333
260.0,517,1992.735883
390.0,703,2001.208116
285.0,764,2010.250467
215.0,589,2017.433397
440.0,667,2025.821203
315.0,607,2033.822913
315.0,928,2045.108934
135.0,362,2049.406856
475.0,978,2061.218515
400.0,822,2072.496205
440.0,790,2082.532381
215.0,496,2088.294163
260.0,663,2096.100734
475.0,1053,2109.499435
495.0,846,2119.846269
390.0,718,2128.194409
255.0,586,2135.263054
240.0,529,2141.935293
415.0,757,2151.574957
360.0,721,2160.002388
320.0,657,2167.723665
475.0,848,2178.302551
800.0,1109,2191.875394
295.0,566,2198.42749
285.0,834,2208.487636
480.0,885,2219.756316
335.0,677,2227.837507
620.0,726,2236.250222
695.0,762,2245.533434
580.0,644,2254.063142
540.0,950,2265.446855
260.0,540,2271.730387
335.0,650,2279.63446
455.0,717,2288.789446
390.0,603,2296.241334
755.0,1074,2308.72399
585.0,900,2320.11192
380.0,544,2327.31035
340.0,749,2336.003665
470.0,712,2344.221146
315.0,651,2352.263534
310.0,658,2360.848643
595.0,870,2371.285774
285.0,598,2378.234917
395.0,718,2387.040096
310.0,648,2395.474354
355.0,855,2405.889487
375.0,657,2413.485926
350.0,739,2422.56109
385.0,631,2430.701535
340.0,579,2437.899568
465.0,603,2444.950475
440.0,603,2451.961005
260.0,574,2458.962295
290.0,640,2467.079325
335.0,762,2476.290544
395.0,939,2487.499226
800.0,1122,2501.621573
565.0,550,2508.539938
520.0,899,2518.802767
565.0,956,2530.414289
460.0,878,2541.784992
490.0,960,2552.947295
445.0,593,2559.974663
385.0,645,2567.816027
775.0,1089,2581.41081
570.0,1078,2593.888771
545.0,1003,2606.341629
410.0,767,2616.069526
445.0,605,2623.042516
470.0,774,2632.231144
570.0,1402,2650.108541
600.0,977,2661.405637
470.0,920,2672.299279
635.0,749,2681.660548
390.0,640,2689.635307
130.0,546,2695.796093
495.0,713,2704.04594
325.0,564,2710.974198
575.0,978,2723.344222
340.0,744,2732.160702
285.0,628,2739.420377
360.0,609,2746.814315
315.0,613,2754.301551
845.0,1300,2770.151211
435.0,747,2778.872387
540.0,745,2787.842489
610.0,994,2800.453358
910.0,1140,2813.604007
340.0,718,2822.335186
310.0,658,2830.87991
215.0,454,2836.793497
255.0,604,2844.082261
415.0,554,2850.706329
450.0,858,2861.325264
570.0,971,2873.969269
430.0,601,2881.122655
230.0,530,2887.427429
380.0,680,2895.903328
305.0,584,2903.366518
1095.0,1507,2922.042943
355.0,714,2930.734954
530.0,1064,2944.219237
340.0,630,2952.14529
695.0,862,2962.261896
425.0,734,2971.420357
415.0,808,2981.843448
655.0,978,2993.928747
575.0,937,3005.410913
360.0,575,3012.50946
615.0,723,3022.008109
485.0,633,3029.795264
580.0,759,3038.738678
450.0,715,3047.622091
540.0,558,3055.077312
675.0,942,3066.76445
600.0,936,3077.904373
665.0,946,3089.754383
490.0,942,3101.613364
800.0,1149,3115.338902
470.0,754,3124.719336
415.0,738,3134.468264
515.0,687,3142.529594
800.0,1121,3155.945786
295.0,627,3163.834109
495.0,902,3175.508647
525.0,938,3186.523268
250.0,732,3195.60977
355.0,679,3204.182506
320.0,700,3213.22787
600.0,913,3224.022651
450.0,910,3235.181768
720.0,902,3246.938779
510.0,944,3258.337785
515.0,831,3268.262485
685.0,1074,3281.869909
365.0,717,3290.731219
500.0,837,3300.623569
300.0,519,3306.740805
425.0,794,3316.421533
385.0,771,3326.39959
690.0,844,3337.30532
490.0,971,3349.035991
490.0,1005,3361.517736
600.0,1088,3374.483881
385.0,678,3382.15927
360.0,787,3391.517014
385.0,829,3402.181403
600.0,860,3412.203103
545.0,763,3421.096094
780.0,991,3433.073941
375.0,710,3442.061077
470.0,997,3453.640061
470.0,963,3464.978956
755.0,935,3476.861404
975.0,1475,3494.071014
220.0,476,3499.586629
570.0,800,3509.30997
340.0,660,3517.733378
1005.0,1496,3534.938628
545.0,942,3546.343929
1075.0,1607,3565.605107
605.0,1016,3577.57517
515.0,912,3589.028566
525.0,941,3600.123984
725.0,1095,3613.082969
685.0,835,3623.292737
575.0,1045,3636.043039
575.0,1011,3647.599085
470.0,837,3657.823837
600.0,934,3669.536172
460.0,698,3677.456567
775.0,1003,3689.4071
600.0,901,3700.821498
445.0,801,3710.441145
600.0,918,3720.922764
750.0,1034,3733.76733
685.0,939,3745.247011
800.0,1029,3756.981197
945.0,1101,3770.63492
525.0,834,3780.893788
490.0,944,3791.657686
445.0,941,3803.23531
775.0,780,3813.239331
605.0,1026,3825.00358
600.0,975,3836.651366
545.0,885,3847.973737
800.0,961,3859.227483
500.0,874,3869.5633
755.0,956,3881.512784
670.0,1018,3893.564251
660.0,863,3903.704004
570.0,926,3915.145655
570.0,856,3925.584284
485.0,877,3935.606778
545.0,998,3947.590349
690.0,1042,3960.744346
600.0,864,3970.690915
550.0,1086,3983.864117
740.0,1451,4001.583194
605.0,945,4012.70295
545.0,875,4023.451376
600.0,854,4033.882017
755.0,843,4043.434014
710.0,1113,4057.067315
525.0,662,4065.473231
575.0,957,4076.454681
775.0,900,4086.979768
480.0,789,4096.647608
995.0,1326,4112.524687
745.0,1029,4124.541953
420.0,780,4134.294063
420.0,749,4143.337742
605.0,1045,4155.238054
1640.0,1576,4174.761412
600.0,997,4186.366856
575.0,1117,4199.50427
510.0,922,4210.923562
525.0,987,4222.585175
760.0,1005,4234.129153
485.0,758,4243.443746
775.0,940,4254.967422
585.0,841,4264.491648
525.0,981,4275.958962
1190.0,1747,4297.184925
545.0,979,4308.658904
915.0,1491,4327.165153
575.0,1054,4339.183057
485.0,811,4348.846772
515.0,814,4359.188733
800.0,862,4369.446429
545.0,797,4378.799196
545.0,974,4390.579682
485.0,850,4401.136707
605.0,1174,4414.520705
600.0,1057,4427.566649
945.0,975,4439.398526
575.0,1250,4453.986012
575.0,1027,4466.672405
600.0,1106,4479.858343
1005.0,943,4491.000286
600.0,1044,4504.292626
800.0,1038,4516.465093
540.0,942,4527.627452
775.0,877,4538.880561
455.0,838,4548.666659
600.0,966,4560.013653
545.0,903,4571.470931
550.0,837,4581.557132
320.0,730,4589.967661
845.0,1364,4607.113418
490.0,626,4614.547858
565.0,1039,4626.532935
575.0,1025,4639.367633
1120.0,1561,4657.761267
900.0,1475,4676.170153
260.0,606,4683.311597
915.0,1549,4701.476965
675.0,1199,4716.493534
605.0,1083,4728.821418
775.0,930,4740.536007
570.0,854,4751.199125
720.0,909,4761.546308
605.0,852,4771.938279
605.0,1120,4786.08871
575.0,959,4797.125721
510.0,785,4806.586116
970.0,1296,4822.6533
600.0,922,4833.283321
520.0,847,4843.753265
905.0,1630,4863.67157
550.0,757,4872.690614
585.0,927,4884.278929
745.0,1059,4896.892173
600.0,1138,4910.05262
605.0,790,4920.017553
465.0,912,4930.948481
540.0,654,4938.411579
605.0,965,4949.892631
690.0,888,4961.363598
460.0,977,4972.536719
570.0,977,4984.133989
550.0,942,4995.921123
575.0,874,5006.195512
575.0,932,5016.957025
490.0,1114,5030.612978
580.0,1071,5043.266878
170.0,464,5048.56793
545.0,965,5059.881331
605.0,885,5071.120027
485.0,801,5080.261692
520.0,983,5091.703668
575.0,950,5103.298183
495.0,955,5115.041956
600.0,901,5125.30175
710.0,946,5136.739802
545.0,935,5148.494451
600.0,975,5159.49052
740.0,1107,5172.691092
1000.0,953,5184.814746
575.0,941,5195.506073
715.0,1128,5208.989883
1005.0,1483,5226.980456
350.0,635,5234.147925
1000.0,969,5246.246728
1100.0,1515,5264.522948
600.0,1128,5277.82586
1175.0,1752,5299.225091
515.0,805,5308.626604
690.0,783,5318.391187
515.0,959,5330.188514
600.0,945,5341.003433
745.0,764,5350.314733
600.0,926,5362.066809
555.0,860,5371.82268
525.0,929,5382.778931
355.0,667,5391.118188
925.0,1303,5406.6722
395.0,608,5413.602049
545.0,976,5425.618307
690.0,922,5436.965204
545.0,935,5447.655978
715.0,820,5457.676707
510.0,914,5469.311927
495.0,927,5479.98913
775.0,975,5491.729506
545.0,1080,5505.370275
605.0,941,5516.180646
455.0,673,5524.366743
480.0,842,5535.169935
470.0,900,5545.706683
545.0,873,5555.963629
690.0,815,5566.320959
515.0,918,5577.458372
575.0,1025,5589.450888
565.0,840,5599.999687
570.0,957,5611.543693
575.0,1090,5624.32858
800.0,1259,5640.33292
570.0,1041,5652.252904
465.0,834,5662.522534
605.0,887,5673.757533
900.0,1563,5692.065534
430.0,782,5701.946745
395.0,954,5713.507993
600.0,932,5724.289442
575.0,1105,5738.094529
540.0,803,5747.70075
1205.0,1821,5769.262917
605.0,1004,5781.629358
440.0,821,5791.083477
570.0,986,5803.011236
605.0,899,5814.490762
465.0,851,5824.300124
695.0,859,5834.410043
