explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
-21.03897476196289,196,1,0.8002282977104187,-0.18048392236232758,160,0.7147186398506165
-4.402372360229492,236,2,0.46708136796951294,0.6959991455078125,320,11.680253982543945
-2.6752398014068604,248,3,0.3381665349006653,-0.29516077041625977,480,2.954500675201416
-0.9774042367935181,256,4,0.47158950567245483,0.2320345938205719,640,5.871910095214844
-1.0250585079193115,263,5,0.6600474119186401,-0.8944901823997498,800,6.387348175048828
-2.2866477966308594,266,6,0.6453547477722168,1.662152886390686,960,14.899795532226562
-0.14212799072265625,269,7,0.43110179901123047,0.1637771725654602,1120,3.593716859817505
-0.09014737606048584,270,8,0.5691202878952026,-0.1802671104669571,1280,2.8574442863464355
0.6932627856731415,271,9,0.5550932884216309,0.39228978753089905,1440,2.872206211090088
-0.1046372652053833,273,10,0.45583826303482056,0.042695656418800354,1600,1.3772835731506348
-0.020508527755737305,269,11,0.17186667025089264,0.03404532000422478,1760,0.3911162316799164
0.20934051275253296,268,12,0.06987059116363525,0.004988944157958031,1920,0.6893075704574585
0.21398884057998657,266,13,0.01960095204412937,-0.026411866769194603,2080,0.9846779108047485
-0.5635570287704468,265,14,0.05567796155810356,-0.013902396894991398,2240,1.0211435556411743
-0.7793433666229248,264,15,0.0035454598255455494,0.0012205940438434482,2400,44.56960678100586
0.04358267784118652,264,16,0.0,0.0,2560,7.76696587933888e+27
nan,264,17,nan,nan,2720,nan
nan,263,18,nan,nan,2880,nan
nan,262,19,nan,nan,3040,nan
nan,262,20,nan,nan,3200,nan
nan,262,21,nan,nan,3360,nan
nan,261,22,nan,nan,3520,nan
nan,259,23,nan,nan,3680,nan
nan,258,24,nan,nan,3840,nan
nan,258,25,nan,nan,4000,nan
nan,258,26,nan,nan,4160,nan
nan,259,27,nan,nan,4320,nan
nan,259,28,nan,nan,4480,nan
nan,260,29,nan,nan,4640,nan
nan,260,30,nan,nan,4800,nan
nan,259,31,nan,nan,4960,nan
nan,259,32,nan,nan,5120,nan
nan,259,33,nan,nan,5280,nan
nan,258,34,nan,nan,5440,nan
nan,258,35,nan,nan,5600,nan
nan,258,36,nan,nan,5760,nan
nan,258,37,nan,nan,5920,nan
nan,258,38,nan,nan,6080,nan
