# {"t_start": 1543133111.815333, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
105.0,477,5.600927
155.0,605,10.927561
135.0,588,15.764249
75.0,378,19.1211
80.0,378,22.510235
120.0,569,27.708527
110.0,478,31.59125
75.0,426,35.079829
260.0,700,41.370316
125.0,589,46.36083
135.0,429,50.39843
200.0,734,56.57576
115.0,599,61.935414
105.0,475,66.181506
105.0,389,69.618502
415.0,686,75.470651
255.0,785,82.171102
105.0,385,85.475907
80.0,296,87.840407
135.0,499,92.076133
190.0,596,97.268651
165.0,500,101.072257
160.0,481,105.361489
170.0,639,110.849422
70.0,408,114.162313
130.0,665,119.848034
365.0,924,128.022724
235.0,696,134.219506
230.0,584,138.943905
345.0,779,145.730049
315.0,704,152.118258
170.0,527,156.787324
445.0,948,164.530028
340.0,862,172.157698
525.0,1029,181.263494
420.0,819,188.191463
320.0,686,193.980813
270.0,678,200.106873
285.0,825,207.019177
115.0,498,211.457947
260.0,637,216.970576
360.0,524,221.455437
230.0,599,226.589885
140.0,570,231.182914
225.0,540,235.656532
285.0,481,239.812722
300.0,672,245.605398
95.0,341,248.798842
365.0,645,254.37964
300.0,632,259.455476
95.0,370,262.772989
100.0,422,266.237807
480.0,974,275.098233
290.0,671,280.845049
65.0,375,284.008596
160.0,416,287.397855
730.0,1120,297.118776
110.0,452,300.733769
525.0,736,307.189024
100.0,448,311.199193
300.0,653,316.837509
140.0,293,319.268467
160.0,567,323.792135
765.0,719,330.071142
205.0,616,334.926009
330.0,740,341.463442
415.0,699,347.741076
310.0,833,354.706506
75.0,433,358.259918
235.0,490,362.550198
215.0,631,367.804433
290.0,649,373.30423
95.0,380,376.571366
310.0,828,383.704516
140.0,426,387.731698
170.0,349,390.309828
145.0,466,394.408686
265.0,584,398.957006
320.0,590,404.206159
440.0,894,411.770961
390.0,775,418.43233
90.0,374,421.667588
280.0,643,427.019426
180.0,503,430.84724
130.0,378,434.054183
420.0,720,440.320238
525.0,954,448.067309
470.0,635,453.463761
235.0,500,457.871125
375.0,634,463.349189
375.0,748,469.827145
365.0,678,475.40086
625.0,886,483.088212
380.0,692,488.851747
185.0,406,492.251495
180.0,567,497.359272
440.0,735,503.215407
310.0,571,508.35169
315.0,760,514.952567
330.0,538,519.407488
420.0,623,524.986525
285.0,569,529.586737
395.0,734,535.955173
415.0,545,540.51416
440.0,795,547.06337
310.0,619,552.396347
220.0,373,555.674706
465.0,907,563.488153
220.0,508,567.86008
360.0,720,573.768694
970.0,948,581.611382
45.0,312,584.58843
155.0,331,587.184507
350.0,690,593.498104
235.0,505,598.009143
260.0,475,601.821448
125.0,374,605.122572
95.0,324,608.209085
500.0,937,616.133091
375.0,638,621.568337
240.0,500,625.842481
385.0,645,631.377987
560.0,624,636.389389
435.0,761,642.923654
220.0,484,647.248511
415.0,641,652.702734
515.0,882,660.338564
455.0,838,667.134907
180.0,431,671.156939
185.0,472,674.882147
545.0,716,681.246987
305.0,441,684.927805
355.0,610,690.359282
395.0,723,696.29063
130.0,330,699.430837
700.0,865,707.01223
195.0,486,710.755233
290.0,516,715.048851
250.0,559,720.033145
285.0,615,724.790513
320.0,584,729.869724
275.0,537,734.489867
310.0,559,739.267329
40.0,312,742.259382
335.0,655,747.703926
395.0,633,753.100451
640.0,883,760.418198
485.0,762,766.968871
250.0,462,771.131859
125.0,504,775.479369
205.0,553,780.126798
320.0,656,785.73189
350.0,542,790.148452
400.0,706,796.489856
260.0,457,800.211136
285.0,564,805.275589
295.0,578,809.899248
160.0,470,813.96879
275.0,469,817.546439
415.0,672,823.052598
410.0,631,828.542167
315.0,508,832.97114
350.0,483,837.335737
370.0,700,843.094278
345.0,551,847.721238
495.0,760,854.134381
700.0,783,860.673117
545.0,843,868.021958
770.0,957,875.914637
410.0,617,881.192934
350.0,587,886.342103
530.0,714,892.050871
425.0,698,898.480696
390.0,715,904.731354
445.0,801,911.834721
395.0,645,917.678519
575.0,864,925.575087
180.0,331,928.183601
225.0,545,933.43521
265.0,543,938.181206
300.0,530,942.824101
365.0,593,947.79091
295.0,525,952.812912
75.0,350,955.542268
440.0,670,961.448306
265.0,566,966.802051
265.0,547,971.514147
175.0,538,976.197083
670.0,980,984.980911
290.0,533,989.618043
230.0,425,993.294877
380.0,648,999.045199
525.0,897,1007.108613
465.0,819,1014.085997
325.0,532,1018.687477
255.0,637,1024.456206
265.0,505,1029.027229
325.0,627,1034.634117
410.0,624,1040.278441
300.0,560,1045.16308
450.0,776,1052.12182
340.0,594,1057.644031
365.0,685,1063.442932
295.0,572,1068.325337
290.0,558,1073.522241
595.0,547,1078.30646
325.0,577,1083.182744
385.0,780,1090.05184
280.0,461,1094.386276
245.0,529,1099.042865
495.0,744,1105.767343
490.0,894,1113.876215
580.0,1101,1123.31043
260.0,477,1127.666992
410.0,568,1132.390078
330.0,566,1137.793925
665.0,751,1143.891377
355.0,552,1149.172786
340.0,543,1153.970994
250.0,474,1158.3487
285.0,552,1163.073814
245.0,449,1166.844487
375.0,475,1171.270755
350.0,617,1176.734543
475.0,753,1182.997458
375.0,623,1188.600198
110.0,327,1191.752522
155.0,281,1194.154485
600.0,972,1202.633464
380.0,665,1209.141056
215.0,490,1213.204251
465.0,948,1221.89299
240.0,464,1225.523062
375.0,523,1229.918753
105.0,380,1233.238411
150.0,327,1236.327105
115.0,296,1238.738954
165.0,375,1241.994896
570.0,787,1248.453828
370.0,744,1254.691665
80.0,288,1256.976946
385.0,619,1262.202579
605.0,1047,1271.026506
355.0,613,1275.739393
430.0,746,1281.934521
200.0,457,1286.168079
450.0,809,1292.960934
280.0,615,1298.115473
410.0,687,1303.776897
105.0,297,1306.195953
175.0,462,1310.362414
540.0,1102,1319.325269
200.0,424,1323.283218
575.0,884,1330.163172
260.0,521,1334.501272
420.0,783,1341.103553
215.0,487,1345.347756
445.0,734,1351.697015
220.0,458,1355.391037
465.0,703,1361.615555
575.0,984,1369.533267
695.0,874,1377.02079
265.0,629,1382.381003
385.0,639,1387.943078
255.0,537,1392.378506
750.0,935,1400.09168
430.0,700,1406.217741
500.0,892,1413.895772
350.0,595,1418.624192
210.0,436,1422.581119
345.0,582,1427.182939
210.0,409,1430.504945
620.0,669,1436.122375
430.0,661,1441.813623
205.0,454,1445.812664
410.0,582,1450.481061
315.0,570,1455.575423
415.0,662,1460.970185
645.0,761,1467.430997
215.0,360,1470.592375
465.0,736,1476.445739
165.0,369,1479.597888
345.0,591,1484.705688
715.0,1248,1494.765439
605.0,912,1502.261523
470.0,805,1509.511736
375.0,557,1513.982778
340.0,567,1518.548897
670.0,790,1525.20824
325.0,661,1531.243341
315.0,562,1535.97895
445.0,623,1541.425749
480.0,802,1548.194278
390.0,575,1552.877108
515.0,781,1559.41013
725.0,696,1565.600629
340.0,572,1570.202689
365.0,613,1575.496403
280.0,590,1580.255983
320.0,651,1585.673295
555.0,636,1590.998978
510.0,726,1597.31014
410.0,632,1602.606815
265.0,503,1606.992991
395.0,609,1611.74874
360.0,628,1617.030621
225.0,382,1620.212306
530.0,660,1625.820975
165.0,374,1629.039062
440.0,813,1635.973465
565.0,652,1641.609931
665.0,846,1648.999187
285.0,631,1654.315646
605.0,1109,1663.346432
290.0,678,1669.380904
385.0,776,1675.91666
725.0,806,1682.465878
495.0,856,1689.846618
465.0,781,1696.398649
465.0,764,1702.916921
490.0,953,1710.983171
420.0,675,1716.731707
365.0,581,1721.834337
585.0,1068,1730.600785
500.0,862,1738.155989
200.0,402,1741.392834
330.0,641,1746.74342
715.0,887,1753.621557
540.0,668,1759.93787
295.0,497,1763.847998
165.0,325,1767.019383
210.0,397,1770.366273
470.0,892,1777.805461
355.0,657,1783.480548
335.0,650,1789.167647
420.0,867,1796.544208
605.0,1150,1806.588753
490.0,922,1814.427142
585.0,707,1820.155407
570.0,828,1827.419785
690.0,896,1835.108952
540.0,908,1842.989056
405.0,720,1848.874341
670.0,689,1854.722987
445.0,952,1862.99883
715.0,894,1870.534595
220.0,407,1873.839181
770.0,1290,1884.884884
360.0,544,1889.317264
390.0,650,1894.690212
570.0,989,1903.227984
780.0,1062,1912.038385
370.0,477,1916.362934
440.0,712,1922.148299
405.0,549,1926.728444
540.0,972,1935.011037
640.0,658,1940.67944
385.0,628,1946.054964
685.0,782,1952.740845
465.0,944,1960.50464
485.0,836,1968.007597
250.0,492,1971.704511
270.0,534,1976.545769
550.0,773,1983.068349
245.0,415,1986.558937
335.0,567,1991.167808
755.0,826,1997.961161
420.0,781,2004.930826
460.0,833,2011.618542
470.0,614,2017.113232
290.0,475,2020.709574
260.0,448,2024.789694
495.0,746,2031.177986
670.0,605,2036.061684
320.0,578,2041.196237
260.0,495,2044.904518
410.0,693,2051.209853
810.0,1096,2060.468779
500.0,678,2066.481798
405.0,704,2072.123364
175.0,380,2075.366639
800.0,1012,2083.815285
490.0,721,2089.762744
365.0,596,2094.881072
435.0,799,2101.63085
725.0,1168,2111.496779
455.0,920,2119.419447
495.0,787,2126.038279
360.0,731,2132.51822
415.0,894,2140.206858
645.0,896,2147.860542
415.0,904,2155.533881
140.0,327,2157.972715
295.0,491,2162.270542
380.0,525,2166.596631
545.0,818,2173.763634
550.0,786,2180.416206
390.0,540,2184.897462
500.0,962,2192.854155
715.0,913,2200.575972
270.0,545,2205.124736
830.0,1460,2217.584269
515.0,526,2221.905367
345.0,559,2226.411216
420.0,576,2231.450746
375.0,657,2236.860152
600.0,845,2243.636762
400.0,735,2249.84623
405.0,597,2254.556859
580.0,701,2260.772173
420.0,678,2266.276078
460.0,810,2272.982745
545.0,719,2279.481721
440.0,705,2285.204954
355.0,597,2290.340153
800.0,1476,2302.383276
410.0,559,2307.453246
540.0,906,2315.531607
775.0,907,2323.53431
550.0,831,2330.718808
295.0,455,2335.04778
455.0,693,2341.056433
425.0,692,2347.558437
650.0,1079,2358.089418
600.0,1111,2367.88954
500.0,711,2374.616052
550.0,856,2383.312862
510.0,1075,2393.414699
480.0,776,2400.776786
510.0,826,2408.39363
415.0,909,2416.913765
420.0,638,2422.917209
445.0,869,2431.291443
400.0,653,2437.314793
660.0,782,2444.539974
770.0,899,2452.983149
555.0,753,2460.178022
570.0,946,2468.955563
570.0,750,2476.076156
545.0,1278,2488.094857
270.0,508,2492.833465
455.0,725,2499.285326
820.0,881,2507.56686
240.0,483,2512.217238
600.0,790,2519.614707
445.0,845,2527.828452
715.0,906,2536.303774
235.0,463,2540.367708
470.0,971,2549.766809
630.0,848,2557.459934
600.0,997,2566.957887
635.0,1094,2577.061735
455.0,989,2586.544547
525.0,1146,2598.324034
335.0,632,2604.397469
575.0,946,2613.096232
325.0,575,2618.711957
600.0,1039,2628.538052
385.0,571,2633.711878
75.0,294,2636.345837
545.0,1093,2646.794717
345.0,481,2650.974438
545.0,1054,2661.28373
470.0,805,2669.2258
465.0,926,2678.021655
490.0,881,2686.416039
250.0,412,2690.082188
340.0,481,2694.604695
345.0,558,2699.556898
305.0,499,2704.154005
385.0,649,2710.266799
540.0,883,2718.439678
800.0,938,2726.919609
265.0,486,2731.553276
315.0,478,2735.577506
390.0,600,2741.213959
355.0,758,2748.866916
500.0,637,2754.80403
600.0,981,2763.58271
515.0,796,2771.248923
335.0,568,2776.262307
545.0,843,2783.768176
470.0,712,2790.584311
515.0,694,2797.233871
310.0,578,2802.81961
525.0,754,2809.853491
435.0,653,2815.88616
330.0,539,2820.747699
360.0,729,2827.210675
745.0,1097,2837.62593
725.0,960,2846.26637
370.0,573,2851.815121
490.0,770,2858.862964
545.0,1032,2868.350515
520.0,580,2873.446432
605.0,955,2882.500988
345.0,595,2887.720724
495.0,911,2896.050162
405.0,836,2904.208259
640.0,913,2912.597797
390.0,700,2918.953434
650.0,1388,2931.82727
545.0,880,2939.989921
510.0,1006,2949.338544
455.0,709,2955.620914
475.0,778,2962.745291
470.0,820,2970.071284
440.0,749,2977.109754
515.0,811,2985.0613
440.0,819,2992.751874
385.0,681,2999.101681
515.0,885,3007.438759
545.0,875,3015.484244
875.0,1084,3025.257001
270.0,431,3029.028875
305.0,481,3033.51858
445.0,691,3039.637507
555.0,1065,3049.767139
405.0,781,3056.87391
665.0,666,3062.880448
600.0,1119,3073.270235
515.0,800,3080.559542
575.0,766,3087.658753
295.0,517,3092.686706
545.0,855,3100.374157
95.0,367,3104.155185
515.0,1176,3115.310906
220.0,570,3120.974853
570.0,976,3129.883636
495.0,779,3137.148274
470.0,741,3144.281151
300.0,530,3149.185801
545.0,885,3157.507227
660.0,1200,3168.546424
470.0,887,3176.881063
515.0,791,3184.21559
390.0,650,3190.209126
440.0,756,3197.408183
160.0,296,3200.007517
570.0,737,3207.032094
575.0,839,3214.635245
700.0,898,3223.111648
610.0,919,3232.072653
385.0,625,3237.514463
555.0,1001,3247.028
600.0,940,3255.60568
520.0,749,3262.745458
490.0,641,3268.682679
410.0,520,3273.485144
315.0,434,3277.382029
515.0,772,3284.551018
460.0,682,3291.28156
580.0,958,3300.001738
385.0,686,3306.196018
535.0,943,3315.404321
575.0,786,3322.671214
600.0,906,3331.085504
690.0,876,3339.369163
605.0,723,3345.826119
520.0,693,3352.629885
465.0,633,3358.143702
380.0,689,3364.923074
450.0,497,3369.588663
545.0,976,3378.42723
440.0,688,3384.729942
435.0,674,3391.428409
540.0,899,3399.84699
770.0,867,3407.564246
545.0,726,3414.558991
570.0,864,3422.769166
390.0,640,3428.789724
570.0,936,3437.421282
495.0,730,3443.91078
510.0,860,3452.118907
510.0,828,3459.686625
410.0,714,3466.560356
245.0,430,3470.400436
645.0,876,3478.688159
240.0,452,3483.135847
425.0,701,3489.472476
465.0,816,3496.973329
630.0,1144,3507.690165
600.0,1104,3518.23964
495.0,699,3524.487273
385.0,640,3530.408401
545.0,845,3538.523189
255.0,476,3542.57629
435.0,683,3548.76996
340.0,621,3554.653085
570.0,907,3563.066924
800.0,989,3572.244723
645.0,1040,3581.462518
310.0,452,3585.670175
515.0,844,3592.947808
855.0,1379,3605.337008
755.0,938,3613.684759
540.0,813,3621.446053
440.0,641,3627.766065
285.0,463,3632.512694
