# {"t_start": 1542561083.8857424, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-20.0,917,13.098907
-21.0,758,21.70277
-21.0,763,29.33418
-21.0,758,37.379371
-21.0,882,47.079142
-21.0,758,55.068783
-21.0,762,62.407539
-21.0,969,72.594784
-20.0,944,83.078169
-19.0,1097,93.904811
-21.0,781,102.036848
-21.0,800,110.810511
-20.0,944,120.798996
-21.0,998,130.719245
-20.0,864,140.015064
-18.0,1079,151.787005
-21.0,789,159.692146
-21.0,879,168.926998
-20.0,1077,181.001907
-21.0,911,190.17883
-17.0,1209,202.675499
-21.0,789,211.590436
-19.0,928,221.329672
-19.0,978,231.238045
-21.0,762,239.54068
-18.0,1013,250.97566
-21.0,928,260.228179
-21.0,823,268.916958
-21.0,907,279.071276
-21.0,761,287.260702
-21.0,763,294.77196
-21.0,762,302.905739
-21.0,762,311.529966
-21.0,763,319.924537
-21.0,760,327.444355
-21.0,819,336.338386
-20.0,1137,349.069221
-19.0,937,358.795065
-21.0,763,366.45852
-21.0,757,374.66566
-21.0,759,383.31458
-21.0,764,391.360086
-21.0,761,398.863366
-21.0,763,407.061867
-21.0,789,415.96607
-20.0,893,425.476696
-21.0,822,433.729789
-21.0,764,442.008625
-21.0,811,451.197429
-19.0,1101,462.572236
-21.0,782,470.827256
-20.0,977,481.670008
-20.0,919,491.580845
-20.0,1107,502.812977
-20.0,1169,515.81174
-21.0,912,525.849041
-20.0,869,534.480562
-20.0,931,544.907896
-21.0,810,554.083336
-19.0,1003,564.094489
-21.0,824,573.140756
-20.0,837,582.560766
-20.0,863,591.865528
-21.0,869,600.701599
-21.0,927,610.837645
-19.0,1150,623.456328
-21.0,1031,634.000887
-21.0,848,643.353253
-20.0,1097,655.457269
-21.0,824,663.772162
-20.0,925,673.898772
-20.0,949,684.531018
-20.0,1072,695.320884
-21.0,826,704.320969
-20.0,836,713.867292
-19.0,1138,725.486807
-19.0,933,735.647718
-21.0,867,745.495306
-18.0,1143,757.397681
-20.0,863,767.127159
-20.0,836,776.511824
-18.0,1198,788.913102
-21.0,806,797.9565
-21.0,817,806.882251
-21.0,836,815.573452
-21.0,870,825.224671
-21.0,907,835.092674
-21.0,806,843.48636
-21.0,763,851.949028
-19.0,943,863.121654
-21.0,1039,874.373391
-19.0,976,886.046339
-21.0,940,896.087762
-21.0,927,906.639212
-21.0,776,915.501849
-20.0,839,924.058411
-19.0,915,934.109299
-21.0,787,943.080774
-20.0,1001,953.958497
-21.0,835,963.935922
-21.0,938,974.534378
-21.0,907,984.877194
-21.0,914,995.630108
-21.0,884,1005.025601
-21.0,921,1015.329639
-21.0,937,1025.336214
-20.0,923,1035.118501
-20.0,972,1046.089756
-21.0,789,1054.544728
-21.0,762,1062.974178
-21.0,761,1071.483222
-17.0,1146,1083.549981
-20.0,905,1093.690245
-21.0,820,1102.003267
-21.0,775,1110.107922
-21.0,879,1120.134933
-21.0,757,1127.668864
-21.0,764,1135.801411
-21.0,902,1146.017246
-21.0,823,1153.517772
-21.0,840,1160.605781
-20.0,984,1170.069563
-20.0,960,1178.082621
-20.0,920,1185.707386
-20.0,1030,1194.332371
-21.0,759,1200.613544
-21.0,762,1206.899431
-21.0,759,1213.184527
-19.0,1034,1221.745625
-20.0,901,1229.179613
