# {"t_start": 1542767622.2508516, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,859,12.653788
-21.0,762,20.836855
-20.0,834,28.89045
-21.0,820,37.822438
-19.0,936,48.095107
-21.0,887,56.424708
-21.0,782,64.777431
-21.0,782,73.374879
-21.0,878,81.916126
-21.0,762,89.80957
-19.0,1052,101.370647
-20.0,1040,111.417919
-20.0,973,121.962389
-21.0,898,131.494675
-21.0,881,139.903656
-21.0,835,149.124718
-21.0,817,158.124569
-21.0,880,166.497514
-20.0,852,175.174271
-21.0,763,183.538581
-20.0,891,192.757691
-21.0,760,199.968016
-21.0,759,207.914531
-21.0,764,216.309817
-21.0,762,224.267061
-20.0,1036,234.226702
-21.0,764,242.139475
-21.0,838,251.332574
-21.0,1028,261.857548
-19.0,964,271.068352
-21.0,789,279.518769
-21.0,788,288.271715
-20.0,873,297.058515
-21.0,788,304.586516
-20.0,1049,315.402939
-20.0,900,325.393823
-21.0,817,333.520578
-20.0,949,342.557299
-20.0,940,352.607276
-21.0,822,361.72653
-19.0,961,371.18383
-21.0,823,379.116186
-21.0,787,387.412642
-21.0,943,397.907576
-20.0,1047,408.19477
-21.0,1129,419.477078
-20.0,930,429.697918
-21.0,967,439.778296
-21.0,851,447.919888
-20.0,859,456.68348
-19.0,1027,467.93228
-21.0,928,477.450123
-21.0,840,485.402185
-19.0,1348,500.03902
-20.0,1017,510.70309
-20.0,1082,521.199207
-18.0,1103,533.175169
-21.0,840,542.203094
-21.0,849,550.390509
-21.0,1068,561.39549
-20.0,1338,575.990908
-20.0,932,584.940069
-18.0,1171,597.285758
-20.0,1020,608.560767
-19.0,1067,618.795927
-20.0,960,628.791947
-21.0,821,637.901596
-21.0,940,647.426327
-20.0,1056,657.806478
-19.0,1209,671.08473
-19.0,1010,681.419005
-19.0,1101,692.273173
-18.0,1305,706.553502
-20.0,1096,717.533048
-19.0,1254,730.243362
-18.0,1420,745.795296
-21.0,800,753.474277
-19.0,1183,765.49202
-20.0,1073,777.467674
-19.0,1236,789.58118
-20.0,941,799.03316
-17.0,1251,812.842978
-19.0,1303,825.570019
-17.0,1741,843.878153
-21.0,1396,858.174511
-19.0,1191,869.993002
-19.0,1398,885.437403
-21.0,1280,897.787015
-19.0,1613,914.584572
-20.0,1454,929.623277
-20.0,1459,943.926831
-18.0,1671,961.883904
-21.0,1466,976.083196
-18.0,1734,994.023965
-20.0,1386,1008.091297
-19.0,1425,1022.07167
-20.0,1640,1039.652886
-18.0,1928,1058.291921
-20.0,1655,1075.327793
-19.0,1404,1089.464268
-18.0,1456,1103.434452
-16.0,1873,1122.96884
-16.0,1979,1142.26861
-14.0,1938,1161.57097
-19.0,1455,1176.392295
-14.0,1985,1195.489418
-16.0,1938,1215.663893
-18.0,1774,1232.939698
-17.0,1863,1251.044201
-12.0,1954,1270.75237
-13.0,2189,1291.69821
-16.0,2095,1312.990339
-12.0,2395,1336.066047
-14.0,2094,1357.13875
-17.0,1921,1375.652947
-14.0,2135,1396.454631
-16.0,2069,1416.913212
-16.0,1960,1436.026042
-17.0,2194,1457.500554
-13.0,2093,1477.879201
-19.0,1628,1494.11237
-20.0,1512,1509.314131
-21.0,1582,1524.61982
-18.0,1560,1540.318636
-13.0,2005,1560.550911
-14.0,2392,1584.187827
-16.0,1897,1603.597622
-19.0,1813,1621.293944
-14.0,1842,1640.654708
-8.0,2080,1660.967778
-13.0,2045,1682.458447
-15.0,2118,1703.109994
-18.0,1919,1723.394331
-12.0,2551,1748.335835
-19.0,1983,1769.009242
-15.0,2517,1793.97987
-11.0,2405,1818.323825
-17.0,2181,1840.113793
-17.0,1938,1859.661259
-21.0,1929,1877.997728
-19.0,2255,1901.228837
-18.0,2082,1920.936368
-15.0,2541,1946.314052
-19.0,1894,1964.371398
-19.0,2086,1985.395586
-14.0,2449,2009.673945
-9.0,2718,2037.935562
-18.0,2014,2057.806886
-12.0,2558,2083.960471
-18.0,2164,2106.042214
-16.0,2216,2128.048589
-16.0,2125,2150.156123
-18.0,1988,2169.568397
-16.0,2157,2192.101109
-19.0,1927,2210.800205
-18.0,1840,2230.043429
-12.0,2720,2256.910512
-12.0,2797,2285.48456
-17.0,2391,2310.128173
-18.0,2180,2331.820874
-18.0,2365,2356.711178
-18.0,1882,2374.852098
-12.0,1926,2394.98553
-11.0,2721,2421.743538
-14.0,2500,2447.511203
-15.0,2084,2468.120665
-12.0,2411,2492.952434
-13.0,2658,2520.020371
-14.0,2448,2544.102443
-12.0,2788,2572.715294
-12.0,2849,2601.326964
-15.0,2317,2624.279238
-9.0,3018,2655.137547
-9.0,2686,2681.462627
-13.0,2707,2708.71119
-14.0,2636,2735.878225
-14.0,3031,2765.51052
-12.0,2321,2789.236919
-17.0,2246,2812.048819
-16.0,2154,2833.453775
-15.0,2440,2858.857697
-11.0,3004,2888.373913
-13.0,3010,2918.885507
-15.0,2500,2945.04918
-10.0,2975,2974.272866
-13.0,2527,2999.921834
-13.0,2432,3024.881877
-12.0,2374,3048.114807
-12.0,2990,3078.781893
-18.0,2597,3104.268324
-11.0,3047,3134.804975
-14.0,2391,3159.65471
-15.0,2832,3187.421357
-7.0,3414,3221.872845
-11.0,2706,3249.824759
-16.0,2104,3270.738237
-13.0,3054,3301.609085
-7.0,3556,3337.979192
-11.0,3352,3372.396197
-8.0,3279,3406.007194
-11.0,2961,3435.137101
-14.0,2600,3461.763657
-13.0,2909,3491.915493
-15.0,2790,3519.442761
-11.0,3131,3550.879105
-12.0,3097,3582.917295
-14.0,2356,3606.836919
-7.0,3922,3646.351454
-15.0,2958,3675.959212
-10.0,3309,3709.854634
-6.0,4186,3752.093711
-14.0,2529,3777.62213
-5.0,4011,3818.15529
-9.0,3736,3855.574644
-14.0,2495,3881.135135
-9.0,3298,3915.016273
-10.0,2719,3942.136454
-4.0,4006,3982.780338
-14.0,2522,4008.432114
-11.0,3032,4039.844679
-15.0,2542,4065.131181
-9.0,3087,4096.134733
-14.0,2355,4120.980128
-15.0,2293,4143.541258
-4.0,3732,4181.509125
-7.0,4132,4223.45467
-12.0,2793,4252.3064
-10.0,3089,4284.210985
-7.0,3505,4319.275844
-6.0,3675,4356.052871
-10.0,3153,4388.276401
-10.0,3162,4420.983557
-5.0,3898,4460.878684
-13.0,2857,4490.000664
-9.0,3413,4524.134718
-12.0,3550,4560.28582
-7.0,3891,4599.971373
-3.0,4768,4648.79358
-7.0,3950,4689.000248
-10.0,4179,4731.540402
-10.0,4105,4773.377289
-10.0,3763,4811.819331
-2.0,5158,4865.290258
-16.0,1979,4884.672997
-9.0,3574,4921.444968
-8.0,3970,4961.822265
-9.0,3428,4997.144683
-8.0,3588,5034.01613
-14.0,3320,5067.195729
-11.0,3514,5102.553464
-13.0,2975,5132.995158
-8.0,3921,5173.145023
-4.0,4041,5214.451903
-7.0,4366,5258.855603
-7.0,3858,5298.347444
-13.0,3141,5330.907466
-2.0,4376,5375.41087
-9.0,3790,5414.215446
-3.0,3886,5453.994087
-3.0,4361,5498.310892
-10.0,3469,5533.673124
-11.0,3213,5565.60764
-5.0,4193,5608.623571
-2.0,4310,5652.587819
-2.0,5068,5705.195246
-2.0,4331,5749.326545
6.0,4094,5791.089109
-5.0,4700,5838.7262
-1.0,3969,5879.231946
-2.0,3752,5917.650607
-1.0,4718,5965.547678
-1.0,4180,6008.137472
