# {"t_start": 1542545952.8985255, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,761,8.556149
-20.0,975,17.741821
-21.0,757,24.88446
-20.0,868,33.042615
-21.0,846,40.533413
-20.0,906,48.819698
-21.0,781,55.960799
-20.0,1049,66.03439
-21.0,822,73.400983
-20.0,976,82.551265
-19.0,1011,91.951697
-21.0,777,99.131739
-20.0,1123,109.249336
-21.0,849,117.287005
-21.0,911,125.639164
-21.0,942,134.159795
-21.0,759,141.194776
-20.0,1015,150.597971
-21.0,781,157.744709
-21.0,939,166.751745
-20.0,862,174.358175
-19.0,1124,184.867979
-16.0,1529,199.069213
-20.0,977,208.450198
-21.0,992,217.234957
-20.0,1178,228.473611
-19.0,1347,240.628276
-19.0,1349,253.278012
-18.0,1357,265.46241
-20.0,1314,277.409481
-18.0,1601,292.407739
-16.0,1782,308.834615
-19.0,1543,322.992585
-18.0,1728,338.663168
-19.0,1694,354.65229
-20.0,1588,369.028668
-15.0,2028,387.761215
-18.0,1822,404.350818
-17.0,2030,423.097697
-16.0,2017,441.788155
-18.0,1959,459.611997
-15.0,2025,478.308564
-15.0,2165,498.249687
-16.0,2289,519.049362
-14.0,2354,541.44872
-17.0,2130,561.156942
-16.0,2553,584.621609
-18.0,2231,605.368326
-13.0,2523,628.661067
-19.0,2351,650.072207
-19.0,2469,672.606276
-17.0,2547,696.100401
-14.0,2931,723.133098
-18.0,2417,745.390915
-9.0,2495,768.070199
-13.0,2269,789.126135
-18.0,2354,811.101761
-18.0,2193,831.222174
-16.0,2148,851.070812
-15.0,2205,871.163032
-16.0,2187,891.481731
-18.0,2001,910.26367
-16.0,2281,931.317415
-7.0,2758,956.296986
-13.0,2481,979.401416
-14.0,2489,1002.024149
-14.0,2510,1025.279129
-8.0,2680,1049.949707
-12.0,2755,1074.976218
-13.0,2212,1095.619337
-12.0,2536,1118.548182
3.0,3443,1150.231962
-1.0,3517,1182.757215
-13.0,2274,1203.376769
-5.0,2952,1230.869383
-14.0,1905,1248.32261
-9.0,2578,1271.876347
-9.0,2635,1297.67986
6.0,2829,1325.268063
-11.0,2379,1347.948736
-10.0,2485,1371.174185
-11.0,2588,1394.841358
-13.0,2514,1418.942041
-5.0,2931,1446.632359
-11.0,3006,1474.793971
-3.0,3244,1506.117157
-14.0,3121,1535.579742
-8.0,2943,1563.561752
-9.0,2696,1589.234102
3.0,3510,1622.552615
-10.0,2870,1650.141354
-11.0,2842,1677.327736
-6.0,3322,1709.170789
-10.0,2841,1736.237475
5.0,3137,1766.446838
-4.0,3095,1795.862707
-2.0,2936,1823.932272
-7.0,2875,1851.143649
-2.0,3646,1886.280111
-2.0,3016,1915.106231
-5.0,2913,1943.173988
-7.0,2639,1968.9879
-2.0,3445,2002.257308
-3.0,3105,2032.480228
2.0,3498,2066.002971
-5.0,3080,2095.620469
-4.0,2675,2121.38308
-8.0,2811,2148.434764
2.0,3048,2178.007833
5.0,3000,2206.846372
-10.0,2125,2227.576489
-5.0,2725,2253.848208
3.0,3487,2287.392553
9.0,2648,2313.035155
1.0,3483,2346.517465
-11.0,2450,2370.120715
11.0,2408,2394.796008
4.0,3010,2425.686196
4.0,3098,2458.640742
1.0,3608,2496.666704
-5.0,2957,2527.633017
-2.0,3520,2564.239859
3.0,3473,2600.625609
3.0,3244,2634.999287
5.0,3269,2669.123191
6.0,3316,2703.627444
-1.0,3442,2737.245402
-6.0,3076,2767.185236
1.0,3582,2802.037346
-4.0,3255,2833.432908
-3.0,4330,2875.815698
-4.0,3106,2906.457406
8.0,2781,2934.170469
8.0,2912,2965.197465
-5.0,3254,2999.649886
6.0,2900,3030.400265
7.0,2856,3060.338538
7.0,3217,3094.373478
2.0,3936,3136.319459
3.0,3971,3180.206349
6.0,3211,3216.220553
5.0,3720,3257.816981
3.0,3592,3294.522987
4.0,3425,3326.206378
6.0,3336,3356.918489
12.0,2723,3381.775688
7.0,3053,3409.935726
4.0,3992,3446.532986
11.0,3035,3474.53515
12.0,2781,3500.23338
-5.0,3710,3534.372393
8.0,2814,3560.297283
13.0,2612,3584.196075
10.0,3445,3615.979703
9.0,2865,3642.004544
18.0,2101,3661.497637
7.0,2886,3687.621681
11.0,2856,3714.208672
-1.0,3491,3746.059713
5.0,3594,3779.018605
1.0,4303,3818.669323
1.0,4553,3860.169173
3.0,3271,3890.392588
9.0,2787,3915.59856
7.0,2830,3941.506356
7.0,3204,3974.417582
11.0,3010,4008.119053
11.0,3456,4044.276036
10.0,3116,4074.444813
9.0,2837,4101.964777
-3.0,3631,4137.678227
6.0,3169,4168.650462
-3.0,3265,4200.194513
10.0,2663,4226.256015
-1.0,3255,4257.714303
9.0,2829,4285.264508
12.0,2302,4307.741725
9.0,2731,4334.926205
14.0,2570,4360.005227
8.0,3054,4389.82192
5.0,2969,4418.635574
8.0,3181,4449.750305
13.0,2946,4478.547879
15.0,2269,4500.319149
5.0,3531,4534.997558
15.0,2386,4557.946788
5.0,4188,4599.054976
5.0,3213,4628.62245
12.0,2256,4649.668461
7.0,3235,4679.281163
6.0,2929,4706.249723
15.0,2289,4727.303444
6.0,2997,4754.769085
9.0,3028,4782.706151
10.0,2884,4809.276493
8.0,2881,4836.199312
7.0,2694,4860.889121
7.0,2684,4885.522611
11.0,2798,4911.554958
-1.0,3215,4941.069043
14.0,2411,4963.268667
14.0,2584,4986.875726
8.0,2996,5014.254182
12.0,2490,5037.449175
4.0,3336,5067.997776
12.0,2656,5092.123185
14.0,2296,5113.291425
14.0,2340,5135.119495
9.0,2608,5158.88049
9.0,2954,5186.188061
15.0,2143,5206.220925
9.0,2936,5233.18797
10.0,2584,5256.854281
10.0,2773,5282.484388
13.0,2634,5306.412699
8.0,3175,5335.566103
11.0,2721,5360.417505
11.0,2324,5381.763767
6.0,2820,5407.606477
3.0,2974,5435.0608
10.0,2450,5458.090731
9.0,2922,5484.579353
9.0,2635,5508.987252
7.0,2945,5536.114815
9.0,2479,5558.908677
14.0,2357,5581.049043
10.0,2485,5603.697176
12.0,2367,5625.663438
15.0,2185,5645.895501
12.0,2713,5670.686279
7.0,3098,5699.470243
15.0,2174,5719.415925
14.0,2119,5739.045352
13.0,2294,5759.642245
10.0,2703,5785.006704
12.0,2529,5807.939233
15.0,2233,5828.677366
10.0,2516,5851.354571
6.0,3031,5879.364673
10.0,3017,5907.316631
15.0,2171,5927.399887
15.0,2282,5947.939467
13.0,2506,5971.14401
13.0,2340,5992.54135
12.0,2586,6016.189748
17.0,1988,6034.68671
9.0,2564,6058.262221
10.0,2402,6080.459546
16.0,2317,6101.695122
10.0,2662,6125.696123
10.0,2951,6153.550496
8.0,2803,6178.856421
15.0,2134,6198.637216
15.0,2235,6219.511379
16.0,2316,6240.931642
16.0,2056,6259.854104
9.0,2864,6286.677668
5.0,2836,6313.265447
8.0,3001,6341.809568
16.0,2166,6360.877211
13.0,2290,6381.528251
10.0,2886,6407.725391
13.0,2367,6428.709276
19.0,1950,6447.242652
11.0,2873,6473.405112
16.0,2307,6494.67562
15.0,2400,6516.833515
18.0,1886,6533.827239
18.0,2111,6553.475424
11.0,2484,6576.101057
13.0,2423,6598.360593
-5.0,3071,6626.563734
9.0,2615,6650.58379
9.0,2679,6674.859707
6.0,2787,6699.819349
-3.0,2868,6725.921046
14.0,2461,6747.967776
12.0,2519,6770.757133
4.0,2898,6796.485873
15.0,2256,6816.948294
16.0,2167,6836.447755
16.0,2179,6855.997437
13.0,2219,6875.748841
11.0,2691,6899.91338
6.0,3120,6927.723124
8.0,2997,6955.178117
11.0,2375,6976.249632
10.0,2773,7001.32201
15.0,2275,7022.039639
8.0,2848,7047.590248
11.0,2458,7069.598874
14.0,2348,7091.102747
13.0,2561,7114.148237
10.0,2852,7139.747121
13.0,2279,7160.451487
16.0,2140,7179.334846
15.0,2233,7199.682883
16.0,2117,7218.413388
14.0,2112,7237.563818
7.0,2687,7261.766133
18.0,1901,7278.872169
16.0,2392,7300.119258
15.0,2253,7320.57875
13.0,2386,7341.712055
13.0,2374,7363.355293
12.0,2447,7385.464118
15.0,2186,7405.13136
15.0,2293,7425.776281
11.0,2431,7447.692149
12.0,2822,7473.316426
14.0,2280,7494.06078
18.0,2011,7511.767096
13.0,2568,7535.383372
12.0,2876,7561.043749
11.0,2620,7584.399998
9.0,2808,7609.714149
15.0,2237,7630.061069
15.0,2158,7649.612392
12.0,2324,7670.413223
6.0,3119,7698.255071
16.0,2221,7718.004405
15.0,2162,7737.511362
17.0,2232,7757.846156
15.0,2085,7776.414375
17.0,1969,7794.114481
12.0,2745,7819.080464
13.0,2491,7841.445342
15.0,2257,7861.96668
14.0,2312,7882.694199
11.0,2542,7905.937353
14.0,2440,7928.12423
17.0,2199,7947.907485
12.0,2508,7970.676117
17.0,2299,7991.393816
14.0,2458,8013.61397
14.0,2722,8037.989341
16.0,2078,8056.548522
14.0,2792,8082.597695
13.0,2420,8105.139048
14.0,2487,8127.592683
17.0,2166,8147.381789
13.0,2349,8169.154148
16.0,2303,8190.116299
9.0,2858,8217.999551
15.0,2385,8243.424481
16.0,2332,8270.51573
15.0,2130,8295.985078
10.0,2631,8327.147485
17.0,2415,8355.467809
17.0,2084,8378.411362
15.0,2259,8402.686741
8.0,2648,8431.039848
12.0,2270,8455.671946
19.0,1821,8475.168854
16.0,2239,8500.134444
14.0,2675,8534.913015
14.0,2259,8563.72278
14.0,2440,8595.565057
15.0,2270,8625.243933
15.0,2275,8651.962064
15.0,2227,8676.320114
14.0,2468,8706.41145
18.0,2155,8733.6167
14.0,2382,8763.649505
15.0,2218,8791.331968
8.0,2849,8826.742295
9.0,2633,8860.131247
15.0,2254,8887.208825
18.0,1915,8909.157759
16.0,2199,8934.739667
16.0,1992,8957.084651
19.0,1934,8979.322958
12.0,2635,9012.493804
12.0,2788,9048.034744
17.0,2171,9075.61052
11.0,2440,9105.230636
19.0,1814,9126.186719
10.0,2765,9158.19071
16.0,2117,9182.895379
14.0,2493,9212.157686
14.0,2547,9242.319107
18.0,2203,9268.727967
11.0,2509,9298.380318
5.0,2965,9333.315634
13.0,2225,9359.374585
17.0,2391,9387.846385
18.0,2012,9410.823211
17.0,2177,9435.493893
19.0,1858,9455.839295
19.0,1964,9480.438144
18.0,1930,9504.573249
17.0,2187,9532.17071
18.0,1985,9556.721655
18.0,2127,9584.300767
17.0,2067,9609.728961
11.0,2451,9637.990704
20.0,1816,9659.445509
12.0,2574,9689.488946
16.0,2175,9714.76422
14.0,2386,9743.223366
17.0,2192,9769.175729
15.0,2325,9796.700471
13.0,2401,9825.186073
11.0,2443,9854.412097
15.0,2379,9882.871524
16.0,2087,9907.607686
16.0,2239,9934.514612
13.0,2296,9962.438722
17.0,2107,9987.879246
11.0,2781,10021.873144
18.0,1887,10044.663129
13.0,2570,10075.265672
18.0,2021,10100.342801
16.0,2249,10128.494674
11.0,2690,10160.767856
9.0,2629,10192.919242
16.0,2179,10218.981863
12.0,2497,10249.290622
10.0,2698,10282.728176
13.0,2465,10312.447981
12.0,2414,10341.874377
14.0,2109,10367.178742
12.0,2700,10400.525107
17.0,2144,10427.484554
17.0,1996,10452.595976
14.0,2210,10479.499099
16.0,2121,10506.073941
16.0,2466,10537.937693
16.0,2205,10564.724722
17.0,2012,10589.990978
14.0,2207,10617.457494
16.0,2104,10642.85839
17.0,2165,10669.663213
18.0,1974,10694.223396
19.0,2002,10718.328441
17.0,2145,10745.595435
14.0,2373,10774.464112
15.0,2184,10801.383637
14.0,2305,10829.61216
17.0,2438,10860.435857
17.0,2256,10888.471516
17.0,2350,10917.817354
18.0,2108,10944.508835
15.0,2662,10977.040871
11.0,2641,11008.791406
18.0,2031,11033.974806
14.0,2166,11061.589388
15.0,2237,11089.917408
16.0,2512,11121.255408
17.0,2192,11148.755193
16.0,2210,11176.467375
20.0,2101,11202.633372
16.0,2325,11230.903441
13.0,2453,11261.391973
16.0,2186,11289.212874
16.0,2057,11315.234939
16.0,2069,11341.124391
19.0,1907,11365.016482
17.0,2218,11385.738515
14.0,2429,11407.972049
18.0,2024,11425.996808
20.0,2106,11445.456877
14.0,2321,11466.446683
16.0,2187,11486.167266
19.0,1804,11502.588502
14.0,2306,11523.760955
14.0,2523,11547.37893
19.0,1923,11565.549124
6.0,2810,11592.923926
18.0,1852,11610.503374
17.0,2211,11631.360955
14.0,2394,11654.004269
17.0,2144,11674.1685
15.0,2373,11696.146466
20.0,1831,11713.63715
15.0,2378,11735.601149
13.0,2368,11757.98258
20.0,1903,11776.323153
18.0,1992,11795.025618
17.0,2311,11817.060394
12.0,2819,11843.535521
17.0,2036,11862.676939
18.0,1907,11880.677809
19.0,1868,11899.050659
16.0,2041,11918.080912
15.0,2081,11937.952653
19.0,2004,11956.433454
13.0,2415,11978.989493
16.0,2068,11998.205086
17.0,2059,12017.46609
10.0,2590,12041.972858
19.0,1919,12059.876509
16.0,2063,12079.007785
14.0,2419,12101.675409
16.0,2264,12122.36562
19.0,1796,12139.096264
12.0,2317,12160.700313
15.0,2151,12180.868016
15.0,2147,12201.011415
12.0,2464,12223.874126
18.0,1958,12241.946241
17.0,2228,12263.039437
10.0,2544,12286.775385
16.0,2342,12309.052048
18.0,1962,12328.28879
14.0,2297,12350.255238
19.0,2031,12369.801071
18.0,2078,12389.608199
18.0,1910,12407.956387
15.0,2236,12429.515587
