# {"t_start": 1542757231.9021418, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-17.0,1086,31.010557
-21.0,757,37.804968
-21.0,764,44.764492
-21.0,850,52.383928
-21.0,761,59.388907
-21.0,763,66.191573
-21.0,760,72.795553
-21.0,758,79.462766
-20.0,939,87.575155
-21.0,942,96.110003
-19.0,1022,104.966781
-20.0,866,112.497532
-19.0,1180,122.666635
-21.0,981,131.075891
-20.0,1152,141.111171
-19.0,945,149.781964
-18.0,1230,159.879475
-20.0,1001,168.41518
-19.0,1072,177.522203
-15.0,1605,191.771731
-18.0,1199,202.027861
-18.0,1231,212.943666
-19.0,1316,224.061608
-18.0,1507,237.285876
-18.0,1442,249.765982
-15.0,1710,264.667921
-11.0,2039,281.839845
-20.0,1577,295.770221
-15.0,1657,310.077777
-21.0,1422,322.371628
-15.0,1684,336.727968
-9.0,2000,354.128756
-19.0,1458,366.795178
-15.0,1597,380.143249
-10.0,2019,396.992403
-12.0,1914,412.777215
-16.0,1725,427.26427
-16.0,1578,440.167622
-10.0,1855,455.210587
-8.0,2019,471.936219
-11.0,1946,487.877224
-16.0,1711,502.316761
-11.0,1822,517.259244
-19.0,1367,528.643691
-3.0,2301,547.153965
-13.0,1878,562.757374
-4.0,2425,582.999611
-9.0,2143,600.74542
-10.0,2156,618.599763
-6.0,2506,638.928014
-20.0,1399,650.520027
-11.0,2133,668.215722
-8.0,2436,688.250366
-9.0,2368,707.636161
-14.0,2109,725.294353
-3.0,3269,752.023752
-3.0,3219,778.741397
-13.0,2394,798.646921
-9.0,2697,820.959754
-8.0,2473,841.214536
-5.0,2760,864.179663
-10.0,2368,883.514801
-7.0,2646,905.702321
-7.0,2628,927.649369
-16.0,1864,942.715254
-12.0,2264,961.56354
-7.0,2589,982.799772
-16.0,2014,999.56073
-6.0,2974,1023.992461
-3.0,3223,1050.471366
-8.0,2798,1073.627524
-8.0,2838,1096.958662
-9.0,2698,1119.188071
-3.0,3711,1149.863849
-11.0,2717,1172.079484
-4.0,3933,1204.632936
-7.0,2745,1227.664522
-14.0,2399,1247.061812
-3.0,3832,1278.727098
-6.0,3262,1306.001639
-2.0,3554,1334.823089
-8.0,3018,1359.931126
-5.0,3479,1388.484015
1.0,3586,1418.109394
-3.0,3610,1447.819824
-7.0,3162,1473.980698
3.0,3531,1503.297145
-8.0,2726,1525.653583
8.0,3460,1554.181565
5.0,3288,1581.389609
-7.0,2773,1603.921265
3.0,3676,1634.38668
2.0,3677,1664.859779
11.0,3067,1690.22594
-4.0,3130,1715.765672
16.0,2951,1740.048965
10.0,3469,1768.616136
16.0,2366,1788.359392
9.0,3657,1818.180951
9.0,3163,1844.488209
7.0,2873,1867.912707
8.0,3177,1894.205509
11.0,2596,1915.432915
8.0,2907,1939.598439
7.0,3790,1971.039225
13.0,3074,1996.363546
18.0,2867,2019.868803
5.0,3410,2048.144812
15.0,2401,2067.550686
8.0,3519,2096.8024
17.0,2227,2114.944297
11.0,2743,2137.802999
12.0,2583,2158.991542
-9.0,2963,2183.348261
6.0,3442,2211.858042
2.0,3902,2243.687904
12.0,3121,2269.725579
-2.0,4114,2303.57327
4.0,3190,2329.917355
6.0,3181,2356.135796
7.0,3774,2387.100336
19.0,2227,2405.242582
15.0,3020,2430.346022
9.0,3931,2462.876081
16.0,3031,2487.466484
11.0,3299,2514.764367
10.0,3742,2545.476324
15.0,2431,2565.489457
14.0,2511,2586.382808
6.0,3421,2614.723984
5.0,3644,2644.531637
-3.0,3315,2671.840591
5.0,3815,2703.378002
2.0,3445,2731.834763
14.0,3050,2756.515821
3.0,3341,2784.501462
15.0,2733,2806.879673
13.0,3087,2832.216527
-3.0,3209,2858.658618
14.0,2978,2883.103719
11.0,3214,2909.528125
10.0,3251,2936.681063
9.0,2850,2960.098169
9.0,3354,2987.759032
16.0,2524,3008.712661
12.0,3306,3036.01573
7.0,3116,3061.574942
17.0,2458,3081.74923
17.0,2212,3099.891169
5.0,3213,3126.85716
17.0,2325,3146.011664
11.0,2731,3168.338209
6.0,3267,3195.50065
11.0,3137,3221.154183
11.0,3411,3249.439832
8.0,3464,3277.980331
12.0,2865,3301.385087
17.0,2567,3322.521907
17.0,2349,3341.719871
17.0,2874,3365.624961
19.0,2819,3388.872608
13.0,2740,3411.286015
11.0,2738,3434.246713
10.0,2893,3457.811953
10.0,3416,3486.148365
13.0,2996,3510.661737
8.0,3135,3536.750033
8.0,3290,3563.518123
14.0,3222,3590.643305
6.0,2903,3614.245121
9.0,3389,3642.43557
18.0,2855,3667.340114
13.0,2997,3693.165082
2.0,4126,3727.592087
17.0,3063,3752.832996
10.0,3019,3777.428691
9.0,3037,3802.571078
16.0,2521,3823.434153
10.0,3439,3851.363567
14.0,3046,3877.892945
17.0,2903,3903.581959
19.0,2304,3923.814382
5.0,4009,3958.824749
10.0,3057,3985.774982
14.0,3045,4012.733328
9.0,3414,4042.364924
11.0,2958,4068.834311
16.0,3290,4096.963691
10.0,3503,4128.18385
10.0,3375,4157.590358
19.0,2216,4176.878694
18.0,2312,4197.212782
11.0,2629,4220.623336
8.0,2980,4246.795693
11.0,2960,4272.31907
8.0,3505,4301.514163
17.0,2267,4320.021383
15.0,2403,4339.933195
16.0,3133,4365.4945
14.0,2767,4388.52871
11.0,3034,4413.816115
13.0,2569,4434.905105
10.0,2802,4458.005447
13.0,2915,4481.606249
14.0,2545,4502.62468
14.0,2941,4526.887518
10.0,3372,4555.079
13.0,3017,4579.642237
10.0,2724,4601.949858
8.0,3298,4629.285756
12.0,3018,4654.361683
11.0,2736,4676.779788
19.0,2228,4694.981027
16.0,2533,4715.975533
15.0,2498,4736.945151
11.0,2663,4758.562323
18.0,2295,4777.495132
9.0,2957,4801.883274
16.0,2837,4825.650498
17.0,2467,4845.875178
19.0,2345,4865.061835
12.0,3582,4894.653509
14.0,2815,4917.876496
14.0,2613,4939.762717
18.0,2420,4959.286304
15.0,2813,4982.504905
10.0,3079,5007.838383
10.0,2953,5032.190553
13.0,2625,5054.024067
19.0,2817,5077.201378
