# {"t_start": 1542421437.5057669, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
105.0,465,7.991174
60.0,431,12.498284
410.0,718,20.527764
80.0,354,24.388011
220.0,665,30.846069
170.0,558,36.301495
140.0,393,40.656243
315.0,682,48.326584
105.0,509,54.084254
225.0,640,60.66389
110.0,463,65.317941
290.0,695,72.41473
545.0,856,81.252936
110.0,440,86.011549
110.0,507,91.640951
195.0,586,98.299994
270.0,1045,109.018684
195.0,641,115.446435
410.0,896,124.414355
205.0,581,130.869048
130.0,494,136.30416
105.0,567,142.778448
175.0,551,148.57078
40.0,292,151.463603
70.0,391,155.329247
20.0,376,159.09028
90.0,466,163.74253
170.0,495,168.675132
125.0,613,175.389974
65.0,300,178.64695
260.0,677,186.334224
50.0,433,191.075305
240.0,927,200.29055
255.0,618,206.455404
285.0,1097,218.000141
30.0,295,221.1356
100.0,310,224.581282
390.0,764,233.308497
75.0,313,236.502419
45.0,448,240.990657
380.0,785,248.924432
45.0,385,252.75964
210.0,611,259.042825
230.0,708,266.808507
155.0,596,273.582138
210.0,622,280.434091
470.0,767,288.088153
50.0,402,292.157124
15.0,355,295.683017
155.0,589,301.533541
105.0,284,304.790236
105.0,570,311.000011
125.0,474,316.414713
105.0,505,322.139971
105.0,294,325.136106
110.0,486,329.937074
110.0,484,334.85349
105.0,497,339.89055
315.0,757,347.993977
105.0,480,353.324145
155.0,682,361.133443
75.0,430,365.890771
140.0,581,371.81587
380.0,594,377.791473
260.0,727,385.045342
140.0,585,391.475919
280.0,760,400.078128
105.0,385,404.489903
155.0,611,410.907993
180.0,620,417.167309
105.0,477,421.904724
210.0,621,428.430699
185.0,643,435.412503
105.0,499,441.168069
105.0,313,444.71316
210.0,629,451.406023
75.0,312,454.530399
180.0,613,460.830117
210.0,706,467.948146
240.0,641,475.055099
180.0,619,482.187263
250.0,936,492.425624
210.0,633,498.800354
135.0,594,504.804626
155.0,587,511.184093
260.0,728,519.354913
165.0,607,526.310009
110.0,479,531.287076
75.0,313,534.380063
150.0,576,540.289436
385.0,654,547.248278
105.0,495,552.675709
50.0,296,556.085402
180.0,470,561.42648
135.0,522,567.173799
135.0,583,572.977744
100.0,367,576.692218
130.0,579,582.849715
80.0,294,586.030615
110.0,384,590.262351
210.0,603,597.255281
110.0,481,602.617152
240.0,708,609.807748
75.0,386,613.70646
135.0,602,620.186777
260.0,760,628.737371
120.0,495,634.418288
210.0,640,641.341939
235.0,735,648.737933
180.0,616,655.250742
260.0,721,663.328134
180.0,611,670.336087
215.0,614,676.939737
135.0,417,681.185328
260.0,731,688.867342
110.0,552,694.893698
165.0,640,702.30956
180.0,601,709.109513
125.0,514,714.36061
425.0,626,720.735344
75.0,299,723.85828
195.0,443,728.73816
75.0,390,733.057868
155.0,591,739.869062
120.0,403,744.400798
265.0,708,751.630217
260.0,729,759.219173
240.0,452,764.135219
155.0,488,769.642472
105.0,372,773.858943
80.0,397,778.465688
110.0,384,782.344944
210.0,609,788.485609
125.0,466,793.331733
55.0,397,797.641057
80.0,405,802.070387
185.0,702,810.213341
100.0,349,814.121314
100.0,525,819.425713
80.0,364,823.018751
205.0,621,829.579567
315.0,689,837.115736
415.0,569,843.601695
195.0,442,848.643973
255.0,558,854.259364
290.0,750,861.817897
80.0,470,866.956633
115.0,417,871.512877
335.0,767,880.362119
140.0,444,885.219147
405.0,1025,895.55897
125.0,469,900.450149
345.0,904,910.424875
150.0,496,916.268997
375.0,939,926.040312
230.0,642,932.499079
250.0,605,938.993011
180.0,697,946.860826
320.0,671,954.451649
305.0,813,962.729203
130.0,551,968.225998
330.0,674,975.383956
325.0,814,984.472283
380.0,851,993.934605
280.0,1026,1004.295728
405.0,878,1013.393518
190.0,441,1018.271587
215.0,475,1023.705595
465.0,731,1031.655174
255.0,809,1039.966479
425.0,766,1047.685977
125.0,510,1052.891497
