# {"t_start": 1542421437.50827, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
55.0,492,8.332339
25.0,291,11.359501
105.0,487,16.68505
145.0,524,22.48979
110.0,285,25.384104
30.0,297,28.272617
155.0,614,34.187829
355.0,688,41.592073
520.0,923,52.038986
50.0,291,55.295445
80.0,488,60.239053
80.0,443,64.678253
540.0,773,72.585334
45.0,375,76.313497
110.0,403,80.336699
65.0,465,85.511616
135.0,441,90.389374
105.0,495,95.956086
145.0,548,101.98709
125.0,379,105.746542
125.0,514,110.823318
30.0,458,115.322948
140.0,635,121.758256
210.0,589,127.971403
130.0,476,133.112115
65.0,337,136.913505
165.0,515,142.775679
65.0,334,146.34484
80.0,495,151.363471
70.0,403,155.304834
95.0,462,159.922937
120.0,564,165.590197
125.0,304,168.589154
120.0,468,173.70372
200.0,701,181.482782
180.0,479,186.951017
135.0,604,193.286885
210.0,559,198.769721
35.0,455,203.354014
60.0,412,207.4068
25.0,269,210.074254
35.0,288,212.948989
135.0,376,217.005389
185.0,477,222.208983
265.0,637,229.433508
80.0,366,233.576814
210.0,522,238.915507
60.0,289,241.776047
65.0,288,244.629554
110.0,399,248.553433
60.0,268,251.186178
125.0,372,254.925025
225.0,706,262.393935
500.0,795,271.372865
110.0,521,277.280416
95.0,294,280.36235
360.0,585,286.18585
140.0,423,290.381768
110.0,459,295.010942
50.0,374,298.708894
105.0,474,303.74242
215.0,683,311.248538
105.0,449,316.380257
110.0,515,322.264261
110.0,457,326.821916
105.0,345,330.275088
125.0,576,336.086411
55.0,301,339.09345
30.0,296,342.023017
75.0,386,346.242351
210.0,633,353.267694
105.0,305,356.695645
110.0,365,360.854589
55.0,413,365.37735
330.0,938,375.015986
210.0,654,381.565108
135.0,372,385.25258
110.0,585,391.697342
165.0,475,397.009825
155.0,587,403.735578
180.0,606,410.239851
270.0,757,417.851897
155.0,589,423.750121
260.0,713,431.423488
355.0,596,438.12688
155.0,593,444.908365
215.0,623,451.541748
210.0,631,457.975892
380.0,621,464.242391
155.0,585,470.391918
110.0,489,475.748102
105.0,481,481.294907
155.0,644,488.702203
110.0,568,494.447139
75.0,382,498.261945
425.0,718,505.467195
75.0,296,508.617087
410.0,626,515.527849
160.0,605,522.437782
180.0,600,529.16214
120.0,596,535.165397
440.0,715,542.511834
155.0,588,548.968261
210.0,595,555.596619
565.0,1031,567.222724
295.0,709,574.380319
135.0,587,580.338177
105.0,476,585.61692
210.0,607,592.419185
225.0,1027,604.021772
120.0,345,607.50226
155.0,608,613.674031
120.0,363,617.498944
225.0,694,625.084621
150.0,501,630.858486
410.0,607,637.876482
205.0,735,645.316709
450.0,766,653.192746
40.0,353,657.045247
140.0,572,663.501906
415.0,681,671.270024
80.0,281,674.366633
210.0,621,680.648241
105.0,320,683.925002
295.0,734,691.831794
210.0,601,698.582739
180.0,615,705.701725
60.0,296,709.002617
210.0,588,714.973511
340.0,722,722.253039
135.0,468,727.459497
260.0,600,734.216332
275.0,640,741.665217
110.0,331,745.212146
110.0,326,748.504703
75.0,308,751.5837
145.0,467,756.248447
180.0,522,761.94533
150.0,498,767.47279
110.0,393,771.932774
180.0,404,776.590973
150.0,500,781.903634
180.0,531,787.252828
155.0,382,791.027558
125.0,382,795.182394
50.0,434,799.866788
105.0,463,805.169316
215.0,512,811.023327
460.0,806,819.525215
195.0,477,824.381851
110.0,476,829.35706
130.0,493,834.692872
90.0,539,840.80811
90.0,362,844.902525
270.0,541,850.760553
255.0,641,857.282143
275.0,611,863.563228
485.0,780,872.182073
485.0,712,880.338186
430.0,947,890.307167
215.0,635,896.636306
150.0,398,900.914536
245.0,727,908.933715
230.0,667,916.692568
330.0,743,924.414827
65.0,472,929.112385
255.0,713,936.544968
225.0,610,943.325135
195.0,703,951.321461
155.0,385,955.504751
145.0,408,959.582503
510.0,693,966.546035
145.0,379,970.403514
380.0,844,979.552803
330.0,683,987.40357
120.0,396,991.772742
175.0,587,997.70228
360.0,886,1006.690311
170.0,589,1012.760151
395.0,767,1021.381617
220.0,655,1028.904816
450.0,716,1036.241296
215.0,803,1044.429152
405.0,921,1053.741986
510.0,790,1062.701878
280.0,683,1070.239968
365.0,739,1077.695611
320.0,627,1083.926172
115.0,519,1089.019573
485.0,845,1097.671497
225.0,466,1102.951461
500.0,818,1111.975479
335.0,902,1121.134626
320.0,911,1130.078513
130.0,378,1133.803523
505.0,940,1143.31088
175.0,534,1149.416874
310.0,544,1155.470958
370.0,878,1164.23417
220.0,531,1169.590019
315.0,668,1175.945169
285.0,700,1182.714195
475.0,913,1192.027365
415.0,770,1200.676987
205.0,522,1206.115171
490.0,637,1212.524124
335.0,660,1219.081005
110.0,435,1223.18897
200.0,615,1229.146627
185.0,524,1234.127457
420.0,582,1240.280505
440.0,870,1249.913918
145.0,352,1253.522571
240.0,573,1259.341862
250.0,600,1265.3476
125.0,516,1270.408653
140.0,437,1274.561324
185.0,492,1279.278629
210.0,578,1284.843853
505.0,663,1291.685924
115.0,340,1295.302088
160.0,470,1300.280959
45.0,264,1303.001845
490.0,916,1312.254804
155.0,487,1317.044885
175.0,630,1323.173909
310.0,694,1329.894107
250.0,606,1335.686922
195.0,495,1340.500361
135.0,366,1344.424911
220.0,566,1350.398129
340.0,670,1357.327371
160.0,454,1361.81832
350.0,734,1369.187376
580.0,958,1378.423763
365.0,726,1385.370635
235.0,669,1391.74054
490.0,807,1400.117038
85.0,388,1404.216618
40.0,281,1407.072697
190.0,572,1412.874704
430.0,980,1422.639797
145.0,439,1426.974311
385.0,743,1434.032661
265.0,644,1440.08931
680.0,927,1449.221395
295.0,622,1455.614902
220.0,606,1461.815446
300.0,653,1468.353386
445.0,878,1477.079128
420.0,770,1484.518251
170.0,473,1488.939804
45.0,254,1491.298777
100.0,488,1495.913361
185.0,493,1500.594552
90.0,286,1503.547609
435.0,656,1510.239634
270.0,616,1516.637922
560.0,820,1524.913612
600.0,1079,1535.638543
175.0,544,1540.689646
260.0,656,1546.964937
165.0,709,1553.66801
100.0,464,1558.221915
465.0,1025,1568.811953
440.0,607,1575.08636
140.0,308,1578.239331
555.0,1020,1588.37505
735.0,1102,1598.742673
235.0,601,1604.46441
295.0,530,1609.422218
310.0,592,1615.386745
380.0,630,1621.79928
110.0,390,1625.963925
300.0,547,1631.507742
260.0,566,1637.141698
170.0,464,1641.651615
230.0,579,1647.237207
300.0,842,1655.167595
140.0,371,1658.687803
355.0,672,1665.153502
130.0,383,1668.991258
345.0,755,1676.716297
455.0,670,1683.573858
230.0,659,1690.021864
420.0,651,1696.511196
535.0,933,1705.585494
320.0,609,1711.299224
330.0,674,1717.60658
205.0,615,1723.611585
335.0,614,1729.933246
725.0,914,1739.26717
85.0,408,1743.307498
265.0,617,1749.378297
300.0,718,1756.310882
410.0,881,1764.570379
495.0,923,1773.208496
500.0,712,1780.012618
230.0,624,1786.450948
640.0,803,1794.632204
465.0,958,1804.118125
545.0,1070,1814.489974
325.0,713,1821.127397
150.0,493,1825.710705
285.0,636,1831.64144
360.0,614,1837.446896
215.0,479,1842.343974
430.0,696,1849.408372
325.0,644,1855.978012
480.0,1002,1865.810357
