# {"t_start": 1542410143.7425904, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
85.0,370,4.826514
195.0,605,10.556676
195.0,579,15.564328
125.0,576,21.047381
260.0,637,26.880775
390.0,675,32.944825
165.0,460,37.359876
140.0,482,41.449545
230.0,504,46.050919
50.0,445,50.356072
45.0,363,53.283701
200.0,490,57.826525
160.0,522,62.59368
110.0,461,67.049097
190.0,674,73.146323
145.0,483,77.620235
30.0,323,80.301388
35.0,263,82.674275
50.0,446,86.522498
55.0,494,91.13756
170.0,491,95.752289
225.0,727,102.585137
45.0,295,105.117055
120.0,450,109.010313
135.0,596,114.694819
80.0,391,118.224539
125.0,486,122.804949
260.0,764,129.838327
160.0,478,133.888543
355.0,663,139.884496
190.0,402,143.493158
290.0,586,149.070618
85.0,282,151.530164
255.0,896,159.797084
100.0,460,164.215551
160.0,495,168.325905
210.0,480,172.889358
460.0,732,179.77787
60.0,297,182.291895
210.0,617,187.99501
70.0,290,190.496155
795.0,1096,200.280097
155.0,592,205.900251
180.0,598,211.527229
105.0,488,215.585253
210.0,615,221.330857
210.0,641,227.206261
155.0,594,232.834915
180.0,649,238.705567
135.0,593,243.816403
210.0,630,249.627288
155.0,597,255.262704
135.0,602,260.431579
330.0,1074,270.524745
210.0,623,275.772169
180.0,642,281.644007
110.0,468,286.098872
210.0,646,291.941777
185.0,607,297.626981
120.0,480,301.683889
185.0,598,307.361275
210.0,630,313.168251
210.0,628,318.897885
485.0,724,325.166995
380.0,670,331.375365
90.0,388,334.925854
260.0,726,341.715508
285.0,756,348.663491
260.0,729,354.930376
545.0,815,362.664334
210.0,611,367.805876
820.0,1075,377.86599
210.0,549,382.680072
155.0,602,388.291386
215.0,634,394.090282
215.0,633,399.374987
450.0,1139,409.732497
230.0,613,415.393007
195.0,493,419.967804
260.0,674,425.944142
460.0,737,432.804754
110.0,327,435.574134
110.0,341,438.908653
80.0,402,442.672958
210.0,637,448.554874
315.0,645,454.414074
120.0,320,457.080515
260.0,740,464.000875
485.0,720,470.262227
320.0,676,476.945082
170.0,490,480.962612
290.0,658,487.535244
205.0,588,492.818561
160.0,442,496.680103
250.0,786,504.405693
350.0,830,511.787568
275.0,700,517.987576
395.0,909,526.288953
280.0,665,532.808105
230.0,636,538.232924
225.0,538,543.556921
260.0,698,549.714794
135.0,458,553.617663
220.0,638,559.438505
195.0,483,563.923955
220.0,504,568.622059
235.0,583,573.768049
280.0,627,579.574817
105.0,271,582.009317
295.0,605,587.690211
570.0,891,595.908789
240.0,611,601.637599
110.0,332,604.365719
235.0,593,610.01213
120.0,489,614.044045
600.0,873,622.145208
400.0,736,629.007994
90.0,269,631.380149
370.0,966,639.979564
485.0,713,646.692493
370.0,917,655.049399
60.0,254,657.376173
295.0,676,663.418866
670.0,1102,673.690597
255.0,533,678.455089
530.0,1197,689.219426
335.0,582,694.695882
395.0,645,700.577818
220.0,596,705.668565
280.0,534,710.473406
490.0,676,716.976451
305.0,515,721.159295
150.0,304,724.226193
525.0,980,732.878359
80.0,318,736.041482
260.0,618,741.789527
255.0,612,746.958918
350.0,648,752.796174
400.0,651,758.706411
360.0,696,765.365699
480.0,1073,774.976907
185.0,370,778.39933
320.0,783,785.479818
435.0,755,792.366355
415.0,731,798.683849
215.0,549,804.020411
200.0,417,807.654202
620.0,634,813.456853
145.0,396,817.031366
370.0,634,822.84048
365.0,597,827.962231
310.0,494,832.540152
300.0,690,838.674698
375.0,639,844.568595
210.0,520,849.241704
590.0,636,855.068043
230.0,453,859.418423
180.0,511,864.175264
115.0,360,867.057395
475.0,637,872.902895
345.0,587,878.466136
190.0,484,882.972614
465.0,702,889.1
385.0,830,896.607391
200.0,597,902.289919
185.0,509,906.983738
290.0,579,911.949151
180.0,378,915.379204
365.0,673,921.299734
245.0,500,925.85217
320.0,551,931.186769
430.0,747,937.599531
595.0,881,945.688062
340.0,615,951.318866
455.0,828,958.57617
415.0,616,964.29176
575.0,538,969.0712
490.0,634,974.820899
375.0,622,980.535817
765.0,913,988.741533
265.0,723,995.528903
345.0,696,1001.605239
445.0,1027,1010.960863
325.0,548,1015.819052
515.0,832,1023.601142
330.0,604,1028.72652
385.0,607,1034.351682
265.0,523,1039.024691
385.0,855,1046.955909
195.0,520,1051.635577
435.0,611,1056.769967
460.0,778,1063.807164
575.0,632,1069.57593
400.0,829,1077.319931
565.0,669,1083.24068
320.0,644,1089.053646
170.0,463,1092.910107
455.0,896,1100.988512
720.0,770,1107.941394
590.0,765,1114.885366
500.0,1174,1125.435232
335.0,548,1130.755764
205.0,370,1133.683849
495.0,1043,1143.545287
610.0,739,1149.905211
260.0,418,1153.524104
600.0,1252,1165.03262
415.0,594,1170.57789
420.0,754,1177.498262
335.0,659,1183.436397
355.0,631,1189.184243
430.0,632,1194.413429
320.0,544,1199.690793
310.0,556,1204.591638
420.0,709,1210.748132
130.0,293,1213.728521
440.0,622,1218.864225
365.0,495,1223.3768
310.0,573,1228.851449
340.0,592,1233.904371
405.0,591,1239.464686
440.0,658,1245.338194
475.0,816,1252.609872
655.0,843,1260.420961
485.0,799,1267.50124
500.0,871,1275.443971
645.0,823,1282.6924
415.0,756,1289.58211
440.0,918,1297.806416
220.0,475,1302.241217
640.0,1018,1310.999826
860.0,1006,1320.216835
425.0,701,1326.795443
385.0,630,1332.025525
360.0,572,1337.419573
480.0,753,1344.253999
530.0,962,1352.687457
230.0,392,1356.169353
420.0,816,1363.345607
570.0,806,1370.980782
345.0,547,1375.804799
335.0,485,1380.264022
685.0,892,1388.352716
420.0,555,1393.220628
405.0,557,1398.085169
245.0,472,1402.516114
325.0,585,1407.515512
485.0,712,1414.133439
340.0,513,1418.741999
495.0,668,1424.663738
545.0,1038,1433.973713
