approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00023139582,0.0,nan,nan,-0.04313480854034424,535,1,1.791511,-0.0015812994,128,1.9136347770690918,1024,0.17958717
0.000102643644,0.0,nan,nan,-0.006922364234924316,874,2,1.7906822,-0.0008646161,256,3.085636615753174,2048,0.121785216
8.927641e-05,0.0,315.75,83.75,0.023989319801330566,873,3,1.7896824,-0.0010045441,384,4.258092641830444,3072,0.032328654
0.00022073783,0.0,344.2,95.0,0.06125283241271973,875,4,1.789105,-0.0014980262,512,5.429014444351196,4096,0.110868946
0.00015401795,0.0,394.3333333333333,116.66666666666667,-0.0070008039474487305,869,5,1.7889774,-0.00066550885,640,6.607630968093872,5120,0.09167079
0.0002660489,0.0,463.625,137.5,0.029999911785125732,854,6,1.7878543,-0.0013418992,768,7.807345151901245,6144,0.090312265
0.00012851974,0.0,462.0,128.63636363636363,0.0006656646728515625,840,7,1.7869554,-0.000328416,896,9.026098728179932,7168,0.08324211
0.00030519874,0.006591797,467.61538461538464,126.53846153846153,0.07379657030105591,863,8,1.7858951,-0.0014137431,1024,10.212745189666748,8192,0.09239196
0.0009672207,0.060302734,453.57142857142856,122.85714285714286,0.1620112657546997,882,9,1.7783759,-0.0025016428,1152,11.37383222579956,9216,0.13938303
0.00028565046,0.00024414062,491.25,155.0,0.09807181358337402,859,10,1.778246,-0.0016458344,1280,12.565785884857178,10240,0.07953224
0.0021592304,0.110839844,503.55555555555554,158.61111111111111,0.2764989137649536,878,11,1.7692319,-0.0036387607,1408,13.732616424560547,11264,0.13263439
0.00030761678,0.0007324219,515.25,163.75,0.18509149551391602,869,12,1.772351,-0.0014219056,1536,14.910737037658691,12288,0.15392861
0.0007281528,0.033447266,519.0952380952381,167.38095238095238,0.15404653549194336,877,13,1.7672011,-0.002846272,1664,16.07875108718872,13312,0.14709082
0.00090928597,0.03466797,519.0,162.95454545454547,-0.0160597562789917,877,14,1.7704204,-0.0022059996,1792,17.247048377990723,14336,0.15570033
0.00091799273,0.03466797,519.0,162.95454545454547,0.4078017473220825,888,15,1.77217,-0.001539254,1920,18.40082335472107,15360,0.121152624
