# {"t_start": 1542663666.050028, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
155.0,444,35.909905
45.0,284,39.047022
45.0,303,42.285389
25.0,419,47.778542
160.0,522,53.857481
20.0,250,56.00098
485.0,792,66.241922
310.0,647,73.842379
185.0,372,77.416585
275.0,593,84.887571
80.0,396,89.558608
255.0,731,98.408023
170.0,491,103.351186
325.0,784,113.331816
240.0,505,118.779289
115.0,349,123.219761
40.0,438,128.041948
30.0,337,132.974984
330.0,695,140.99692
210.0,518,147.31928
235.0,648,155.062161
570.0,893,165.941873
95.0,410,170.777239
210.0,658,178.691149
125.0,441,184.341606
265.0,688,192.277423
160.0,595,199.615331
30.0,376,203.996001
105.0,553,210.241303
290.0,745,218.95001
90.0,467,223.865883
170.0,581,230.960233
140.0,592,237.471857
110.0,278,240.558182
320.0,810,250.674954
90.0,405,255.475607
120.0,596,262.310055
30.0,293,266.477331
120.0,483,271.974117
390.0,1009,283.967433
155.0,519,289.897694
50.0,278,293.045183
150.0,485,299.240806
180.0,500,305.272024
415.0,592,311.635545
180.0,597,318.843538
155.0,499,324.90591
350.0,1051,336.962308
150.0,534,342.972152
150.0,478,348.761064
405.0,1060,360.927594
295.0,736,369.6957
360.0,857,378.963977
115.0,484,384.797283
130.0,471,390.615651
95.0,376,394.158233
260.0,770,402.923177
240.0,599,410.123232
365.0,801,419.030149
200.0,337,423.298171
155.0,475,428.16556
125.0,411,433.546464
230.0,617,440.014064
215.0,711,448.641688
125.0,470,453.571005
155.0,327,457.71786
120.0,405,462.278775
185.0,499,468.092323
345.0,849,477.317178
175.0,457,482.871489
170.0,383,487.230566
365.0,628,494.441967
330.0,627,501.789221
315.0,661,509.375967
130.0,391,513.929854
225.0,637,521.293185
235.0,463,526.17241
85.0,338,530.429014
130.0,486,535.309191
75.0,307,539.365013
225.0,600,545.703468
270.0,614,552.978473
170.0,407,557.402116
210.0,383,561.719615
155.0,413,566.252807
245.0,535,572.301866
95.0,379,576.807595
155.0,323,580.937617
95.0,334,584.326842
235.0,528,590.419623
115.0,314,594.600104
195.0,332,597.990983
225.0,491,603.836839
500.0,697,612.395993
465.0,637,619.093925
460.0,554,626.015518
350.0,761,635.315403
315.0,670,642.911171
620.0,937,653.218533
245.0,550,659.225245
140.0,374,663.44524
330.0,614,670.551149
495.0,1115,682.561562
315.0,596,689.606876
95.0,357,693.78551
210.0,550,699.730601
130.0,321,702.949133
195.0,495,708.646741
315.0,600,715.634694
230.0,611,722.701456
285.0,617,728.943564
110.0,284,732.785958
155.0,374,736.199721
395.0,783,744.984476
185.0,413,750.268163
195.0,479,755.025747
330.0,641,762.312595
330.0,707,770.611001
260.0,603,776.875373
335.0,603,783.851704
340.0,620,790.965928
455.0,574,797.02536
290.0,578,803.939099
605.0,702,811.432013
365.0,927,821.719242
