approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.000351147,0.0,nan,nan,0.022289574146270752,97,1,1.79142,-0.00185648,128,10.492105484008789,1024,0.0975387
0.000102943,0.0,nan,nan,-0.05918407440185547,667,2,1.79062,-0.000868819,256,12.02758502960205,2048,0.0961859
0.000279024,0.0,326.0,43.3333333333,0.08864450454711914,666,3,1.78969,-0.00202748,384,13.564020156860352,3072,0.0516641
0.000129406,0.0,397.142857143,84.2857142857,0.14717572927474976,663,4,1.78793,-0.000497693,512,15.107949018478394,4096,0.0825379
0.00017578,0.0,415.75,91.875,0.025731146335601807,677,5,1.78819,-0.00106377,640,16.62024688720703,5120,0.0594481
0.000553209,0.00146484,400.8,91.0,0.037098586559295654,681,6,1.78694,-0.00256212,768,18.124619722366333,6144,0.119474
0.000342574,0.0,411.75,97.0833333333,-0.13741552829742432,673,7,1.78046,-0.000603538,896,19.646818161010742,7168,0.0986182
0.000137886,0.0,424.294117647,105.0,0.2143992781639099,679,8,1.7796,-0.00064618,1024,21.154292583465576,8192,0.0883863
0.000605399,0.00854492,436.555555556,106.944444444,0.18778610229492188,694,9,1.77456,-0.00248335,1152,22.629294633865356,9216,0.130983
0.000603909,0.0219727,429.473684211,107.368421053,0.17776846885681152,686,10,1.77302,-0.00256706,1280,24.122583150863647,10240,0.0873897
0.00135492,0.0820312,427.8,104.5,0.053024113178253174,677,11,1.76801,-0.00344323,1408,25.6344096660614,11264,0.0954139
0.00131792,0.0690918,430.608695652,103.260869565,0.1910821795463562,676,12,1.76406,-0.00422399,1536,27.150119304656982,12288,0.0840206
0.000904563,0.0231934,449.56,121.4,0.24132293462753296,673,13,1.75027,-0.00213278,1664,28.671308279037476,13312,0.0985851
0.00203802,0.137451,462.321428571,127.142857143,0.28837883472442627,661,14,1.71958,-0.00373125,1792,30.22123408317566,14336,0.115346
0.00184091,0.0651855,462.321428571,127.142857143,0.20670288801193237,681,15,1.70598,-0.00306554,1920,31.723886251449585,15360,0.106765
0.000763924,0.0280762,470.419354839,128.387096774,0.006235599517822266,675,16,1.72302,-0.00348632,2048,33.241618156433105,16384,0.108555
0.0009058,0.0463867,462.117647059,124.264705882,0.2180050015449524,668,17,1.7235,-0.00288082,2176,34.77491593360901,17408,0.12659
0.00139472,0.0612793,462.171428571,123.714285714,0.3558937907218933,681,18,1.70796,-0.00276047,2304,36.27890753746033,18432,0.0800064
0.00130665,0.0546875,463.710526316,129.078947368,0.3117262125015259,646,19,1.70965,-0.00314359,2432,37.86453986167908,19456,0.155724
0.00107923,0.0456543,463.710526316,129.078947368,0.3635905981063843,639,20,1.69813,-0.00343426,2560,39.46713948249817,20480,0.147096
0.00104734,0.0373535,483.175,144.0,0.281242311000824,665,21,1.70438,-0.00266502,2688,41.00678253173828,21504,0.0919833
