# {"t_start": 1542840793.4302714, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
40.0,268,27.08181
130.0,2899,56.575546
370.0,3005,90.668018
130.0,850,100.248062
130.0,754,109.80837
90.0,742,119.668705
120.0,701,128.951357
130.0,537,135.047299
140.0,799,144.449269
90.0,780,154.005082
50.0,409,159.040243
130.0,425,163.768652
100.0,443,168.71156
190.0,1338,186.117027
205.0,1026,198.925594
120.0,915,209.548226
40.0,482,215.189063
140.0,1027,228.705328
280.0,1331,243.960541
130.0,723,251.166558
250.0,1547,268.65863
80.0,2135,291.08988
280.0,1260,304.473276
90.0,587,311.017766
175.0,1057,322.925521
160.0,1048,333.325355
120.0,435,337.625339
150.0,1129,350.234235
110.0,559,356.557905
130.0,825,365.839973
120.0,559,371.396747
150.0,795,379.26518
100.0,744,386.935472
70.0,561,392.957669
120.0,578,399.417372
120.0,500,404.961661
120.0,683,411.933791
110.0,372,415.581532
190.0,1298,429.340928
130.0,583,435.546847
80.0,643,443.146026
190.0,1193,456.943471
50.0,301,460.19114
130.0,878,468.815035
265.0,975,479.16139
205.0,972,489.915456
150.0,579,495.578118
90.0,585,501.149367
130.0,485,505.832351
325.0,1163,518.045703
220.0,929,528.282995
80.0,910,537.280284
235.0,1051,547.456866
120.0,711,555.006109
205.0,839,564.360251
140.0,658,571.278538
110.0,820,579.239162
500.0,1484,594.224259
120.0,646,601.336
90.0,456,606.280632
130.0,672,613.017523
355.0,1357,626.292763
160.0,658,633.128164
220.0,945,643.604782
110.0,524,649.027126
310.0,1286,661.49628
110.0,584,667.482984
120.0,575,673.5138
1040.0,2069,695.189122
220.0,1170,706.964503
140.0,785,715.33093
190.0,900,725.136964
800.0,1963,744.572813
90.0,630,751.203853
205.0,819,760.132482
160.0,808,768.744996
190.0,915,777.455367
960.0,1780,796.237785
265.0,1134,807.27806
90.0,477,811.670803
370.0,1498,826.91366
130.0,1091,838.401325
355.0,1537,853.103192
265.0,1194,865.382493
385.0,1468,880.241869
325.0,1378,893.558502
400.0,1455,908.953076
205.0,1105,919.499625
385.0,1368,932.573715
1760.0,2263,955.714728
175.0,903,964.160269
325.0,1316,977.554104
960.0,1913,998.657524
480.0,1697,1015.285866
325.0,1121,1027.1238
540.0,1849,1045.816865
420.0,1698,1062.322356
110.0,834,1071.309796
1440.0,2303,1094.382661
265.0,907,1102.983918
940.0,1512,1118.615412
1000.0,1730,1135.695933
340.0,1198,1147.307106
385.0,1370,1160.70351
235.0,1058,1171.944996
420.0,1150,1182.941272
310.0,1264,1195.149606
160.0,997,1204.501111
520.0,1654,1221.746694
1260.0,2516,1246.1663
1480.0,2197,1268.086642
120.0,537,1273.469165
540.0,1613,1289.182812
250.0,1290,1301.774184
1420.0,2049,1322.628748
1000.0,1910,1340.698538
1240.0,2339,1363.318176
340.0,1259,1375.580809
900.0,1816,1393.048839
265.0,949,1402.088064
370.0,1309,1415.199606
720.0,1732,1431.641713
90.0,405,1435.34315
385.0,1291,1447.667823
1160.0,2005,1467.478484
110.0,577,1472.848023
440.0,1482,1486.803443
355.0,1191,1498.623059
1340.0,2332,1521.324823
250.0,1079,1531.362944
150.0,797,1538.980312
235.0,1255,1551.811742
860.0,1847,1569.384919
400.0,1340,1581.84526
520.0,1611,1598.306779
190.0,1086,1608.421099
1240.0,2177,1628.529019
385.0,1677,1645.534749
880.0,1586,1660.528328
340.0,1077,1670.410372
700.0,1839,1688.116716
780.0,2190,1709.560581
385.0,1644,1724.333569
355.0,1255,1736.256667
1420.0,2388,1759.519654
1300.0,1883,1776.610554
420.0,1587,1791.768999
720.0,2103,1812.056848
220.0,1094,1822.366628
980.0,1724,1838.611368
980.0,1897,1857.273333
370.0,1205,1868.51293
1040.0,1771,1884.976799
780.0,1311,1898.333958
980.0,2221,1919.051355
1120.0,2223,1940.197369
1260.0,2216,1961.870682
740.0,1355,1974.373683
880.0,1941,1993.413544
160.0,820,2001.360004
1920.0,2289,2022.629306
3205.0,3249,2054.469116
220.0,1393,2067.391826
2420.0,2546,2092.285709
3060.0,2987,2120.072594
940.0,1516,2135.04209
3160.0,3830,2171.007757
940.0,1628,2187.300385
130.0,705,2193.919296
720.0,1601,2208.841389
250.0,810,2216.416616
2635.0,2921,2244.843515
1380.0,2231,2265.555991
2170.0,2452,2289.700091
540.0,1719,2306.053375
1640.0,2475,2330.380311
1600.0,2548,2354.201612
1920.0,2804,2381.671397
2580.0,2445,2404.412782
400.0,1464,2418.444324
2930.0,3323,2450.168576
540.0,1544,2464.765478
1560.0,2387,2487.979624
1580.0,2234,2508.96611
5280.0,4308,2550.209864
100.0,464,2554.900695
100.0,509,2560.142253
640.0,1302,2572.757082
440.0,1479,2586.451537
400.0,1499,2600.756246
3320.0,3307,2632.648961
385.0,1756,2649.373453
2675.0,2861,2677.048926
3095.0,3115,2707.088837
1320.0,2419,2729.701623
2655.0,3151,2760.008878
1460.0,2196,2780.481381
3210.0,3086,2810.513775
1160.0,1983,2829.078008
2430.0,2659,2855.148089
4230.0,3372,2887.253624
440.0,1506,2902.041089
3825.0,3625,2937.112388
1480.0,2240,2958.406681
100.0,516,2963.312649
1300.0,2472,2987.812437
1000.0,1566,3002.560687
1400.0,2258,3024.960052
3650.0,3411,3057.34566
220.0,885,3066.601407
1300.0,2101,3086.580338
110.0,513,3091.326973
1240.0,1656,3107.822938
5680.0,4274,3149.789476
325.0,1231,3161.473096
3620.0,2833,3189.262193
740.0,1984,3208.347763
1300.0,2100,3229.196852
120.0,546,3234.858811
1620.0,2214,3255.782322
2730.0,2667,3282.388093
2495.0,3029,3311.749255
2400.0,2884,3339.527518
500.0,1813,3357.612438
2235.0,2925,3385.392296
3755.0,3105,3415.936188
1640.0,2014,3435.073929
4620.0,4201,3475.624614
800.0,1817,3494.021248
1160.0,2104,3513.522694
4540.0,4082,3553.009657
1120.0,1647,3568.729636
1420.0,2293,3591.097964
1960.0,2379,3613.567468
1700.0,2168,3634.817509
1140.0,2297,3656.168275
1460.0,2214,3678.025029
150.0,788,3685.422771
1700.0,2410,3708.034642
1000.0,1942,3726.978867
4430.0,4156,3766.847145
4270.0,3888,3803.424065
1480.0,2145,3824.281303
2830.0,3583,3858.242187
1980.0,2451,3881.500648
720.0,1559,3895.755393
1320.0,1678,3912.549545
1180.0,1986,3931.024079
5100.0,4185,3971.257184
1540.0,2243,3991.733938
1460.0,2040,4011.981307
480.0,1308,4024.166646
1960.0,2617,4048.648017
1460.0,2220,4070.163211
4510.0,4306,4111.100242
2570.0,2774,4136.639961
2950.0,3198,4167.276037
500.0,1374,4180.115727
3320.0,3092,4209.038845
1540.0,1840,4226.701246
1280.0,2150,4246.464763
1420.0,1861,4265.772143
150.0,778,4273.643243
2000.0,2725,4299.181976
1340.0,1879,4317.926718
5300.0,4925,4365.527841
1080.0,1576,4380.159529
4280.0,3625,4415.308551
3550.0,2961,4443.063554
3100.0,3261,4474.285302
1720.0,2675,4500.392467
1720.0,2345,4522.202952
2890.0,3287,4554.059246
1740.0,2363,4575.840364
3685.0,2943,4604.711278
3300.0,3236,4636.009273
4980.0,4593,4680.039424
900.0,1929,4698.400234
620.0,1559,4712.739242
400.0,1579,4728.796106
1500.0,2161,4748.998804
4580.0,3742,4785.445651
2745.0,3418,4819.083426
440.0,1180,4830.069132
1880.0,2697,4857.051531
1680.0,2434,4879.898003
920.0,1755,4897.483338
370.0,1470,4911.395043
3870.0,3535,4945.843965
1860.0,2436,4968.704088
1780.0,2232,4990.850972
1800.0,2636,5015.774676
1840.0,2517,5040.564764
1980.0,2432,5063.807686
2200.0,2323,5086.439111
2040.0,2688,5112.828706
150.0,957,5121.950913
2040.0,2622,5146.69605
1660.0,1994,5166.40862
1640.0,2332,5188.289094
4820.0,4177,5229.091558
1580.0,1712,5246.415224
1860.0,2442,5269.649184
8190.0,4549,5314.269927
7800.0,4961,5362.768085
3790.0,3176,5392.798954
5930.0,4427,5435.566503
6080.0,4529,5479.141404
2520.0,2499,5503.698422
1920.0,2576,5527.70142
5240.0,4160,5567.856623
1880.0,2452,5592.046005
8195.0,5110,5641.133461
4810.0,4040,5680.202969
265.0,983,5689.387377
385.0,1787,5706.017964
2040.0,2795,5733.469918
3480.0,3312,5765.766396
1200.0,2067,5785.162177
3285.0,3173,5816.512489
4040.0,3946,5854.889697
3770.0,3335,5886.82919
1760.0,1988,5906.176498
2000.0,2144,5927.51208
1360.0,2094,5947.994477
2040.0,2746,5974.564025
205.0,1117,5985.545693
7075.0,5337,6036.717777
3320.0,3030,6066.146423
1040.0,1969,6084.778881
5890.0,4423,6127.460588
3295.0,3096,6157.422445
2520.0,2734,6182.870103
1880.0,2576,6208.251938
3140.0,3367,6240.419494
1360.0,1772,6257.752134
4670.0,3789,6294.535072
5680.0,4584,6338.786142
5600.0,4540,6382.610734
4750.0,4296,6424.379476
1020.0,1490,6438.348159
1420.0,1813,6455.367518
5790.0,3834,6492.312135
150.0,770,6499.686346
6975.0,4481,6543.249161
6790.0,3968,6581.592914
520.0,1350,6595.461219
4030.0,3492,6629.116198
2760.0,3208,6659.958876
2865.0,3161,6690.921504
3390.0,3299,6723.427227
680.0,1770,6739.990888
6200.0,4324,6781.926289
880.0,1477,6795.922518
3490.0,3285,6827.667403
7955.0,5000,6875.641588
1740.0,2007,6895.592288
1720.0,2186,6915.997808
5960.0,4640,6960.489886
4960.0,3674,6995.713011
4930.0,3926,7033.064133
460.0,1245,7045.056062
5570.0,3819,7081.446605
5860.0,4283,7121.93432
1280.0,1872,7140.27402
1320.0,1870,7157.557829
5460.0,3588,7192.165683
1280.0,1876,7209.439867
520.0,1298,7221.922928
175.0,857,7230.603195
265.0,988,7239.865844
960.0,1644,7255.049329
175.0,908,7263.414984
370.0,1411,7277.623062
4380.0,4763,7322.949552
4110.0,4039,7360.731673
2715.0,2751,7387.492721
5450.0,3947,7424.699334
2575.0,3095,7453.539184
3260.0,3065,7483.002066
4950.0,3774,7517.4909
1840.0,1992,7537.123372
1040.0,1837,7554.043167
355.0,1131,7564.175768
4170.0,3039,7593.461484
4370.0,4017,7631.877851
4265.0,3785,7667.408984
4640.0,3660,7702.718985
6060.0,3870,7740.375406
4170.0,3328,7772.94265
1680.0,2430,7796.116085
2560.0,2527,7820.908208
2515.0,2772,7848.333868
2450.0,2697,7873.726494
1780.0,2518,7898.719751
5350.0,4399,7941.245131
580.0,1273,7953.156151
7030.0,4593,7997.836543
2555.0,2959,8027.035538
6790.0,5017,8075.662441
6340.0,4435,8118.913086
6250.0,4495,8162.68765
5650.0,3958,8201.439317
740.0,1457,8216.561627
6250.0,4259,8258.24313
780.0,1546,8272.765831
2620.0,2896,8301.640355
1660.0,2175,8322.515687
4280.0,3934,8361.233913
11310.0,6751,8427.809496
3650.0,4031,8467.112927
1440.0,1931,8485.470313
700.0,1535,8500.888245
2675.0,2902,8528.414373
2000.0,2240,8550.352755
1400.0,1957,8568.565445
1780.0,2343,8591.951256
4080.0,3623,8627.099968
800.0,1461,8640.802814
4060.0,3085,8670.988447
3315.0,2920,8698.407142
5000.0,4130,8738.574702
2395.0,2457,8762.669432
8150.0,5229,8813.035702
5780.0,3949,8851.111478
2490.0,2731,8877.129094
7265.0,4832,8923.930846
1680.0,2347,8947.097958
720.0,1345,8959.790639
7580.0,5020,9008.799807
3315.0,3488,9043.045584
980.0,1769,9060.73914
420.0,1493,9075.328234
4290.0,4068,9115.292848
2480.0,2877,9143.478403
1840.0,2500,9167.531943
1860.0,2603,9193.487034
1340.0,2493,9216.985035
2600.0,2372,9240.798123
6350.0,4117,9280.81016
1400.0,2124,9300.825369
3335.0,3032,9330.646034
5580.0,4042,9370.2349
1200.0,2427,9393.335037
340.0,1165,9405.502509
640.0,1280,9417.532896
2970.0,2551,9442.644349
5860.0,3925,9481.244409
1900.0,2271,9503.111798
1640.0,2373,9527.471747
3715.0,3325,9560.387126
2200.0,2294,9582.438885
1200.0,1734,9600.39336
1520.0,2000,9619.370318
2725.0,2363,9643.426058
3490.0,2974,9672.461442
4550.0,3457,9706.224036
4020.0,3362,9739.388138
4380.0,3123,9770.27749
1320.0,1990,9789.991408
340.0,954,9799.613648
3010.0,2823,9826.744598
1580.0,1816,9844.866937
1860.0,2366,9867.88737
220.0,684,9874.933711
1340.0,2198,9895.856208
5920.0,4179,9936.875719
1460.0,1637,9953.44796
190.0,841,9961.640983
3470.0,3116,9992.103622
940.0,1583,10007.396957
100.0,532,10012.452014
5560.0,4049,10052.122007
3480.0,3187,10083.757941
1580.0,2147,10104.293912
6170.0,4559,10149.033714
3815.0,3265,10181.068815
1260.0,1702,10198.07602
3305.0,3557,10232.23102
4670.0,3586,10267.152885
4810.0,3726,10303.497445
7715.0,4555,10347.690682
3975.0,3446,10381.435355
580.0,1953,10399.695331
4065.0,3376,10432.573784
1680.0,2320,10455.251164
3440.0,3287,10486.535141
205.0,813,10494.890378
1340.0,2132,10515.45877
740.0,1745,10531.9888
1020.0,1515,10547.351797
1440.0,1895,10565.245834
3230.0,2767,10592.744996
2885.0,2850,10621.068732
6140.0,4538,10665.803063
3565.0,3481,10699.90849
4570.0,3921,10738.258205
100.0,411,10742.533119
3315.0,2716,10768.33505
325.0,969,10778.277865
5610.0,3832,10815.819767
4120.0,3979,10854.39261
2870.0,2335,10877.537738
2870.0,2745,10904.528782
540.0,1318,10917.231899
